w,vector_semantico
here,"['here', 'Here', 'Hera', 'hither']",Trail of the Tattered Star
Some,"['roughly', 'just_about', 'some', 'approximately', 'around', 'or_so', 'more_or_less', 'close_to', 'about']",Trail of the Tattered Star
Gawdamighty,[],Trail of the Tattered Star
lines,"['demarcation', 'argument', 'business', 'credit_line', 'trace', 'seam', 'communication_channel', 'contrast', 'crease', 'line_of_work', 'air', 'strain', 'business_line', 'production_line', 'logical_argument', 'cable', 'channel', 'blood', 'tune', 'melodic_line', 'note', 'origin', 'rail_line', 'ancestry', 'descent', 'dividing_line', 'draw', 'parentage', 'job', 'pedigree', 'occupation', 'argumentation', 'delineate', 'line_of_business', 'line', 'line_of_merchandise', 'assembly_line', 'pipeline', 'run_along', 'stemma', 'line_of_products', 'crinkle', 'railway_line', 'course', 'line_of_reasoning', 'short_letter', 'subscriber_line', 'bank_line', 'phone_line', 'telephone_line', 'personal_line_of_credit', 'billet', 'agate_line', 'transmission_line', 'bloodline', 'furrow', 'telephone_circuit', 'blood_line', 'melodic_phrase', 'personal_credit_line', 'melody', 'describe', 'lineage', 'product_line', 'line_of_credit', 'line_of_descent', 'stock', 'wrinkle']",Trail of the Tattered Star
post,"['office', 'mail', 'station', 'post', 'situation', 'Emily_Price_Post', 'send', 'military_post', 'place', 'berth', 'Charles_William_Post', 'Post', 'postal_service', 'position', 'stake', 'put_up', 'carry', 'billet', 'C._W._Post', 'Wiley_Post', 'Emily_Post', 'spot', 'brand', 'mail_service']",Trail of the Tattered Star
saddled,"['saddle', 'saddled', 'burden', 'charge']",Trail of the Tattered Star
flesh,"['soma', 'anatomy', 'material_body', 'pulp', 'physical_body', 'human_body', 'physique', 'bod', 'build', 'form', 'chassis', 'flesh', 'frame', 'shape', 'figure']",Trail of the Tattered Star
close,"['shut', 'conclude', 'fill_up', 'airless', 'secretive', 'closing_curtain', 'close', 'ending', 'finish', 'close-fitting', 'close_down', 'shut_down', 'finis', 'stuffy', 'conclusion', 'nigh', 'skinny', 'end', 'come_together', 'near', 'faithful', 'snug', 'finale', 'closelipped', 'penny-pinching', 'closemouthed', 'closely', 'closing', 'fold', 'cheeseparing', 'stopping_point', 'close_up', 'tight', 'confining', 'tightlipped', 'unaired', 'last']",Trail of the Tattered Star
right,"['decently', 'flop', 'mightily', 'right_field', 'mighty', 'right', 'powerful', 'aright', 'rightfield', 'justly', 'ripe', 'right_wing', 'rectify', 'rightfulness', 'compensate', 'in_good_order', 'correctly', 'good', 'properly', 'right_on', 'redress', 'proper', 'correct', 'right_hand', 'veracious', 'right-hand', 'the_right_way', 'decent']",Trail of the Tattered Star
leg,"['branch', 'peg', 'pegleg', 'leg', 'stage', 'wooden_leg', 'ramification']",Trail of the Tattered Star
as,"['a', 'As', 'amp', 'as', 'deoxyadenosine_monophosphate', 'AS', 'adenine', 'every_bit', 'vitamin_A', 'A', 'ampere', 'angstrom', 'group_A', 'Eastern_Samoa', 'equally', 'angstrom_unit', 'arsenic', 'axerophthol', 'American_Samoa', 'atomic_number_33', 'antiophthalmic_factor', 'type_A']",Trail of the Tattered Star
came,"['come', 'make_out', 'number', 'amount', 'get_along', 'issue_forth', 'hail', 'derive', 'get', 'follow', 'arrive', 'occur', 'do', 'descend', 'add_up', 'come_in', 'fare', 'fall', 'total', 'come_up']",Trail of the Tattered Star
fire,"['displace', 'give_the_sack', 'flak', 'flack', 'evoke', 'discharge', 'fervidness', 'enkindle', 'elicit', 'firing', 'give_notice', 'force_out', 'fire', 'fervour', 'arouse', 'send_away', 'burn_down', 'sack', 'burn', 'give_the_axe', 'attack', 'ardor', 'provoke', 'raise', 'kindle', 'fuel', 'can', 'open_fire', 'dismiss', 'go_off', 'fervor', 'blast', 'fervency', 'flame', 'terminate', 'flaming', 'ardour']",Trail of the Tattered Star
purpose,"['purpose', 'design', 'intention', 'function', 'use', 'determination', 'intent', 'purport', 'propose', 'role', 'aim', 'resolve']",Trail of the Tattered Star
bullets,"['slug', 'fastball', 'bullet_train', 'hummer', 'smoke', 'bullet', 'heater']",Trail of the Tattered Star
peered,['peer'],Trail of the Tattered Star
shouldered,"['shoulder', 'shouldered']",Trail of the Tattered Star
belts,"['bash', 'swath', 'belt', 'smash', 'rap', 'belted_ammunition', 'bang', 'whang', 'whack', 'knock', 'belt_ammunition', 'belt_out']",Trail of the Tattered Star
foot,"['groundwork', 'infantry', 'hoof', 'hoof_it', 'substructure', 'human_foot', 'foot', 'understructure', 'metrical_foot', 'leg_it', 'base', 'foot_up', 'pick', 'fundament', 'invertebrate_foot', 'animal_foot', 'metrical_unit', 'foundation', 'ft', 'pes']",Trail of the Tattered Star
caught,"['arrest', 'trip_up', 'watch', 'entrance', 'view', 'becharm', 'take_hold_of', 'fascinate', 'pick_up', 'get', 'bewitch', 'hitch', 'overhear', 'charm', 'capture', 'overtake', 'enamour', 'enchant', 'catch', 'see', 'grab', 'catch_up_with', 'captivate', 'enamor', 'beguile', 'trance', 'take_in']",Trail of the Tattered Star
rush,"['hasten', 'rushing', 'belt_along', 'upsurge', 'induce', 'rushed', 'speed', 'bucket_along', 'thrill', 'look_sharp', 'first-come-first-serve', 'kick', 'festinate', 'pelt_along', 'spate', 'hotfoot', 'rush', 'race', 'cannonball_along', 'hurry', 'bang', 'step_on_it', 'stimulate', 'surge', 'charge', 'flush', 'Benjamin_Rush', 'haste', 'rush_along', 'boot', 'Rush', 'hie']",Trail of the Tattered Star
at,"['astatine', 'atomic_number_85', 'at', 'At']",Trail of the Tattered Star
showed,"['prove', 'read', 'establish', 'express', 'register', 'record', 'shew', 'evidence', 'point', 'present', 'show', 'demonstrate', 'show_up', 'usher', 'picture', 'evince', 'testify', 'indicate', 'designate', 'depict', 'demo', 'bear_witness', 'exhibit', 'render']",Trail of the Tattered Star
whack,"['knock', 'belt', 'rap', 'wham', 'wallop', 'whack', 'whang', 'whop']",Trail of the Tattered Star
swung,"['drop', 'swing', 'swing_over', 'swing_out', 'sweep', 'get_around', 'dangle', 'sway']",Trail of the Tattered Star
echoes,"['Echo', 'resound', 'recall', 'repeat', 'ring', 'sound_reflection', 'reverberation', 'reverberate', 'replication', 'echo']",Trail of the Tattered Star
motion,"['motion', 'apparent_motion', 'movement', 'apparent_movement', 'move', 'question', 'gesticulate', 'gesture', 'motility']",Trail of the Tattered Star
be,"['exist', 'cost', 'represent', 'make_up', 'be', 'embody', 'follow', 'beryllium', 'Be', 'comprise', 'live', 'constitute', 'equal', 'glucinium', 'personify', 'atomic_number_4']",Trail of the Tattered Star
try,"['prove', 'try_out', 'strain', 'hear', 'adjudicate', 'stress', 'effort', 'taste', 'essay', 'judge', 'sample', 'try', 'assay', 'test', 'endeavor', 'attempt', 'seek', 'try_on', 'examine', 'endeavour', 'render']",Trail of the Tattered Star
him,[],Trail of the Tattered Star
drove,"['force_back', 'take', 'motor', 'labour', 'get', 'ride', 'force', 'drive', 'drove_chisel', 'push_back', 'push', 'drove', 'repel', 'ram', 'repulse', 'horde', 'swarm', 'labor', 'beat_back', 'aim', 'tug']",Trail of the Tattered Star
which,[],Trail of the Tattered Star
luck,"['hazard', 'chance', 'destiny', 'portion', 'lot', 'fate', 'fortune', 'circumstances', 'luck']",Trail of the Tattered Star
went,"['survive', 'pass_away', 'give_way', 'function', 'depart', 'fail', 'locomote', 'expire', 'conk_out', 'blend', 'get_going', 'croak', 'fit', 'run_short', 'snuff_it', 'live_on', 'plump', 'go_away', 'get', 'hold_up', 'operate', 'drop_dead', 'pop_off', 'become', 'live', 'start', 'belong', 'extend', 'conk', 'rifle', 'move', 'run_low', 'blend_in', 'give_out', 'run', 'sound', 'endure', 'hold_out', 'break_down', 'choke', 'decease', 'travel', 'perish', ""cash_in_one's_chips"", 'die', 'work', 'go', 'kick_the_bucket', 'buy_the_farm', 'pass', 'lead', 'break', 'exit', 'give-up_the_ghost', 'proceed', 'go_bad', 'last']",Trail of the Tattered Star
nearby,['nearby'],Trail of the Tattered Star
spun,"['twirl', 'whirl', 'spin_out', 'spin', 'gyrate', 'spin_around', 'reel', 'birl']",Trail of the Tattered Star
hand,"['pass_on', 'mitt', 'turn_over', 'hand', 'manus', 'script', 'deal', 'hired_hand', 'pass', 'helping_hand', 'handwriting', 'give', 'bridge_player', 'paw', 'reach', 'hired_man']",Trail of the Tattered Star
sizable,"['ample', 'healthy', 'sizable', 'sizeable', 'goodly', 'hefty', 'respectable', 'goodish', 'tidy']",Trail of the Tattered Star
form,"['mould', 'conformation', 'manakin', 'configuration', 'strain', 'spring', 'take_shape', 'flesh', 'mold', 'kind', 'make', 'forge', 'anatomy', 'material_body', 'mannikin', 'descriptor', 'variant', 'organise', 'signifier', 'shape', 'frame', 'word_form', 'manikin', 'human_body', 'bod', 'build', 'cast', 'pattern', 'course', 'figure', 'soma', 'contour', 'sort', 'work', 'physical_body', 'phase', 'physique', 'form', 'organize', 'take_form', 'chassis', 'variety', 'var.', 'constitute', 'imprint', 'class', 'mannequin', 'grade']",Trail of the Tattered Star
walk,"['take_the_air', 'walking', 'walk_of_life', 'walk', 'pass', 'walkway', 'manner_of_walking', 'paseo', 'base_on_balls']",Trail of the Tattered Star
will,"['testament', 'volition', 'leave', 'will', 'bequeath']",Trail of the Tattered Star
lantern,['lantern'],Trail of the Tattered Star
shield,"['cuticle', 'shell', 'carapace', 'harbour', 'screen', 'buckler', 'harbor', 'shield']",Trail of the Tattered Star
but,"['but', 'simply', 'just', 'only', 'merely']",Trail of the Tattered Star
mounts,"['climb_up', 'go_up', 'saddle_horse', 'mount', 'ride', 'climb_on', 'backing', 'riding_horse', 'wax', 'rise', 'put_on', 'bestride', 'hop_on', 'setting', 'climb', 'get_on', 'mountain', 'jump_on', 'mount_up']",Trail of the Tattered Star
doubt,"['incertitude', 'doubt', 'doubtfulness', 'dubiety', 'question', 'uncertainty', 'dubiousness']",Trail of the Tattered Star
hung,"['cling', 'string_up', 'fall', 'flow', 'hang_up', 'advert', 'attend', 'give_ear', 'hang', 'pay_heed']",Trail of the Tattered Star
door,"['door', 'room_access', 'doorway', 'threshold']",Trail of the Tattered Star
containers,['container'],Trail of the Tattered Star
powder,"['pulverize', 'pulverization', 'powderise', 'powder', 'pulverise', 'pulverisation', 'powderize', 'gunpowder']",Trail of the Tattered Star
knee,"['knee', 'knee_joint', 'human_knee', 'articulatio_genus', 'stifle', 'genu']",Trail of the Tattered Star
again,"['over_again', 'once_again', 'once_more', 'again']",Trail of the Tattered Star
He,"['atomic_number_2', 'he', 'helium', 'He']",Trail of the Tattered Star
an',[],Trail of the Tattered Star
navy,"['naval_forces', 'USN', 'US_Navy', 'navy_blue', 'dark_blue', 'navy', 'Navy', 'United_States_Navy']",Trail of the Tattered Star
cover,"['cover_version', 'masking', 'traverse', 'deal', 'incubate', 'screen', 'natural_covering', 'cover', 'treat', 'cross', 'breed', 'wrap_up', 'hide', 'overcompensate', 'hatch', 'binding', 'covering_fire', 'report', 'covering', 'get_over', 'plow', 'insure', 'extend', 'spread_over', 'top', 'handle', 'compensate', 'brood', 'overlay', 'comprehend', 'concealment', 'continue', 'blanket', 'cover_up', 'book_binding', 'track', 'encompass', 'underwrite', 'cover_song', 'shroud', 'cover_charge', 'address', 'screening', 'cut_across', 'enshroud', 'pass_over', 'cut_through', 'get_across', 'covert', 'embrace', 'back']",Trail of the Tattered Star
search,"['seek', 'hunt', 'research', 'lookup', 'look_for', 'search', 'look', 'hunting', 'explore']",Trail of the Tattered Star
whoop,"['hack', 'whoop']",Trail of the Tattered Star
yourself,[],Trail of the Tattered Star
toward,[],Trail of the Tattered Star
might,"['might', 'power', 'mightiness']",Trail of the Tattered Star
sad,"['sad', 'sorry', 'pitiful', 'distressing', 'deplorable', 'lamentable']",Trail of the Tattered Star
windows,"['Windows', 'window', 'windowpane']",Trail of the Tattered Star
concealed,"['hide', 'concealed', 'hidden', 'hold_in', 'out_of_sight', 'hold_back', 'conceal']",Trail of the Tattered Star
pails,"['bucket', 'pailful', 'pail']",Trail of the Tattered Star
joined,"['coupled', 'link', 'get_together', 'link_up', 'united', 'join', 'linked', 'joined', 'unite', 'connect', 'fall_in', 'conjoin', 'bring_together']",Trail of the Tattered Star
this,[],Trail of the Tattered Star
You'll,[],Trail of the Tattered Star
