w,vector_semantico
Some,"['roughly', 'just_about', 'some', 'approximately', 'around', 'or_so', 'more_or_less', 'close_to', 'about']",Will Aircraft or Missiles Win Wars?
surviving,"['exist', 'survive', 'live_on', 'endure', 'go', 'hold_up', 'hold_out', 'subsist', 'pull_round', 'make_it', 'pull_through', 'surviving', 'live', 'outlast', 'come_through', 'living', 'outlive', 'last']",Will Aircraft or Missiles Win Wars?
submarine,"['hero_sandwich', 'Cuban_sandwich', 'undersea', 'wedge', 'hoagy', 'submarine_sandwich', 'pigboat', 'poor_boy', 'submarine', 'bomber', 'hoagie', 'sub', 'torpedo', 'U-boat', 'grinder', 'zep', 'Italian_sandwich', 'hero']",Will Aircraft or Missiles Win Wars?
completely,"['altogether', 'entirely', 'whole', 'completely', 'wholly', 'all', 'totally']",Will Aircraft or Missiles Win Wars?
firing,"['lighting', 'displace', 'give_the_sack', 'liberation', 'inflammation', 'dismissal', 'evoke', 'discharge', 'enkindle', 'elicit', 'firing', 'give_notice', 'force_out', 'fire', 'firing_off', 'arouse', 'dismission', 'send_away', 'burn_down', 'sack', 'burn', 'kindling', 'give_the_axe', 'ignition', 'sacking', 'provoke', 'raise', 'kindle', 'fuel', 'dismiss', 'open_fire', 'can', 'go_off', 'release', 'terminate']",Will Aircraft or Missiles Win Wars?
soft,"['diffused', 'lenient', 'voiced', 'sonant', 'delicate', 'diffuse', 'indulgent', 'flaccid', 'easygoing', 'balmy', 'cushy', 'easy', 'flabby', 'mild', 'gentle', 'piano', 'subdued', 'soft']",Will Aircraft or Missiles Win Wars?
as,"['a', 'As', 'amp', 'as', 'deoxyadenosine_monophosphate', 'AS', 'adenine', 'every_bit', 'vitamin_A', 'A', 'ampere', 'angstrom', 'group_A', 'Eastern_Samoa', 'equally', 'angstrom_unit', 'arsenic', 'axerophthol', 'American_Samoa', 'atomic_number_33', 'antiophthalmic_factor', 'type_A']",Will Aircraft or Missiles Win Wars?
hardened,"['inure', 'season', 'hard-boiled', 'tempered', 'temper', 'enured', 'indurate', 'case-hardened', 'set', 'toughened', 'harden', 'treated', 'inured', 'hardened']",Will Aircraft or Missiles Win Wars?
fire,"['displace', 'give_the_sack', 'flak', 'flack', 'evoke', 'discharge', 'fervidness', 'enkindle', 'elicit', 'firing', 'give_notice', 'force_out', 'fire', 'fervour', 'arouse', 'send_away', 'burn_down', 'sack', 'burn', 'give_the_axe', 'attack', 'ardor', 'provoke', 'raise', 'kindle', 'fuel', 'can', 'open_fire', 'dismiss', 'go_off', 'fervor', 'blast', 'fervency', 'flame', 'terminate', 'flaming', 'ardour']",Will Aircraft or Missiles Win Wars?
Using,"['utilise', 'apply', 'expend', 'use', 'practice', 'victimization', 'using', 'utilize', 'employ', 'exploitation', 'habituate', 'victimisation']",Will Aircraft or Missiles Win Wars?
radar,"['radar', 'radio_detection_and_ranging', 'radiolocation', 'microwave_radar']",Will Aircraft or Missiles Win Wars?
Wouldn't,[],Will Aircraft or Missiles Win Wars?
spans,"['duad', 'distich', 'couple', 'couplet', 'traverse', 'pair', 'span', 'twain', 'brace', 'duet', 'bridge', 'duo', 'twosome', 'dyad', 'straddle', 'sweep', 'cross', 'yoke']",Will Aircraft or Missiles Win Wars?
little,"['trivial', 'slight', 'piffling', 'short', 'piddling', 'little', 'petty', 'niggling', 'footling', 'picayune', 'minuscule', 'fiddling', 'lilliputian', 'small']",Will Aircraft or Missiles Win Wars?
50,"['L', 'l', '50', 'fifty']",Will Aircraft or Missiles Win Wars?
destroy,"['destruct', 'destroy', 'put_down', 'demolish', 'ruin']",Will Aircraft or Missiles Win Wars?
at,"['astatine', 'atomic_number_85', 'at', 'At']",Will Aircraft or Missiles Win Wars?
fixed,"['fasten', 'fixate', 'fix', 'sterilize', 'unsex', 'make', 'prepare', 'pay_off', 'get', 'secure', 'limit', 'repair', 'posit', 'cook', 'mend', 'fixed', 'frozen', 'bushel', 'touch_on', 'specify', 'pay_back', 'doctor', 'ready', 'situate', 'define', 'desexualize', 'desex', 'sterilise', 'set_up', 'desexualise', 'rigid', 'deposit', 'restore', 'furbish_up', 'gear_up', 'determine', 'set']",Will Aircraft or Missiles Win Wars?
pressure,"['pressure_sensation', 'insistence', 'force_per_unit_area', 'air_pressure', 'blackjack', 'pressure_level', 'atmospheric_pressure', 'imperativeness', 'insistency', 'hale', 'blackmail', 'pressing', 'squeeze', 'force', 'press', 'coerce', 'pressure']",Will Aircraft or Missiles Win Wars?
In,"['inch', 'inwards', 'indium', 'inward', 'Indiana', 'In', 'in', 'IN', 'atomic_number_49', 'Hoosier_State']",Will Aircraft or Missiles Win Wars?
profitable,['profitable'],Will Aircraft or Missiles Win Wars?
citizens,['citizen'],Will Aircraft or Missiles Win Wars?
erroneous,['erroneous'],Will Aircraft or Missiles Win Wars?
overpressure,['overpressure'],Will Aircraft or Missiles Win Wars?
be,"['exist', 'cost', 'represent', 'make_up', 'be', 'embody', 'follow', 'beryllium', 'Be', 'comprise', 'live', 'constitute', 'equal', 'glucinium', 'personify', 'atomic_number_4']",Will Aircraft or Missiles Win Wars?
don't,[],Will Aircraft or Missiles Win Wars?
which,[],Will Aircraft or Missiles Win Wars?
because,[],Will Aircraft or Missiles Win Wars?
),[],Will Aircraft or Missiles Win Wars?
means,"['means', 'intend', 'imply', 'entail', 'mean_value', 'substance', 'stand_for', 'think', 'have_in_mind', 'agency', 'way', 'signify', 'mean', 'think_of']",Will Aircraft or Missiles Win Wars?
sort,"['screen_out', 'sort', 'sorting', 'separate', 'form', 'variety', 'screen', 'classify', 'assort', 'sort_out', 'class', 'sieve', 'kind']",Will Aircraft or Missiles Win Wars?
Atlas,"['telamon', 'Atlas', 'book_of_maps', 'atlas_vertebra', 'atlas', 'map_collection']",Will Aircraft or Missiles Win Wars?
size,"['size', 'sizing', 'size_of_it']",Will Aircraft or Missiles Win Wars?
However,"['withal', 'nonetheless', 'all_the_same', 'nevertheless', 'however', 'yet', 'even_so', 'still', 'notwithstanding']",Will Aircraft or Missiles Win Wars?
instantaneously,"['in_a_flash', 'outright', 'instantaneously', 'instantly']",Will Aircraft or Missiles Win Wars?
Soviet,"['soviet', 'Soviet']",Will Aircraft or Missiles Win Wars?
will,"['testament', 'volition', 'leave', 'will', 'bequeath']",Will Aircraft or Missiles Win Wars?
lowered,"['lour', 'glower', 'bring_down', 'lower', 'take_down', 'depress', 'let_down', 'frown', 'get_down', 'lowered', 'turn_down']",Will Aircraft or Missiles Win Wars?
lacked,"['lack', 'miss']",Will Aircraft or Missiles Win Wars?
trajectory,"['flight', 'trajectory']",Will Aircraft or Missiles Win Wars?
but,"['but', 'simply', 'just', 'only', 'merely']",Will Aircraft or Missiles Win Wars?
