w,vector_semantico
mind,"['brain', 'creative_thinker', 'mind', 'judgement', 'head', 'judgment', 'idea', 'take_care', 'listen', 'bear_in_mind', 'intellect', 'nous', 'psyche', 'beware', 'thinker', 'heed']","William G. Pollard, Physicist and Christian"
view,"['watch', 'take_in', 'sight', 'sentiment', 'view', 'reckon', 'look_at', 'regard', 'survey', 'thought', 'catch', 'prospect', 'position', 'scene', 'perspective', 'horizon', 'eyeshot', 'consider', 'see', 'persuasion', 'opinion', 'purview', 'aspect', 'panorama', 'vista']","William G. Pollard, Physicist and Christian"
misconceptions,['misconception'],"William G. Pollard, Physicist and Christian"
individual,"['mortal', 'case-by-case', 'soul', 'individual', 'person', 'somebody', 'single', 'someone', 'private', 'item-by-item']","William G. Pollard, Physicist and Christian"
designed,"['design', 'designed', 'contrive', 'intentional', 'project', 'plan']","William G. Pollard, Physicist and Christian"
For,[],"William G. Pollard, Physicist and Christian"
peopled,"['peopled', 'people']","William G. Pollard, Physicist and Christian"
elements,"['ingredient', 'factor', 'component', 'element', 'elements', 'chemical_element', 'constituent']","William G. Pollard, Physicist and Christian"
find,"['uncovering', 'detect', 'line_up', 'retrieve', 'discover', 'find', 'ascertain', 'receive', 'find_oneself', 'come_up', 'discovery', 'observe', 'notice', 'encounter', 'feel', 'happen', 'get', 'rule', 'witness', 'see', 'determine', 'find_out', 'chance', 'get_hold', 'incur', 'bump', 'regain', 'breakthrough', 'obtain', 'recover']","William G. Pollard, Physicist and Christian"
teenage,"['teenaged', 'adolescent', 'teenage', 'teen']","William G. Pollard, Physicist and Christian"
humanity,"['humanness', 'human_beings', 'humans', 'humanity', 'world', 'manhood', 'humankind', 'man', 'mankind', 'human_race']","William G. Pollard, Physicist and Christian"
employ,"['utilise', 'hire', 'apply', 'use', 'engage', 'employ', 'utilize', 'employment']","William G. Pollard, Physicist and Christian"
by,"['aside', 'away', 'by', 'past']","William G. Pollard, Physicist and Christian"
last,"['death', 'live_on', 'in_conclusion', 'finally', 'finish', 'close', 'last', 'live', 'terminal', 'hold_up', 'final_stage', 'endure', 'finale', 'utmost', 'last-place', 'end', 'lastly', ""cobbler's_last"", 'final', 'lowest', 'stopping_point', 'go', 'hold_out', 'concluding', 'finis', 'net', 'conclusion', 'survive', ""shoemaker's_last""]","William G. Pollard, Physicist and Christian"
situation,"['billet', 'position', 'post', 'site', 'berth', 'office', 'spot', 'place', 'situation', 'state_of_affairs']","William G. Pollard, Physicist and Christian"
stars,"['virtuoso', 'star_topology', 'star', 'superstar', 'mavin', 'adept', 'wizard', 'sensation', 'maven', 'whizz', 'wiz', 'headliner', 'champion', 'lead', 'ace', 'principal', 'whiz', 'hotshot', 'genius', 'asterisk']","William G. Pollard, Physicist and Christian"
them,[],"William G. Pollard, Physicist and Christian"
gripped,"['grapple', 'grip', 'transfix', 'fascinate', 'spellbind']","William G. Pollard, Physicist and Christian"
John,"['King_John', 'bathroom', 'John_the_Evangelist', 'privy', 'John', 'Saint_John', 'whoremonger', 'St._John', 'lav', 'Gospel_According_to_John', 'John_Lackland', 'john', 'Saint_John_the_Apostle', 'trick', 'lavatory', 'John_the_Divine', 'whoremaster', 'can', 'St._John_the_Apostle', 'toilet']","William G. Pollard, Physicist and Christian"
ease,"['simplicity', 'simpleness', 'ease', 'informality', 'rest', 'repose', 'relaxation', 'alleviate', 'allay', 'relieve', 'still', 'comfort', 'relief', 'easiness', 'facilitate']","William G. Pollard, Physicist and Christian"
real,"['material', 'real', 'real_number', 'genuine', 'existent', 'literal', 'substantial', 'tangible', 'really', 'rattling', 'veridical', 'actual', 'very']","William G. Pollard, Physicist and Christian"
Everyone,[],"William G. Pollard, Physicist and Christian"
members,"['phallus', 'extremity', 'member', 'fellow_member', 'penis', 'appendage']","William G. Pollard, Physicist and Christian"
