w,vector_uso
wooden,[2], A Cup of the Sun
belied,"[0, 0, 0, 0]", A Cup of the Sun
also,"[2, 121, 118, 3, 0]", A Cup of the Sun
tunneled,"[0, 0]", A Cup of the Sun
For,[], A Cup of the Sun
above,"[0, 0, 0, 20, 0]", A Cup of the Sun
disliked,"[1, 0]", A Cup of the Sun
next,"[20, 0, 0, 37, 47, 0]", A Cup of the Sun
grasp,"[0, 5, 0, 4, 0, 17, 1, 0, 0, 1, 3, 4, 11, 0, 0, 21, 0, 1]", A Cup of the Sun
by,"[7, 40, 497, 39]", A Cup of the Sun
slid,"[0, 0, 0, 0, 1, 0]", A Cup of the Sun
swirled,"[0, 0, 0, 0, 0, 0, 0]", A Cup of the Sun
biggest,"[2, 61, 1, 0, 0, 0, 0, 0, 0, 13, 18, 0, 0, 0, 0, 7, 0, 4, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 30, 0, 19, 0, 0, 8]", A Cup of the Sun
them,[], A Cup of the Sun
released,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 3, 7, 0, 2, 37, 0, 0, 0, 16, 0, 4, 0]", A Cup of the Sun
moving,"[0, 1, 1, 16, 0, 0, 1, 1, 22, 90, 7, 0, 1, 43, 0, 0, 6, 19, 0]", A Cup of the Sun
pact,"[6, 0, 1]", A Cup of the Sun
stretched,"[0, 0, 9, 0, 0, 0, 9, 0, 0, 5, 0]", A Cup of the Sun
That,[], A Cup of the Sun
touch,"[0, 0, 3, 2, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 11, 12, 0, 1, 0, 1, 0, 3, 0, 0, 0, 23, 7, 0, 0, 0, 0, 3, 0, 2, 0, 19, 3, 0, 0, 3, 11, 6, 0, 2, 0, 1, 5]", A Cup of the Sun
tapering,"[37, 0, 0, 1, 0, 0, 0, 0]", A Cup of the Sun
that's,[], A Cup of the Sun
creaking,"[0, 0, 0, 0, 0, 0, 1]", A Cup of the Sun
downcast,"[0, 0, 146, 13, 2, 0, 20, 0, 0, 0, 0]", A Cup of the Sun
