w,vector_uso
contract,"[6, 20, 10, 0, 1, 0, 0, 1, 0, 8, 123, 5, 80, 0, 1, 0, 13, 0, 2, 0, 5, 0, 2, 1]"," The Atlanta Constitution,"
financial,"[0, 2]"," The Atlanta Constitution,"
found,"[0, 59, 0, 0, 3, 55, 0, 7, 3, 0, 0, 4, 0, 1, 8, 13, 3, 37, 14, 0, 123, 8, 7, 21, 102, 1, 17, 0, 0, 2, 1, 0, 1, 5, 3, 1]"," The Atlanta Constitution,"
leadership,"[5, 9, 11]"," The Atlanta Constitution,"
also,"[2, 121, 118, 3, 0]"," The Atlanta Constitution,"
next,"[20, 0, 0, 37, 47, 0]"," The Atlanta Constitution,"
strategy,"[1, 0]"," The Atlanta Constitution,"
above,"[0, 0, 0, 20, 0]"," The Atlanta Constitution,"
besides,"[2, 121, 118, 3, 0, 0]"," The Atlanta Constitution,"
guess,"[65, 9, 14, 0, 0, 12, 15, 0, 0, 0, 0, 0, 4, 2, 0, 0, 12, 0, 4, 0, 0, 1, 4, 3]"," The Atlanta Constitution,"
democratic,"[7, 3, 0]"," The Atlanta Constitution,"
For,[]," The Atlanta Constitution,"
by,"[7, 40, 497, 39]"," The Atlanta Constitution,"
last,"[69, 0, 0, 18, 3, 27, 83, 26, 0, 0, 0, 0, 0, 2, 0, 51, 0, 0, 21, 0, 0, 90, 0, 2, 0, 2, 7, 5, 0]"," The Atlanta Constitution,"
ultimate,[5]," The Atlanta Constitution,"
neighbors,"[0, 3]"," The Atlanta Constitution,"
careful,"[4, 0, 0, 1, 6]"," The Atlanta Constitution,"
Unquestionably,"[1, 3, 0, 0, 0, 1, 0]"," The Atlanta Constitution,"
them,[]," The Atlanta Constitution,"
John,"[0, 3, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 235, 0, 0]"," The Atlanta Constitution,"
repulsive,"[0, 1, 0, 0, 0, 0]"," The Atlanta Constitution,"
real,"[16, 33, 0, 4, 0, 2, 1, 0, 40, 1, 0, 10, 81]"," The Atlanta Constitution,"
members,"[0, 1, 7, 0, 0, 0]"," The Atlanta Constitution,"
risk,"[0, 17, 0, 0, 2, 0, 15, 0, 0, 6, 0, 0, 0, 0, 0, 2]"," The Atlanta Constitution,"
balanced,"[0, 0, 0, 26, 0, 1]"," The Atlanta Constitution,"
That,[]," The Atlanta Constitution,"
