w,vector_uso
storage,"[0, 8, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0]", The Dallas Morning News
Grover,[], The Dallas Morning News
Dr.,"[13, 7, 6, 0, 0, 1]", The Dallas Morning News
also,"[2, 121, 118, 3, 0]", The Dallas Morning News
retailers,"[0, 0]", The Dallas Morning News
designed,"[18, 12, 0, 2, 6, 15]", The Dallas Morning News
next,"[20, 0, 0, 37, 47, 0]", The Dallas Morning News
Education,"[19, 0, 9, 1, 3, 4, 3, 0, 0, 0, 0]", The Dallas Morning News
appointment,"[0, 7, 1, 3, 0, 0, 0, 0]", The Dallas Morning News
Berry,"[0, 0, 0, 1]", The Dallas Morning News
Aikin,[], The Dallas Morning News
Texan,[0], The Dallas Morning News
instructor,"[7, 2]", The Dallas Morning News
cases,"[8, 0, 0, 10, 6, 0, 0, 0, 18, 12, 16, 23, 1, 0, 0, 0, 7, 0, 0, 25, 0, 0, 0, 0, 0, 0, 35, 0, 62, 0, 0, 0]", The Dallas Morning News
by,"[7, 40, 497, 39]", The Dallas Morning News
last,"[69, 0, 0, 18, 3, 27, 83, 26, 0, 0, 0, 0, 0, 2, 0, 51, 0, 0, 21, 0, 0, 90, 0, 2, 0, 2, 7, 5, 0]", The Dallas Morning News
brokers,"[5, 8, 1]", The Dallas Morning News
them,[], The Dallas Morning News
Highway,"[6, 0]", The Dallas Morning News
abandoned,"[2, 1, 5, 4, 0, 0, 3, 0, 0, 12]", The Dallas Morning News
real,"[16, 33, 0, 4, 0, 2, 1, 0, 40, 1, 0, 10, 81]", The Dallas Morning News
Worth,"[0, 0, 18, 0]", The Dallas Morning News
members,"[0, 1, 7, 0, 0, 0]", The Dallas Morning News
generally,"[0, 0, 2, 6, 0, 12, 0, 0, 1]", The Dallas Morning News
directed,"[6, 73, 0, 0, 0, 10, 0, 2, 0, 4, 4, 80, 3, 0, 72, 16, 20, 0, 5, 0, 4, 0, 37, 7, 0, 0, 1]", The Dallas Morning News
forced,"[5, 0, 3, 14, 0, 0, 11, 1, 4, 9, 0, 10, 4, 7, 15, 0, 0]", The Dallas Morning News
If,[], The Dallas Morning News
House,"[0, 54, 74, 0, 0, 0, 0, 52, 13, 3, 0, 2, 0, 0, 11, 0]", The Dallas Morning News
conservative,"[1, 0, 0, 1, 0, 0, 1, 0]", The Dallas Morning News
senators,[0], The Dallas Morning News
got,"[49, 6, 0, 6, 12, 55, 0, 0, 7, 0, 18, 0, 0, 0, 51, 4, 18, 0, 0, 1, 0, 0, 12, 84, 3, 9, 0, 0, 0, 0, 0, 123, 80, 33, 3, 23, 0, 90, 21, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 2, 492, 19, 8, 0, 0, 0, 0, 1, 0, 0, 11, 5, 113, 2, 19, 16, 1, 0, 0, 2]", The Dallas Morning News
Navigation,"[2, 1, 0, 1, 0]", The Dallas Morning News
High,"[0, 0, 0, 0, 0, 1, 2, 0, 2, 0, 0, 61, 0, 0, 0, 2]", The Dallas Morning News
later,"[0, 15, 33, 1, 0, 1, 0, 89, 0, 10, 0, 4, 3, 30, 11]", The Dallas Morning News
group,"[1, 30, 0, 0, 0, 0]", The Dallas Morning News
Hughes,"[0, 0, 0, 0, 0, 0, 0, 0]", The Dallas Morning News
as,"[0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 828, 4, 147, 0, 0, 0, 0, 0, 0]", The Dallas Morning News
Mission,"[0, 0, 0, 1, 0, 9, 1, 8, 0, 0, 0]", The Dallas Morning News
mentally,[0], The Dallas Morning News
Court,"[0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 5, 0, 0, 0, 2, 0, 0, 0]", The Dallas Morning News
professor,"[1, 0]", The Dallas Morning News
populous,"[0, 1]", The Dallas Morning News
bills,"[0, 0, 0, 0, 8, 1, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 13, 0, 0, 0, 4, 9, 0, 0, 8]", The Dallas Morning News
appearing,"[0, 3, 59, 0, 26, 6, 1, 0]", The Dallas Morning News
home,"[0, 0, 0, 0, 0, 0, 3, 3, 52, 4, 8, 72, 0, 54, 0, 0, 74, 1, 3, 0]", The Dallas Morning News
Other,"[41, 10, 183]", The Dallas Morning News
Signal,"[37, 0, 0, 2, 7, 13, 0, 1, 0]", The Dallas Morning News
paying,"[0, 0, 19, 51, 3, 0, 0, 6, 0, 0, 0, 6, 0, 0, 0, 8, 2]", The Dallas Morning News
Revenue,"[0, 0, 0, 0, 0, 3]", The Dallas Morning News
legislators,[2], The Dallas Morning News
other,"[41, 10, 183]", The Dallas Morning News
bill,"[0, 0, 0, 0, 8, 1, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 13, 0, 0, 0, 4, 9, 0, 0, 8]", The Dallas Morning News
voters,"[0, 0]", The Dallas Morning News
against,[], The Dallas Morning News
automatically,"[3, 1]", The Dallas Morning News
ones,"[29, 24, 5, 321, 1, 786]", The Dallas Morning News
"17,000",[], The Dallas Morning News
Committee,"[6, 1, 0]", The Dallas Morning News
problems,"[36, 39, 20]", The Dallas Morning News
gotten,"[49, 6, 0, 6, 12, 55, 0, 0, 7, 0, 18, 0, 0, 0, 51, 4, 18, 0, 0, 1, 0, 0, 12, 84, 3, 9, 0, 0, 0, 0, 0, 123, 80, 33, 3, 23, 0, 90, 21, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 2, 492, 19, 8, 0, 0, 0, 0, 1, 0, 0, 11, 5, 113, 2, 19, 16, 1, 0, 0, 2]", The Dallas Morning News
yesterday,[6], The Dallas Morning News
measure,"[1, 4, 0, 0, 12, 0, 0, 12, 0, 0, 10, 1, 0, 1, 1, 23, 0, 0, 12, 0, 4, 17, 0, 1, 8, 0]", The Dallas Morning News
bonds,"[6, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 2]", The Dallas Morning News
Okla.,[], The Dallas Morning News
deficit,"[0, 0, 1]", The Dallas Morning News
and,[], The Dallas Morning News
plus,"[6, 12, 0, 21, 0]", The Dallas Morning News
choice,"[4, 1, 11, 0, 9, 13, 0, 9, 3]", The Dallas Morning News
