w,vector_uso
grand,"[4, 3, 5, 1, 5, 1, 0, 0, 4, 2, 0, 1, 12, 1, 0, 0, 3, 2, 1, 0, 0, 0, 6, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 4, 0, 10, 0, 0, 1, 0, 0, 1]","87th Congress, 1st Session. House Document No. 247. The"
notably,[3],"87th Congress, 1st Session. House Document No. 247. The"
Hon.,[],"87th Congress, 1st Session. House Document No. 247. The"
unanimous,"[0, 28, 0, 14, 2]","87th Congress, 1st Session. House Document No. 247. The"
reflected,"[0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]","87th Congress, 1st Session. House Document No. 247. The"
these,[],"87th Congress, 1st Session. House Document No. 247. The"
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]","87th Congress, 1st Session. House Document No. 247. The"
much,"[0, 47, 0, 6, 0, 11, 0, 111]","87th Congress, 1st Session. House Document No. 247. The"
paean,"[0, 0, 0, 0, 0]","87th Congress, 1st Session. House Document No. 247. The"
prefer,"[0, 3, 7, 0, 4]","87th Congress, 1st Session. House Document No. 247. The"
leave,"[0, 0, 51, 0, 0, 12, 218, 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 0, 16, 0, 27, 1, 1, 1, 20, 2]","87th Congress, 1st Session. House Document No. 247. The"
Record,"[44, 1, 0, 0, 19, 0, 12, 0, 0, 1, 0, 12, 0, 0, 0, 21, 2, 0, 0, 0, 0]","87th Congress, 1st Session. House Document No. 247. The"
children,"[1, 0, 1, 0, 0, 4, 0, 4, 17, 0, 0, 17, 0]","87th Congress, 1st Session. House Document No. 247. The"
they,[],"87th Congress, 1st Session. House Document No. 247. The"
stormy,"[0, 0]","87th Congress, 1st Session. House Document No. 247. The"
body,"[2, 50, 0, 1, 0, 0, 3, 0, 0, 0, 0]","87th Congress, 1st Session. House Document No. 247. The"
gentleman,"[173, 0, 0, 6, 1]","87th Congress, 1st Session. House Document No. 247. The"
through,"[125, 32, 0, 0]","87th Congress, 1st Session. House Document No. 247. The"
thing,"[29, 53, 0]","87th Congress, 1st Session. House Document No. 247. The"
campaigns,"[1, 11, 0, 0, 18, 10, 16, 0, 43, 4, 11, 0, 0, 0, 8, 10]","87th Congress, 1st Session. House Document No. 247. The"
immense,"[7, 2, 0, 0]","87th Congress, 1st Session. House Document No. 247. The"
Americans,"[0, 39, 0]","87th Congress, 1st Session. House Document No. 247. The"
helpful,[3],"87th Congress, 1st Session. House Document No. 247. The"
no,"[50, 0, 266, 0, 0]","87th Congress, 1st Session. House Document No. 247. The"
words,"[0, 0, 4, 3, 7, 0, 0, 0, 4, 0, 1, 0, 2, 18, 0, 1, 0, 0, 0, 1, 11, 0, 0, 37, 1, 2, 0, 25, 0, 2, 4, 0, 3, 1, 0, 0]","87th Congress, 1st Session. House Document No. 247. The"
afford,"[10, 51, 6, 38]","87th Congress, 1st Session. House Document No. 247. The"
There,"[0, 0, 0, 0, 0, 276]","87th Congress, 1st Session. House Document No. 247. The"
times,"[29, 0, 0, 1, 0, 0, 1, 3, 0, 188, 0]","87th Congress, 1st Session. House Document No. 247. The"
home,"[74, 0, 52, 0, 0, 0, 0, 72, 8, 1, 0, 3, 0, 0, 0, 4, 54, 0, 3, 3]","87th Congress, 1st Session. House Document No. 247. The"
adversity,"[1, 1, 0]","87th Congress, 1st Session. House Document No. 247. The"
giant,"[0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0]","87th Congress, 1st Session. House Document No. 247. The"
Texas,"[0, 7, 0]","87th Congress, 1st Session. House Document No. 247. The"
presidential,[0],"87th Congress, 1st Session. House Document No. 247. The"
loved,"[0, 1, 0, 0, 3, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 49, 4, 0, 129, 0]","87th Congress, 1st Session. House Document No. 247. The"
long,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109]","87th Congress, 1st Session. House Document No. 247. The"
outstanding,"[3, 5, 0, 4, 3, 0, 0, 61]","87th Congress, 1st Session. House Document No. 247. The"
proves,"[1, 15, 44, 3, 2, 8, 0, 3, 22, 10, 0, 18, 1, 7, 0, 3, 0, 0, 0, 0]","87th Congress, 1st Session. House Document No. 247. The"
