w,vector_uso
memorial,"[0, 1, 1, 0]",A Wreath for Garibaldi
Vatican,"[0, 0]",A Wreath for Garibaldi
sentimental,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A Wreath for Garibaldi
like,"[17, 176, 5, 2, 0, 21, 88, 1, 0, 15, 0]",A Wreath for Garibaldi
either,[29],A Wreath for Garibaldi
new,"[0, 36, 12, 92, 3, 0, 1, 5, 38, 4, 4]",A Wreath for Garibaldi
seen,"[13, 6, 1, 0, 8, 0, 11, 1, 0, 4, 22, 0, 0, 59, 0, 15, 0, 4, 10, 4, 0, 0, 8, 3, 0, 12, 2, 0, 17, 0, 0, 7, 0, 0, 17, 1, 3, 55, 0, 0, 0, 2, 7, 0, 20, 38, 0, 0, 0, 6, 4, 49, 5, 102, 19]",A Wreath for Garibaldi
treatment,"[6, 8, 1, 2, 4]",A Wreath for Garibaldi
Day,"[56, 0, 0, 1, 0, 0, 0, 1, 7, 0, 0, 0]",A Wreath for Garibaldi
into,[],A Wreath for Garibaldi
small,"[1, 4, 0, 99, 4, 4, 20, 67, 3, 0, 0, 0, 0]",A Wreath for Garibaldi
I,"[0, 5, 24, 29, 0, 786, 3, 321, 0, 1, 0]",A Wreath for Garibaldi
most,"[23, 0, 0, 18, 237, 66, 3, 104, 0]",A Wreath for Garibaldi
30th,"[0, 0]",A Wreath for Garibaldi
station,"[7, 10, 72, 14]",A Wreath for Garibaldi
So,"[0, 3, 12, 22, 0, 17, 0, 177, 0, 228, 0, 0]",A Wreath for Garibaldi
sculptor,"[0, 1, 0, 0, 0]",A Wreath for Garibaldi
Linz,"[0, 0]",A Wreath for Garibaldi
shot,"[0, 3, 0, 2, 0, 0, 0, 0, 2, 0, 12, 3, 21, 0, 3, 1, 0, 5, 3, 5, 15, 2, 8, 0, 0, 1, 3, 5, 0, 5, 0, 0, 0, 1, 0, 0, 0, 3, 0, 12, 1, 0, 0, 2, 1, 0, 0, 1, 0, 0, 1, 0, 80, 0, 0]",A Wreath for Garibaldi
Pickett's,[],A Wreath for Garibaldi
been,"[12, 1, 11, 722, 6, 0, 26, 0, 21, 0, 6, 3]",A Wreath for Garibaldi
April,"[0, 1]",A Wreath for Garibaldi
march,"[0, 0, 0, 1, 0, 1, 6, 0, 0, 6, 0, 3, 0, 3, 0, 1, 0, 21, 0, 0, 12]",A Wreath for Garibaldi
end,"[27, 51, 0, 3, 18, 83, 7, 3, 0, 69, 2, 3, 0, 0, 0, 4, 0, 7]",A Wreath for Garibaldi
down,"[1, 13, 0, 0, 32, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 146, 0, 0, 1, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A Wreath for Garibaldi
feel,"[37, 2, 6, 49, 0, 6, 40, 8, 0, 55, 23, 14, 0, 59]",A Wreath for Garibaldi
waiting,"[10, 0, 17, 0, 0, 0, 15, 0, 59]",A Wreath for Garibaldi
ones,"[5, 24, 29, 786, 321, 1]",A Wreath for Garibaldi
Southerners,[2],A Wreath for Garibaldi
straight,"[0, 16, 10, 0, 24, 0, 0, 0, 1, 0, 1, 0, 12, 4, 0, 16, 8]",A Wreath for Garibaldi
rows,"[2, 0, 0, 0, 74, 1, 0, 25]",A Wreath for Garibaldi
known,"[0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 0, 26, 2, 0, 0, 49, 1, 8, 0, 0, 0, 0, 3, 0, 24, 0, 0, 0, 129, 0, 0, 49]",A Wreath for Garibaldi
A,"[0, 147, 0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0]",A Wreath for Garibaldi
city,"[0, 44, 0]",A Wreath for Garibaldi
Rottosei,[],A Wreath for Garibaldi
'',[],A Wreath for Garibaldi
himself,[],A Wreath for Garibaldi
publishers,"[0, 0, 0, 0, 0]",A Wreath for Garibaldi
commemorated,"[19, 0, 10, 1, 0, 0, 0, 15]",A Wreath for Garibaldi
escape,"[7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 13, 0, 43, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A Wreath for Garibaldi
Sky,"[0, 16, 3, 2]",A Wreath for Garibaldi
paid,"[0, 19, 0, 6, 0, 8, 6, 51, 0, 3, 0, 0, 2, 0]",A Wreath for Garibaldi
top,"[0, 29, 0, 1, 0, 0, 0, 1, 0, 3, 8, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 12, 0, 0, 0, 0, 0, 0]",A Wreath for Garibaldi
Excuse,"[0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 7, 0, 0, 3, 1, 0]",A Wreath for Garibaldi
wreaths,"[0, 0, 0, 0, 2]",A Wreath for Garibaldi
dead,"[0, 0, 0, 3, 27, 20, 23, 0, 2, 28, 9, 1, 8, 0, 4, 0]",A Wreath for Garibaldi
talked,"[0, 0, 0, 0, 0, 1, 0, 0, 14, 4, 0, 2, 0, 0, 26, 14, 0]",A Wreath for Garibaldi
would,[],A Wreath for Garibaldi
grinned,[2],A Wreath for Garibaldi
living,"[0, 0, 33, 0, 0, 5, 0, 0, 2, 6, 26, 13, 90, 1, 0, 0, 98, 0, 0, 0, 83, 129, 0, 35, 722, 49]",A Wreath for Garibaldi
And,[],A Wreath for Garibaldi
walked,"[17, 0]",A Wreath for Garibaldi
across,"[36, 0, 1]",A Wreath for Garibaldi
mispronunciation,[0],A Wreath for Garibaldi
flowers,"[0, 1, 1, 0, 4, 0, 0, 1]",A Wreath for Garibaldi
as,"[0, 0, 0, 0, 0, 69, 828, 0, 0, 0, 2793, 0, 0, 0, 0, 0, 147, 0, 4, 0, 0, 0]",A Wreath for Garibaldi
book,"[0, 0, 2, 0, 17, 0, 0, 19, 12, 0, 1, 4, 4, 0, 0, 11, 0, 0, 0, 0, 0, 3, 0, 0, 0]",A Wreath for Garibaldi
favore,[],A Wreath for Garibaldi
fool,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 10, 0, 0, 0, 0, 0, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1]",A Wreath for Garibaldi
afraid,[10],A Wreath for Garibaldi
talking,"[0, 0, 0, 0, 0, 1, 0, 0, 14, 14, 4, 0, 2, 0, 0, 26, 14, 0]",A Wreath for Garibaldi
Around,"[2, 0, 3, 0, 0, 237, 6, 0, 85, 182]",A Wreath for Garibaldi
coast,"[0, 6, 0, 1, 0, 0]",A Wreath for Garibaldi
they,[],A Wreath for Garibaldi
desk,[7],A Wreath for Garibaldi
silences,"[0, 9, 11, 103, 0, 0, 0, 0, 0, 3]",A Wreath for Garibaldi
you,[],A Wreath for Garibaldi
doesn't,[],A Wreath for Garibaldi
married,"[2, 0, 0, 0, 0, 0, 0, 16, 1, 0, 3, 0]",A Wreath for Garibaldi
When,[],A Wreath for Garibaldi
script,"[12, 0, 1, 50, 0]",A Wreath for Garibaldi
good,"[0, 25, 5, 82, 0, 24, 8, 0, 7, 0, 0, 0, 115, 8, 1, 134, 0, 7, 8, 0, 9, 23, 4, 1, 84, 0, 3, 2, 0, 0, 3, 0, 1, 2, 5, 0, 1]",A Wreath for Garibaldi
cup,"[0, 1, 0, 0]",A Wreath for Garibaldi
Maybe,"[13, 18, 0, 13, 0, 0]",A Wreath for Garibaldi
at,"[35, 0, 0, 580]",A Wreath for Garibaldi
view,"[8, 7, 4, 0, 11, 0, 0, 4, 1, 0, 10, 1, 0, 4, 12, 67, 17, 0, 12, 19, 3, 18, 1, 2, 102]",A Wreath for Garibaldi
disappointment,"[0, 2, 0]",A Wreath for Garibaldi
bugeyed,[],A Wreath for Garibaldi
much,"[0, 47, 0, 0, 0, 111, 11, 6]",A Wreath for Garibaldi
took,"[5, 0, 0, 0, 1, 21, 0, 0, 0, 0, 22, 3, 2, 6, 7, 0, 24, 0, 3, 1, 0, 0, 0, 1, 20, 4, 4, 3, 1, 10, 6, 1, 4, 7, 2, 7, 0, 5, 14, 9, 0, 113, 5, 5, 9, 2, 0, 11, 0, 18, 1, 17, 16, 0, 5, 5, 10, 20, 54, 1, 1, 6, 123, 80, 492, 3]",A Wreath for Garibaldi
decide,"[1, 6, 0, 4, 0, 1]",A Wreath for Garibaldi
laughed,"[10, 0, 0]",A Wreath for Garibaldi
their,[],A Wreath for Garibaldi
our,[],A Wreath for Garibaldi
if,[],A Wreath for Garibaldi
the,[],A Wreath for Garibaldi
suffer,"[0, 0, 0, 2, 13, 0, 0, 5, 16, 0, 3, 0, 6, 0, 19, 123, 9, 492, 19]",A Wreath for Garibaldi
There,"[0, 0, 0, 0, 276, 0]",A Wreath for Garibaldi
reasons,"[4, 0, 1, 21, 0, 5, 2, 0, 9, 30, 18]",A Wreath for Garibaldi
which,[],A Wreath for Garibaldi
foot,"[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 9, 0, 8, 0]",A Wreath for Garibaldi
taken,"[5, 0, 0, 0, 1, 21, 0, 0, 0, 0, 22, 3, 2, 6, 7, 0, 24, 0, 3, 1, 0, 0, 0, 1, 20, 4, 4, 3, 1, 10, 6, 1, 4, 7, 2, 7, 0, 5, 14, 9, 0, 113, 5, 5, 9, 2, 3, 0, 11, 0, 18, 1, 17, 16, 0, 5, 5, 10, 20, 54, 1, 1, 6, 123, 28, 80, 492, 3]",A Wreath for Garibaldi
died,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 11, 0, 13, 0, 0, 3, 12, 0, 0, 0, 0]",A Wreath for Garibaldi
(,[],A Wreath for Garibaldi
building,"[0, 6, 113, 0, 0, 3, 0, 8, 0, 10, 9]",A Wreath for Garibaldi
pay,"[0, 19, 0, 6, 0, 51, 6, 5, 0, 0, 1, 3, 0, 5]",A Wreath for Garibaldi
banging,"[2, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 0, 49, 1, 8, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0]",A Wreath for Garibaldi
expensive,[5],A Wreath for Garibaldi
thinking,"[15, 0, 0, 37, 12, 15, 0, 0, 0, 10, 5, 0, 65, 0, 2, 12, 67, 4, 0, 14, 5, 0, 0, 0, 0, 31, 0]",A Wreath for Garibaldi
swam,"[4, 0, 0]",A Wreath for Garibaldi
are,"[0, 12, 1, 11, 722, 6, 0, 26, 0, 21, 479, 0, 6, 3]",A Wreath for Garibaldi
It,"[0, 0]",A Wreath for Garibaldi
Southerner,[2],A Wreath for Garibaldi
France,"[0, 0, 0, 2]",A Wreath for Garibaldi
renamed,[0],A Wreath for Garibaldi
young,"[0, 0, 0, 92, 38, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13]",A Wreath for Garibaldi
over,"[22, 0, 1, 0, 6, 0, 163]",A Wreath for Garibaldi
marble,[0],A Wreath for Garibaldi
any,"[168, 0, 14]",A Wreath for Garibaldi
toppling,"[1, 0, 0]",A Wreath for Garibaldi
before,"[14, 123, 0, 17]",A Wreath for Garibaldi
jackboots,"[0, 0, 0, 0, 0]",A Wreath for Garibaldi
latest,"[4, 11, 0, 0, 33, 30, 15, 0, 1, 1, 0, 0, 10]",A Wreath for Garibaldi
pieces,"[0, 77, 24, 0, 1, 47, 0, 173, 0, 0, 0, 0, 0, 11, 0, 1, 9, 6, 0, 0, 0, 0, 1]",A Wreath for Garibaldi
didn't,[],A Wreath for Garibaldi
hated,"[0, 7, 0, 0, 1, 12, 11]",A Wreath for Garibaldi
every,[49],A Wreath for Garibaldi
finally,"[0, 83, 18, 0, 0, 7, 3, 0, 0]",A Wreath for Garibaldi
off,"[7, 1, 1, 0, 102, 0, 0, 2, 0, 54, 40, 21, 9]",A Wreath for Garibaldi
help,"[1, 0, 7, 19, 41, 1, 3, 3, 9, 0, 0, 0]",A Wreath for Garibaldi
:,[],A Wreath for Garibaldi
lived,"[5, 83, 0, 0, 49, 0, 129, 2, 722, 6, 0, 26, 90, 1, 0, 0]",A Wreath for Garibaldi
heard,"[15, 3, 0, 0, 4, 0, 22, 0, 0, 24, 5, 0, 102]",A Wreath for Garibaldi
more,"[7, 0, 0, 0, 271, 0]",A Wreath for Garibaldi
without,[],A Wreath for Garibaldi
realismo,[],A Wreath for Garibaldi
gave,"[19, 0, 1, 0, 0, 1, 3, 13, 38, 17, 6, 51, 36, 0, 6, 0, 1, 0, 113, 0, 6, 3, 7, 1, 3, 6, 13, 2, 10, 0, 50, 11, 0, 0, 12, 4, 0, 32, 492, 1, 0]",A Wreath for Garibaldi
flat,"[0, 0, 0, 12, 0, 0, 2, 0, 14, 0, 1, 0, 0, 0, 1, 0, 0, 18, 0, 0, 0, 6, 0, 0, 16, 10, 1, 0, 0, 0]",A Wreath for Garibaldi
Is,"[12, 1, 11, 722, 6, 0, 26, 0, 21, 0, 6, 3]",A Wreath for Garibaldi
He,"[2, 486, 0, 1039]",A Wreath for Garibaldi
anonymous,"[3, 0]",A Wreath for Garibaldi
Pavese,[],A Wreath for Garibaldi
ground,"[0, 0, 30, 0, 32, 3, 0, 0, 3, 0, 2, 0, 0, 0, 16, 0, 4, 59, 0, 1, 0, 24, 26, 2, 3, 3, 8, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0]",A Wreath for Garibaldi
other,"[183, 41, 10]",A Wreath for Garibaldi
call,"[0, 0, 2, 0, 0, 7, 0, 12, 0, 4, 0, 8, 31, 1, 5, 1, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6, 0, 3, 25, 11, 0, 10, 0, 0, 9, 0]",A Wreath for Garibaldi
Communists,"[0, 1, 1]",A Wreath for Garibaldi
thus,"[3, 0, 0, 12, 22, 0, 0, 228, 0]",A Wreath for Garibaldi
be,"[4, 12, 1, 0, 11, 722, 6, 0, 26, 0, 0, 21, 0, 6, 3, 0]",A Wreath for Garibaldi
purpose,"[0, 7, 1, 6, 1, 1, 66, 2, 11, 3, 18, 7]",A Wreath for Garibaldi
roof,"[1, 8, 4]",A Wreath for Garibaldi
way,"[3, 0, 8, 27, 8, 0, 15, 6, 9, 123, 0, 31, 2]",A Wreath for Garibaldi
strange,"[7, 12, 9, 5]",A Wreath for Garibaldi
remembered,"[0, 1, 0, 65, 1, 5, 0, 0, 0, 0, 15]",A Wreath for Garibaldi
Little,"[0, 1, 3, 3, 0, 99, 28, 67, 0, 0, 0, 0, 0, 0]",A Wreath for Garibaldi
again,"[0, 74, 0, 0]",A Wreath for Garibaldi
business,"[0, 39, 3, 0, 0, 5, 31, 0, 5, 0, 0, 0, 0, 24, 0, 0]",A Wreath for Garibaldi
writers,"[1, 5]",A Wreath for Garibaldi
Just,"[134, 211, 13, 11, 25, 7, 115, 4, 1, 15, 409, 4, 5, 1, 11, 0]",A Wreath for Garibaldi
few,[71],A Wreath for Garibaldi
show,"[37, 8, 0, 1, 0, 44, 21, 7, 1, 19, 36, 6, 0, 7, 1, 0, 6, 1, 3, 3, 0, 20, 2, 15, 0, 1]",A Wreath for Garibaldi
its,"[0, 0]",A Wreath for Garibaldi
order,"[0, 0, 0, 0, 0, 0, 34, 0, 1, 0, 0, 0, 1, 39, 72, 51, 17, 0, 0, 1, 3, 1, 0, 11, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 70, 0, 0, 1, 21, 0]",A Wreath for Garibaldi
threw,"[6, 0, 17, 0, 0, 9, 0, 0, 0, 51, 1, 6, 0, 1, 113, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 492, 6]",A Wreath for Garibaldi
everything,[],A Wreath for Garibaldi
questioned,"[0, 0, 0, 0, 11, 33, 3]",A Wreath for Garibaldi
slowly,"[21, 16, 5, 0, 0]",A Wreath for Garibaldi
films,"[3, 0, 0, 0, 1, 0, 5, 20, 0, 0, 2, 0, 0, 0, 80, 0]",A Wreath for Garibaldi
gossip,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 3, 0, 4, 0, 9, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A Wreath for Garibaldi
happened,"[0, 0, 0, 1, 12, 0, 0, 0, 0, 0, 3, 55, 17, 0, 0, 3, 14]",A Wreath for Garibaldi
dialect,"[0, 0, 0]",A Wreath for Garibaldi
cover,"[0, 0, 29, 0, 2, 1, 0, 0, 0, 0, 6, 8, 0, 4, 4, 0, 8, 0, 6, 0, 0, 1, 2, 0, 162, 0, 1, 0, 0, 2, 0, 0, 1, 0, 6, 0, 0, 0, 13, 0, 3, 5, 20, 3, 0, 0, 3, 0, 10, 1, 1]",A Wreath for Garibaldi
hard,"[0, 0, 0, 7, 33, 2, 0, 18, 0, 5, 0, 0, 0, 7, 0, 2, 25, 17, 0, 0, 0, 0, 0, 0]",A Wreath for Garibaldi
because,[],A Wreath for Garibaldi
U.S.,"[0, 0, 0, 0, 0, 17, 14, 0, 0, 0, 0]",A Wreath for Garibaldi
early,"[183, 0, 41, 0, 0, 0, 10]",A Wreath for Garibaldi
We,[],A Wreath for Garibaldi
adventurous,"[0, 0]",A Wreath for Garibaldi
barrel,"[2, 0, 0, 11, 1, 0]",A Wreath for Garibaldi
eight,"[0, 0, 0, 0, 0, 12, 0, 13, 0, 0, 0, 0, 2]",A Wreath for Garibaldi
people,"[0, 2, 0, 0, 0, 102, 4]",A Wreath for Garibaldi
or,"[0, 0, 1, 1, 0, 0, 0]",A Wreath for Garibaldi
street,[23],A Wreath for Garibaldi
What,[],A Wreath for Garibaldi
sort,"[1, 0, 18, 2, 0, 5, 0, 57, 10, 39, 0, 0, 12]",A Wreath for Garibaldi
often,"[3, 47, 0, 0, 0, 1, 111]",A Wreath for Garibaldi
spectacular,"[5, 3, 4, 3, 6, 0]",A Wreath for Garibaldi
rise,"[0, 1, 8, 3, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 12, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 4, 7, 0, 4, 0, 12, 0, 0, 18]",A Wreath for Garibaldi
barbed,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 2, 0, 0, 0]",A Wreath for Garibaldi
coffee,"[1, 0, 0, 10, 1, 1, 0, 0, 0]",A Wreath for Garibaldi
Austria,"[1, 0, 0]",A Wreath for Garibaldi
Italians,[2],A Wreath for Garibaldi
pamphlets,"[0, 0, 0, 2, 0, 0]",A Wreath for Garibaldi
special,"[20, 10, 1, 6, 5, 0, 24]",A Wreath for Garibaldi
history,"[31, 40, 13, 0]",A Wreath for Garibaldi
here,"[96, 12, 0, 0]",A Wreath for Garibaldi
