w,vector_uso
Some,"[2, 0, 182, 6, 85, 0, 0, 0, 237]",America's Secret Poison Gas Tragedy
Maddalena,[],America's Secret Poison Gas Tragedy
here,"[96, 12, 0, 0]",America's Secret Poison Gas Tragedy
bombs,"[6, 0, 0, 0, 0, 0, 3, 0]",America's Secret Poison Gas Tragedy
poison,"[0, 0, 2, 0]",America's Secret Poison Gas Tragedy
post,"[16, 1, 14, 7, 43, 0, 10, 0, 72, 0, 0, 1, 0, 19, 2, 0, 9, 1, 0, 0, 0, 6, 0, 0]",America's Secret Poison Gas Tragedy
evident,"[0, 7, 1, 3, 4, 9, 0, 0]",America's Secret Poison Gas Tragedy
categorically,"[0, 2, 2]",America's Secret Poison Gas Tragedy
wrapping,"[0, 7, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0]",America's Secret Poison Gas Tragedy
Army,"[0, 0, 3, 0, 7, 0, 0, 0]",America's Secret Poison Gas Tragedy
desperation,"[0, 1]",America's Secret Poison Gas Tragedy
right,"[1, 0, 0, 0, 4, 84, 10, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 134, 3, 0, 0, 9, 8, 0, 0, 3, 0, 4]",America's Secret Poison Gas Tragedy
unerring,"[0, 0, 0]",America's Secret Poison Gas Tragedy
silhouette,[0],America's Secret Poison Gas Tragedy
firing,"[2, 0, 0, 1, 0, 0, 1, 3, 0, 1, 2, 0, 0, 29, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 1, 7, 0, 1, 0, 0, 235, 0, 7, 0]",America's Secret Poison Gas Tragedy
completely,"[2, 13, 28, 24, 6, 352, 2]",America's Secret Poison Gas Tragedy
as,"[2793, 69, 0, 828, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",America's Secret Poison Gas Tragedy
A.,[],America's Secret Poison Gas Tragedy
came,"[84, 0, 42, 12, 0, 0, 3, 1, 123, 11, 3, 3, 163, 0, 0, 0, 0, 20, 22, 0]",America's Secret Poison Gas Tragedy
fire,"[0, 0, 0, 0, 1, 3, 0, 0, 1, 2, 0, 0, 29, 0, 0, 0, 0, 1, 3, 0, 9, 1, 1, 7, 0, 1, 235, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0]",America's Secret Poison Gas Tragedy
