w,vector_uso
Some,"[2, 0, 182, 6, 85, 0, 0, 0, 237]","An Act for International Development, A Summary Presentation"
experience,"[49, 7, 0, 123, 102, 492, 37, 129, 26]","An Act for International Development, A Summary Presentation"
sovereignty,"[1, 0]","An Act for International Development, A Summary Presentation"
dishonesty,"[0, 0]","An Act for International Development, A Summary Presentation"
completely,"[2, 13, 28, 24, 6, 352, 2]","An Act for International Development, A Summary Presentation"
success,"[0, 10, 0, 0]","An Act for International Development, A Summary Presentation"
self-help,[0],"An Act for International Development, A Summary Presentation"
insist,"[0, 3, 3, 0]","An Act for International Development, A Summary Presentation"
as,"[2793, 69, 0, 828, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]","An Act for International Development, A Summary Presentation"
kind,"[18, 39, 0, 10, 2, 57]","An Act for International Development, A Summary Presentation"
actions,"[1, 0, 12, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 52, 8, 0, 0, 0]","An Act for International Development, A Summary Presentation"
expansion,"[2, 0, 1, 1]","An Act for International Development, A Summary Presentation"
little,"[3, 3, 0, 28, 0, 99, 1, 0, 0, 0, 0, 0, 0, 67]","An Act for International Development, A Summary Presentation"
design,"[0, 15, 11, 2, 0, 3, 0, 18, 7, 8, 0, 1, 0, 6, 0, 22]","An Act for International Development, A Summary Presentation"
at,"[0, 0, 580, 35]","An Act for International Development, A Summary Presentation"
Second,"[1, 0, 45, 0, 0, 0, 1, 5, 0, 0, 0, 40, 1, 0, 13, 0, 0, 0, 24, 0, 162]","An Act for International Development, A Summary Presentation"
limits,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 7, 5, 1, 1, 0, 46]","An Act for International Development, A Summary Presentation"
tough,"[0, 3, 0, 0, 0, 2, 1, 1, 0, 0, 2, 7, 0, 1, 19, 0, 33, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]","An Act for International Development, A Summary Presentation"
In,"[3, 0, 0, 2, 1, 152, 2255, 0, 0, 0]","An Act for International Development, A Summary Presentation"
consumption,"[0, 0, 0, 2, 0, 0, 66, 0, 0, 0, 0, 1, 0, 0]","An Act for International Development, A Summary Presentation"
be,"[6, 21, 6, 0, 722, 0, 11, 0, 4, 3, 26, 1, 12, 0, 0, 0]","An Act for International Development, A Summary Presentation"
political,[15],"An Act for International Development, A Summary Presentation"
persuade,"[9, 1, 0]","An Act for International Development, A Summary Presentation"
which,[],"An Act for International Development, A Summary Presentation"
relied,"[1, 7, 7, 0]","An Act for International Development, A Summary Presentation"
honest,"[15, 0, 134, 24, 9, 1, 2]","An Act for International Development, A Summary Presentation"
periods,"[14, 37, 0, 0, 0, 2, 0, 0, 0, 18, 0, 0, 0]","An Act for International Development, A Summary Presentation"
because,[],"An Act for International Development, A Summary Presentation"
),[],"An Act for International Development, A Summary Presentation"
since,[],"An Act for International Development, A Summary Presentation"
leadership,"[5, 9, 11]","An Act for International Development, A Summary Presentation"
cases,"[16, 0, 0, 0, 35, 0, 0, 1, 0, 0, 18, 23, 0, 7, 0, 6, 0, 0, 0, 0, 25, 10, 0, 8, 0, 0, 0, 12, 0, 62, 0, 0]","An Act for International Development, A Summary Presentation"
hand,"[0, 0, 0, 50, 0, 0, 20, 0, 12, 0, 1, 51, 0, 1, 11, 0]","An Act for International Development, A Summary Presentation"
described,"[3, 24, 0, 6, 31, 0, 14, 8, 9, 6, 4, 0, 3, 2, 13]","An Act for International Development, A Summary Presentation"
plants,"[22, 13, 1, 0, 0, 0, 3, 1, 46, 59, 0, 0, 1, 0]","An Act for International Development, A Summary Presentation"
spur,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","An Act for International Development, A Summary Presentation"
analysis,"[7, 4, 0, 0]","An Act for International Development, A Summary Presentation"
detailed,"[5, 3, 0, 2]","An Act for International Development, A Summary Presentation"
trained,"[1, 2, 69, 0, 80, 7, 12, 0, 5, 0, 3, 17, 0, 16, 1, 0, 6, 6, 3, 0]","An Act for International Development, A Summary Presentation"
will,"[0, 0, 32, 218, 0]","An Act for International Development, A Summary Presentation"
advanced,"[18, 0, 0, 0, 0, 0, 0, 3, 6, 0, 5, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 16, 3, 7, 0, 25, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4]","An Act for International Development, A Summary Presentation"
firms,"[0, 0, 11, 74]","An Act for International Development, A Summary Presentation"
alter,"[0, 0, 0, 3, 34, 5, 0, 0, 0]","An Act for International Development, A Summary Presentation"
but,"[409, 25, 115, 211, 11]","An Act for International Development, A Summary Presentation"
construct,"[0, 2, 9, 0, 0, 1, 7, 1, 113]","An Act for International Development, A Summary Presentation"
groups,"[30, 0, 0, 0, 0, 1]","An Act for International Development, A Summary Presentation"
hope,"[22, 16, 3, 9, 0, 7, 0, 0]","An Act for International Development, A Summary Presentation"
external,"[29, 2, 5, 0]","An Act for International Development, A Summary Presentation"
come,"[84, 0, 0, 5, 42, 12, 0, 0, 0, 3, 1, 123, 11, 3, 3, 163, 0, 0, 0, 0, 0, 0, 20, 22, 0]","An Act for International Development, A Summary Presentation"
ourselves,[],"An Act for International Development, A Summary Presentation"
business,"[5, 31, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 5, 3, 0]","An Act for International Development, A Summary Presentation"
Dams,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","An Act for International Development, A Summary Presentation"
conditions,"[0, 7, 15, 8, 7, 0, 0, 5, 1, 17, 13, 0, 8, 0, 2, 0, 0, 2, 6]","An Act for International Development, A Summary Presentation"
part,"[0, 16, 4, 12, 4, 47, 6, 0, 0, 0, 17, 5, 1, 0, 0, 0, 0, 1, 19, 7, 0, 0, 3, 3, 6, 0, 9, 11, 12, 0, 5, 6, 13, 30, 1, 0]","An Act for International Development, A Summary Presentation"
complex,"[15, 0, 0, 0]","An Act for International Development, A Summary Presentation"
2,"[0, 0, 26, 0, 158]","An Act for International Development, A Summary Presentation"
military,"[0, 0, 0, 0, 7]","An Act for International Development, A Summary Presentation"
decade,"[20, 0, 0, 18, 0, 3, 0]","An Act for International Development, A Summary Presentation"
adopt,"[0, 0, 0, 11, 0, 0, 80, 0, 2, 0, 0, 0, 9, 0, 3]","An Act for International Development, A Summary Presentation"
(,[],"An Act for International Development, A Summary Presentation"
establish,"[13, 8, 51, 3, 113, 0, 0, 21, 59, 3, 44, 3, 1, 9, 1, 0, 0, 0, 1]","An Act for International Development, A Summary Presentation"
call,"[0, 1, 0, 0, 0, 0, 7, 0, 0, 1, 25, 11, 0, 2, 31, 4, 3, 0, 0, 0, 2, 0, 9, 12, 0, 0, 0, 4, 6, 5, 0, 0, 10, 0, 0, 8, 0]","An Act for International Development, A Summary Presentation"
toward,[],"An Act for International Development, A Summary Presentation"
might,"[81, 58, 0]","An Act for International Development, A Summary Presentation"
definition,[4],"An Act for International Development, A Summary Presentation"
identification,"[0, 2, 4]","An Act for International Development, A Summary Presentation"
point,"[0, 0, 6, 0, 0, 0, 0, 14, 0, 73, 72, 0, 4, 0, 14, 0, 37, 3, 0, 0, 1, 18, 44, 5, 0, 0, 0, 0, 0, 16, 0, 0, 2, 0, 11, 22, 7, 1, 8, 2, 0, 0, 0, 6, 0, 3, 0]","An Act for International Development, A Summary Presentation"
peoples,"[0, 2, 0, 4, 0, 0, 2, 102]","An Act for International Development, A Summary Presentation"
reduction,"[0, 8, 0, 3, 0, 0]","An Act for International Development, A Summary Presentation"
use,"[7, 0, 6, 0, 0, 0, 9, 11, 0, 66, 6, 5, 7, 3, 0, 0, 0, 1, 0, 1, 1, 0, 2]","An Act for International Development, A Summary Presentation"
this,[],"An Act for International Development, A Summary Presentation"
made,"[0, 9, 0, 0, 1, 1, 1, 0, 0, 80, 0, 1, 8, 0, 51, 5, 3, 0, 113, 0, 0, 0, 0, 18, 123, 31, 0, 0, 0, 9, 0, 6, 4, 0, 4, 117, 11, 163, 0, 0, 26, 0, 0, 0, 492, 9, 1, 0, 21, 0, 0, 0, 0, 0, 16, 0, 17, 127, 39, 0, 0, 0, 0, 0, 21, 1, 0, 0]","An Act for International Development, A Summary Presentation"
lists,"[2, 1, 1, 31, 1, 2, 42, 21, 2]","An Act for International Development, A Summary Presentation"
internal,"[0, 54, 3, 4, 3, 0, 8]","An Act for International Development, A Summary Presentation"
occur,"[0, 84, 0, 0, 12, 0, 0, 0, 14, 3]","An Act for International Development, A Summary Presentation"
enter,"[0, 0, 2, 0, 19, 0, 0, 1, 3, 0, 12, 0, 0, 0, 0, 22, 2, 0, 0, 0]","An Act for International Development, A Summary Presentation"
applying,"[0, 7, 0, 0, 17, 66, 6, 0, 1, 0, 51, 0, 0]","An Act for International Development, A Summary Presentation"
equitably,[0],"An Act for International Development, A Summary Presentation"
energies,"[0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 1, 7]","An Act for International Development, A Summary Presentation"
remake,"[0, 0, 0, 0, 0]","An Act for International Development, A Summary Presentation"
waste,"[0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 6, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]","An Act for International Development, A Summary Presentation"
performing,"[6, 163, 5, 0, 0, 2, 1]","An Act for International Development, A Summary Presentation"
accurate,"[3, 0, 2]","An Act for International Development, A Summary Presentation"
stage,"[22, 0, 0, 4, 37, 6, 36, 14, 7, 11, 0]","An Act for International Development, A Summary Presentation"
.,[],"An Act for International Development, A Summary Presentation"
sixties,"[0, 0, 3, 0, 2, 0]","An Act for International Development, A Summary Presentation"
work,"[0, 0, 0, 0, 0, 0, 6, 12, 0, 3, 113, 0, 0, 12, 9, 0, 24, 18, 0, 0, 0, 2, 3, 0, 1, 5, 37, 13, 0, 0, 43, 0, 22, 1, 127, 90, 39, 1, 6, 23, 0]","An Act for International Development, A Summary Presentation"
unwarranted,"[0, 0, 0, 0, 10, 0, 2, 0, 0, 0, 0, 1]","An Act for International Development, A Summary Presentation"
communications,"[0, 3, 0, 0]","An Act for International Development, A Summary Presentation"
perspective,"[19, 4, 0, 17]","An Act for International Development, A Summary Presentation"
systems,"[8, 0, 1, 23, 0, 4]","An Act for International Development, A Summary Presentation"
result,"[0, 8, 10, 6, 16, 1, 0, 6, 0, 32, 8, 25, 20, 27, 0, 0, 27, 5]","An Act for International Development, A Summary Presentation"
interest,"[5, 1, 8, 1, 3, 0, 0, 33, 2, 0, 2, 0]","An Act for International Development, A Summary Presentation"
concentrated,"[6, 0, 23, 2, 33, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 2, 5]","An Act for International Development, A Summary Presentation"
formulation,"[0, 0, 14, 4, 0]","An Act for International Development, A Summary Presentation"
supplier,"[0, 0]","An Act for International Development, A Summary Presentation"
few,[71],"An Act for International Development, A Summary Presentation"
undertake,"[7, 6, 0, 0, 2, 1, 0, 0]","An Act for International Development, A Summary Presentation"
transportation,"[3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]","An Act for International Development, A Summary Presentation"
power,"[10, 16, 58, 0, 0, 0, 6, 0, 0, 81, 0, 0, 0, 14, 0, 0, 0, 12, 0, 0, 0]","An Act for International Development, A Summary Presentation"
designed,"[2, 15, 12, 18, 6, 0]","An Act for International Development, A Summary Presentation"
must,"[0, 0, 115]","An Act for International Development, A Summary Presentation"
managerial,[0],"An Act for International Development, A Summary Presentation"
foreign,"[7, 7, 12, 0]","An Act for International Development, A Summary Presentation"
capacity,"[0, 7, 1, 5, 0, 0]","An Act for International Development, A Summary Presentation"
investment,"[0, 0, 1, 8]","An Act for International Development, A Summary Presentation"
only,"[409, 25, 3, 4, 115, 13, 3, 1, 0, 211, 17, 3, 0, 0, 11]","An Act for International Development, A Summary Presentation"
B,"[0, 0, 0, 0, 9, 9, 0, 0, 0, 0, 0, 0, 1, 0]","An Act for International Development, A Summary Presentation"
influence,"[127, 0, 1, 0, 2, 12, 1, 13, 3]","An Act for International Development, A Summary Presentation"
related,"[5, 0, 0, 3, 0, 3, 11, 0, 1, 0, 0, 2, 1, 9, 0, 0, 0, 0]","An Act for International Development, A Summary Presentation"
press,"[1, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8, 6, 2, 0, 0, 0, 1, 5, 11, 10, 0, 0, 1, 1, 4, 0, 0, 0, 0, 1, 0, 0, 4, 0, 5, 0, 10, 0]","An Act for International Development, A Summary Presentation"
financial,"[0, 2]","An Act for International Development, A Summary Presentation"
continuation,"[0, 0, 1, 0, 0, 0, 0, 0]","An Act for International Development, A Summary Presentation"
in,"[3, 0, 0, 2, 1, 152, 2255, 0, 0, 0]","An Act for International Development, A Summary Presentation"
ministries,[1],"An Act for International Development, A Summary Presentation"
their,[],"An Act for International Development, A Summary Presentation"
if,[],"An Act for International Development, A Summary Presentation"
corruption,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 1]","An Act for International Development, A Summary Presentation"
measures,"[0, 12, 0, 0, 0, 1, 0, 4, 10, 12, 0, 23, 1, 0, 0, 1, 0, 17, 1, 12, 0, 0, 8, 0, 1, 4]","An Act for International Development, A Summary Presentation"
most,"[0, 104, 18, 0, 66, 0, 3, 23, 237]","An Act for International Development, A Summary Presentation"
Aid,"[3, 41, 7, 17, 0, 0, 1, 0, 21]","An Act for International Development, A Summary Presentation"
period,"[14, 37, 0, 0, 0, 2, 0, 0, 0, 18, 0, 0, 0]","An Act for International Development, A Summary Presentation"
would,[],"An Act for International Development, A Summary Presentation"
application,"[0, 7, 0, 0, 0, 3, 1, 0]","An Act for International Development, A Summary Presentation"
wise,"[0, 5, 0, 0, 4, 0, 0, 5, 0, 1, 0, 0, 2, 0, 0]","An Act for International Development, A Summary Presentation"
before,"[14, 0, 123, 17]","An Act for International Development, A Summary Presentation"
marginal,"[1, 5, 0, 1]","An Act for International Development, A Summary Presentation"
diplomacy,"[0, 1, 0, 0, 0, 1, 0]","An Act for International Development, A Summary Presentation"
networks,"[0, 2, 0, 1, 0, 3, 0]","An Act for International Development, A Summary Presentation"
sure,"[9, 42, 16, 0, 0, 42, 0, 0, 0, 2]","An Act for International Development, A Summary Presentation"
potential,"[1, 6, 0, 0, 0, 0, 41, 13, 0]","An Act for International Development, A Summary Presentation"
To,[],"An Act for International Development, A Summary Presentation"
regimes,"[3, 13, 3, 0]","An Act for International Development, A Summary Presentation"
ways,"[27, 31, 3, 8, 0, 6, 0, 0, 12, 15, 2, 9, 0, 123, 8]","An Act for International Development, A Summary Presentation"
home,"[0, 72, 3, 0, 0, 52, 4, 3, 1, 8, 0, 0, 0, 54, 0, 0, 0, 3, 74, 0]","An Act for International Development, A Summary Presentation"
exports,"[2, 0]","An Act for International Development, A Summary Presentation"
for,[],"An Act for International Development, A Summary Presentation"
posture,"[0, 19, 6, 0, 18, 8, 1, 0, 3, 10, 0, 0, 0]","An Act for International Development, A Summary Presentation"
country,"[0, 49, 32, 0, 11, 32, 28, 0, 0]","An Act for International Development, A Summary Presentation"
expenditures,"[0, 0, 0, 2, 0, 2, 0]","An Act for International Development, A Summary Presentation"
worst,"[53, 1, 0, 0, 0, 0, 0, 7, 19, 0, 0, 2, 5, 0, 1, 6, 5, 0, 0, 1]","An Act for International Development, A Summary Presentation"
service,"[19, 1, 0, 41, 0, 0, 0, 3, 9, 0, 0, 0, 0, 0, 0, 0]","An Act for International Development, A Summary Presentation"
thrust,"[1, 0, 0, 6, 5, 14, 0, 11, 4, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 5, 0]","An Act for International Development, A Summary Presentation"
both,[76],"An Act for International Development, A Summary Presentation"
proper,"[9, 84]","An Act for International Development, A Summary Presentation"
budgeting,[1],"An Act for International Development, A Summary Presentation"
blunt,"[1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0]","An Act for International Development, A Summary Presentation"
given,"[7, 0, 0, 6, 51, 1, 0, 4, 0, 3, 113, 0, 3, 36, 1, 0, 13, 0, 2, 6, 1, 0, 11, 38, 0, 6, 2, 492, 32, 1, 19, 0, 10, 0, 0, 0, 17, 1, 50, 0, 0, 41, 3, 12, 13, 6, 2, 2, 1]","An Act for International Development, A Summary Presentation"
pro-Western,[],"An Act for International Development, A Summary Presentation"
costs,"[21, 1, 0, 17, 722, 9]","An Act for International Development, A Summary Presentation"
extent,[9],"An Act for International Development, A Summary Presentation"
imposed,"[0, 0, 0, 0, 1, 0, 8]","An Act for International Development, A Summary Presentation"
recipients,"[0, 0, 0]","An Act for International Development, A Summary Presentation"
those,[],"An Act for International Development, A Summary Presentation"
ones,"[786, 5, 29, 24, 321, 1]","An Act for International Development, A Summary Presentation"
United,"[3, 5, 2, 4, 0, 3, 5, 0, 0, 0]","An Act for International Development, A Summary Presentation"
manner,"[3, 8, 6, 0, 15, 123]","An Act for International Development, A Summary Presentation"
next,"[20, 0, 37, 0, 0, 47]","An Act for International Development, A Summary Presentation"
range,"[1, 0, 0, 1, 2, 0, 0, 0, 72, 21, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 34, 11, 0, 1, 3, 43, 7, 0, 0, 4, 0, 17, 0, 4, 3, 0, 3, 0, 6, 0, 2, 0, 12]","An Act for International Development, A Summary Presentation"
