w,vector_uso
numerous,"[6, 0]","Annual Report of Year Ending June 30, 1961"
like,"[17, 176, 5, 2, 0, 21, 88, 1, 0, 15, 0]","Annual Report of Year Ending June 30, 1961"
either,[29],"Annual Report of Year Ending June 30, 1961"
new,"[0, 36, 12, 92, 3, 0, 1, 5, 38, 4, 4]","Annual Report of Year Ending June 30, 1961"
capacities,"[1, 0, 7, 5, 0, 0]","Annual Report of Year Ending June 30, 1961"
into,[],"Annual Report of Year Ending June 30, 1961"
laboratories,"[0, 0, 0, 4, 0, 0, 0]","Annual Report of Year Ending June 30, 1961"
review,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1]","Annual Report of Year Ending June 30, 1961"
most,"[23, 0, 0, 18, 237, 66, 3, 104, 0]","Annual Report of Year Ending June 30, 1961"
remember,"[0, 1, 0, 65, 1, 5, 0, 0, 0, 0, 15]","Annual Report of Year Ending June 30, 1961"
collects,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0]","Annual Report of Year Ending June 30, 1961"
study,"[0, 21, 0, 8, 24, 0, 10, 4, 127, 2, 0, 0, 0, 34, 7, 2, 25, 0, 0, 0, 5, 5, 0, 2, 80, 0]","Annual Report of Year Ending June 30, 1961"
ability,"[10, 58]","Annual Report of Year Ending June 30, 1961"
By,"[7, 497, 39, 40]","Annual Report of Year Ending June 30, 1961"
perception,"[0, 2, 4, 0]","Annual Report of Year Ending June 30, 1961"
promoting,"[7, 2, 3, 0, 0, 0, 0, 0, 4, 1, 0, 18]","Annual Report of Year Ending June 30, 1961"
Implementation,"[2, 0, 1, 0]","Annual Report of Year Ending June 30, 1961"
staff,"[2, 0, 1]","Annual Report of Year Ending June 30, 1961"
unaggressive,"[0, 0]","Annual Report of Year Ending June 30, 1961"
contrast,"[0, 0, 6, 0, 24, 1]","Annual Report of Year Ending June 30, 1961"
virtue,"[4, 0, 6, 0, 0, 0]","Annual Report of Year Ending June 30, 1961"
Indirectly,[3],"Annual Report of Year Ending June 30, 1961"
worst,"[1, 7, 0, 5, 0, 6, 0, 0, 0, 0, 1, 0, 2, 0, 53, 5, 19, 1, 0, 0]","Annual Report of Year Ending June 30, 1961"
starvation,"[2, 0, 0]","Annual Report of Year Ending June 30, 1961"
candidates,"[0, 6, 0, 3]","Annual Report of Year Ending June 30, 1961"
been,"[12, 1, 11, 722, 6, 0, 26, 0, 21, 0, 6, 3]","Annual Report of Year Ending June 30, 1961"
maximum,"[0, 2, 0, 0, 0, 4]","Annual Report of Year Ending June 30, 1961"
