w,vector_uso
sentimental,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
Then,"[177, 0, 228, 0]",Christian Ethics & the Sit-In
power,"[0, 58, 0, 0, 0, 0, 12, 14, 10, 0, 6, 0, 0, 0, 0, 0, 0, 0, 16, 81, 0]",Christian Ethics & the Sit-In
like,"[17, 176, 5, 2, 0, 21, 88, 1, 0, 15, 0]",Christian Ethics & the Sit-In
Nashville,"[0, 0]",Christian Ethics & the Sit-In
either,[29],Christian Ethics & the Sit-In
throughout,"[0, 8, 0]",Christian Ethics & the Sit-In
new,"[0, 36, 12, 92, 3, 0, 1, 5, 38, 4, 4]",Christian Ethics & the Sit-In
pre-Civil,[],Christian Ethics & the Sit-In
into,[],Christian Ethics & the Sit-In
most,"[23, 0, 0, 18, 237, 66, 3, 104, 0]",Christian Ethics & the Sit-In
undue,"[0, 0, 0, 0, 2, 2]",Christian Ethics & the Sit-In
remember,"[0, 1, 0, 65, 1, 5, 0, 0, 0, 0, 15]",Christian Ethics & the Sit-In
opposite,"[0, 0, 9, 5, 8, 0, 0, 0, 1, 4, 0, 0, 0]",Christian Ethics & the Sit-In
contrary,"[9, 8, 2, 0, 4, 0, 1]",Christian Ethics & the Sit-In
wise,"[0, 0, 4, 0, 0, 5, 0, 0, 0, 0, 5, 0, 1, 0, 2]",Christian Ethics & the Sit-In
virtue,"[4, 0, 6, 0, 0, 0]",Christian Ethics & the Sit-In
1307,[],Christian Ethics & the Sit-In
documented,"[0, 1, 0, 1]",Christian Ethics & the Sit-In
been,"[12, 1, 11, 722, 6, 0, 26, 0, 21, 0, 6, 3]",Christian Ethics & the Sit-In
march,"[0, 0, 0, 1, 0, 1, 6, 0, 0, 6, 0, 3, 0, 3, 0, 1, 0, 21, 0, 0, 12]",Christian Ethics & the Sit-In
end,"[27, 51, 0, 3, 18, 83, 7, 3, 0, 69, 2, 3, 0, 0, 0, 4, 0, 7]",Christian Ethics & the Sit-In
loses,"[3, 0, 3, 1, 0, 0, 0, 0, 9, 0]",Christian Ethics & the Sit-In
down,"[1, 13, 0, 0, 32, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 146, 0, 0, 1, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Christian Ethics & the Sit-In
skins,"[0, 0, 5, 0, 0, 0, 1, 6, 1, 0, 0, 7, 0, 0, 0]",Christian Ethics & the Sit-In
others,[],Christian Ethics & the Sit-In
question,"[0, 0, 0, 2, 73, 0, 0, 0, 0, 0, 0, 14, 3, 11, 6, 33, 0]",Christian Ethics & the Sit-In
