w,vector_uso
here,"[96, 12, 0, 0]",Christian Unity in England
experience,"[49, 7, 0, 123, 102, 492, 37, 129, 26]",Christian Unity in England
popularly,[0],Christian Unity in England
Some,"[2, 0, 182, 6, 85, 0, 0, 0, 237]",Christian Unity in England
dramatically,[2],Christian Unity in England
dowry,"[4, 0, 0, 0]",Christian Unity in England
falling,"[0, 84, 4, 0, 4, 0, 13, 3, 0, 0, 1, 1, 0, 2, 1, 47, 20, 0, 4, 12, 0, 0]",Christian Unity in England
shifts,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 3, 0, 0, 0, 1, 0, 6, 1, 2, 0, 0, 7, 3, 0, 34, 13, 1, 0]",Christian Unity in England
Nonconformists,"[0, 0, 0, 0]",Christian Unity in England
daily,"[0, 0, 2, 1, 9, 1, 0]",Christian Unity in England
literature,"[3, 9]",Christian Unity in England
as,"[2793, 69, 0, 828, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",Christian Unity in England
really,"[40, 1, 11, 8, 81, 0, 33, 0]",Christian Unity in England
came,"[84, 0, 42, 12, 0, 0, 3, 1, 123, 11, 3, 3, 163, 0, 0, 0, 0, 20, 22, 0]",Christian Unity in England
1840's,[],Christian Unity in England
admitted,"[10, 17, 2, 0, 3, 0, 80, 0, 0, 6, 9, 12]",Christian Unity in England
Sunday,"[1, 10, 0, 0, 0, 0]",Christian Unity in England
York,"[0, 20]",Christian Unity in England
little,"[3, 3, 0, 28, 0, 99, 1, 0, 0, 0, 0, 0, 0, 67]",Christian Unity in England
50,"[0, 0, 3, 12]",Christian Unity in England
statistics,"[2, 0]",Christian Unity in England
Sacrifice,"[0, 0, 1, 51, 2]",Christian Unity in England
feeds,"[0, 43, 1, 0, 0, 2, 74, 51, 0, 6, 8, 0]",Christian Unity in England
at,"[0, 0, 580, 35]",Christian Unity in England
English,"[61, 0, 14, 0]",Christian Unity in England
phenomenon,[5],Christian Unity in England
In,"[3, 0, 0, 2, 1, 152, 2255, 0, 0, 0]",Christian Unity in England
clergy,[1],Christian Unity in England
gradually,"[0, 0, 7]",Christian Unity in England
saying,"[18, 49, 0, 0, 0, 14, 21, 0, 0, 1, 70, 39, 12, 0, 0, 0, 34]",Christian Unity in England
mid-Victorian,[],Christian Unity in England
always,"[59, 46, 0, 0, 0, 7, 4, 3]",Christian Unity in England
be,"[6, 21, 6, 0, 722, 0, 11, 0, 4, 3, 26, 1, 12, 0, 0, 0]",Christian Unity in England
redundant,"[0, 0, 0, 0, 2, 0, 0, 2, 0, 5, 6]",Christian Unity in England
20,"[0, 8, 6, 0]",Christian Unity in England
Tractarians,[0],Christian Unity in England
particularly,"[0, 0, 11, 0, 14]",Christian Unity in England
which,[],Christian Unity in England
anti-Catholicism,[0],Christian Unity in England
soon,"[3, 0, 2, 20]",Christian Unity in England
"2,887,671",[],Christian Unity in England
recounting,"[0, 39, 0, 0, 9, 0, 8]",Christian Unity in England
because,[],Christian Unity in England
),[],Christian Unity in England
Catholicism,"[0, 0]",Christian Unity in England
Guardian,"[0, 0, 0, 0]",Christian Unity in England
since,[],Christian Unity in England
students,"[0, 0, 3, 14, 0, 0]",Christian Unity in England
paid,"[0, 8, 0, 6, 0, 0, 6, 19, 0, 3, 51, 0, 2, 0]",Christian Unity in England
venture,"[0, 2, 2, 0, 1, 12, 4, 2, 0]",Christian Unity in England
committee,"[0, 1, 6]",Christian Unity in England
ecclesiastical,"[0, 0]",Christian Unity in England
will,"[0, 0, 32, 218, 0]",Christian Unity in England
parochial,"[1, 0]",Christian Unity in England
Heenan,[],Christian Unity in England
but,"[409, 25, 115, 211, 11]",Christian Unity in England
hope,"[22, 16, 3, 9, 0, 7, 0, 0]",Christian Unity in England
"800,000",[],Christian Unity in England
come,"[84, 0, 0, 5, 42, 12, 0, 0, 0, 3, 1, 123, 11, 3, 3, 163, 0, 0, 0, 0, 0, 0, 20, 22, 0]",Christian Unity in England
secondary,"[1, 0, 0, 1, 0, 0, 0, 0]",Christian Unity in England
nun,"[0, 1, 0]",Christian Unity in England
television,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Christian Unity in England
brought,"[0, 0, 0, 127, 9, 123, 18, 32, 1, 1, 4, 0, 23, 80, 0, 1, 1]",Christian Unity in England
again,"[0, 0, 0, 74]",Christian Unity in England
part,"[0, 16, 4, 12, 4, 47, 6, 0, 0, 0, 17, 5, 1, 0, 0, 0, 0, 1, 19, 7, 0, 0, 3, 3, 6, 0, 9, 11, 12, 0, 5, 6, 13, 30, 1, 0]",Christian Unity in England
England's,[],Christian Unity in England
school,"[0, 1, 0, 69, 0, 1, 0, 0, 0, 7, 0]",Christian Unity in England
mornings,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0]",Christian Unity in England
St.,[],Christian Unity in England
experiences,"[49, 7, 0, 123, 102, 492, 37, 129, 26]",Christian Unity in England
upset,"[10, 6, 3, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 0, 0, 1]",Christian Unity in England
Christmas,"[0, 0, 0, 0, 0, 0, 0, 3, 0]",Christian Unity in England
(,[],Christian Unity in England
hundred,"[11, 0, 0, 1, 0, 23, 13]",Christian Unity in England
represents,"[2, 0, 0, 1, 36, 2, 0, 6, 0, 722, 11, 22, 1, 23, 2, 0, 3, 1, 1]",Christian Unity in England
call,"[0, 1, 0, 0, 0, 0, 7, 0, 0, 1, 25, 11, 0, 2, 31, 4, 3, 0, 0, 0, 2, 0, 9, 12, 0, 0, 0, 4, 6, 5, 0, 0, 10, 0, 0, 8, 0]",Christian Unity in England
Protestant-dominated,[],Christian Unity in England
members,"[7, 0, 0, 1, 0, 0]",Christian Unity in England
might,"[81, 58, 0]",Christian Unity in England
successive,"[1, 0, 1, 0, 0]",Christian Unity in England
Liverpool,[0],Christian Unity in England
Anglicanism,[0],Christian Unity in England
Office,"[16, 58, 0, 7, 47, 6, 43, 72, 0, 0, 1, 0, 1, 7, 19, 0, 2, 1, 6]",Christian Unity in England
this,[],Christian Unity in England
Fate,"[1, 1, 1, 0, 4, 12, 8, 3, 13, 10]",Christian Unity in England
Slough,"[0, 0, 0, 0, 0, 1, 0]",Christian Unity in England
made,"[0, 9, 0, 0, 1, 1, 1, 0, 0, 80, 0, 1, 8, 0, 51, 5, 3, 0, 113, 0, 0, 0, 0, 18, 123, 31, 0, 0, 0, 9, 0, 6, 4, 0, 4, 117, 11, 163, 0, 0, 26, 0, 0, 0, 492, 9, 1, 0, 21, 0, 0, 0, 0, 0, 16, 0, 17, 127, 39, 0, 0, 0, 0, 0, 21, 1, 0, 0]",Christian Unity in England
indignant,"[1, 1, 0, 0]",Christian Unity in England
saints,"[0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 4]",Christian Unity in England
city,"[0, 44, 0]",Christian Unity in England
superficially,[0],Christian Unity in England
Fawkes,"[0, 0]",Christian Unity in England
continue,"[0, 0, 0, 0, 1, 13, 1, 0, 0, 13, 0, 0, 8, 35, 16, 1, 0, 0]",Christian Unity in England
preconceptions,"[0, 0, 0, 0, 0, 0, 0, 0]",Christian Unity in England
good,"[0, 115, 0, 0, 8, 0, 8, 7, 5, 5, 84, 82, 0, 1, 2, 1, 3, 0, 3, 7, 0, 23, 2, 0, 0, 25, 0, 134, 1, 9, 0, 24, 4, 0, 0, 8, 1]",Christian Unity in England
heart,"[1, 0, 1, 2, 14, 0, 3, 0, 0, 2, 0, 1, 0, 0, 0, 1, 2, 3, 0, 0, 0, 20, 0, 0, 11, 0, 23, 0, 5, 15, 2, 0]",Christian Unity in England
.,[],Christian Unity in England
been,"[6, 21, 6, 0, 722, 0, 11, 3, 26, 1, 12, 0]",Christian Unity in England
depicting,"[1, 0, 0, 20, 0, 1, 0, 9, 0, 6, 44, 1]",Christian Unity in England
predict,"[1, 0, 9, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 25]",Christian Unity in England
