w,vector_uso
quick,"[9, 11, 19, 2, 1, 0, 5, 21, 13, 11, 1, 1, 0, 0]","Christopher Davis, First Family."
politeness,"[1, 0, 0]","Christopher Davis, First Family."
useless,[2],"Christopher Davis, First Family."
tiring,"[0, 1, 0, 5, 0, 0, 2, 0, 1, 0, 0, 2, 0, 7, 0, 0, 1, 7, 0, 0, 0, 0]","Christopher Davis, First Family."
mind,"[14, 0, 50, 0, 73, 4, 31, 0, 5, 0, 1, 0, 0, 0, 0, 0]","Christopher Davis, First Family."
next,"[20, 0, 0, 37, 47, 0]","Christopher Davis, First Family."
by,"[7, 40, 497, 39]","Christopher Davis, First Family."
drunk,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 5, 0, 0]","Christopher Davis, First Family."
pleasant,[3],"Christopher Davis, First Family."
them,[],"Christopher Davis, First Family."
moving,"[0, 1, 1, 16, 0, 0, 1, 1, 22, 90, 7, 0, 1, 43, 0, 0, 6, 19, 0]","Christopher Davis, First Family."
members,"[0, 1, 7, 0, 0, 0]","Christopher Davis, First Family."
That,[],"Christopher Davis, First Family."
stronger,"[33, 0, 11, 3, 1, 3, 0, 0, 0, 14, 11, 25, 0]","Christopher Davis, First Family."
touch,"[0, 0, 3, 2, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 11, 12, 0, 1, 0, 1, 0, 3, 0, 0, 0, 23, 7, 0, 0, 0, 0, 3, 0, 2, 0, 19, 3, 0, 0, 3, 11, 6, 0, 2, 0, 1, 5]","Christopher Davis, First Family."
drove,"[0, 0, 0, 4, 5, 0, 24, 14, 11, 123, 0, 80, 3, 0, 9, 7, 1, 11, 0, 0, 0]","Christopher Davis, First Family."
really,"[0, 8, 33, 0, 40, 1, 11, 81]","Christopher Davis, First Family."
that's,[],"Christopher Davis, First Family."
exercise,"[0, 66, 0, 1, 127, 23, 0, 0, 0, 5, 1, 0, 0, 6, 1, 163, 1, 0, 9, 0]","Christopher Davis, First Family."
loudly,"[2, 0, 0, 2, 2, 0]","Christopher Davis, First Family."
got,"[49, 6, 0, 6, 12, 55, 0, 0, 7, 0, 18, 0, 0, 0, 51, 4, 18, 0, 0, 1, 0, 0, 12, 84, 3, 9, 0, 0, 0, 0, 0, 123, 80, 33, 3, 23, 0, 90, 21, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 2, 492, 19, 8, 0, 0, 0, 0, 1, 0, 0, 11, 5, 113, 2, 19, 16, 1, 0, 0, 2]","Christopher Davis, First Family."
suits,"[0, 33, 0, 3, 8, 0, 0, 35, 0, 0, 0, 0, 18, 7]","Christopher Davis, First Family."
joints,"[0, 1, 6, 0, 0, 0, 2, 0, 0, 0, 4, 0]","Christopher Davis, First Family."
parents',[],"Christopher Davis, First Family."
later,"[0, 15, 33, 1, 0, 1, 0, 89, 0, 10, 0, 4, 3, 30, 11]","Christopher Davis, First Family."
as,"[0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 828, 4, 147, 0, 0, 0, 0, 0, 0]","Christopher Davis, First Family."
polite,"[3, 0, 0, 2, 1, 2, 0]","Christopher Davis, First Family."
progress,"[0, 0, 0, 0, 3, 0, 1, 0, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 9]","Christopher Davis, First Family."
always,"[0, 4, 59, 3, 0, 46, 0, 7]","Christopher Davis, First Family."
seizure,"[0, 0, 1, 0, 2]","Christopher Davis, First Family."
churches,"[54, 0, 0, 0]","Christopher Davis, First Family."
seeking,"[0, 0, 7, 22, 6, 7, 6, 3, 12]","Christopher Davis, First Family."
gracefully,"[1, 0]","Christopher Davis, First Family."
desire,"[16, 7, 22, 51]","Christopher Davis, First Family."
home,"[0, 0, 0, 0, 0, 0, 3, 3, 52, 4, 8, 72, 0, 54, 0, 0, 74, 1, 3, 0]","Christopher Davis, First Family."
silent,"[0, 0, 6, 1, 1, 103, 12, 0, 0]","Christopher Davis, First Family."
times,"[29, 0, 1, 1, 0, 0, 0, 3, 0, 0, 188]","Christopher Davis, First Family."
downstairs,"[2, 0, 10, 0, 0]","Christopher Davis, First Family."
ear,"[0, 3, 0, 0, 0]","Christopher Davis, First Family."
other,"[41, 10, 183]","Christopher Davis, First Family."
three-sectioned,[],"Christopher Davis, First Family."
son's,[],"Christopher Davis, First Family."
bright,"[4, 0, 4, 6, 1, 0, 2, 2, 3, 0, 0, 0, 2]","Christopher Davis, First Family."
folded,"[0, 0, 0, 27, 0, 2, 0, 0]","Christopher Davis, First Family."
another,"[0, 61]","Christopher Davis, First Family."
moved,"[0, 1, 1, 0, 0, 1, 1, 22, 90, 7, 0, 1, 1, 43, 3, 2, 0, 0, 6, 26, 19, 0]","Christopher Davis, First Family."
informally,"[0, 0, 0]","Christopher Davis, First Family."
away,"[29, 9, 7, 497, 102, 309, 40]","Christopher Davis, First Family."
doctors,"[13, 7, 6, 1, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 1, 0]","Christopher Davis, First Family."
same,"[0, 0, 0, 0, 0, 3, 88, 176]","Christopher Davis, First Family."
Craig,[],"Christopher Davis, First Family."
