w,vector_uso
A,"[0, 147, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Deadlier Than the Male.
dome,"[0, 0, 0, 0, 0, 2, 0, 0]",Deadlier Than the Male.
marriage,"[0, 9, 1, 0, 15, 0, 5, 1, 0]",Deadlier Than the Male.
kept,"[1, 2, 28, 4, 0, 1, 5, 0, 7, 0, 0, 0, 0, 0, 1, 13, 4, 35, 1, 0, 0, 17, 0, 0]",Deadlier Than the Male.
beginning,"[20, 0, 0, 0, 0, 4, 0, 123, 0, 0, 0, 0, 8, 0, 0, 1, 4, 0, 0, 19, 1, 169]",Deadlier Than the Male.
cautioned,"[0, 0, 1]",Deadlier Than the Male.
left,"[0, 0, 0, 41, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 12, 32, 16, 0, 0, 0, 218, 0, 0, 9, 0, 0, 20, 27, 51]",Deadlier Than the Male.
trial,"[18, 43, 0, 10, 0, 0, 0]",Deadlier Than the Male.
bet,"[0, 2, 0, 0, 59, 0, 5, 4, 23, 7]",Deadlier Than the Male.
Since,[],Deadlier Than the Male.
Hey,[],Deadlier Than the Male.
puttering,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0]",Deadlier Than the Male.
moon,"[0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0]",Deadlier Than the Male.
illumined,"[47, 0, 0, 0, 0]",Deadlier Than the Male.
started,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 0, 123, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 47, 90, 0, 0, 0, 19]",Deadlier Than the Male.
Something,[],Deadlier Than the Male.
growth,"[0, 23, 1, 0, 1, 8, 13, 0, 13, 0]",Deadlier Than the Male.
married,"[0, 0, 0, 1, 3, 16, 0, 0, 0, 0, 2, 0]",Deadlier Than the Male.
vault,"[2, 0, 0, 1, 0]",Deadlier Than the Male.
with,[],Deadlier Than the Male.
like,"[5, 17, 176, 15, 0, 88, 1, 0, 2, 0, 21]",Deadlier Than the Male.
lived,"[0, 0, 49, 0, 0, 26, 90, 722, 129, 5, 6, 0, 2, 0, 1, 83]",Deadlier Than the Male.
who,"[0, 0]",Deadlier Than the Male.
clerk,"[0, 1, 0, 0]",Deadlier Than the Male.
past,"[0, 0, 39, 0, 3, 0, 497]",Deadlier Than the Male.
busily,[0],Deadlier Than the Male.
This,[],Deadlier Than the Male.
beginnings,"[0, 0, 20, 0, 0, 4, 0, 0, 1, 0, 4, 19, 1, 169]",Deadlier Than the Male.
In,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",Deadlier Than the Male.
close,"[7, 0, 0, 0, 0, 5, 0, 0, 0, 4, 3, 0, 2, 83, 3, 1, 7, 0, 5, 0, 0, 2, 0, 51, 27, 23, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0]",Deadlier Than the Male.
chairman,"[0, 14, 4, 0, 8]",Deadlier Than the Male.
For,[],Deadlier Than the Male.
breathing,"[0, 0, 0, 0, 7, 0, 0, 0, 0, 16, 0, 0, 2, 0, 0]",Deadlier Than the Male.
made,"[0, 0, 0, 113, 0, 9, 0, 0, 0, 26, 0, 18, 21, 0, 0, 0, 1, 1, 0, 4, 1, 0, 492, 0, 9, 0, 21, 0, 163, 0, 0, 0, 0, 127, 123, 39, 6, 0, 1, 31, 1, 9, 0, 4, 11, 0, 1, 0, 0, 0, 80, 0, 16, 5, 3, 8, 0, 117, 51, 0, 0, 17, 0, 0, 0, 0, 0, 0]",Deadlier Than the Male.
white,"[1, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 36, 0, 18, 0, 0, 0, 0, 0]",Deadlier Than the Male.
microscope,[1],Deadlier Than the Male.
Well,"[0, 2, 0, 1, 0, 82, 20, 4, 1, 5, 134]",Deadlier Than the Male.
So,"[0, 0, 22, 17, 0, 0, 12, 0, 177, 0, 3, 228]",Deadlier Than the Male.
hell,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 14, 18, 0, 0]",Deadlier Than the Male.
trek,[1],Deadlier Than the Male.
slight,"[3, 1, 0, 2, 0, 0, 0, 0, 3, 14, 99]",Deadlier Than the Male.
toward,[],Deadlier Than the Male.
I've,[],Deadlier Than the Male.
paper,"[17, 0, 6, 7, 0, 8, 4]",Deadlier Than the Male.
swivel,"[0, 0]",Deadlier Than the Male.
conditioner,[1],Deadlier Than the Male.
life,"[1, 0, 14, 0, 98, 0, 1, 0, 0, 0, 0, 0, 0, 33]",Deadlier Than the Male.
slide,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6]",Deadlier Than the Male.
easy,"[20, 0, 16, 0, 1, 4, 0, 6, 5, 47, 0, 0, 0, 1, 21, 0, 5, 3, 0, 0, 0]",Deadlier Than the Male.
to,[],Deadlier Than the Male.
in,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",Deadlier Than the Male.
down,"[0, 0, 0, 0, 0, 146, 0, 9, 20, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 13, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 2]",Deadlier Than the Male.
Lake,[2],Deadlier Than the Male.
losing,"[1, 0, 9, 0, 3, 0, 0, 0, 0, 3]",Deadlier Than the Male.
sharp,"[0, 0, 14, 0, 0, 1, 8, 2, 0, 1, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1, 0]",Deadlier Than the Male.
social,"[0, 0, 15, 0]",Deadlier Than the Male.
chairs,"[0, 0, 20, 0, 0, 14, 0, 0, 4, 0, 8]",Deadlier Than the Male.
search,"[12, 2, 0, 59, 8, 7, 0, 0, 7]",Deadlier Than the Male.
forgotten,"[5, 9, 15, 0, 1, 0, 0, 32]",Deadlier Than the Male.
seven,"[0, 8, 12, 0, 0, 0, 0, 0, 0]",Deadlier Than the Male.
rockets,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Deadlier Than the Male.
file,"[0, 2, 0, 0, 0, 1, 0, 8, 0, 0]",Deadlier Than the Male.
