w,vector_uso
like,"[17, 176, 5, 2, 0, 21, 88, 1, 0, 15, 0]",Dirty Dig Inn
Then,"[177, 0, 228, 0]",Dirty Dig Inn
seen,"[13, 6, 1, 0, 8, 0, 11, 1, 0, 4, 22, 0, 0, 59, 0, 15, 0, 4, 10, 4, 0, 0, 8, 3, 0, 12, 2, 0, 17, 0, 0, 7, 0, 0, 17, 1, 3, 55, 0, 0, 0, 2, 7, 0, 20, 38, 0, 0, 0, 6, 4, 49, 5, 102, 19]",Dirty Dig Inn
new,"[0, 36, 12, 92, 3, 0, 1, 5, 38, 4, 4]",Dirty Dig Inn
Handsome,"[7, 0, 0, 13, 0, 0, 0, 0, 0, 0, 53, 0, 0, 2]",Dirty Dig Inn
I,"[0, 5, 24, 29, 0, 786, 3, 321, 0, 1, 0]",Dirty Dig Inn
into,[],Dirty Dig Inn
passed,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 0, 26, 0, 9, 0, 0, 0, 29, 0, 51, 0, 90, 0, 4, 0, 0, 0, 0, 0, 0, 13, 0, 14, 0, 0, 0, 0, 0, 50, 0, 0, 0, 12, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 20, 2, 0, 43, 0, 11, 1, 0, 0, 0, 0, 11, 0, 0, 3, 0, 0]",Dirty Dig Inn
armor,"[0, 1]",Dirty Dig Inn
opposite,"[0, 0, 9, 5, 8, 0, 0, 0, 1, 4, 0, 0, 0]",Dirty Dig Inn
yeah,"[0, 0]",Dirty Dig Inn
So,"[0, 3, 12, 22, 0, 17, 0, 177, 0, 228, 0, 0]",Dirty Dig Inn
wise,"[0, 0, 4, 0, 0, 5, 0, 0, 0, 0, 5, 0, 1, 0, 2]",Dirty Dig Inn
sipping,[0],Dirty Dig Inn
Sunday,"[0, 0, 0, 10, 0, 1]",Dirty Dig Inn
aloud,"[2, 0, 2, 2]",Dirty Dig Inn
helped,"[1, 0, 7, 41, 1, 0, 9]",Dirty Dig Inn
been,"[12, 1, 11, 722, 6, 0, 26, 0, 21, 0, 6, 3]",Dirty Dig Inn
weather,"[0, 0, 2, 0, 15, 0, 8, 0]",Dirty Dig Inn
April,"[0, 1]",Dirty Dig Inn
Will,"[0, 0, 218, 0, 32]",Dirty Dig Inn
grounded,"[0, 21, 3, 3, 4, 59, 0, 1, 3]",Dirty Dig Inn
night's,[],Dirty Dig Inn
down,"[1, 13, 0, 0, 32, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 146, 0, 0, 1, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Dirty Dig Inn
feel,"[37, 2, 6, 49, 0, 6, 40, 8, 0, 55, 23, 14, 0, 59]",Dirty Dig Inn
cork,"[0, 0, 0, 0, 0, 0, 0, 0]",Dirty Dig Inn
waiting,"[10, 0, 17, 0, 0, 0, 15, 0, 59]",Dirty Dig Inn
Only,"[3, 211, 13, 25, 1, 3, 0, 409, 4, 115, 17, 11, 3, 0, 0]",Dirty Dig Inn
