w,vector_uso
here,"[96, 12, 0, 0]",Encounter with Evil
catchup,[],Encounter with Evil
clock,"[1, 188]",Encounter with Evil
right,"[1, 0, 0, 0, 4, 84, 10, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 134, 3, 0, 0, 9, 8, 0, 0, 3, 0, 4]",Encounter with Evil
as,"[2793, 69, 0, 828, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",Encounter with Evil
kind,"[18, 39, 0, 10, 2, 57]",Encounter with Evil
really,"[40, 1, 11, 8, 81, 0, 33, 0]",Encounter with Evil
actions,"[1, 0, 12, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 52, 8, 0, 0, 0]",Encounter with Evil
sucked,"[0, 0, 0, 2, 0, 0, 1, 9, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0]",Encounter with Evil
curse,"[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Encounter with Evil
muttered,"[0, 1, 0, 0, 0, 1, 0, 0]",Encounter with Evil
little,"[3, 3, 0, 28, 0, 99, 1, 0, 0, 0, 0, 0, 0, 67]",Encounter with Evil
at,"[0, 0, 580, 35]",Encounter with Evil
mouth,"[2, 0, 0, 1, 0, 0, 0, 0, 26, 0, 14, 0, 0, 14, 0]",Encounter with Evil
pushed,"[0, 0, 0, 4, 24, 0, 1, 10, 0, 14, 8, 8, 11, 0, 0, 11]",Encounter with Evil
In,"[3, 0, 0, 2, 1, 152, 2255, 0, 0, 0]",Encounter with Evil
always,"[59, 46, 0, 0, 0, 7, 4, 3]",Encounter with Evil
sound,"[0, 0, 0, 0, 0, 4, 11, 0, 1, 4, 0, 0, 25, 134, 0, 0, 4, 90, 0, 0, 0, 30, 18]",Encounter with Evil
be,"[6, 21, 6, 0, 722, 0, 11, 0, 4, 3, 26, 1, 12, 0, 0, 0]",Encounter with Evil
try,"[8, 0, 1, 15, 0, 4, 10, 7, 3, 9, 1, 22, 0, 18, 0, 7, 12, 0, 2, 0, 1]",Encounter with Evil
him,[],Encounter with Evil
don't,[],Encounter with Evil
drove,"[0, 80, 7, 0, 123, 9, 14, 11, 0, 0, 4, 11, 5, 0, 0, 0, 0, 24, 0, 3, 1]",Encounter with Evil
stays,"[0, 1, 0, 0, 0, 1, 2, 0, 1, 18, 0, 0, 0, 13, 0, 0, 0, 0, 16, 6, 16, 1, 0, 13, 1, 0, 6]",Encounter with Evil
jacket,"[0, 1, 6, 0, 0]",Encounter with Evil
Chicago,"[0, 0, 0, 14, 1, 0]",Encounter with Evil
because,[],Encounter with Evil
luck,"[2, 17, 1, 4, 12, 8, 3, 13, 10]",Encounter with Evil
),[],Encounter with Evil
onto,[],Encounter with Evil
driver's,[],Encounter with Evil
hand,"[0, 0, 0, 50, 0, 0, 20, 0, 12, 0, 1, 51, 0, 1, 11, 0]",Encounter with Evil
angry,"[10, 7, 1, 0, 0]",Encounter with Evil
girl,"[0, 0, 0, 0, 0, 0, 0, 0, 51, 4, 3]",Encounter with Evil
detailed,"[5, 3, 0, 2]",Encounter with Evil
safe,"[0, 0, 13, 134, 4, 3, 0, 8]",Encounter with Evil
walk,"[0, 8, 0, 17, 12, 0, 0, 0, 0]",Encounter with Evil
enable,[1],Encounter with Evil
will,"[0, 0, 32, 218, 0]",Encounter with Evil
lowered,"[0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 0]",Encounter with Evil
but,"[409, 25, 115, 211, 11]",Encounter with Evil
come,"[84, 0, 0, 5, 42, 12, 0, 0, 0, 3, 1, 123, 11, 3, 3, 163, 0, 0, 0, 0, 0, 0, 20, 22, 0]",Encounter with Evil
door,"[36, 0, 2, 0]",Encounter with Evil
everything,[],Encounter with Evil
again,"[0, 0, 0, 74]",Encounter with Evil
He,"[0, 1039, 2, 486]",Encounter with Evil
finding,"[0, 0, 3, 0, 7, 123, 3, 2, 1, 1, 7, 0, 0, 37, 5, 55, 0, 0, 17, 102, 8, 0, 1, 8, 1, 4, 14, 0, 0]",Encounter with Evil
zipped,"[0, 4, 14, 1, 0, 0]",Encounter with Evil
sturdy,"[1, 0, 3, 1, 0, 0, 7]",Encounter with Evil
opening,"[0, 0, 11, 51, 0, 0, 0, 0, 38, 0, 0, 0, 11, 10, 0, 0, 10, 0, 0, 1, 0]",Encounter with Evil
calling,"[1, 8, 2, 0, 0, 1, 1, 25, 11, 0, 31, 2, 4, 0, 0, 0, 2, 9, 12, 0, 0, 4, 6, 5, 0, 10, 0, 0, 8]",Encounter with Evil
distance,"[0, 0, 43, 9, 16, 0]",Encounter with Evil
sideboard,"[0, 1, 1]",Encounter with Evil
narrow,"[0, 6, 0, 0, 0, 0, 0, 5, 0, 0, 0, 10, 0]",Encounter with Evil
hundred,"[11, 0, 0, 1, 0, 23, 13]",Encounter with Evil
knows,"[49, 0, 0, 2, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 5, 26, 0, 0, 0, 49, 1, 0, 3, 0, 0, 0, 12, 8, 0, 0, 0, 0]",Encounter with Evil
(,[],Encounter with Evil
solid,"[0, 1, 0, 11, 0, 8, 1, 28, 25, 0, 1, 2, 0, 14]",Encounter with Evil
call,"[0, 1, 0, 0, 0, 0, 7, 0, 0, 1, 25, 11, 0, 2, 31, 4, 3, 0, 0, 0, 2, 0, 9, 12, 0, 0, 0, 4, 6, 5, 0, 0, 10, 0, 0, 8, 0]",Encounter with Evil
toward,[],Encounter with Evil
yourself,[],Encounter with Evil
lost,"[1, 0, 2, 9, 3, 32, 0, 1, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1, 6, 0, 0, 2, 0]",Encounter with Evil
sad,"[3, 5, 0, 0, 1, 0]",Encounter with Evil
trembling,"[7, 1, 0, 0, 1, 4, 0, 4, 0, 1]",Encounter with Evil
point,"[0, 0, 6, 0, 0, 0, 0, 14, 0, 73, 72, 0, 4, 0, 14, 0, 37, 3, 0, 0, 1, 18, 44, 5, 0, 0, 0, 0, 0, 16, 0, 0, 2, 0, 11, 22, 7, 1, 8, 2, 0, 0, 0, 6, 0, 3, 0]",Encounter with Evil
use,"[7, 0, 6, 0, 0, 0, 9, 11, 0, 66, 6, 5, 7, 3, 0, 0, 0, 1, 0, 1, 1, 0, 2]",Encounter with Evil
this,[],Encounter with Evil
stop,"[0, 0, 0, 15, 3, 3, 0, 0, 4, 0, 2, 14, 0, 37, 0, 1, 0, 0, 0, 1, 0, 18, 0, 51, 0, 4, 0, 0, 0, 12, 1, 0, 16, 0, 0, 4, 1, 0, 0, 0, 0, 0, 13, 6, 0, 0]",Encounter with Evil
made,"[0, 9, 0, 0, 1, 1, 1, 0, 0, 80, 0, 1, 8, 0, 51, 5, 3, 0, 113, 0, 0, 0, 0, 18, 123, 31, 0, 0, 0, 9, 0, 6, 4, 0, 4, 117, 11, 163, 0, 0, 26, 0, 0, 0, 492, 9, 1, 0, 21, 0, 0, 0, 0, 0, 16, 0, 17, 127, 39, 0, 0, 0, 0, 0, 21, 1, 0, 0]",Encounter with Evil
gaze,"[2, 1, 11]",Encounter with Evil
despair,"[0, 1]",Encounter with Evil
brains,"[1, 0, 50, 0, 0, 14, 0, 0, 0, 2, 0, 0, 0, 73, 1]",Encounter with Evil
started,"[0, 0, 4, 0, 47, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 19, 0, 0, 0, 8, 0, 0, 90, 0, 0, 0]",Encounter with Evil
teeth,"[1, 10, 0]",Encounter with Evil
alive,"[16, 5, 26, 0, 4, 3]",Encounter with Evil
gets,"[0, 49, 0, 84, 0, 2, 1, 1, 0, 0, 1, 80, 0, 0, 0, 0, 0, 12, 3, 0, 113, 6, 0, 0, 18, 123, 7, 18, 2, 0, 0, 23, 9, 0, 33, 2, 0, 19, 3, 0, 3, 11, 0, 0, 0, 0, 0, 0, 492, 8, 0, 19, 5, 55, 6, 0, 0, 0, 0, 4, 51, 16, 90, 0, 0, 12, 21, 0, 3, 1]",Encounter with Evil
scratch,"[0, 3, 1, 9, 2, 1, 0, 10, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Encounter with Evil
Dammit,[],Encounter with Evil
Where,[],Encounter with Evil
green,"[0, 0, 0, 0, 0, 20, 0, 1, 0, 0, 0, 2, 0, 0, 0, 3, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Encounter with Evil
