w,vector_uso
ignition,"[1, 2, 0, 0, 2, 0]","Fair, Bachelors Get Lonely"
mind,"[14, 0, 50, 0, 73, 4, 31, 0, 5, 0, 1, 0, 0, 0, 0, 0]","Fair, Bachelors Get Lonely"
found,"[0, 59, 0, 0, 3, 55, 0, 7, 3, 0, 0, 4, 0, 1, 8, 13, 3, 37, 14, 0, 123, 8, 7, 21, 102, 1, 17, 0, 0, 2, 1, 0, 1, 5, 3, 1]","Fair, Bachelors Get Lonely"
For,[],"Fair, Bachelors Get Lonely"
find,"[0, 0, 0, 0, 3, 55, 0, 7, 0, 0, 2, 4, 8, 3, 37, 14, 123, 8, 7, 102, 1, 0, 17, 0, 2, 1, 0, 1, 5, 1]","Fair, Bachelors Get Lonely"
grinned,[2],"Fair, Bachelors Get Lonely"
by,"[7, 40, 497, 39]","Fair, Bachelors Get Lonely"
last,"[69, 0, 0, 18, 3, 27, 83, 26, 0, 0, 0, 0, 0, 2, 0, 51, 0, 0, 21, 0, 0, 90, 0, 2, 0, 2, 7, 5, 0]","Fair, Bachelors Get Lonely"
them,[],"Fair, Bachelors Get Lonely"
flush,"[1, 14, 8, 115, 2, 1, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 1, 4, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1]","Fair, Bachelors Get Lonely"
suddenly,"[20, 28, 4, 0, 0, 0, 27]","Fair, Bachelors Get Lonely"
moving,"[0, 1, 1, 16, 0, 0, 1, 1, 22, 90, 7, 0, 1, 43, 0, 0, 6, 19, 0]","Fair, Bachelors Get Lonely"
That,[],"Fair, Bachelors Get Lonely"
drove,"[0, 0, 0, 4, 5, 0, 24, 14, 11, 123, 0, 80, 3, 0, 9, 7, 1, 11, 0, 0, 0]","Fair, Bachelors Get Lonely"
that's,[],"Fair, Bachelors Get Lonely"
really,"[0, 8, 33, 0, 40, 1, 11, 81]","Fair, Bachelors Get Lonely"
If,[],"Fair, Bachelors Get Lonely"
selfish,[0],"Fair, Bachelors Get Lonely"
stalls,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 0, 0, 0, 0, 0, 1]","Fair, Bachelors Get Lonely"
got,"[49, 6, 0, 6, 12, 55, 0, 0, 7, 0, 18, 0, 0, 0, 51, 4, 18, 0, 0, 1, 0, 0, 12, 84, 3, 9, 0, 0, 0, 0, 0, 123, 80, 33, 3, 23, 0, 90, 21, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 2, 492, 19, 8, 0, 0, 0, 0, 1, 0, 0, 11, 5, 113, 2, 19, 16, 1, 0, 0, 2]","Fair, Bachelors Get Lonely"
clothed,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0]","Fair, Bachelors Get Lonely"
leg,"[3, 7, 0, 0, 1, 11, 0]","Fair, Bachelors Get Lonely"
later,"[0, 15, 33, 1, 0, 1, 0, 89, 0, 10, 0, 4, 3, 30, 11]","Fair, Bachelors Get Lonely"
as,"[0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 828, 4, 147, 0, 0, 0, 0, 0, 0]","Fair, Bachelors Get Lonely"
always,"[0, 4, 59, 3, 0, 46, 0, 7]","Fair, Bachelors Get Lonely"
figure,"[0, 0, 1, 13, 0, 0, 31, 0, 6, 0, 0, 4, 0, 0, 1, 42, 0, 0, 13, 0, 0, 102, 0, 1, 22, 0, 0, 20, 0, 0, 18, 12, 39, 8, 5, 0, 6, 0, 3, 9, 1]","Fair, Bachelors Get Lonely"
show,"[0, 21, 3, 0, 3, 36, 7, 1, 1, 1, 0, 20, 1, 6, 0, 44, 37, 15, 2, 7, 0, 0, 1, 19, 6, 8]","Fair, Bachelors Get Lonely"
sidelong,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","Fair, Bachelors Get Lonely"
times,"[29, 0, 1, 1, 0, 0, 0, 3, 0, 0, 188]","Fair, Bachelors Get Lonely"
My,[],"Fair, Bachelors Get Lonely"
other,"[41, 10, 183]","Fair, Bachelors Get Lonely"
she's,[],"Fair, Bachelors Get Lonely"
meal,"[0, 8]","Fair, Bachelors Get Lonely"
against,[],"Fair, Bachelors Get Lonely"
another,"[0, 61]","Fair, Bachelors Get Lonely"
drive,"[0, 0, 4, 5, 0, 18, 5, 0, 24, 14, 0, 123, 0, 80, 3, 0, 16, 10, 9, 7, 3, 0, 1, 11, 11, 0, 0, 0]","Fair, Bachelors Get Lonely"
sort,"[57, 1, 0, 0, 39, 0, 0, 2, 12, 0, 18, 5, 10]","Fair, Bachelors Get Lonely"
away,"[29, 9, 7, 497, 102, 309, 40]","Fair, Bachelors Get Lonely"
filled,"[15, 80, 19, 1, 0, 7, 0, 0, 0, 0, 1, 1, 0]","Fair, Bachelors Get Lonely"
park,"[2, 0, 0, 0, 0, 20, 4, 0, 0, 0, 8]","Fair, Bachelors Get Lonely"
and,[],"Fair, Bachelors Get Lonely"
couple,"[2, 14, 0, 5, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 3, 0]","Fair, Bachelors Get Lonely"
plus,"[6, 12, 0, 21, 0]","Fair, Bachelors Get Lonely"
faint,"[2, 3, 0, 1, 0, 1, 1, 0, 0, 8, 1, 47, 0, 1, 0, 0, 0, 0, 0]","Fair, Bachelors Get Lonely"
undependable,"[0, 0]","Fair, Bachelors Get Lonely"
once-over,"[0, 0]","Fair, Bachelors Get Lonely"
business,"[0, 0, 0, 39, 0, 3, 5, 0, 24, 0, 0, 0, 0, 0, 5, 31]","Fair, Bachelors Get Lonely"
else,[],"Fair, Bachelors Get Lonely"
him,[],"Fair, Bachelors Get Lonely"
office,"[1, 0, 0, 43, 19, 2, 16, 58, 1, 47, 7, 0, 72, 1, 6, 0, 7, 0, 6]","Fair, Bachelors Get Lonely"
half,"[36, 1]","Fair, Bachelors Get Lonely"
