w,vector_uso
operation,"[6, 0, 6, 0, 0, 2, 0, 0, 12, 1, 0, 8, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
contract,"[6, 20, 10, 0, 1, 0, 0, 1, 0, 8, 123, 5, 80, 0, 1, 0, 13, 0, 2, 0, 5, 0, 2, 1]",Handbook of Federal Aids to Communities. U.S. Department of
financial,"[0, 2]",Handbook of Federal Aids to Communities. U.S. Department of
also,"[2, 121, 118, 3, 0]",Handbook of Federal Aids to Communities. U.S. Department of
individual,"[4, 0, 7, 28, 19, 4, 24, 14, 10, 0]",Handbook of Federal Aids to Communities. U.S. Department of
retailers,"[0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
designed,"[18, 12, 0, 2, 6, 15]",Handbook of Federal Aids to Communities. U.S. Department of
For,[],Handbook of Federal Aids to Communities. U.S. Department of
above,"[0, 0, 0, 20, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Proposed,"[11, 3, 0, 0, 0, 1, 0, 6, 5, 11, 2]",Handbook of Federal Aids to Communities. U.S. Department of
by,"[7, 40, 497, 39]",Handbook of Federal Aids to Communities. U.S. Department of
situation,"[1, 19, 7, 2, 0, 16, 6, 72, 43, 0]",Handbook of Federal Aids to Communities. U.S. Department of
sole,"[2, 1, 3, 211, 0, 0, 0, 4]",Handbook of Federal Aids to Communities. U.S. Department of
them,[],Handbook of Federal Aids to Communities. U.S. Department of
real,"[16, 33, 0, 4, 0, 2, 1, 0, 40, 1, 0, 10, 81]",Handbook of Federal Aids to Communities. U.S. Department of
economical,"[0, 0, 0, 0, 0, 5]",Handbook of Federal Aids to Communities. U.S. Department of
meetings,"[0, 23, 0, 7, 0, 7, 18, 1, 0, 3, 0, 8, 11, 0, 3, 0, 0, 0, 0, 0, 102, 0, 3, 2, 0, 0, 0, 19, 1, 3, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
exploitation,"[0, 13, 13, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Federal,"[0, 3, 0, 0, 5, 0, 6]",Handbook of Federal Aids to Communities. U.S. Department of
supplies,"[1, 16, 0, 16, 9, 1, 2, 1, 0, 3, 0]",Handbook of Federal Aids to Communities. U.S. Department of
generally,"[0, 0, 2, 6, 0, 12, 0, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
directed,"[6, 73, 0, 0, 0, 10, 0, 2, 0, 4, 4, 80, 3, 0, 72, 16, 20, 0, 5, 0, 4, 0, 37, 7, 0, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
Richmond,"[0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
institutions,"[0, 3, 4, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 2]",Handbook of Federal Aids to Communities. U.S. Department of
exploration,"[2, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Associations,"[1, 0, 3, 2, 0, 5]",Handbook of Federal Aids to Communities. U.S. Department of
If,[],Handbook of Federal Aids to Communities. U.S. Department of
inventory,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 36]",Handbook of Federal Aids to Communities. U.S. Department of
raw,"[0, 0, 0, 25, 9, 2, 0, 2, 0, 0, 1, 0, 4, 1, 1, 2, 0, 5, 0, 0, 0, 92]",Handbook of Federal Aids to Communities. U.S. Department of
Minn.,[],Handbook of Federal Aids to Communities. U.S. Department of
No.,"[0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Eligibility,[0],Handbook of Federal Aids to Communities. U.S. Department of
distinct,"[5, 0, 10, 1, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
as,"[0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 828, 4, 147, 0, 0, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
products,"[0, 0, 11, 8, 1, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Denver,"[0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
numerous,"[0, 6]",Handbook of Federal Aids to Communities. U.S. Department of
direct,"[6, 0, 12, 73, 0, 0, 0, 10, 0, 2, 0, 4, 0, 80, 3, 0, 72, 16, 20, 0, 5, 0, 4, 0, 37, 7, 0, 0, 16, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
Technical,"[3, 11, 0, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
desire,"[16, 7, 22, 51]",Handbook of Federal Aids to Communities. U.S. Department of
royalty,"[0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
establishments,"[3, 8, 0, 0, 0, 8, 0, 0, 1, 5, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
news,"[0, 2, 0, 1, 37, 0, 11]",Handbook of Federal Aids to Communities. U.S. Department of
explore,"[7, 0, 7]",Handbook of Federal Aids to Communities. U.S. Department of
other,"[41, 10, 183]",Handbook of Federal Aids to Communities. U.S. Department of
pools,"[4, 0, 48, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
repayment,"[0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
indicate,"[37, 2, 7, 4, 1, 0, 44, 5, 0]",Handbook of Federal Aids to Communities. U.S. Department of
market,"[0, 0, 0, 0, 0, 31, 0, 0, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
problems,"[36, 39, 20]",Handbook of Federal Aids to Communities. U.S. Department of
independently,"[2, 0]",Handbook of Federal Aids to Communities. U.S. Department of
management,"[3, 8]",Handbook of Federal Aids to Communities. U.S. Department of
periodical,"[1, 0]",Handbook of Federal Aids to Communities. U.S. Department of
and,[],Handbook of Federal Aids to Communities. U.S. Department of
Seattle,[0],Handbook of Federal Aids to Communities. U.S. Department of
Products,"[0, 0, 11, 8, 1, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
produced,"[4, 12, 7, 48, 0, 0, 0, 12, 113, 0, 3, 16, 0, 123]",Handbook of Federal Aids to Communities. U.S. Department of
balance,"[16, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
short-term,"[0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
D.C.,"[0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
property,"[0, 9, 1, 72, 10, 2, 1]",Handbook of Federal Aids to Communities. U.S. Department of
explored,"[7, 0, 7]",Handbook of Federal Aids to Communities. U.S. Department of
insure,"[102, 6, 8, 2, 0, 0, 3, 2, 38, 5, 1, 0]",Handbook of Federal Aids to Communities. U.S. Department of
business,"[0, 0, 0, 39, 0, 3, 5, 0, 24, 0, 0, 0, 0, 0, 5, 31]",Handbook of Federal Aids to Communities. U.S. Department of
Of,[],Handbook of Federal Aids to Communities. U.S. Department of
OME,[],Handbook of Federal Aids to Communities. U.S. Department of
rural,[5],Handbook of Federal Aids to Communities. U.S. Department of
manufacturers,"[0, 3, 2, 1]",Handbook of Federal Aids to Communities. U.S. Department of
encourages,"[1, 18, 0, 3, 2]",Handbook of Federal Aids to Communities. U.S. Department of
economists,"[0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Chicago,"[0, 14, 0, 1, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
employees,[0],Handbook of Federal Aids to Communities. U.S. Department of
promptly,"[0, 9, 2, 4, 0, 11]",Handbook of Federal Aids to Communities. U.S. Department of
plant,"[0, 0, 0, 59, 1, 13, 0, 0, 3, 46, 1, 22, 1, 0]",Handbook of Federal Aids to Communities. U.S. Department of
office,"[1, 0, 0, 43, 19, 2, 16, 58, 1, 47, 7, 0, 72, 1, 6, 0, 7, 0, 6]",Handbook of Federal Aids to Communities. U.S. Department of
diversification,"[0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
offices,"[1, 0, 0, 43, 19, 2, 16, 58, 1, 47, 7, 0, 72, 1, 6, 0, 7, 0, 6]",Handbook of Federal Aids to Communities. U.S. Department of
short-run,"[0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
past,"[0, 3, 0, 0, 497, 0, 39]",Handbook of Federal Aids to Communities. U.S. Department of
The,[],Handbook of Federal Aids to Communities. U.S. Department of
Community,"[0, 13, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Dallas,[22],Handbook of Federal Aids to Communities. U.S. Department of
frequently,"[1, 3, 47, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
identifying,"[2, 6, 3, 4, 31, 72, 6, 0]",Handbook of Federal Aids to Communities. U.S. Department of
60,"[0, 0, 3, 2, 0]",Handbook of Federal Aids to Communities. U.S. Department of
term,"[17, 0, 8, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
dealt,"[6, 0, 0, 1, 0, 0, 0, 0, 17, 3, 8, 2, 10, 0, 21, 0, 0, 20, 0, 0, 80, 10, 0, 0, 0, 12, 0, 0, 4, 0, 0, 16, 2, 3, 0, 4]",Handbook of Federal Aids to Communities. U.S. Department of
addition,"[0, 6, 0, 13, 0, 12, 0, 5]",Handbook of Federal Aids to Communities. U.S. Department of
up,"[3, 0, 0, 0, 4, 307]",Handbook of Federal Aids to Communities. U.S. Department of
educational,[4],Handbook of Federal Aids to Communities. U.S. Department of
pool,"[4, 0, 48, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
local,"[0, 0, 0, 20, 0]",Handbook of Federal Aids to Communities. U.S. Department of
processes,"[6, 1, 0, 9, 127, 0, 0, 0, 1, 0, 6, 12, 0, 0, 52, 0, 0, 3, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
10,"[1, 18, 20, 0, 3, 0]",Handbook of Federal Aids to Communities. U.S. Department of
obtain,"[1, 17, 55, 5, 7, 2, 123]",Handbook of Federal Aids to Communities. U.S. Department of
purposes,"[18, 3, 66, 7, 0, 1, 7, 1, 11, 1, 2, 6]",Handbook of Federal Aids to Communities. U.S. Department of
provided,"[1, 0, 0, 16, 0, 32, 0, 1, 0, 3, 11, 12]",Handbook of Federal Aids to Communities. U.S. Department of
When,[],Handbook of Federal Aids to Communities. U.S. Department of
Courses,"[0, 2, 0, 39, 12, 6, 4, 74, 24, 4, 9, 12, 0, 43, 2]",Handbook of Federal Aids to Communities. U.S. Department of
Congress,"[9, 0, 0, 0, 0, 0, 0, 0, 5, 8, 1, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
qualify,"[0, 1, 0, 7, 17, 0, 0, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
third,"[0, 0, 0, 16, 0, 0, 1, 2]",Handbook of Federal Aids to Communities. U.S. Department of
within,"[38, 25]",Handbook of Federal Aids to Communities. U.S. Department of
communities,"[0, 13, 0, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
any,"[14, 0, 168]",Handbook of Federal Aids to Communities. U.S. Department of
repay,"[0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
most,"[237, 18, 23, 66, 0, 104, 3, 0, 0]",Handbook of Federal Aids to Communities. U.S. Department of
series,"[0, 4, 0]",Handbook of Federal Aids to Communities. U.S. Department of
Loan,"[1, 1, 0]",Handbook of Federal Aids to Communities. U.S. Department of
applicants,"[0, 1]",Handbook of Federal Aids to Communities. U.S. Department of
work,"[0, 0, 1, 23, 0, 13, 18, 0, 127, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 1, 0, 0, 22, 90, 0, 0, 3, 12, 12, 37, 2, 43, 6, 39, 6, 24, 113, 0, 0, 3, 9]",Handbook of Federal Aids to Communities. U.S. Department of
