w,vector_uso
A,"[0, 147, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Here Comes Pete Now.
kept,"[1, 2, 28, 4, 0, 1, 5, 0, 7, 0, 0, 0, 0, 0, 1, 13, 4, 35, 1, 0, 0, 17, 0, 0]",Here Comes Pete Now.
irregularities,"[0, 0, 0, 0, 0]",Here Comes Pete Now.
left,"[0, 0, 0, 41, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 12, 32, 16, 0, 0, 0, 218, 0, 0, 9, 0, 0, 20, 27, 51]",Here Comes Pete Now.
pompous,"[0, 1, 0, 0, 0, 1]",Here Comes Pete Now.
forced,"[0, 3, 0, 14, 15, 9, 1, 11, 4, 0, 4, 5, 0, 0, 0, 10, 7]",Here Comes Pete Now.
underneath,[0],Here Comes Pete Now.
Since,[],Here Comes Pete Now.
signed,"[0, 1, 13, 2, 0, 0, 6, 0, 0, 7, 1, 0, 1]",Here Comes Pete Now.
desire,"[7, 22, 51, 16]",Here Comes Pete Now.
having,"[2, 49, 0, 113, 0, 3, 0, 18, 6, 111, 492, 1, 0, 0, 123, 6, 6, 1, 51, 0, 4, 4, 80, 2, 51, 17, 7]",Here Comes Pete Now.
knuckles,"[1, 0, 0, 0, 0, 0, 0, 0]",Here Comes Pete Now.
morning's,[],Here Comes Pete Now.
admit,"[3, 0, 0, 80, 0, 0, 10, 2, 6, 17, 9, 12]",Here Comes Pete Now.
with,[],Here Comes Pete Now.
vain,"[0, 0, 1, 2, 0, 0, 2, 0, 0, 0, 0]",Here Comes Pete Now.
unusual,"[9, 12]",Here Comes Pete Now.
dapper,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",Here Comes Pete Now.
delay,"[0, 0, 0, 0, 0, 1, 6, 16, 17, 10, 1]",Here Comes Pete Now.
frayed,"[1, 0, 0, 1, 0, 0, 1]",Here Comes Pete Now.
like,"[5, 17, 176, 15, 0, 88, 1, 0, 2, 0, 21]",Here Comes Pete Now.
unbroken,"[0, 0, 0, 28]",Here Comes Pete Now.
lived,"[0, 0, 49, 0, 0, 26, 90, 722, 129, 5, 6, 0, 2, 0, 1, 83]",Here Comes Pete Now.
Why,"[0, 40]",Here Comes Pete Now.
who,"[0, 0]",Here Comes Pete Now.
clerk,"[0, 1, 0, 0]",Here Comes Pete Now.
past,"[0, 0, 39, 0, 3, 0, 497]",Here Comes Pete Now.
green-tinted,[],Here Comes Pete Now.
recipient,"[0, 0, 0]",Here Comes Pete Now.
This,[],Here Comes Pete Now.
behind,"[1, 7, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 0, 0, 12, 0, 1, 0, 0, 1, 38, 235, 13, 3, 0, 5, 0, 0, 0, 0]",Here Comes Pete Now.
end,"[2, 7, 7, 0, 0, 3, 3, 27, 0, 18, 0, 4, 0, 51, 0, 83, 69, 3]",Here Comes Pete Now.
darkness,"[0, 31, 0, 0, 3, 0, 8]",Here Comes Pete Now.
In,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",Here Comes Pete Now.
jungle,"[0, 4]",Here Comes Pete Now.
cheap,"[0, 0, 0, 0, 0, 2, 2, 0, 3, 0, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 0, 0]",Here Comes Pete Now.
For,[],Here Comes Pete Now.
value,"[17, 1, 0, 0, 13, 0, 0, 1, 7, 1, 0, 0, 17, 1, 8, 1]",Here Comes Pete Now.
functioning,"[43, 2, 9, 90, 8, 6, 3, 0, 127, 6]",Here Comes Pete Now.
presence,"[4, 0, 3, 0, 41]",Here Comes Pete Now.
made,"[0, 0, 0, 113, 0, 9, 0, 0, 0, 26, 0, 18, 21, 0, 0, 0, 1, 1, 0, 4, 1, 0, 492, 0, 9, 0, 21, 0, 163, 0, 0, 0, 0, 127, 123, 39, 6, 0, 1, 31, 1, 9, 0, 4, 11, 0, 1, 0, 0, 0, 80, 0, 16, 5, 3, 8, 0, 117, 51, 0, 0, 17, 0, 0, 0, 0, 0, 0]",Here Comes Pete Now.
concerning,"[0, 1, 0, 5, 1, 0, 0, 11, 1, 8, 3, 33]",Here Comes Pete Now.
white,"[1, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 36, 0, 18, 0, 0, 0, 0, 0]",Here Comes Pete Now.
Though,[56],Here Comes Pete Now.
connections,"[0, 5, 3, 0, 0, 0, 3, 1, 0]",Here Comes Pete Now.
knowledge,"[0, 0, 18]",Here Comes Pete Now.
toward,[],Here Comes Pete Now.
repair,"[3, 0, 4, 2, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0]",Here Comes Pete Now.
glow,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 3, 0, 0]",Here Comes Pete Now.
strata,"[0, 14, 1, 0, 12, 0]",Here Comes Pete Now.
easy,"[20, 0, 16, 0, 1, 4, 0, 6, 5, 47, 0, 0, 0, 1, 21, 0, 5, 3, 0, 0, 0]",Here Comes Pete Now.
to,[],Here Comes Pete Now.
in,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",Here Comes Pete Now.
down,"[0, 0, 0, 0, 0, 146, 0, 9, 20, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 13, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 2]",Here Comes Pete Now.
recently,"[0, 0, 8, 2, 30]",Here Comes Pete Now.
illuminated,"[0, 0, 0, 0, 26, 0, 0, 1, 0, 0, 3, 0, 0, 0, 3, 0, 47, 0, 0, 0]",Here Comes Pete Now.
file,"[0, 2, 0, 0, 0, 1, 0, 8, 0, 0]",Here Comes Pete Now.
When,[],Here Comes Pete Now.
around,"[85, 237, 6, 2, 0, 0, 0, 182, 3, 0]",Here Comes Pete Now.
Its,"[0, 0]",Here Comes Pete Now.
voluble,[1],Here Comes Pete Now.
finished,"[2, 0, 3, 0, 0, 18, 10, 0, 0, 0, 0, 0, 0, 51, 22]",Here Comes Pete Now.
air,"[24, 0, 26, 2, 13, 0, 2, 0, 0, 0, 0, 1, 2, 2, 0, 2, 0, 0, 10, 0, 0, 5, 0, 0, 0, 0]",Here Comes Pete Now.
express,"[2, 1, 0, 0, 0, 10, 7, 0, 44, 0, 9, 49, 0, 0, 0]",Here Comes Pete Now.
loose,"[0, 0, 3, 16, 9, 0, 7, 0, 0, 4, 0, 2, 22, 47, 7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 38]",Here Comes Pete Now.
rug,"[0, 0, 0]",Here Comes Pete Now.
ticket,"[22, 0, 1, 1, 0]",Here Comes Pete Now.
whatever,"[14, 168, 0]",Here Comes Pete Now.
process,"[0, 3, 6, 0, 0, 0, 6, 1, 127, 0, 12, 0, 0, 0, 52, 9, 1, 0, 0, 0]",Here Comes Pete Now.
batch,"[4, 0, 0, 12, 0, 12, 0, 0, 20, 0, 1, 0, 1, 0, 2, 0, 18, 0, 0, 1, 0, 0, 2, 3, 4, 0, 0, 0]",Here Comes Pete Now.
