w,vector_uso
Curzon's,[],High Fidelity
performances,"[8, 6, 0, 0, 0, 2, 1]",High Fidelity
somewhat,"[0, 19, 0, 12, 0, 3, 17, 6, 0, 0]",High Fidelity
able,"[0, 29, 7]",High Fidelity
notably,[3],High Fidelity
detail,"[20, 3, 6, 37, 1]",High Fidelity
orchestra,[1],High Fidelity
cite,"[0, 9, 0, 0, 3, 3, 0, 0, 2, 0, 0, 0, 2, 5, 0, 31]",High Fidelity
impressive,"[4, 8]",High Fidelity
seem,"[3, 26, 59]",High Fidelity
opus,"[0, 0, 6, 11, 0]",High Fidelity
Too,"[1, 0, 0, 0, 3, 2, 118, 121]",High Fidelity
strikes,"[1, 7, 0, 1, 0, 0, 19, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 9, 0, 80, 0, 0, 1, 1, 20, 0, 0, 3, 0, 1]",High Fidelity
reflected,"[0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0]",High Fidelity
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]",High Fidelity
these,[],High Fidelity
much,"[0, 47, 0, 6, 0, 11, 0, 111]",High Fidelity
fatigue,"[0, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0]",High Fidelity
organization,"[1, 8, 8, 5, 0, 0, 0, 23, 4, 0, 3]",High Fidelity
end,"[69, 0, 0, 0, 0, 83, 51, 3, 2, 7, 4, 0, 3, 7, 0, 27, 18, 3]",High Fidelity
whose,[],High Fidelity
edition,"[0, 0, 7, 1]",High Fidelity
indistinguishable,"[5, 0, 0]",High Fidelity
practices,"[66, 0, 5, 8, 1, 0, 0, 0, 0, 163, 0, 7, 6]",High Fidelity
natural,"[0, 1, 0, 4, 25, 1, 13, 0]",High Fidelity
Recordings,"[19, 2, 12, 44, 1, 1, 5, 0, 0, 0, 0, 0, 21, 0]",High Fidelity
acquire,"[5, 0, 0, 9, 123, 16, 16, 4, 80, 0, 3, 12, 12, 0]",High Fidelity
they,[],High Fidelity
set,"[0, 2, 0, 163, 0, 1, 0, 0, 0, 0, 4, 0, 6, 0, 29, 0, 7, 7, 2, 10, 9, 0, 1, 0, 0, 0, 46, 0, 51, 72, 0, 2, 2, 0, 0, 6, 1, 8, 13, 0, 12, 0, 0, 0, 0, 19, 8, 0, 10, 19, 0, 21, 0, 0, 0, 0, 1, 1, 0, 0, 0]",High Fidelity
calls,"[0, 4, 0, 0, 1, 2, 0, 0, 0, 0, 31, 0, 0, 0, 25, 6, 11, 0, 0, 3, 0, 0, 12, 0, 2, 10, 0, 7, 5, 0, 0, 8, 9, 4, 1, 0, 0]",High Fidelity
statements,"[7, 0, 3, 8, 0, 2, 4, 0]",High Fidelity
belongs,"[90, 0, 6]",High Fidelity
Schubert's,[],High Fidelity
sounded,"[30, 0, 90, 0, 0, 25]",High Fidelity
threshold,"[0, 0, 0, 0, 0, 2, 36, 0, 1]",High Fidelity
receive,"[4, 2, 123, 7, 0, 55, 1, 3, 5, 19, 0, 49, 492]",High Fidelity
essentially,"[5, 1, 2]",High Fidelity
Philharmonic,"[0, 0, 2]",High Fidelity
pure,"[3, 22, 2, 0, 0, 0, 0, 0, 6, 0, 0, 0, 12, 9, 6, 0, 1, 0, 2]",High Fidelity
small,"[20, 0, 1, 4, 4, 0, 67, 4, 0, 0, 99, 3, 0]",High Fidelity
sturdy,"[1, 0, 0, 1, 3, 7, 0]",High Fidelity
sort,"[0, 39, 57, 0, 18, 0, 5, 1, 10, 0, 0, 12, 2]",High Fidelity
thing,"[29, 53, 0]",High Fidelity
Brahms,"[0, 0]",High Fidelity
sells,"[20, 16, 4, 0]",High Fidelity
no,"[50, 0, 266, 0, 0]",High Fidelity
type,"[0, 0, 12, 16, 0, 35]",High Fidelity
afraid,[10],High Fidelity
too,"[1, 0, 0, 0, 3, 2, 118, 121]",High Fidelity
interpretative,"[0, 0]",High Fidelity
outlook,"[0, 1, 3, 2, 0, 1, 5]",High Fidelity
would-be,"[0, 0]",High Fidelity
There,"[0, 0, 0, 0, 0, 276]",High Fidelity
Ensemble,"[0, 0, 0, 0]",High Fidelity
Returning,"[0, 0, 51, 0, 1, 0, 0, 12, 0, 0, 2, 6, 0, 0, 0, 0, 13, 0, 0, 0, 2, 0, 20, 0, 0, 1, 5, 0]",High Fidelity
four,"[0, 0, 24, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 20]",High Fidelity
performer,"[0, 0]",High Fidelity
lyrical,"[0, 2]",High Fidelity
times,"[29, 0, 0, 1, 0, 0, 1, 3, 0, 188, 0]",High Fidelity
home,"[74, 0, 52, 0, 0, 0, 0, 72, 8, 1, 0, 3, 0, 0, 0, 4, 54, 0, 3, 3]",High Fidelity
monophonic,"[0, 0, 0]",High Fidelity
infectious,"[0, 0]",High Fidelity
last-mentioned,[],High Fidelity
interesting,"[0, 8, 9, 5, 33, 1]",High Fidelity
values,"[0, 8, 0, 1, 0, 7, 17, 0, 0, 1, 1, 17, 10, 1, 1, 0, 13]",High Fidelity
acquired,"[5, 0, 0, 9, 123, 16, 16, 4, 80, 0, 3, 12, 12, 0, 3]",High Fidelity
concept,"[2, 0, 7]",High Fidelity
disillusioning,"[0, 0, 0, 0]",High Fidelity
losing,"[9, 3, 0, 3, 0, 0, 0, 1, 0, 0]",High Fidelity
undertow,"[0, 0, 0, 0, 0, 0]",High Fidelity
Records,"[44, 1, 0, 0, 19, 0, 12, 0, 0, 1, 0, 12, 0, 0, 0, 21, 2, 0, 0, 0, 0]",High Fidelity
versions,"[10, 0, 0, 1, 0, 1, 22, 1, 1, 7]",High Fidelity
defects,"[0, 5, 0, 0, 1, 3, 0]",High Fidelity
differs,"[0, 0, 0, 5]",High Fidelity
Clifford,[],High Fidelity
accustomed,"[0, 0, 0, 1, 0, 0]",High Fidelity
Caruso,"[0, 0]",High Fidelity
make,"[0, 123, 8, 51, 0, 113, 11, 163, 0, 4, 0, 1, 0, 9, 0, 1, 31, 4, 21, 0, 0, 0, 0, 16, 1, 0, 0, 2, 1, 0, 0, 5, 0, 1, 0, 0, 0, 0, 26, 17, 0, 0, 0, 80, 0, 3, 0, 0, 0, 0, 0, 0, 127, 21, 0, 0, 0, 6, 18, 39, 9, 0, 0, 0, 9, 0, 1, 0, 0, 492]",High Fidelity
Glazer-Fine,[],High Fidelity
until,[],High Fidelity
full,"[22, 0, 134, 0, 0, 3, 0, 0, 0, 24, 14, 0, 16, 8]",High Fidelity
version,"[10, 0, 0, 1, 0, 1, 22, 1, 1, 7]",High Fidelity
Toscanini,"[0, 0]",High Fidelity
its,"[0, 0]",High Fidelity
some,"[237, 0, 0, 85, 0, 0, 182, 6, 2]",High Fidelity
outset,"[1, 169, 20, 0, 0, 0, 19, 1, 0, 0]",High Fidelity
balance,"[0, 0, 1, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 16, 0, 0, 0, 0, 0]",High Fidelity
notes,"[0, 6, 0, 0, 0, 9, 0, 0, 1, 1, 0, 10, 4, 8, 2, 4, 9, 0, 24, 0, 0, 0, 0, 0, 0, 0, 8, 0]",High Fidelity
as,"[0, 0, 2793, 0, 0, 69, 828, 0, 0, 0, 0, 0, 0, 0, 147, 4, 0, 0, 0, 0, 0, 0]",High Fidelity
valve,[0],High Fidelity
Second,"[0, 40, 24, 0, 0, 0, 5, 0, 0, 0, 0, 1, 45, 0, 1, 0, 0, 1, 13, 162, 0]",High Fidelity
record,"[44, 1, 0, 0, 19, 0, 12, 0, 0, 1, 0, 12, 0, 0, 0, 21, 2, 0, 0, 0, 0]",High Fidelity
faded,"[0, 0, 0, 3, 0, 0, 0, 0, 0, 12, 0, 0, 1, 0, 0, 1]",High Fidelity
movements,"[0, 11, 0, 0, 6, 16, 18, 0, 10, 0, 0, 11, 19, 41, 0, 0, 4]",High Fidelity
