w,vector_uso
Dr.,"[13, 7, 6, 0, 0, 1]",How Much Do You Tell When You Talk?
mind,"[14, 0, 50, 0, 73, 4, 31, 0, 5, 0, 1, 0, 0, 0, 0, 0]",How Much Do You Tell When You Talk?
also,"[2, 121, 118, 3, 0]",How Much Do You Tell When You Talk?
automation,"[0, 0, 0]",How Much Do You Tell When You Talk?
view,"[12, 0, 18, 1, 17, 0, 0, 11, 2, 67, 4, 3, 19, 12, 4, 7, 0, 10, 102, 1, 4, 0, 8, 1, 0]",How Much Do You Tell When You Talk?
designed,"[18, 12, 0, 2, 6, 15]",How Much Do You Tell When You Talk?
For,[],How Much Do You Tell When You Talk?
above,"[0, 0, 0, 20, 0]",How Much Do You Tell When You Talk?
kinesics,[],How Much Do You Tell When You Talk?
psychotherapy,"[3, 0, 0]",How Much Do You Tell When You Talk?
norm,"[10, 1]",How Much Do You Tell When You Talk?
by,"[7, 40, 497, 39]",How Much Do You Tell When You Talk?
last,"[69, 0, 0, 18, 3, 27, 83, 26, 0, 0, 0, 0, 0, 2, 0, 51, 0, 0, 21, 0, 0, 90, 0, 2, 0, 2, 7, 5, 0]",How Much Do You Tell When You Talk?
linguists,"[0, 0, 0]",How Much Do You Tell When You Talk?
talker,"[4, 0, 0, 0, 0]",How Much Do You Tell When You Talk?
them,[],How Much Do You Tell When You Talk?
anthropology,[0],How Much Do You Tell When You Talk?
spirits,"[0, 0, 0, 0, 0, 0, 0, 1, 20, 0, 0, 0, 11, 0, 37, 6, 14, 23, 2, 59, 6, 6, 98, 0, 0]",How Much Do You Tell When You Talk?
that's,[],How Much Do You Tell When You Talk?
eventually,"[18, 7]",How Much Do You Tell When You Talk?
revealed,"[0, 3, 2, 0, 0, 6, 0, 13, 1, 0, 0, 0, 0]",How Much Do You Tell When You Talk?
later,"[0, 15, 33, 1, 0, 1, 0, 89, 0, 10, 0, 4, 3, 30, 11]",How Much Do You Tell When You Talk?
human,"[49, 0, 0, 173]",How Much Do You Tell When You Talk?
as,"[0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 828, 4, 147, 0, 0, 0, 0, 0, 0]",How Much Do You Tell When You Talk?
progress,"[0, 0, 0, 0, 3, 0, 1, 0, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 9]",How Much Do You Tell When You Talk?
always,"[0, 4, 59, 3, 0, 46, 0, 7]",How Much Do You Tell When You Talk?
mentally,[0],How Much Do You Tell When You Talk?
instantly,"[12, 12, 0, 0, 0, 0, 1, 0, 3, 2, 0, 129, 0]",How Much Do You Tell When You Talk?
psychological,[9],How Much Do You Tell When You Talk?
hardly,"[4, 1, 11, 115, 7]",How Much Do You Tell When You Talk?
nagging,"[0, 0, 0, 0, 0]",How Much Do You Tell When You Talk?
desire,"[16, 7, 22, 51]",How Much Do You Tell When You Talk?
ambivalence,"[0, 0]",How Much Do You Tell When You Talk?
times,"[29, 0, 1, 1, 0, 0, 0, 3, 0, 0, 188]",How Much Do You Tell When You Talk?
ear,"[0, 3, 0, 0, 0]",How Much Do You Tell When You Talk?
other,"[41, 10, 183]",How Much Do You Tell When You Talk?
Conclusions,"[27, 0, 51, 11, 0, 7, 3, 3, 7, 0, 83, 6, 1, 0]",How Much Do You Tell When You Talk?
another,"[0, 61]",How Much Do You Tell When You Talk?
spoke,"[0, 6, 0, 0, 0, 14, 26, 13, 2, 0, 14, 0]",How Much Do You Tell When You Talk?
Ray,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",How Much Do You Tell When You Talk?
orientation,"[0, 1, 0, 0]",How Much Do You Tell When You Talk?
spot,"[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 19, 1, 1, 0, 0, 16, 0, 11, 1, 0, 0, 0, 0, 0, 1, 72, 0, 0, 37, 7, 24, 6, 2, 5, 0]",How Much Do You Tell When You Talk?
sort,"[57, 1, 0, 0, 39, 0, 0, 2, 12, 0, 18, 5, 10]",How Much Do You Tell When You Talk?
away,"[29, 9, 7, 497, 102, 309, 40]",How Much Do You Tell When You Talk?
stress,"[5, 0, 0, 2, 1, 22, 3, 5, 0, 4, 0, 0]",How Much Do You Tell When You Talk?
same,"[0, 0, 0, 0, 0, 3, 88, 176]",How Much Do You Tell When You Talk?
sentences,"[0, 0, 3, 1, 0, 2, 0, 188]",How Much Do You Tell When You Talk?
i.e.,"[14, 0, 0]",How Much Do You Tell When You Talk?
experience,"[49, 492, 102, 129, 7, 37, 26, 0, 123]",How Much Do You Tell When You Talk?
drawling,[0],How Much Do You Tell When You Talk?
and,[],How Much Do You Tell When You Talk?
level,"[0, 14, 0, 23, 115, 8, 8, 22, 0, 1, 0, 1, 0, 0, 11, 10, 0, 0, 31, 37, 0, 0, 0, 12, 0, 0, 0, 18]",How Much Do You Tell When You Talk?
repetition,"[0, 5, 0]",How Much Do You Tell When You Talk?
Trager,[],How Much Do You Tell When You Talk?
pause,"[0, 0, 2, 13, 3, 1, 0]",How Much Do You Tell When You Talk?
book,"[0, 0, 0, 12, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 4, 17, 4, 11, 0, 2, 0, 19, 0, 0, 0]",How Much Do You Tell When You Talk?
girls,"[0, 0, 0, 0, 51, 0, 3, 0, 0, 0, 4]",How Much Do You Tell When You Talk?
explored,"[7, 0, 7]",How Much Do You Tell When You Talk?
happened,"[1, 0, 0, 0, 0, 55, 0, 3, 14, 0, 12, 0, 17, 0, 0, 3, 0]",How Much Do You Tell When You Talk?
central,"[14, 5, 6, 0, 6, 0, 0]",How Much Do You Tell When You Talk?
knotted,"[0, 0, 0, 2, 0, 0, 1, 0]",How Much Do You Tell When You Talk?
him,[],How Much Do You Tell When You Talk?
described,"[2, 6, 6, 3, 24, 0, 14, 0, 9, 13, 4, 3, 31, 8, 0]",How Much Do You Tell When You Talk?
neurasthenic,[0],How Much Do You Tell When You Talk?
1940's,[],How Much Do You Tell When You Talk?
used,"[0, 0, 0, 0, 7, 1, 66, 6, 0, 0, 1, 43, 0, 0, 1]",How Much Do You Tell When You Talk?
Ross,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",How Much Do You Tell When You Talk?
doesn't,[],How Much Do You Tell When You Talk?
The,[],How Much Do You Tell When You Talk?
understanding,"[0, 8, 21, 2, 1, 1, 0, 11, 0, 1, 0, 0, 9, 102, 4, 17, 30, 0, 0, 0]",How Much Do You Tell When You Talk?
signal,"[37, 0, 0, 2, 7, 13, 0, 1, 0]",How Much Do You Tell When You Talk?
significant,"[2, 1, 32, 14, 21]",How Much Do You Tell When You Talk?
listen,"[50, 15, 0, 5, 0]",How Much Do You Tell When You Talk?
points,"[14, 73, 0, 0, 0, 8, 0, 22, 0, 0, 0, 0, 1, 0, 2, 0, 0, 3, 0, 11, 3, 14, 2, 0, 0, 1, 44, 0, 16, 72, 5, 0, 18, 4, 37, 0, 0, 7, 0, 0, 0, 6, 6, 0, 0, 0, 0]",How Much Do You Tell When You Talk?
Linguistic,"[0, 0]",How Much Do You Tell When You Talk?
speech,"[6, 0, 1, 0, 0, 0, 0, 25, 0, 0, 0, 3, 1, 18]",How Much Do You Tell When You Talk?
hands,"[63, 0, 0, 0, 0, 20, 0, 51, 0, 0, 0, 51, 12, 1, 0, 0, 50, 11, 1, 0, 0, 0]",How Much Do You Tell When You Talk?
light,"[0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 18, 0, 0, 2, 0, 0, 8, 20, 0, 3, 47, 16, 1, 0, 0, 0, 0, 0, 1, 28, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",How Much Do You Tell When You Talk?
up,"[3, 0, 0, 0, 4, 307]",How Much Do You Tell When You Talk?
