w,vector_uso
conscious,"[0, 11]",Hunter at Large
carry,"[1, 9, 0, 0, 3, 0, 43, 0, 15, 0, 0, 17, 36, 80, 1, 7, 6, 0, 2, 0, 1, 0, 7, 0, 2, 0, 0, 4]",Hunter at Large
sting,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 0]",Hunter at Large
corpse,"[6, 1, 2, 3, 1]",Hunter at Large
grieving,"[2, 0, 0, 0, 0, 0, 0, 0, 0]",Hunter at Large
toward,[],Hunter at Large
nobody,"[7, 0, 0, 0]",Hunter at Large
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]",Hunter at Large
much,"[0, 47, 0, 6, 0, 11, 0, 111]",Hunter at Large
turned,"[0, 0, 7, 0, 37, 0, 54, 0, 1, 0, 0, 0, 3, 12, 0, 0, 33, 0, 127, 0, 0, 4, 0, 102, 4]",Hunter at Large
chance,"[17, 1, 0, 3, 7, 0, 2, 0, 55, 0, 3, 3, 15, 2, 10, 3, 14, 2]",Hunter at Large
pressure,"[0, 0, 10, 2, 0, 5, 0, 0, 0, 0, 1, 14, 0, 0, 1, 0, 8]",Hunter at Large
apparently,"[10, 0, 0, 0, 0, 3, 3, 2, 9, 7]",Hunter at Large
call,"[0, 4, 0, 0, 1, 2, 0, 0, 0, 0, 31, 0, 0, 0, 25, 6, 11, 0, 0, 3, 0, 0, 12, 0, 2, 10, 0, 7, 5, 0, 0, 8, 9, 4, 1, 0, 0]",Hunter at Large
undulating,"[2, 7, 0, 0, 0, 3, 0, 0]",Hunter at Large
leave,"[0, 0, 51, 0, 0, 12, 218, 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 0, 16, 0, 27, 1, 1, 1, 20, 2]",Hunter at Large
gear,"[0, 0, 0, 3, 3, 0, 0, 0, 0, 0, 7, 0]",Hunter at Large
they,[],Hunter at Large
decided,"[6, 0, 4, 0, 5, 1, 1, 10]",Hunter at Large
set,"[0, 2, 0, 163, 0, 1, 0, 0, 0, 0, 4, 0, 6, 0, 29, 0, 7, 7, 2, 10, 9, 0, 1, 0, 0, 0, 46, 0, 51, 72, 0, 2, 2, 0, 0, 6, 1, 8, 13, 0, 12, 0, 0, 0, 0, 19, 8, 0, 10, 19, 0, 21, 0, 0, 0, 0, 1, 1, 0, 0, 0]",Hunter at Large
day,"[1, 0, 0, 0, 7, 0, 56, 0, 0, 1, 0, 0]",Hunter at Large
suitcase,"[0, 0, 0, 4, 2]",Hunter at Large
above,"[20, 0, 0, 0, 0]",Hunter at Large
pocket,"[7, 0, 0, 0, 0, 2, 0, 1]",Hunter at Large
body,"[2, 50, 0, 1, 0, 0, 3, 0, 0, 0, 0]",Hunter at Large
Before,"[0, 14, 17, 123]",Hunter at Large
felt,"[37, 0, 0, 0, 0, 1, 49, 0, 55, 0, 40, 49, 8]",Hunter at Large
through,"[125, 32, 0, 0]",Hunter at Large
Still,"[9, 6, 2, 12, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 35, 2, 6, 4, 0, 47, 3, 0, 0, 0, 103, 1, 6, 0, 0, 0, 0, 0, 0, 1, 115, 11]",Hunter at Large
thing,"[29, 53, 0]",Hunter at Large
beam,"[1, 26, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 2, 1]",Hunter at Large
maybe,"[0, 13, 18, 13, 0, 0]",Hunter at Large
no,"[50, 0, 266, 0, 0]",Hunter at Large
knelt,[0],Hunter at Large
post,"[0, 0, 9, 1, 6, 0, 0, 0, 1, 1, 0, 0, 0, 72, 0, 16, 0, 19, 10, 7, 2, 14, 43, 0]",Hunter at Large
too,"[1, 0, 0, 0, 3, 2, 118, 121]",Hunter at Large
barely,"[1, 115, 7, 0, 4, 11]",Hunter at Large
There,"[0, 0, 0, 0, 0, 276]",Hunter at Large
reached,"[1, 51, 113, 11, 0, 11, 3, 0, 0, 0, 21, 7, 12, 0, 5, 1, 0, 1, 0, 0, 0, 50, 1]",Hunter at Large
home,"[74, 0, 52, 0, 0, 0, 0, 72, 8, 1, 0, 3, 0, 0, 0, 4, 54, 0, 3, 3]",Hunter at Large
longer,"[0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 109]",Hunter at Large
big,"[0, 8, 19, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 0, 0, 61, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30, 0, 53]",Hunter at Large
long,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109]",Hunter at Large
hunch,"[0, 0, 5, 0, 0, 0]",Hunter at Large
noticeable,"[0, 0, 0]",Hunter at Large
spray,"[0, 0, 2, 1, 0, 0, 0]",Hunter at Large
make,"[0, 123, 8, 51, 0, 113, 11, 163, 0, 4, 0, 1, 0, 9, 0, 1, 31, 4, 21, 0, 0, 0, 0, 16, 1, 0, 0, 2, 1, 0, 0, 5, 0, 1, 0, 0, 0, 0, 26, 17, 0, 0, 0, 80, 0, 3, 0, 0, 0, 0, 0, 0, 127, 21, 0, 0, 0, 6, 18, 39, 9, 0, 0, 0, 9, 0, 1, 0, 0, 492]",Hunter at Large
burden,"[0, 8, 27, 0, 2, 6, 13, 3, 0, 0, 4, 9, 1, 0, 4]",Hunter at Large
full,"[22, 0, 134, 0, 0, 3, 0, 0, 0, 24, 14, 0, 16, 8]",Hunter at Large
crouch,"[0, 0, 0, 3, 0, 0, 0, 1, 0]",Hunter at Large
spend,"[4, 12, 0, 9]",Hunter at Large
its,"[0, 0]",Hunter at Large
hair,"[0, 0, 0, 0, 0, 27, 0, 0]",Hunter at Large
some,"[237, 0, 0, 85, 0, 0, 182, 6, 2]",Hunter at Large
balance,"[0, 0, 1, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 16, 0, 0, 0, 0, 0]",Hunter at Large
turn,"[0, 1, 0, 23, 7, 24, 22, 0, 37, 0, 2, 0, 1, 12, 3, 0, 0, 0, 5, 12, 0, 0, 0, 90, 33, 0, 0, 127, 2, 3, 42, 0, 0, 0, 4, 0, 4]",Hunter at Large
weapon,"[0, 5, 0, 18]",Hunter at Large
as,"[0, 0, 2793, 0, 0, 69, 828, 0, 0, 0, 0, 0, 0, 0, 147, 4, 0, 0, 0, 0, 0, 0]",Hunter at Large
groin,"[0, 1, 0, 1, 0, 0, 0, 0]",Hunter at Large
falling,"[0, 0, 4, 4, 12, 1, 3, 1, 0, 0, 47, 13, 0, 1, 0, 2, 0, 20, 4, 0, 84, 0]",Hunter at Large
cleared,"[0, 0, 8, 0, 0, 0, 113, 0, 0, 0, 2, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 29, 0, 5, 0, 0, 26, 3, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 1]",Hunter at Large
heavier,"[1, 2, 1, 0, 0, 0, 25, 0, 0, 9, 0, 0, 18, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30, 4, 53, 3]",Hunter at Large
ruts,"[0, 0, 0, 0, 1, 5]",Hunter at Large
dropping,"[0, 3, 1, 20, 0, 0, 2, 4, 0, 0, 4, 0, 0, 1, 4, 0, 0, 4, 0, 0, 0, 0, 1, 1, 0, 9, 1, 3, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4]",Hunter at Large
Deep,"[4, 15, 0, 0, 30, 13, 3, 0, 7, 9, 0, 0, 0, 0, 0]",Hunter at Large
bloody,"[1, 2, 0, 0, 0, 0, 0, 2, 0]",Hunter at Large
never,"[96, 0]",Hunter at Large
rhythmic,"[0, 1]",Hunter at Large
three,"[0, 0, 0, 0, 0, 0, 15, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Hunter at Large
slack,"[0, 0, 5, 0, 0, 4, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 9]",Hunter at Large
minute,"[15, 45, 0, 40, 0, 0, 24, 5, 13, 0, 10, 0]",Hunter at Large
vision,"[18, 0, 0, 0, 0, 12, 15]",Hunter at Large
handled,"[0, 3, 20, 0, 6, 2, 3, 21, 8, 4, 10, 1]",Hunter at Large
wobbled,"[0, 0, 0, 1, 0, 7]",Hunter at Large
