w,vector_uso
somewhat,"[0, 19, 0, 12, 0, 3, 17, 6, 0, 0]",I've Been Here before!
able,"[0, 29, 7]",I've Been Here before!
weeks,"[0, 33, 0, 0]",I've Been Here before!
detail,"[20, 3, 6, 37, 1]",I've Been Here before!
notably,[3],I've Been Here before!
orator,"[0, 0, 0, 0, 0]",I've Been Here before!
carry,"[1, 9, 0, 0, 3, 0, 43, 0, 15, 0, 0, 17, 36, 80, 1, 7, 6, 0, 2, 0, 1, 0, 7, 0, 2, 0, 0, 4]",I've Been Here before!
impressive,"[4, 8]",I've Been Here before!
!,[],I've Been Here before!
psycho-physiology,[],I've Been Here before!
seem,"[3, 26, 59]",I've Been Here before!
academic,"[0, 0, 0, 12, 0]",I've Been Here before!
inaudible,"[0, 0]",I've Been Here before!
subconsciously,[1],I've Been Here before!
ancient,"[0, 8]",I've Been Here before!
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]",I've Been Here before!
these,[],I've Been Here before!
turned,"[0, 0, 7, 0, 37, 0, 54, 0, 1, 0, 0, 0, 3, 12, 0, 0, 33, 0, 127, 0, 0, 4, 0, 102, 4]",I've Been Here before!
infinite,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 43, 2, 2]",I've Been Here before!
trace,"[1, 0, 2, 3, 24, 3, 3, 0, 0, 11, 11, 9, 0, 0, 6, 0, 5, 0]",I've Been Here before!
runner-up,"[0, 0]",I've Been Here before!
accomplished,"[1, 7, 1, 4, 0, 22, 10, 11, 5, 1, 3, 14, 0, 0, 0, 0, 52]",I've Been Here before!
apparently,"[10, 0, 0, 0, 0, 3, 3, 2, 9, 7]",I've Been Here before!
continually,[1],I've Been Here before!
call,"[0, 4, 0, 0, 1, 2, 0, 0, 0, 0, 31, 0, 0, 0, 25, 6, 11, 0, 0, 3, 0, 0, 12, 0, 2, 10, 0, 7, 5, 0, 0, 8, 9, 4, 1, 0, 0]",I've Been Here before!
psychiatrists,"[0, 1, 1]",I've Been Here before!
leave,"[0, 0, 51, 0, 0, 12, 218, 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 0, 16, 0, 27, 1, 1, 1, 20, 2]",I've Been Here before!
Korean,[1],I've Been Here before!
they,[],I've Been Here before!
mileage,"[0, 0, 0, 0, 0]",I've Been Here before!
treasure,"[2, 0, 1, 1, 7, 17, 0, 0, 1]",I've Been Here before!
pictures,"[0, 0, 1, 44, 0, 0, 1, 0, 0, 0, 0, 3, 13, 0, 0, 1, 0, 0, 6, 3, 13, 2, 4, 0, 0, 0, 20, 1, 0, 2, 102, 0, 0, 22, 1, 0, 12, 0]",I've Been Here before!
Hilprecht's,[],I've Been Here before!
day,"[1, 0, 0, 0, 7, 0, 56, 0, 0, 1, 0, 0]",I've Been Here before!
prehistoric,"[0, 0]",I've Been Here before!
awed,"[0, 1, 0, 0, 2]",I've Been Here before!
body,"[2, 50, 0, 1, 0, 0, 3, 0, 0, 0, 0]",I've Been Here before!
nerves,"[0, 0, 0, 2, 5, 0, 3, 20, 0, 0, 62, 5]",I've Been Here before!
Pennsylvania,"[0, 0, 0, 5, 0]",I've Been Here before!
