w,vector_uso
A,"[0, 147, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Newark Evening News
16-hour,[],Newark Evening News
steel,"[5, 0, 3, 0, 0]",Newark Evening News
spark,"[0, 0, 3, 0, 3, 0, 1, 0, 0, 0, 0, 4, 47, 0, 1, 12, 0, 0, 0, 0, 0, 0]",Newark Evening News
Hodges,[],Newark Evening News
week,"[33, 0, 0, 0]",Newark Evening News
lined,"[6, 24, 0, 9, 1, 3, 0, 0]",Newark Evening News
march,"[6, 1, 0, 3, 21, 0, 1, 0, 0, 1, 12, 0, 0, 0, 3, 6, 0, 0, 0, 0, 0]",Newark Evening News
criticism,"[0, 0, 2, 0]",Newark Evening News
Industrial,[9],Newark Evening News
sea,"[19, 13]",Newark Evening News
preserves,"[0, 1, 0, 13, 4, 35, 0, 5, 0, 1, 0, 0]",Newark Evening News
agriculture,"[1, 0, 1, 0, 11, 0, 0, 0, 0]",Newark Evening News
year-earlier,[],Newark Evening News
saved,"[0, 4, 0, 1, 0, 6, 0, 5, 0, 0, 0, 0, 14, 0, 1, 1, 2, 35, 0, 0, 6, 0]",Newark Evening News
having,"[2, 49, 0, 113, 0, 3, 0, 18, 6, 111, 492, 1, 0, 0, 123, 6, 6, 1, 51, 0, 4, 4, 80, 2, 51, 17, 7]",Newark Evening News
acreage,"[2, 0]",Newark Evening News
second,"[0, 1, 45, 1, 1, 0, 40, 0, 0, 0, 162, 0, 5, 0, 0, 0, 0, 24, 0, 0, 13]",Newark Evening News
effectiveness,"[0, 0, 0, 0, 6, 0]",Newark Evening News
4,"[0, 0, 0, 20, 0, 24, 0, 0, 0, 1, 0, 0, 0]",Newark Evening News
complexity,"[0, 1]",Newark Evening News
pro-Trujillo,[],Newark Evening News
with,[],Newark Evening News
sailing,"[0, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0]",Newark Evening News
Hoffa,"[0, 0, 0]",Newark Evening News
conclusions,"[11, 7, 7, 0, 0, 3, 0, 0, 6, 51, 27, 83, 1, 3]",Newark Evening News
