w,vector_uso
deteriorate,"[0, 0, 9, 0]",North Country School Cares for the Whole Child
watched,"[0, 12, 0, 4, 0, 0, 17, 0, 4, 1, 102, 11, 0, 0, 6, 0, 4]",North Country School Cares for the Whole Child
A,"[0, 147, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",North Country School Cares for the Whole Child
major,"[18, 1, 0, 0, 0]",North Country School Cares for the Whole Child
kept,"[1, 2, 28, 4, 0, 1, 5, 0, 7, 0, 0, 0, 0, 0, 1, 13, 4, 35, 1, 0, 0, 17, 0, 0]",North Country School Cares for the Whole Child
beginning,"[20, 0, 0, 0, 0, 4, 0, 123, 0, 0, 0, 0, 8, 0, 0, 1, 4, 0, 0, 19, 1, 169]",North Country School Cares for the Whole Child
opportunities,"[17, 7]",North Country School Cares for the Whole Child
week,"[33, 0, 0, 0]",North Country School Cares for the Whole Child
June,[1],North Country School Cares for the Whole Child
shells,"[0, 0, 2, 35, 0, 23, 0, 0, 0, 0, 0, 1, 3, 0, 0, 6, 7]",North Country School Cares for the Whole Child
begins,"[123, 0, 0, 0, 8, 19, 0, 0, 0, 0, 0]",North Country School Cares for the Whole Child
Sprouted,"[1, 0, 0, 0, 0, 0, 0, 36, 5]",North Country School Cares for the Whole Child
garbage,"[0, 0, 0, 0, 3]",North Country School Cares for the Whole Child
development,"[0, 1, 23, 0, 8, 13, 0, 3, 0]",North Country School Cares for the Whole Child
cooking,"[4, 1, 0, 0, 113, 0, 21, 0, 0, 4, 0, 0, 4, 1]",North Country School Cares for the Whole Child
Since,[],North Country School Cares for the Whole Child
Louis,"[0, 5, 0]",North Country School Cares for the Whole Child
garden,[12],North Country School Cares for the Whole Child
North,"[0, 0, 12, 0, 0, 0, 17, 0, 5, 0, 0, 9]",North Country School Cares for the Whole Child
coffee,"[10, 0, 0, 1, 0, 0, 0, 1, 1]",North Country School Cares for the Whole Child
agriculture,"[1, 0, 1, 0, 11, 0, 0, 0, 0]",North Country School Cares for the Whole Child
leaf,"[0, 0, 3, 0, 0, 1, 0, 1, 0]",North Country School Cares for the Whole Child
suey,[],North Country School Cares for the Whole Child
wonderful,"[1, 1, 3, 4, 1, 12, 0, 1, 6, 1]",North Country School Cares for the Whole Child
testimony,"[0, 5]",North Country School Cares for the Whole Child
Occasionally,"[0, 0, 0, 0, 1, 0, 0]",North Country School Cares for the Whole Child
Surrounding,"[12, 0, 0, 0, 0, 1, 12, 0, 0, 0, 14, 0, 3, 0, 0, 0, 0]",North Country School Cares for the Whole Child
with,[],North Country School Cares for the Whole Child
educational,[4],North Country School Cares for the Whole Child
steadily,"[4, 4]",North Country School Cares for the Whole Child
amid,[],North Country School Cares for the Whole Child
surprising,"[13, 5, 4]",North Country School Cares for the Whole Child
grains,"[0, 0, 5, 0, 1, 0, 0, 0]",North Country School Cares for the Whole Child
immediately,"[12, 12, 1, 0, 3, 0, 129, 0, 0, 0]",North Country School Cares for the Whole Child
like,"[5, 17, 176, 15, 0, 88, 1, 0, 2, 0, 21]",North Country School Cares for the Whole Child
country,"[0, 28, 0, 0, 32, 49, 11, 0, 32]",North Country School Cares for the Whole Child
People,"[4, 0, 0, 102, 0, 0, 2]",North Country School Cares for the Whole Child
participate,"[0, 0, 12]",North Country School Cares for the Whole Child
handicaps,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 0, 0]",North Country School Cares for the Whole Child
This,[],North Country School Cares for the Whole Child
In,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",North Country School Cares for the Whole Child
tasted,"[0, 22, 0, 7, 0, 0, 1]",North Country School Cares for the Whole Child
pigs,"[1, 0, 2, 2, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 0, 0, 2]",North Country School Cares for the Whole Child
irrigate,"[0, 91]",North Country School Cares for the Whole Child
value,"[17, 1, 0, 0, 13, 0, 0, 1, 7, 1, 0, 0, 17, 1, 8, 1]",North Country School Cares for the Whole Child
For,[],North Country School Cares for the Whole Child
made,"[0, 0, 0, 113, 0, 9, 0, 0, 0, 26, 0, 18, 21, 0, 0, 0, 1, 1, 0, 4, 1, 0, 492, 0, 9, 0, 21, 0, 163, 0, 0, 0, 0, 127, 123, 39, 6, 0, 1, 31, 1, 9, 0, 4, 11, 0, 1, 0, 0, 0, 80, 0, 16, 5, 3, 8, 0, 117, 51, 0, 0, 17, 0, 0, 0, 0, 0, 0]",North Country School Cares for the Whole Child
gums,"[0, 0, 0, 0, 0, 2, 0, 0]",North Country School Cares for the Whole Child
Throughout,"[0, 0, 8]",North Country School Cares for the Whole Child
white,"[1, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 36, 0, 18, 0, 0, 0, 0, 0]",North Country School Cares for the Whole Child
replace,"[0, 5, 0, 0, 0, 3, 4, 0, 0]",North Country School Cares for the Whole Child
So,"[0, 0, 22, 17, 0, 0, 12, 0, 177, 0, 3, 228]",North Country School Cares for the Whole Child
fail,"[0, 0, 0, 0, 0, 0, 11, 90, 0, 13, 0, 0, 0, 1, 3, 0, 6]",North Country School Cares for the Whole Child
farm,"[16, 12, 7, 48]",North Country School Cares for the Whole Child
Plowman's,[],North Country School Cares for the Whole Child
sandy,"[2, 0, 0, 0]",North Country School Cares for the Whole Child
ruefully,"[0, 0, 0]",North Country School Cares for the Whole Child
range,"[21, 0, 72, 0, 0, 0, 0, 0, 2, 3, 4, 17, 0, 0, 13, 0, 0, 0, 0, 0, 6, 0, 3, 0, 7, 0, 0, 34, 0, 4, 0, 3, 11, 0, 12, 43, 0, 2, 1, 1, 0, 1, 1]",North Country School Cares for the Whole Child
Dried,"[0, 2, 0, 0, 12]",North Country School Cares for the Whole Child
Nourishing,"[2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",North Country School Cares for the Whole Child
dissolved,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",North Country School Cares for the Whole Child
to,[],North Country School Cares for the Whole Child
in,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",North Country School Cares for the Whole Child
Lake,[2],North Country School Cares for the Whole Child
supper,[2],North Country School Cares for the Whole Child
continued,"[13, 0, 15, 1, 0, 0, 16, 1, 0, 8, 0, 0, 1, 13, 35, 0, 0, 0, 0]",North Country School Cares for the Whole Child
countries,"[0, 28, 0, 0, 32, 49, 11, 0, 32]",North Country School Cares for the Whole Child
quick-drying,[0],North Country School Cares for the Whole Child
search,"[12, 2, 0, 59, 8, 7, 0, 0, 7]",North Country School Cares for the Whole Child
road,"[47, 3]",North Country School Cares for the Whole Child
freezer,"[0, 0, 0, 0]",North Country School Cares for the Whole Child
solution,"[8, 4, 27, 0, 25, 10]",North Country School Cares for the Whole Child
When,[],North Country School Cares for the Whole Child
managed,"[0, 0, 2, 21, 20, 0, 0, 163, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 0, 0]",North Country School Cares for the Whole Child
finished,"[2, 0, 3, 0, 0, 18, 10, 0, 0, 0, 0, 0, 0, 51, 22]",North Country School Cares for the Whole Child
shipped,"[0, 0, 10, 17]",North Country School Cares for the Whole Child
abrupt,"[14, 1, 2, 0]",North Country School Cares for the Whole Child
air,"[24, 0, 26, 2, 13, 0, 2, 0, 0, 0, 0, 1, 2, 2, 0, 2, 0, 0, 10, 0, 0, 5, 0, 0, 0, 0]",North Country School Cares for the Whole Child
months,"[0, 8]",North Country School Cares for the Whole Child
turns,"[42, 3, 0, 4, 0, 12, 2, 0, 0, 0, 0, 2, 1, 127, 0, 0, 0, 12, 0, 7, 4, 0, 0, 23, 33, 3, 0, 22, 24, 0, 90, 37, 0, 1, 0, 5, 0]",North Country School Cares for the Whole Child
unsprayed,[],North Country School Cares for the Whole Child
mountains,"[4, 0, 12, 0, 12, 0, 0, 20, 0, 1, 0, 1, 0, 2, 0, 18, 0, 0, 1, 0, 0, 2, 3, 4, 0, 0, 0, 0]",North Country School Cares for the Whole Child
though,[56],North Country School Cares for the Whole Child
rutabagas,"[0, 0, 0, 0, 0, 0, 0, 0]",North Country School Cares for the Whole Child
greatest,"[0, 30, 53, 0, 3, 0, 0, 0, 5, 61, 2, 0, 2, 0, 3, 0, 4, 1, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4]",North Country School Cares for the Whole Child
complaint,"[0, 0, 2, 8]",North Country School Cares for the Whole Child
