w,vector_uso
found,"[0, 59, 0, 0, 3, 55, 0, 7, 3, 0, 0, 4, 0, 1, 8, 13, 3, 37, 14, 0, 123, 8, 7, 21, 102, 1, 17, 0, 0, 2, 1, 0, 1, 5, 3, 1]",Northern Liberals and Southern Bourbons
Little,"[0, 0, 3, 67, 0, 0, 0, 0, 28, 0, 1, 3, 99, 0]",Northern Liberals and Southern Bourbons
also,"[2, 121, 118, 3, 0]",Northern Liberals and Southern Bourbons
view,"[12, 0, 18, 1, 17, 0, 0, 11, 2, 67, 4, 3, 19, 12, 4, 7, 0, 10, 102, 1, 4, 0, 8, 1, 0]",Northern Liberals and Southern Bourbons
individual,"[4, 0, 7, 28, 19, 4, 24, 14, 10, 0]",Northern Liberals and Southern Bourbons
intense,"[4, 0, 2]",Northern Liberals and Southern Bourbons
subjected,"[25, 1, 5]",Northern Liberals and Southern Bourbons
leadership,"[5, 9, 11]",Northern Liberals and Southern Bourbons
For,[],Northern Liberals and Southern Bourbons
tradition,"[3, 13]",Northern Liberals and Southern Bourbons
find,"[0, 0, 0, 0, 3, 55, 0, 7, 0, 0, 2, 4, 8, 3, 37, 14, 123, 8, 7, 102, 1, 0, 17, 0, 2, 1, 0, 1, 5, 1]",Northern Liberals and Southern Bourbons
democratic,"[7, 3, 0]",Northern Liberals and Southern Bourbons
by,"[7, 40, 497, 39]",Northern Liberals and Southern Bourbons
control,"[0, 0, 0, 0, 0, 38, 5, 0, 3, 0, 0, 4, 4, 9, 0, 0, 2, 1, 102, 17, 0, 3, 1, 0, 4, 6, 0, 1]",Northern Liberals and Southern Bourbons
situation,"[1, 19, 7, 2, 0, 16, 6, 72, 43, 0]",Northern Liberals and Southern Bourbons
sincerely,"[8, 0, 0, 0]",Northern Liberals and Southern Bourbons
them,[],Northern Liberals and Southern Bourbons
stars,"[0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 20, 1, 7, 1, 0, 2, 0]",Northern Liberals and Southern Bourbons
moving,"[0, 1, 1, 16, 0, 0, 1, 1, 22, 90, 7, 0, 1, 43, 0, 0, 6, 19, 0]",Northern Liberals and Southern Bourbons
reunion,"[0, 0]",Northern Liberals and Southern Bourbons
reaping,"[9, 2, 0, 0]",Northern Liberals and Southern Bourbons
abused,"[0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0]",Northern Liberals and Southern Bourbons
really,"[0, 8, 33, 0, 40, 1, 11, 81]",Northern Liberals and Southern Bourbons
directed,"[6, 73, 0, 0, 0, 10, 0, 2, 0, 4, 4, 80, 3, 0, 72, 16, 20, 0, 5, 0, 4, 0, 37, 7, 0, 0, 1]",Northern Liberals and Southern Bourbons
If,[],Northern Liberals and Southern Bourbons
conservative,"[1, 0, 0, 1, 0, 0, 1, 0]",Northern Liberals and Southern Bourbons
Had,"[49, 0, 6, 111, 2, 7, 0, 0, 51, 18, 0, 4, 123, 80, 51, 17, 0, 6, 1, 3, 492, 4, 1, 0, 113, 2, 6]",Northern Liberals and Southern Bourbons
as,"[0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 828, 4, 147, 0, 0, 0, 0, 0, 0]",Northern Liberals and Southern Bourbons
progress,"[0, 0, 0, 0, 3, 0, 1, 0, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 9]",Northern Liberals and Southern Bourbons
Court,"[0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 5, 0, 0, 0, 2, 0, 0, 0]",Northern Liberals and Southern Bourbons
Prior,"[4, 3]",Northern Liberals and Southern Bourbons
show,"[0, 21, 3, 0, 3, 36, 7, 1, 1, 1, 0, 20, 1, 6, 0, 44, 37, 15, 2, 7, 0, 0, 1, 19, 6, 8]",Northern Liberals and Southern Bourbons
ardent,"[0, 0, 11, 2, 0, 2, 1, 0]",Northern Liberals and Southern Bourbons
psychological,[9],Northern Liberals and Southern Bourbons
hardly,"[4, 1, 11, 115, 7]",Northern Liberals and Southern Bourbons
home,"[0, 0, 0, 0, 0, 0, 3, 3, 52, 4, 8, 72, 0, 54, 0, 0, 74, 1, 3, 0]",Northern Liberals and Southern Bourbons
excess,"[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 0, 6, 2]",Northern Liberals and Southern Bourbons
Southerners,[2],Northern Liberals and Southern Bourbons
England,[2],Northern Liberals and Southern Bourbons
My,[],Northern Liberals and Southern Bourbons
other,"[41, 10, 183]",Northern Liberals and Southern Bourbons
Reconstruction,"[1, 0, 0, 0]",Northern Liberals and Southern Bourbons
shibboleths,"[0, 0, 0, 0]",Northern Liberals and Southern Bourbons
against,[],Northern Liberals and Southern Bourbons
ones,"[29, 24, 5, 321, 1, 786]",Northern Liberals and Southern Bourbons
Also,"[2, 121, 118, 3, 0]",Northern Liberals and Southern Bourbons
arts,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0]",Northern Liberals and Southern Bourbons
Time's,[],Northern Liberals and Southern Bourbons
problems,"[36, 39, 20]",Northern Liberals and Southern Bourbons
frankly,"[0, 4, 0]",Northern Liberals and Southern Bourbons
sort,"[57, 1, 0, 0, 39, 0, 0, 2, 12, 0, 18, 5, 10]",Northern Liberals and Southern Bourbons
consequences,"[6, 5, 8, 16, 45, 3, 27, 0, 27, 0]",Northern Liberals and Southern Bourbons
same,"[0, 0, 0, 0, 0, 3, 88, 176]",Northern Liberals and Southern Bourbons
considered,"[65, 17, 0, 0, 0, 11, 3, 20, 80, 10, 102, 31, 0, 4, 0, 7, 1, 24, 13]",Northern Liberals and Southern Bourbons
divide,"[0, 0, 47, 1, 1, 0, 0, 0, 5, 3, 0]",Northern Liberals and Southern Bourbons
reconstructed,"[0, 0, 0, 3, 1, 2, 0, 0]",Northern Liberals and Southern Bourbons
experience,"[49, 492, 102, 129, 7, 37, 26, 0, 123]",Northern Liberals and Southern Bourbons
length,"[9, 0, 16]",Northern Liberals and Southern Bourbons
and,[],Northern Liberals and Southern Bourbons
produced,"[4, 12, 7, 48, 0, 0, 0, 12, 113, 0, 3, 16, 0, 123]",Northern Liberals and Southern Bourbons
immoral,"[3, 0]",Northern Liberals and Southern Bourbons
justice,"[0, 9, 0, 0, 1, 9, 1, 0]",Northern Liberals and Southern Bourbons
section,"[47, 4, 0, 0, 0, 1, 12, 0, 3, 2]",Northern Liberals and Southern Bourbons
rights,"[0, 0, 0, 0, 84, 0, 0, 0, 8, 0]",Northern Liberals and Southern Bourbons
Jefferson,"[2, 0, 0]",Northern Liberals and Southern Bourbons
book,"[0, 0, 0, 12, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 4, 17, 4, 11, 0, 2, 0, 19, 0, 0, 0]",Northern Liberals and Southern Bourbons
bitterly,"[0, 2, 0, 6]",Northern Liberals and Southern Bourbons
business,"[0, 0, 0, 39, 0, 3, 5, 0, 24, 0, 0, 0, 0, 0, 5, 31]",Northern Liberals and Southern Bourbons
central,"[14, 5, 6, 0, 6, 0, 0]",Northern Liberals and Southern Bourbons
else,[],Northern Liberals and Southern Bourbons
Their,[],Northern Liberals and Southern Bourbons
conquest,"[0, 1, 1, 0, 0]",Northern Liberals and Southern Bourbons
Indies,[0],Northern Liberals and Southern Bourbons
served,"[0, 1, 163, 1, 4, 19, 6, 0, 0, 0, 0, 12, 1, 25, 0, 0, 9, 41]",Northern Liberals and Southern Bourbons
draw,"[0, 0, 0, 1, 0, 24, 1, 0, 0, 0, 0, 1, 0, 5, 0, 1, 0, 0, 0, 14, 3, 0, 0, 0, 4, 9, 1, 7, 0, 123, 4, 6, 1, 0, 0, 0, 0, 0, 12, 3, 0, 12, 43, 5, 0, 0, 0, 2, 0, 0, 4, 0, 113]",Northern Liberals and Southern Bourbons
half,"[36, 1]",Northern Liberals and Southern Bourbons
closer,"[27, 2, 1, 0, 0, 0, 15, 0, 0, 0, 0, 0, 23, 5, 0, 0, 1, 0, 0, 0, 0, 3]",Northern Liberals and Southern Bourbons
liberty,"[0, 0, 2, 0, 0, 0]",Northern Liberals and Southern Bourbons
past,"[0, 3, 0, 0, 497, 0, 39]",Northern Liberals and Southern Bourbons
The,[],Northern Liberals and Southern Bourbons
mere,"[15, 6, 5]",Northern Liberals and Southern Bourbons
docile,"[0, 3, 0]",Northern Liberals and Southern Bourbons
up,"[3, 0, 0, 0, 4, 307]",Northern Liberals and Southern Bourbons
don't,[],Northern Liberals and Southern Bourbons
limits,"[0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 2, 5, 46, 7]",Northern Liberals and Southern Bourbons
America,"[14, 17, 0, 0, 0, 0, 0, 0]",Northern Liberals and Southern Bourbons
foreign,"[7, 0, 12, 7]",Northern Liberals and Southern Bourbons
prefer,"[3, 0, 7, 4, 0]",Northern Liberals and Southern Bourbons
hatred,"[5, 11]",Northern Liberals and Southern Bourbons
enmeshed,"[0, 0, 0, 0, 0]",Northern Liberals and Southern Bourbons
local,"[0, 0, 0, 20, 0]",Northern Liberals and Southern Bourbons
processes,"[6, 1, 0, 9, 127, 0, 0, 0, 1, 0, 6, 12, 0, 0, 52, 0, 0, 3, 0, 0]",Northern Liberals and Southern Bourbons
superior,"[0, 1, 0, 2, 1, 9, 0, 0, 0, 0]",Northern Liberals and Southern Bourbons
extraordinary,"[0, 5, 1]",Northern Liberals and Southern Bourbons
inferior,"[0, 0, 0, 0]",Northern Liberals and Southern Bourbons
state,"[70, 0, 21, 7, 0, 5, 11, 0, 0, 0, 0, 0, 0, 32, 0, 39, 28, 0, 49, 0]",Northern Liberals and Southern Bourbons
When,[],Northern Liberals and Southern Bourbons
Congress,"[9, 0, 0, 0, 0, 0, 0, 0, 5, 8, 1, 0, 0, 0, 0]",Northern Liberals and Southern Bourbons
life,"[0, 0, 0, 14, 0, 0, 0, 1, 0, 98, 0, 33, 0, 1]",Northern Liberals and Southern Bourbons
content,"[5, 25, 8, 0, 2, 7, 0, 0, 0, 0, 0]",Northern Liberals and Southern Bourbons
Anglo-Saxon,"[0, 0]",Northern Liberals and Southern Bourbons
greater,"[61, 0, 2, 0, 0, 0, 5, 0, 4, 18, 0, 0, 53, 0, 2, 1, 0, 0, 0, 30, 0, 3, 21, 3, 0, 0]",Northern Liberals and Southern Bourbons
friendships,"[0, 1]",Northern Liberals and Southern Bourbons
Probably,"[1, 0, 0, 27, 13, 0, 0, 0]",Northern Liberals and Southern Bourbons
displayed,"[2, 2, 6]",Northern Liberals and Southern Bourbons
third,"[0, 0, 0, 16, 0, 0, 1, 2]",Northern Liberals and Southern Bourbons
egghead,[0],Northern Liberals and Southern Bourbons
meddling,"[4, 0, 0, 0, 0, 0, 0, 0, 0]",Northern Liberals and Southern Bourbons
suspect,"[0, 3, 3, 0, 1, 3, 0, 0, 0]",Northern Liberals and Southern Bourbons
any,"[14, 0, 168]",Northern Liberals and Southern Bourbons
origin,"[24, 3, 0, 7, 1, 0, 0, 0, 3, 0, 20, 1, 3, 0, 36, 4, 4, 0, 0, 0]",Northern Liberals and Southern Bourbons
most,"[237, 18, 23, 66, 0, 104, 3, 0, 0]",Northern Liberals and Southern Bourbons
even,"[47, 1, 1, 14, 0, 14, 0, 0, 115, 10, 8, 103]",Northern Liberals and Southern Bourbons
issues,"[0, 8, 20, 13, 1, 0, 0, 1, 0, 29, 0, 27, 0, 1, 2, 42, 0, 0, 0, 27, 0, 0, 0, 0, 1, 6, 5, 80, 0, 25, 0, 0, 7, 1, 3, 0, 16, 6, 0, 0, 0]",Northern Liberals and Southern Bourbons
liberal's,[],Northern Liberals and Southern Bourbons
several,"[16, 41, 4]",Northern Liberals and Southern Bourbons
President,"[0, 14, 0, 4, 8, 0, 0, 0, 0, 3]",Northern Liberals and Southern Bourbons
Southerner,[2],Northern Liberals and Southern Bourbons
nation,"[0, 0, 11, 0, 0, 1, 28, 49, 32, 0]",Northern Liberals and Southern Bourbons
features,"[0, 0, 0, 1, 0, 17, 0, 4, 492]",Northern Liberals and Southern Bourbons
From,[],Northern Liberals and Southern Bourbons
All,"[28, 2, 2, 24, 6, 352, 13]",Northern Liberals and Southern Bourbons
visiting,"[0, 0, 0, 0, 0, 0, 0, 3, 3, 8, 0, 3, 102, 1, 0, 0, 25, 1, 0, 0, 4, 0, 0]",Northern Liberals and Southern Bourbons
understood,"[17, 0, 102, 21, 8, 2, 0, 6, 1, 4, 0, 0, 0, 12, 0]",Northern Liberals and Southern Bourbons
Carolinians,[0],Northern Liberals and Southern Bourbons
