w,vector_uso
poisons,"[0, 0, 2, 0]","Organic Gardening and Farming,"
storage,"[0, 8, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0]","Organic Gardening and Farming,"
protects,[2],"Organic Gardening and Farming,"
Dr.,"[13, 7, 6, 0, 0, 1]","Organic Gardening and Farming,"
found,"[0, 59, 0, 0, 3, 55, 0, 7, 3, 0, 0, 4, 0, 1, 8, 13, 3, 37, 14, 0, 123, 8, 7, 21, 102, 1, 17, 0, 0, 2, 1, 0, 1, 5, 3, 1]","Organic Gardening and Farming,"
also,"[2, 121, 118, 3, 0]","Organic Gardening and Farming,"
For,[],"Organic Gardening and Farming,"
find,"[0, 0, 0, 0, 3, 55, 0, 7, 0, 0, 2, 4, 8, 3, 37, 14, 123, 8, 7, 102, 1, 0, 17, 0, 2, 1, 0, 1, 5, 1]","Organic Gardening and Farming,"
graded,"[12, 17, 0, 34, 0, 10, 9, 72, 3, 21, 0]","Organic Gardening and Farming,"
by,"[7, 40, 497, 39]","Organic Gardening and Farming,"
blood,"[1, 0, 0, 24, 0, 3, 0, 1, 0, 0, 0, 7, 0, 0, 3, 0, 0, 36]","Organic Gardening and Farming,"
last,"[69, 0, 0, 18, 3, 27, 83, 26, 0, 0, 0, 0, 0, 2, 0, 51, 0, 0, 21, 0, 0, 90, 0, 2, 0, 2, 7, 5, 0]","Organic Gardening and Farming,"
control,"[0, 0, 0, 0, 0, 38, 5, 0, 3, 0, 0, 4, 4, 9, 0, 0, 2, 1, 102, 17, 0, 3, 1, 0, 4, 6, 0, 1]","Organic Gardening and Farming,"
them,[],"Organic Gardening and Farming,"
delays,"[0, 0, 10, 6, 0, 16, 17, 1, 0, 0, 1]","Organic Gardening and Farming,"
That,[],"Organic Gardening and Farming,"
touch,"[0, 0, 3, 2, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 11, 12, 0, 1, 0, 1, 0, 3, 0, 0, 0, 23, 7, 0, 0, 0, 0, 3, 0, 2, 0, 19, 3, 0, 0, 3, 11, 6, 0, 2, 0, 1, 5]","Organic Gardening and Farming,"
stride,"[0, 12, 1, 3, 5]","Organic Gardening and Farming,"
strength,"[0, 0, 14, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0]","Organic Gardening and Farming,"
spirits,"[0, 0, 0, 0, 0, 0, 0, 1, 20, 0, 0, 0, 11, 0, 37, 6, 14, 23, 2, 59, 6, 6, 98, 0, 0]","Organic Gardening and Farming,"
really,"[0, 8, 33, 0, 40, 1, 11, 81]","Organic Gardening and Farming,"
ripened,"[2, 0, 1, 1]","Organic Gardening and Farming,"
If,[],"Organic Gardening and Farming,"
variation,"[1, 0, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0]","Organic Gardening and Farming,"
C,"[23, 13, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 13, 0, 0, 0]","Organic Gardening and Farming,"
as,"[0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 828, 4, 147, 0, 0, 0, 0, 0, 0]","Organic Gardening and Farming,"
patients,"[0, 12, 0]","Organic Gardening and Farming,"
show,"[0, 21, 3, 0, 3, 36, 7, 1, 1, 1, 0, 20, 1, 6, 0, 44, 37, 15, 2, 7, 0, 0, 1, 19, 6, 8]","Organic Gardening and Farming,"
appearing,"[0, 3, 59, 0, 26, 6, 1, 0]","Organic Gardening and Farming,"
sure,"[16, 0, 9, 2, 0, 42, 0, 0, 42, 0]","Organic Gardening and Farming,"
fan,"[0, 0, 1, 0, 0, 0, 0]","Organic Gardening and Farming,"
morale,"[0, 0, 0]","Organic Gardening and Farming,"
other,"[41, 10, 183]","Organic Gardening and Farming,"
bright,"[4, 0, 4, 6, 1, 0, 2, 2, 3, 0, 0, 0, 2]","Organic Gardening and Farming,"
meal,"[0, 8]","Organic Gardening and Farming,"
raise,"[0, 10, 0, 48, 0, 1, 0, 0, 0, 0, 0, 2, 12, 0, 0, 1, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 29, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 7, 2, 0, 0, 0, 16, 0, 8, 1, 4]","Organic Gardening and Farming,"
another,"[0, 61]","Organic Gardening and Farming,"
ones,"[29, 24, 5, 321, 1, 786]","Organic Gardening and Farming,"
sun,"[0, 0, 1, 0, 10, 0, 0, 12, 0, 1, 1]","Organic Gardening and Farming,"
away,"[29, 9, 7, 497, 102, 309, 40]","Organic Gardening and Farming,"
sort,"[57, 1, 0, 0, 39, 0, 0, 2, 12, 0, 18, 5, 10]","Organic Gardening and Farming,"
same,"[0, 0, 0, 0, 0, 3, 88, 176]","Organic Gardening and Farming,"
experience,"[49, 492, 102, 129, 7, 37, 26, 0, 123]","Organic Gardening and Farming,"
and,[],"Organic Gardening and Farming,"
plus,"[6, 12, 0, 21, 0]","Organic Gardening and Farming,"
level,"[0, 14, 0, 23, 115, 8, 8, 22, 0, 1, 0, 1, 0, 0, 11, 10, 0, 0, 31, 37, 0, 0, 0, 12, 0, 0, 0, 18]","Organic Gardening and Farming,"
beauty,"[0, 3, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0]","Organic Gardening and Farming,"
becoming,"[33, 0, 90, 0, 7, 37, 0, 0, 4, 7, 123]","Organic Gardening and Farming,"
sowing,"[0, 0, 0, 5]","Organic Gardening and Farming,"
flower,"[4, 1, 0, 1, 0, 1, 0, 0]","Organic Gardening and Farming,"
inches,"[6, 2255, 3, 0]","Organic Gardening and Farming,"
soft,"[2, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 16, 0, 6]","Organic Gardening and Farming,"
Of,[],"Organic Gardening and Farming,"
Their,[],"Organic Gardening and Farming,"
smooth,"[0, 0, 0, 6, 0, 0, 2, 0, 1, 1, 0, 11, 0, 0, 1, 103, 0]","Organic Gardening and Farming,"
him,[],"Organic Gardening and Farming,"
encourages,"[1, 18, 0, 3, 2]","Organic Gardening and Farming,"
prolific,"[1, 1, 0]","Organic Gardening and Farming,"
plant,"[0, 0, 0, 59, 1, 13, 0, 0, 3, 46, 1, 22, 1, 0]","Organic Gardening and Farming,"
4,"[0, 24, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 0]","Organic Gardening and Farming,"
perky,"[0, 0, 0]","Organic Gardening and Farming,"
Pick,"[11, 0, 3, 0, 1, 0, 0, 1, 0, 0, 5, 0, 0, 0, 11, 0, 18, 0, 0, 0, 8, 0, 9, 0, 0]","Organic Gardening and Farming,"
half,"[36, 1]","Organic Gardening and Farming,"
used,"[0, 0, 0, 0, 7, 1, 66, 6, 0, 0, 1, 43, 0, 0, 1]","Organic Gardening and Farming,"
dyeing,"[0, 0]","Organic Gardening and Farming,"
doesn't,[],"Organic Gardening and Farming,"
past,"[0, 3, 0, 0, 497, 0, 39]","Organic Gardening and Farming,"
42-degrees-F.,[],"Organic Gardening and Farming,"
hazard,"[0, 0, 2, 0, 3, 15, 0, 0, 12, 0, 10, 4, 0, 17, 0, 0, 2, 2]","Organic Gardening and Farming,"
The,[],"Organic Gardening and Farming,"
pickup,"[0, 0, 5, 3, 0, 0, 0]","Organic Gardening and Farming,"
health,"[0, 5]","Organic Gardening and Farming,"
hold,"[4, 1, 2, 35, 0, 12, 2, 38, 1, 0, 3, 3, 0, 0, 0, 0, 10, 0, 3, 9, 0, 0, 10, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 13, 0, 0, 80, 4, 7, 51, 0, 17, 6, 0, 0, 3, 1, 4, 1, 0, 1, 10, 5, 0, 0, 0, 492, 0, 0, 1, 0, 4, 6, 0, 0, 1, 0, 113, 2, 0, 5, 0, 6, 1, 2]","Organic Gardening and Farming,"
Like,"[5, 15, 17, 1, 2, 0, 0, 21, 88, 0, 176]","Organic Gardening and Farming,"
they'll,[],"Organic Gardening and Farming,"
light,"[0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 18, 0, 0, 2, 0, 0, 8, 20, 0, 3, 47, 16, 1, 0, 0, 0, 0, 0, 1, 28, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]","Organic Gardening and Farming,"
start,"[0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 123, 0, 47, 0, 0, 4, 0, 0, 90, 169, 0, 0, 20, 0, 1, 1, 0, 19, 0, 8, 0, 0, 0, 0, 0, 0, 0]","Organic Gardening and Farming,"
define,"[1, 1, 0, 0, 0, 0, 2, 0, 46]","Organic Gardening and Farming,"
addition,"[0, 6, 0, 13, 0, 12, 0, 5]","Organic Gardening and Farming,"
Try,"[0, 9, 22, 7, 3, 0, 0, 0, 0, 1, 12, 1, 1, 2, 10, 7, 18, 0, 15, 4, 8]","Organic Gardening and Farming,"
don't,[],"Organic Gardening and Farming,"
heaving,"[0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Organic Gardening and Farming,"
point,"[14, 73, 0, 0, 0, 8, 0, 22, 0, 0, 0, 0, 1, 0, 2, 0, 0, 3, 0, 11, 3, 14, 2, 0, 0, 1, 44, 0, 16, 72, 5, 0, 18, 4, 37, 0, 0, 7, 0, 0, 0, 6, 6, 0, 0, 0, 0]","Organic Gardening and Farming,"
consumption,"[0, 66, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0]","Organic Gardening and Farming,"
additional,"[13, 6]","Organic Gardening and Farming,"
better,"[0, 0, 2, 13, 3, 82, 0, 0, 7, 9, 1, 0, 0, 8, 0, 0, 84, 0, 8, 115, 5, 24, 0, 0, 2, 0, 0, 23, 1, 20, 0, 0, 36, 0, 8, 0, 3, 57, 5, 8, 5, 25, 0, 1, 1, 4, 134, 0]","Organic Gardening and Farming,"
showing,"[0, 21, 3, 0, 3, 36, 7, 1, 0, 1, 1, 0, 20, 1, 0, 44, 37, 15, 2, 14, 7, 0, 0, 1, 19, 1, 6, 8]","Organic Gardening and Farming,"
Medicine,"[0, 0, 0, 16, 0, 1, 0, 0]","Organic Gardening and Farming,"
might,"[0, 58, 81]","Organic Gardening and Farming,"
state,"[70, 0, 21, 7, 0, 5, 11, 0, 0, 0, 0, 0, 0, 32, 0, 39, 28, 0, 49, 0]","Organic Gardening and Farming,"
When,[],"Organic Gardening and Farming,"
poison,"[0, 0, 2, 0]","Organic Gardening and Farming,"
phosphorus,"[2, 0, 0, 9, 0, 0, 0]","Organic Gardening and Farming,"
Occasionally,"[0, 1, 0, 0, 0, 0, 0]","Organic Gardening and Farming,"
content,"[5, 25, 8, 0, 2, 7, 0, 0, 0, 0, 0]","Organic Gardening and Farming,"
rooting,"[0, 0, 4, 4, 0, 0, 0, 0]","Organic Gardening and Farming,"
branch,"[3, 0, 0, 7, 0, 0, 1, 2, 5, 2, 18, 4, 1]","Organic Gardening and Farming,"
Probably,"[1, 0, 0, 27, 13, 0, 0, 0]","Organic Gardening and Farming,"
tasted,"[0, 0, 22, 1, 0, 7, 0]","Organic Gardening and Farming,"
third,"[0, 0, 0, 16, 0, 0, 1, 2]","Organic Gardening and Farming,"
School,"[7, 0, 1, 0, 0, 0, 69, 0, 1, 0, 0]","Organic Gardening and Farming,"
seemed,"[3, 59, 26]","Organic Gardening and Farming,"
feedings,"[51, 6, 5, 74, 1, 0, 1, 0, 8, 0, 0, 43, 2, 0]","Organic Gardening and Farming,"
tea,"[0, 0, 0, 0, 0]","Organic Gardening and Farming,"
any,"[14, 0, 168]","Organic Gardening and Farming,"
rake,"[0, 1, 0, 1, 1, 0, 0, 1, 0, 7, 0, 0, 3, 0]","Organic Gardening and Farming,"
repay,"[0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1]","Organic Gardening and Farming,"
most,"[237, 18, 23, 66, 0, 104, 3, 0, 0]","Organic Gardening and Farming,"
even,"[47, 1, 1, 14, 0, 14, 0, 0, 115, 10, 8, 103]","Organic Gardening and Farming,"
tops,"[2, 0, 29, 0, 0, 0, 0, 0, 0, 3, 26, 0, 0, 0, 8, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 1, 12, 0, 20, 1, 0, 0, 0, 1, 0, 0, 0, 0]","Organic Gardening and Farming,"
carriers,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Organic Gardening and Farming,"
selected,"[80, 0, 3, 4, 5]","Organic Gardening and Farming,"
several,"[16, 41, 4]","Organic Gardening and Farming,"
work,"[0, 0, 1, 23, 0, 13, 18, 0, 127, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 1, 0, 0, 22, 90, 0, 0, 3, 12, 12, 37, 2, 43, 6, 39, 6, 24, 113, 0, 0, 3, 9]","Organic Gardening and Farming,"
dormant,"[0, 0, 7, 0, 0, 0]","Organic Gardening and Farming,"
tomato,"[0, 0, 0, 0]","Organic Gardening and Farming,"
daily,"[1, 0, 2, 1, 9, 0, 0]","Organic Gardening and Farming,"
few,[71],"Organic Gardening and Farming,"
amounts,"[4, 5, 84, 42, 0, 0, 22, 0, 12, 8]","Organic Gardening and Farming,"
seedlings,[0],"Organic Gardening and Farming,"
asset,"[6, 0]","Organic Gardening and Farming,"
fruit,"[6, 2]","Organic Gardening and Farming,"
weather,"[0, 0, 0, 0, 2, 8, 15, 0]","Organic Gardening and Farming,"
coddled,"[0, 0, 0, 0, 0, 0, 0, 17, 0]","Organic Gardening and Farming,"
put,"[19, 51, 5, 29, 4, 3, 1, 0, 0, 34, 0, 72, 1, 0, 0, 46, 0]","Organic Gardening and Farming,"
bed,"[0, 49, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 129, 0, 0, 0, 0, 0, 0, 13, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0]","Organic Gardening and Farming,"
bobby,[1],"Organic Gardening and Farming,"
first,"[0, 0, 0, 20, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 169, 20, 0, 1, 19, 4, 0, 0, 0]","Organic Gardening and Farming,"
attractive,[4],"Organic Gardening and Farming,"
riotous,"[1, 1, 1, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Organic Gardening and Farming,"
And,[],"Organic Gardening and Farming,"
rugged,"[10, 0, 7, 1]","Organic Gardening and Farming,"
best,"[0, 0, 2, 1, 82, 3, 0, 9, 7, 1, 0, 0, 0, 84, 0, 0, 0, 8, 115, 5, 24, 0, 0, 2, 0, 0, 0, 23, 0, 1, 20, 0, 36, 0, 8, 0, 3, 0, 57, 5, 8, 5, 25, 1, 1, 4, 134, 0]","Organic Gardening and Farming,"
spring,"[3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 4, 4, 0, 19, 0, 39, 0, 0, 7]","Organic Gardening and Farming,"
fruits,"[6, 2]","Organic Gardening and Farming,"
maintaining,"[4, 17, 0, 3, 2, 35, 0, 0, 1, 5, 2, 1, 0, 1]","Organic Gardening and Farming,"
manure,"[0, 0]","Organic Gardening and Farming,"
seeds,"[0, 0, 0, 4, 5, 84, 1, 0, 0, 0]","Organic Gardening and Farming,"
kind,"[57, 39, 0, 2, 18, 10]","Organic Gardening and Farming,"
27,"[1, 0, 0, 0]","Organic Gardening and Farming,"
allowed,"[0, 10, 6, 1, 3, 0, 16, 0, 1, 0, 32, 0, 10, 0, 51, 12]","Organic Gardening and Farming,"
1/2,[],"Organic Gardening and Farming,"
frame,"[0, 0, 2, 1, 13, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 51, 0, 1, 22, 0, 0, 0, 0, 1, 39, 0, 5, 4, 0, 6, 0, 9, 1]","Organic Gardening and Farming,"
look,"[41, 5, 0, 0, 26, 0, 15, 0, 0, 3, 14, 10, 37, 0, 102, 14, 23, 0, 8, 2, 7, 59, 4, 6, 7, 62, 6, 23, 4]","Organic Gardening and Farming,"
miss,"[0, 9, 0, 51, 10, 0, 1, 3, 1, 0, 0, 0, 0, 0, 7, 8, 9, 0]","Organic Gardening and Farming,"
much,"[0, 0, 0, 6, 47, 111, 0, 11]","Organic Gardening and Farming,"
loose,"[0, 0, 0, 9, 38, 0, 0, 0, 0, 7, 0, 0, 22, 7, 0, 47, 16, 0, 3, 0, 1, 4, 0, 2, 0]","Organic Gardening and Farming,"
make,"[0, 0, 0, 0, 4, 8, 0, 0, 31, 0, 3, 0, 0, 0, 18, 26, 0, 127, 0, 0, 1, 1, 0, 0, 9, 0, 9, 0, 0, 123, 2, 80, 0, 0, 51, 17, 6, 1, 0, 0, 0, 0, 492, 0, 163, 0, 5, 1, 0, 0, 4, 0, 39, 21, 1, 0, 0, 0, 0, 0, 113, 11, 1, 21, 0, 16, 0, 0, 9, 0]","Organic Gardening and Farming,"
are,"[3, 11, 0, 1, 722, 0, 12, 0, 21, 479, 0, 26, 6, 6]","Organic Gardening and Farming,"
plentiful,"[3, 0, 3, 13, 0, 0]","Organic Gardening and Farming,"
decayed,"[0, 0, 0, 0, 0, 0, 0, 0]","Organic Gardening and Farming,"
shear,"[0, 0]","Organic Gardening and Farming,"
thick,"[0, 0, 9, 0, 0, 0, 15, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","Organic Gardening and Farming,"
shade,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 0, 0]","Organic Gardening and Farming,"
retains,"[0, 13, 0, 17, 35, 0, 0]","Organic Gardening and Farming,"
great,"[61, 0, 2, 0, 0, 0, 5, 0, 4, 18, 0, 0, 53, 0, 2, 1, 0, 0, 0, 30, 0, 3, 3, 0, 0]","Organic Gardening and Farming,"
packing,"[0, 1, 0, 1, 0, 0, 1, 9, 0, 1, 0, 80, 0, 0, 0, 0, 0, 1, 0]","Organic Gardening and Farming,"
houses,"[0, 54, 74, 0, 0, 0, 0, 52, 13, 3, 0, 2, 0, 0, 11, 0]","Organic Gardening and Farming,"
acids,"[25, 0, 0, 2, 1, 0, 2, 0, 1, 0, 0, 0]","Organic Gardening and Farming,"
getting,"[49, 6, 0, 6, 12, 55, 0, 0, 7, 18, 0, 18, 0, 0, 0, 51, 4, 18, 0, 0, 1, 0, 0, 12, 84, 3, 9, 0, 0, 0, 0, 0, 123, 80, 33, 3, 23, 0, 90, 21, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 2, 492, 19, 8, 0, 0, 0, 0, 1, 0, 0, 11, 1, 5, 113, 2, 19, 16, 1, 0, 0, 2]","Organic Gardening and Farming,"
Nothing,"[0, 0, 0, 0, 0, 0, 0, 38, 3, 0, 0, 13, 1, 0]","Organic Gardening and Farming,"
shopping,"[10, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 0, 0, 1, 0, 0, 0, 0]","Organic Gardening and Farming,"
controlled,"[0, 0, 0, 38, 5, 5, 3, 0, 9, 2, 1, 102, 17, 0, 3, 0, 4, 6, 0, 1]","Organic Gardening and Farming,"
I've,[],"Organic Gardening and Farming,"
haven't,[],"Organic Gardening and Farming,"
