w,vector_uso
like,"[17, 176, 5, 2, 0, 21, 88, 1, 0, 15, 0]",People. Art & Education
Then,"[177, 0, 228, 0]",People. Art & Education
1946,[],People. Art & Education
experienced,"[0, 0, 37, 7, 8, 129, 123, 26, 49, 492, 102]",People. Art & Education
bellboys,"[0, 0, 0]",People. Art & Education
new,"[0, 36, 12, 92, 3, 0, 1, 5, 38, 4, 4]",People. Art & Education
Wall,"[0, 14, 0, 0, 12, 0, 0, 1]",People. Art & Education
recruit,"[7, 0, 0, 0, 1, 2, 0, 0, 12]",People. Art & Education
I,"[0, 5, 24, 29, 0, 786, 3, 321, 0, 1, 0]",People. Art & Education
Illustrated,"[10, 1, 3]",People. Art & Education
into,[],People. Art & Education
report,"[0, 3, 7, 0, 0, 8, 31, 6, 17, 0, 8, 13, 6, 24]",People. Art & Education
Chicago,"[0, 1, 0, 0, 14, 0]",People. Art & Education
most,"[23, 0, 0, 18, 237, 66, 3, 104, 0]",People. Art & Education
held,"[0, 1, 0, 1, 2, 0, 17, 0, 3, 12, 36, 1, 51, 4, 0, 0, 0, 1, 2, 6, 0, 0, 13, 1, 1, 0, 2, 5, 5, 0, 0, 0, 9, 0, 113, 3, 3, 80, 0, 1, 4, 1, 6, 3, 10, 38, 0, 2, 35, 0, 6, 0, 0, 0, 492, 7]",People. Art & Education
someone,"[14, 28, 4, 7, 19, 4]",People. Art & Education
Students,"[3, 14, 0, 0, 0, 0]",People. Art & Education
ability,"[10, 58]",People. Art & Education
staff,"[2, 0, 1]",People. Art & Education
England,[2],People. Art & Education
haggling,"[0, 0, 0, 1, 0, 0, 0]",People. Art & Education
Year,"[61, 0, 12, 0]",People. Art & Education
worth,"[18, 0, 0, 0]",People. Art & Education
Frank,"[0, 0, 1, 2, 0, 0, 0, 0, 25, 0, 0, 0, 7, 0, 0, 0, 0, 0]",People. Art & Education
Barnes,[],People. Art & Education
plaintiffs,"[0, 0]",People. Art & Education
boom,"[2, 0, 0, 0, 3, 0, 0, 2, 1, 0, 1, 3, 1, 0, 0, 1, 0, 2, 0, 0]",People. Art & Education
Matisses,"[0, 0, 0]",People. Art & Education
been,"[12, 1, 11, 722, 6, 0, 26, 0, 21, 0, 6, 3]",People. Art & Education
outside,"[1, 0, 0, 29, 2, 8, 5, 40, 0, 4, 0, 0]",People. Art & Education
gold,"[0, 0, 0, 0, 0, 0, 1, 3]",People. Art & Education
connotes,"[2, 0, 0]",People. Art & Education
grandiose,"[0, 2, 0, 0, 0, 0]",People. Art & Education
down,"[1, 13, 0, 0, 32, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 146, 0, 0, 1, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",People. Art & Education
speeding,"[1, 14, 1, 0, 4, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 30, 0, 0, 0, 0]",People. Art & Education
skins,"[0, 0, 5, 0, 0, 0, 1, 6, 1, 0, 0, 7, 0, 0, 0]",People. Art & Education
Philadelphia,"[0, 6]",People. Art & Education
boxes,"[4, 0, 0, 4, 17, 0, 0]",People. Art & Education
Senate,"[0, 0, 0, 7, 0]",People. Art & Education
waiting,"[10, 0, 17, 0, 0, 0, 15, 0, 59]",People. Art & Education
student,"[3, 14, 0, 0, 0, 0]",People. Art & Education
High,"[2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 61, 0, 0, 0, 0, 1]",People. Art & Education
feel,"[37, 2, 6, 49, 0, 6, 40, 8, 0, 55, 23, 14, 0, 59]",People. Art & Education
Fabian,"[0, 4]",People. Art & Education
rejected,"[3, 0, 0, 4, 0, 0, 0, 1, 0, 0, 2, 0, 8, 0, 0, 3, 0, 0, 1]",People. Art & Education
continent,"[0, 5, 2]",People. Art & Education
Tooling,"[0, 2, 0]",People. Art & Education
K.,[],People. Art & Education
biggest,"[7, 0, 0, 0, 0, 0, 4, 0, 0, 0, 30, 2, 0, 0, 18, 0, 0, 8, 0, 0, 0, 0, 0, 0, 61, 53, 1, 0, 19, 0, 0, 0, 0, 13]",People. Art & Education
known,"[0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 0, 26, 2, 0, 0, 49, 1, 8, 0, 0, 0, 0, 3, 0, 24, 0, 0, 0, 129, 0, 0, 49]",People. Art & Education
A,"[0, 147, 0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0]",People. Art & Education
announced,"[14, 1, 0, 0, 3, 1, 0, 0, 0]",People. Art & Education
city,"[0, 44, 0]",People. Art & Education
State,"[0, 0, 0, 28, 0, 32, 49, 7, 39, 0, 5, 0, 0, 0, 0, 0, 0, 21, 70, 11]",People. Art & Education
mammoth,"[2, 1]",People. Art & Education
statesmen,"[0, 0, 0]",People. Art & Education
Inaugural,"[1, 0, 169, 0, 0, 0, 0]",People. Art & Education
warless,[],People. Art & Education
'',[],People. Art & Education
himself,[],People. Art & Education
window,"[13, 0]",People. Art & Education
22,"[6, 0, 0, 0]",People. Art & Education
socks,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",People. Art & Education
than,[],People. Art & Education
rein,"[0, 8, 5, 0, 1]",People. Art & Education
whose,[],People. Art & Education
medicine,"[0, 0, 0, 0, 0, 16, 0, 1]",People. Art & Education
Valedictorian,"[0, 0]",People. Art & Education
Journal,"[0, 0, 0]",People. Art & Education
met,"[0, 11, 7, 0, 0, 2, 0, 3, 7, 0, 0, 23, 0, 1, 3, 1, 8, 0, 0, 0, 3, 0, 3, 0, 0, 102, 19]",People. Art & Education
staged,"[0, 7, 0, 11, 36, 0, 0, 1, 0, 10, 2, 0, 8, 0, 6, 0, 0, 0, 2]",People. Art & Education
pressure,"[10, 5, 1, 0, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2]",People. Art & Education
Prize,"[0, 11, 17, 0, 3, 4, 1, 0, 0, 0, 0, 2, 1, 3, 13, 9, 1, 1, 0, 7, 0, 0]",People. Art & Education
delight,"[5, 0, 4, 0, 0, 1, 17, 5, 0, 0, 0, 0, 6]",People. Art & Education
