w,vector_uso
Some,"[2, 0, 182, 6, 85, 0, 0, 0, 237]",Proceedings of the 1961 Heat
Maecker,[],Proceedings of the 1961 Heat
measuring,"[0, 0, 0, 1, 0, 1, 1, 17, 1, 8, 0, 0]",Proceedings of the 1961 Heat
falling,"[0, 84, 4, 0, 4, 0, 13, 3, 0, 0, 1, 1, 0, 2, 1, 47, 20, 0, 4, 12, 0, 0]",Proceedings of the 1961 Heat
pyrometer,[0],Proceedings of the 1961 Heat
transpirating,"[0, 0]",Proceedings of the 1961 Heat
voltage,"[6, 0, 0, 0, 0, 0, 0]",Proceedings of the 1961 Heat
as,"[2793, 69, 0, 828, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",Proceedings of the 1961 Heat
purpose,"[11, 18, 7, 6, 66, 1, 1, 0, 2, 7, 3, 1]",Proceedings of the 1961 Heat
whereas,[],Proceedings of the 1961 Heat
design,"[0, 15, 11, 2, 0, 3, 0, 18, 7, 8, 0, 1, 0, 6, 0, 22]",Proceedings of the 1961 Heat
50,"[0, 0, 3, 12]",Proceedings of the 1961 Heat
feeds,"[0, 43, 1, 0, 0, 2, 74, 51, 0, 6, 8, 0]",Proceedings of the 1961 Heat
models,"[0, 0, 0, 0, 0, 8, 0, 10, 3, 23, 0, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0, 0, 0, 1]",Proceedings of the 1961 Heat
1/4'',[],Proceedings of the 1961 Heat
at,"[0, 0, 580, 35]",Proceedings of the 1961 Heat
distribution,"[0, 0, 6]",Proceedings of the 1961 Heat
showed,"[8, 21, 3, 7, 1, 19, 0, 15, 37, 36, 44, 3, 0, 1, 20, 0, 1, 7, 1, 0, 0, 0, 6, 1]",Proceedings of the 1961 Heat
pressure,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 14, 8, 1, 10]",Proceedings of the 1961 Heat
phenomenon,[5],Proceedings of the 1961 Heat
knowledge,"[0, 18, 0]",Proceedings of the 1961 Heat
In,"[3, 0, 0, 2, 1, 152, 2255, 0, 0, 0]",Proceedings of the 1961 Heat
motion,"[6, 0, 16, 0, 19, 33, 0, 5, 0]",Proceedings of the 1961 Heat
fraction,"[1, 3]",Proceedings of the 1961 Heat
be,"[6, 21, 6, 0, 722, 0, 11, 0, 4, 3, 26, 1, 12, 0, 0, 0]",Proceedings of the 1961 Heat
particularly,"[0, 0, 11, 0, 14]",Proceedings of the 1961 Heat
producing,"[16, 123, 7, 12, 0, 48, 0, 3, 4, 0, 0, 0, 12, 113]",Proceedings of the 1961 Heat
which,[],Proceedings of the 1961 Heat
voltages,"[6, 0, 0, 0, 0, 0, 0]",Proceedings of the 1961 Heat
chemical,"[0, 1, 0]",Proceedings of the 1961 Heat
because,[],Proceedings of the 1961 Heat
assumes,"[0, 80, 0, 0, 9, 6, 0, 0, 0, 6, 3, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0]",Proceedings of the 1961 Heat
),[],Proceedings of the 1961 Heat
