w,vector_uso
A,"[0, 147, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Proton magnetic resonance study
2.26,[],Proton magnetic resonance study
contaminated,"[0, 0, 0, 0, 1]",Proton magnetic resonance study
total,"[42, 1, 9, 22, 1, 0, 84, 5, 0, 0, 0, 0, 24, 1, 14, 2, 12, 0]",Proton magnetic resonance study
excellent,"[2, 8, 1, 0]",Proton magnetic resonance study
Since,[],Proton magnetic resonance study
experiment,"[4, 0, 8]",Proton magnetic resonance study
container,[0],Proton magnetic resonance study
Plane,"[0, 0, 0, 4, 18, 0, 0, 12, 14, 10, 0, 0]",Proton magnetic resonance study
second,"[0, 1, 45, 1, 1, 0, 40, 0, 0, 0, 162, 0, 5, 0, 0, 0, 0, 24, 0, 0, 13]",Proton magnetic resonance study
having,"[2, 49, 0, 113, 0, 3, 0, 18, 6, 111, 492, 1, 0, 0, 123, 6, 6, 1, 51, 0, 4, 4, 80, 2, 51, 17, 7]",Proton magnetic resonance study
domains,"[0, 0, 34, 0, 96, 32, 0, 1, 1, 0, 1, 32]",Proton magnetic resonance study
taken,"[7, 3, 0, 113, 18, 0, 0, 5, 0, 3, 6, 14, 0, 1, 1, 1, 0, 5, 7, 20, 2, 9, 0, 492, 5, 28, 0, 0, 3, 10, 1, 0, 5, 123, 5, 16, 1, 1, 11, 7, 0, 3, 4, 9, 1, 0, 0, 10, 0, 3, 80, 20, 2, 24, 21, 6, 0, 0, 2, 0, 22, 6, 4, 1, 17, 4, 5, 54]",Proton magnetic resonance study
4,"[0, 0, 0, 20, 0, 24, 0, 0, 0, 1, 0, 0, 0]",Proton magnetic resonance study
greater,"[30, 53, 0, 3, 0, 0, 0, 5, 21, 61, 2, 0, 2, 0, 3, 0, 1, 0, 0, 0, 0, 0, 18, 0, 0, 4]",Proton magnetic resonance study
with,[],Proton magnetic resonance study
doubt,"[0, 1, 0, 33, 0, 14, 0]",Proton magnetic resonance study
decreasing,"[0, 0, 0, 20, 1, 0]",Proton magnetic resonance study
OOH,"[0, 0]",Proton magnetic resonance study
moments,"[40, 24, 3, 6, 0, 0, 13, 45, 0, 5]",Proton magnetic resonance study
stacked,"[0, 2, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0]",Proton magnetic resonance study
unlikely,"[1, 1, 2, 1]",Proton magnetic resonance study
Spectra,[0],Proton magnetic resonance study
negative,"[0, 0, 0, 1, 0, 0, 1, 6]",Proton magnetic resonance study
preparation,"[0, 0, 0, 8, 4, 0, 9, 0, 0, 0, 4, 2, 4]",Proton magnetic resonance study
1000,"[3, 5, 0, 4, 0, 0, 0, 5, 0, 0, 10, 0]",Proton magnetic resonance study
employing,"[0, 66, 0, 1, 1, 5, 7]",Proton magnetic resonance study
density,"[2, 0, 0, 3, 0]",Proton magnetic resonance study
view,"[12, 0, 102, 1, 4, 19, 0, 1, 12, 0, 4, 7, 0, 4, 18, 17, 2, 67, 3, 1, 11, 10, 0, 8, 0]",Proton magnetic resonance study
Aj,[],Proton magnetic resonance study
This,[],Proton magnetic resonance study
atoms,"[0, 0, 3, 0, 24, 0]",Proton magnetic resonance study
