w,vector_uso
found,"[0, 59, 0, 0, 3, 55, 0, 7, 3, 0, 0, 4, 0, 1, 8, 13, 3, 37, 14, 0, 123, 8, 7, 21, 102, 1, 17, 0, 0, 2, 1, 0, 1, 5, 3, 1]",Radio Emission of the Moon and Planet
also,"[2, 121, 118, 3, 0]",Radio Emission of the Moon and Planet
follows,"[12, 2, 0, 0, 0, 2, 4, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 2, 11, 0, 722, 0, 0]",Radio Emission of the Moon and Planet
Table,"[0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 15, 0, 0]",Radio Emission of the Moon and Planet
For,[],Radio Emission of the Moon and Planet
cases,"[8, 0, 0, 10, 6, 0, 0, 0, 18, 12, 16, 23, 1, 0, 0, 0, 7, 0, 0, 25, 0, 0, 0, 0, 0, 0, 35, 0, 62, 0, 0, 0]",Radio Emission of the Moon and Planet
by,"[7, 40, 497, 39]",Radio Emission of the Moon and Planet
waves,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 7, 0, 2, 0]",Radio Emission of the Moon and Planet
phases,"[4, 0, 39, 11]",Radio Emission of the Moon and Planet
layer,"[12, 14, 1, 0]",Radio Emission of the Moon and Planet
Radio,"[0, 0, 0, 9, 0, 0, 0]",Radio Emission of the Moon and Planet
really,"[0, 8, 33, 0, 40, 1, 11, 81]",Radio Emission of the Moon and Planet
high-resolution,[0],Radio Emission of the Moon and Planet
assumed,"[6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 80, 0, 9, 3, 7, 0, 6, 0, 0, 0, 6, 0, 0]",Radio Emission of the Moon and Planet
3.75,[],Radio Emission of the Moon and Planet
variation,"[1, 0, 7, 0, 0, 0, 0, 0, 4, 0, 0, 0]",Radio Emission of the Moon and Planet
measurements,"[1, 0, 8, 0]",Radio Emission of the Moon and Planet
Noskova,[],Radio Emission of the Moon and Planet
C,"[23, 13, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0, 13, 0, 0, 0]",Radio Emission of the Moon and Planet
