w,vector_uso
symbol,"[10, 0, 0, 0]",Reviews
exerts,"[1, 5, 5, 0]",Reviews
like,"[17, 176, 5, 2, 0, 21, 88, 1, 0, 15, 0]",Reviews
Reports,"[0, 3, 7, 0, 0, 8, 31, 6, 17, 0, 8, 13, 6, 24]",Reviews
either,[29],Reviews
comes,"[0, 42, 0, 0, 5, 163, 0, 0, 0, 20, 0, 0, 0, 3, 22, 84, 0, 3, 3, 123, 11, 0, 12, 0, 1]",Reviews
throughout,"[0, 8, 0]",Reviews
new,"[0, 36, 12, 92, 3, 0, 1, 5, 38, 4, 4]",Reviews
into,[],Reviews
Dexedrine,"[0, 0]",Reviews
"3,000",[],Reviews
toward,[],Reviews
most,"[23, 0, 0, 18, 237, 66, 3, 104, 0]",Reviews
undue,"[0, 0, 0, 0, 2, 2]",Reviews
becoming,"[33, 7, 0, 0, 123, 90, 0, 4, 0, 7, 37]",Reviews
Food,"[0, 0, 1, 13, 0]",Reviews
England,[2],Reviews
So,"[0, 3, 12, 22, 0, 17, 0, 177, 0, 228, 0, 0]",Reviews
downright,"[1, 3, 2, 0, 0, 0]",Reviews
controls,"[1, 1, 4, 17, 0, 0, 9, 0, 0, 4, 0, 3, 3, 0, 0, 1, 0, 0, 0, 38, 0, 2, 0, 6, 0, 4, 5, 102]",Reviews
inner,"[0, 4, 3, 3, 0, 25]",Reviews
bloodstream,"[0, 0]",Reviews
premiums,"[0, 0, 0, 0, 0, 0]",Reviews
weather,"[0, 0, 2, 0, 15, 0, 8, 0]",Reviews
spinach,"[0, 0, 0, 0]",Reviews
end,"[27, 51, 0, 3, 18, 83, 7, 3, 0, 69, 2, 3, 0, 0, 0, 4, 0, 7]",Reviews
down,"[1, 13, 0, 0, 32, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 146, 0, 0, 1, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Reviews
winning,"[4, 0, 3, 0, 18, 5, 0, 3, 0, 0, 0, 0, 0, 3, 16, 0]",Reviews
chocolate,"[1, 0, 0, 10, 0, 1, 0, 0]",Reviews
messages,"[0, 7, 8, 2]",Reviews
banish,"[12, 0, 1, 0, 0, 0, 0, 0, 0]",Reviews
mealie-meal,[],Reviews
meat,"[5, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 3, 2, 0, 20, 23]",Reviews
others,[],Reviews
yellowish,"[0, 5, 0]",Reviews
A,"[0, 147, 0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0]",Reviews
regarded,"[102, 7, 5, 10, 11, 17, 0]",Reviews
hen,"[1, 0]",Reviews
nearer,"[23, 0, 27, 8, 134, 2, 0, 0, 1, 15, 0, 0]",Reviews
body's,[],Reviews
encephalitis,"[0, 0, 0]",Reviews
Saturated,"[0, 2, 0, 12, 0]",Reviews
'',[],Reviews
mostly,"[12, 6, 0, 0, 0, 5]",Reviews
childhood,"[0, 11]",Reviews
army,"[0, 0, 0, 7, 3, 0, 0, 0]",Reviews
weight,"[1, 0, 1, 0, 0, 2, 13, 0, 0, 0, 6, 0]",Reviews
than,[],Reviews
eaters,"[0, 0]",Reviews
bile,"[0, 0]",Reviews
kills,"[146, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0, 9, 0, 0]",Reviews
one-fifth,"[0, 0, 3, 0]",Reviews
stumbled,"[1, 0, 0, 1, 12, 21, 0]",Reviews
Chevrolet,[],Reviews
cornerstone,"[0, 0, 26, 0, 1, 3]",Reviews
fully,"[0, 0, 8, 24, 0]",Reviews
chief,"[7, 15, 73, 0, 0, 13, 0, 0, 12, 3, 1, 0, 9, 1]",Reviews
Eventually,"[18, 7]",Reviews
would,[],Reviews
A.,[],Reviews
none,[17],Reviews
weight-height,[],Reviews
And,[],Reviews
longer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 28]",Reviews
consume,"[0, 146, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 80, 492, 8, 0, 0]",Reviews
symptomatic,"[0, 1]",Reviews
studied,"[11, 0, 2, 10, 4, 0, 21, 0, 2, 0, 80, 0, 24, 5]",Reviews
physical,"[0, 0, 14]",Reviews
as,"[0, 0, 0, 0, 0, 69, 828, 0, 0, 0, 2793, 0, 0, 0, 0, 0, 147, 0, 4, 0, 0, 0]",Reviews
birch-paneled,[],Reviews
overburden,"[0, 0]",Reviews
concocted,"[0, 3, 0, 0, 0, 0, 0]",Reviews
inconspicuously,[0],Reviews
they,[],Reviews
E.,[],Reviews
categories,"[52, 1, 12]",Reviews
measured,"[0, 6, 1, 0, 0, 0, 0, 1, 0, 4, 0, 17, 3, 1, 8, 1, 0]",Reviews
Pursuing,"[0, 0, 1, 1, 0, 11, 2, 0, 0, 0]",Reviews
When,[],Reviews
average,"[10, 0, 0, 1, 21, 2, 8, 37, 15, 0, 0, 0]",Reviews
cream,"[0, 1, 3, 0, 0, 1, 0, 9, 0, 1, 1, 0]",Reviews
Maybe,"[13, 18, 0, 13, 0, 0]",Reviews
breast,"[10, 0, 0, 1, 0, 41, 0, 0, 0, 0]",Reviews
York's,[],Reviews
intima,[0],Reviews
Metropolitan,[1],Reviews
at,"[35, 0, 0, 580]",Reviews
reports,"[0, 3, 7, 0, 0, 8, 31, 6, 17, 0, 8, 13, 6, 24]",Reviews
desire,"[16, 22, 7, 51]",Reviews
