w,vector_uso
A,"[0, 147, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
Automobile,"[0, 7, 47, 8, 8]",Rhode Island Legislative Council. Research Report Number 1
experience,"[123, 49, 492, 26, 129, 102, 0, 7, 37]",Rhode Island Legislative Council. Research Report Number 1
variously,"[0, 2, 0]",Rhode Island Legislative Council. Research Report Number 1
replacement,"[3, 0, 0, 1, 0, 4, 0, 1, 6, 0, 1, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
total,"[42, 1, 9, 22, 1, 0, 84, 5, 0, 0, 0, 0, 24, 1, 14, 2, 12, 0]",Rhode Island Legislative Council. Research Report Number 1
left,"[0, 0, 0, 41, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 12, 32, 16, 0, 0, 0, 218, 0, 0, 9, 0, 0, 20, 27, 51]",Rhode Island Legislative Council. Research Report Number 1
'30s,[],Rhode Island Legislative Council. Research Report Number 1
confined,"[5, 1, 1, 0, 0, 2, 0, 0, 7, 0, 1, 0, 1, 17, 0, 2]",Rhode Island Legislative Council. Research Report Number 1
closely,"[4, 1, 18, 5, 27]",Rhode Island Legislative Council. Research Report Number 1
effectiveness,"[0, 0, 0, 0, 6, 0]",Rhode Island Legislative Council. Research Report Number 1
4,"[0, 0, 0, 20, 0, 24, 0, 0, 0, 1, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
growth,"[0, 23, 1, 0, 1, 8, 13, 0, 13, 0]",Rhode Island Legislative Council. Research Report Number 1
procedure,"[0, 12, 6, 6, 0, 5, 6]",Rhode Island Legislative Council. Research Report Number 1
with,[],Rhode Island Legislative Council. Research Report Number 1
steadily,"[4, 4]",Rhode Island Legislative Council. Research Report Number 1
Works,"[0, 0, 0, 9, 113, 0, 0, 0, 18, 0, 0, 6, 2, 0, 22, 1, 0, 3, 1, 0, 6, 127, 5, 0, 0, 39, 0, 0, 12, 0, 0, 0, 23, 0, 13, 1, 0, 0, 43, 24, 0, 22, 0, 13, 0, 90, 12, 37, 0, 0, 1, 1, 0, 3, 0]",Rhode Island Legislative Council. Research Report Number 1
dates,"[7, 0, 0, 3, 0, 0, 102, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
refinements,"[1, 0, 0, 0, 2, 1, 0, 3, 0, 0, 0, 3, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
well-administered,[],Rhode Island Legislative Council. Research Report Number 1
driver,"[7, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
immediately,"[12, 12, 1, 0, 3, 0, 129, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
uniformly,[0],Rhode Island Legislative Council. Research Report Number 1
who,"[0, 0]",Rhode Island Legislative Council. Research Report Number 1
past,"[0, 0, 39, 0, 3, 0, 497]",Rhode Island Legislative Council. Research Report Number 1
similarly,"[2, 1]",Rhode Island Legislative Council. Research Report Number 1
survey,"[24, 18, 17, 0, 2, 0, 7, 1, 11, 1, 1]",Rhode Island Legislative Council. Research Report Number 1
tires,"[0, 0, 1, 2, 0, 0, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
"22,000",[],Rhode Island Legislative Council. Research Report Number 1
This,[],Rhode Island Legislative Council. Research Report Number 1
behind,"[1, 7, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 0, 0, 12, 0, 1, 0, 0, 1, 38, 235, 13, 3, 0, 5, 0, 0, 0, 0]",Rhode Island Legislative Council. Research Report Number 1
In,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",Rhode Island Legislative Council. Research Report Number 1
