w,vector_uso
like,"[17, 176, 5, 2, 0, 21, 88, 1, 0, 15, 0]",Riding the Dark Train Out
Then,"[177, 0, 228, 0]",Riding the Dark Train Out
seen,"[13, 6, 1, 0, 8, 0, 11, 1, 0, 4, 22, 0, 0, 59, 0, 15, 0, 4, 10, 4, 0, 0, 8, 3, 0, 12, 2, 0, 17, 0, 0, 7, 0, 0, 17, 1, 3, 55, 0, 0, 0, 2, 7, 0, 20, 38, 0, 0, 0, 6, 4, 49, 5, 102, 19]",Riding the Dark Train Out
Hmm,[],Riding the Dark Train Out
clanking,"[0, 0]",Riding the Dark Train Out
screwed,"[0, 0, 0, 0, 1, 12, 0, 0, 0, 0, 0, 0, 49, 1, 8, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0]",Riding the Dark Train Out
I,"[0, 5, 24, 29, 0, 786, 3, 321, 0, 1, 0]",Riding the Dark Train Out
into,[],Riding the Dark Train Out
small,"[1, 4, 0, 99, 4, 4, 20, 67, 3, 0, 0, 0, 0]",Riding the Dark Train Out
chair,"[14, 0, 0, 0, 20, 0, 0, 8, 4, 0, 0]",Riding the Dark Train Out
chick,"[3, 0, 1, 0, 0, 0, 0]",Riding the Dark Train Out
toward,[],Riding the Dark Train Out
Road,"[47, 3]",Riding the Dark Train Out
undue,"[0, 0, 0, 0, 2, 2]",Riding the Dark Train Out
yanked,"[0, 0]",Riding the Dark Train Out
split,"[3, 0, 0, 0, 0, 1, 47, 1, 7, 1, 2, 0, 0, 5, 0, 13, 0, 0, 0, 0, 5, 3, 0]",Riding the Dark Train Out
held,"[0, 1, 0, 1, 2, 0, 17, 0, 3, 12, 36, 1, 51, 4, 0, 0, 0, 1, 2, 6, 0, 0, 13, 1, 1, 0, 2, 5, 5, 0, 0, 0, 9, 0, 113, 3, 3, 80, 0, 1, 4, 1, 6, 3, 10, 38, 0, 2, 35, 0, 6, 0, 0, 0, 492, 7]",Riding the Dark Train Out
started,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 90, 0, 0, 0, 19, 0, 8, 0, 0, 0, 0, 4, 0, 0, 123, 0, 3]",Riding the Dark Train Out
belligerence,"[0, 0, 0, 1]",Riding the Dark Train Out
So,"[0, 3, 12, 22, 0, 17, 0, 177, 0, 228, 0, 0]",Riding the Dark Train Out
woulda,[],Riding the Dark Train Out
floor,"[0, 0, 0, 0, 14, 4, 0, 31, 0, 7, 23, 0, 0, 0, 3]",Riding the Dark Train Out
been,"[12, 1, 11, 722, 6, 0, 26, 0, 21, 0, 6, 3]",Riding the Dark Train Out
stuff,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 16, 5, 15, 0, 0, 0, 0, 0]",Riding the Dark Train Out
outside,"[1, 0, 0, 29, 2, 8, 5, 40, 0, 4, 0, 0]",Riding the Dark Train Out
packet,"[0, 0, 4, 0, 0, 0, 0]",Riding the Dark Train Out
end,"[27, 51, 0, 3, 18, 83, 7, 3, 0, 69, 2, 3, 0, 0, 0, 4, 0, 7]",Riding the Dark Train Out
down,"[1, 13, 0, 0, 32, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 146, 0, 0, 1, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Riding the Dark Train Out
Philadelphia,"[0, 6]",Riding the Dark Train Out
wieners',[],Riding the Dark Train Out
clash,"[0, 0, 1, 0, 0, 0, 0, 9, 1, 0, 0, 3, 0]",Riding the Dark Train Out
trim,"[1, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 5, 2, 1, 0, 0, 6, 0, 1, 0, 0, 0, 20, 0, 0, 0]",Riding the Dark Train Out
meal,"[0, 8]",Riding the Dark Train Out
meat,"[5, 0, 1, 2, 0, 0, 0, 0, 0, 0, 2, 3, 2, 0, 20, 23]",Riding the Dark Train Out
others,[],Riding the Dark Train Out
Where,[],Riding the Dark Train Out
straight,"[0, 16, 10, 0, 24, 0, 0, 0, 1, 0, 1, 0, 12, 4, 0, 16, 8]",Riding the Dark Train Out
accused,"[0, 0, 8, 0, 0, 1]",Riding the Dark Train Out
A,"[0, 147, 0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0]",Riding the Dark Train Out
interrupted,"[1, 1, 0, 3, 0, 0, 13, 0, 0]",Riding the Dark Train Out
pocket,"[7, 2, 0, 0, 0, 1, 0, 0]",Riding the Dark Train Out
grade,"[0, 0, 3, 10, 14, 22, 12, 0, 72, 21, 0, 74, 34, 9, 39, 12, 17]",Riding the Dark Train Out
'',[],Riding the Dark Train Out
sweetly,"[0, 4]",Riding the Dark Train Out
himself,[],Riding the Dark Train Out
uh,[],Riding the Dark Train Out
brazier,"[0, 0]",Riding the Dark Train Out
than,[],Riding the Dark Train Out
elbows,"[0, 0, 4, 0, 0, 0]",Riding the Dark Train Out
cleared,"[29, 0, 8, 0, 3, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 2, 0, 0, 26, 0, 12, 1, 5, 0, 0, 0, 0, 0, 0, 2]",Riding the Dark Train Out
audible,"[0, 0]",Riding the Dark Train Out
deeper,"[9, 0, 2, 0, 13, 7, 4, 0, 0, 15, 0, 3, 0]",Riding the Dark Train Out
opened,"[12, 51, 10, 38, 11, 0, 0, 0]",Riding the Dark Train Out
fault,"[3, 4, 0, 6, 0, 0, 0, 13, 5, 7, 0, 0]",Riding the Dark Train Out
top,"[0, 29, 0, 1, 0, 0, 0, 1, 0, 3, 8, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26, 12, 0, 0, 0, 0, 0, 0]",Riding the Dark Train Out
would,[],Riding the Dark Train Out
grinned,[2],Riding the Dark Train Out
greatest,"[0, 4, 30, 0, 0, 0, 0, 18, 0, 2, 0, 0, 0, 3, 0, 2, 0, 61, 53, 0, 4, 0, 0, 0, 5, 0, 1, 3]",Riding the Dark Train Out
none,[17],Riding the Dark Train Out
And,[],Riding the Dark Train Out
walked,"[17, 0]",Riding the Dark Train Out
longer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 28]",Riding the Dark Train Out
across,"[36, 0, 1]",Riding the Dark Train Out
I'd,[],Riding the Dark Train Out
as,"[0, 0, 0, 0, 0, 69, 828, 0, 0, 0, 2793, 0, 0, 0, 0, 0, 147, 0, 4, 0, 0, 0]",Riding the Dark Train Out
book,"[0, 0, 2, 0, 17, 0, 0, 19, 12, 0, 1, 4, 4, 0, 0, 11, 0, 0, 0, 0, 0, 3, 0, 0, 0]",Riding the Dark Train Out
deep,"[9, 0, 0, 13, 7, 30, 0, 4, 0, 0, 0, 15, 0, 3, 0]",Riding the Dark Train Out
Dad,"[0, 0, 0, 0, 0, 1, 0]",Riding the Dark Train Out
they,[],Riding the Dark Train Out
you,[],Riding the Dark Train Out
voice,"[0, 47, 0, 0, 1, 25, 0, 0, 2, 0, 0, 30, 0, 0]",Riding the Dark Train Out
kids,"[0, 1, 0, 0, 0, 1, 0, 0, 1, 17, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]",Riding the Dark Train Out
married,"[2, 0, 0, 0, 0, 0, 0, 16, 1, 0, 3, 0]",Riding the Dark Train Out
When,[],Riding the Dark Train Out
Maybe,"[13, 18, 0, 13, 0, 0]",Riding the Dark Train Out
legs,"[3, 1, 0, 9, 11, 7, 0, 0]",Riding the Dark Train Out
How,[],Riding the Dark Train Out
plunge,"[1, 1, 0, 1, 2, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0]",Riding the Dark Train Out
bottle,"[0, 0, 0, 6]",Riding the Dark Train Out
at,"[35, 0, 0, 580]",Riding the Dark Train Out
door,"[36, 2, 0, 0]",Riding the Dark Train Out
bits,"[5, 6, 0, 42, 0, 7, 24, 0, 11, 0, 40, 22, 5, 1, 0, 45, 1, 37]",Riding the Dark Train Out
crossing,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Riding the Dark Train Out
took,"[5, 0, 0, 0, 1, 21, 0, 0, 0, 0, 22, 3, 2, 6, 7, 0, 24, 0, 3, 1, 0, 0, 0, 1, 20, 4, 4, 3, 1, 10, 6, 1, 4, 7, 2, 7, 0, 5, 14, 9, 0, 113, 5, 5, 9, 2, 0, 11, 0, 18, 1, 17, 16, 0, 5, 5, 10, 20, 54, 1, 1, 6, 123, 80, 492, 3]",Riding the Dark Train Out
tugging,"[1, 24, 1, 0, 4, 0, 11]",Riding the Dark Train Out
much,"[0, 47, 0, 0, 0, 111, 11, 6]",Riding the Dark Train Out
turned,"[0, 1, 0, 0, 4, 7, 33, 3, 0, 0, 4, 127, 37, 102, 0, 54, 0, 0, 0, 0, 0, 12, 0, 0, 0]",Riding the Dark Train Out
laughed,"[10, 0, 0]",Riding the Dark Train Out
their,[],Riding the Dark Train Out
tasted,"[1, 7, 22, 0, 0, 0, 0]",Riding the Dark Train Out
the,[],Riding the Dark Train Out
rattling,"[40, 0, 12, 0, 81, 4, 1, 0, 1, 1, 0, 1, 33, 0, 4, 5, 0, 0, 6, 3, 1, 1]",Riding the Dark Train Out
There,"[0, 0, 0, 0, 276, 0]",Riding the Dark Train Out
standing,"[3, 0, 6, 0, 0, 0, 0, 0, 0, 19, 8, 0, 5, 0, 13, 2, 0, 0]",Riding the Dark Train Out
remainder,"[26, 0, 51, 16, 0, 0, 16, 0, 0, 0]",Riding the Dark Train Out
Kroger's,[],Riding the Dark Train Out
trilled,"[0, 1, 0, 3, 10, 0]",Riding the Dark Train Out
drained,"[2, 0, 0, 0, 0, 27, 0]",Riding the Dark Train Out
step,"[0, 12, 0, 0, 1, 1, 0, 5, 0, 0, 0, 3, 0, 6, 0, 0, 0, 0, 0, 8, 0]",Riding the Dark Train Out
thick,"[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 15]",Riding the Dark Train Out
character,"[0, 12, 47, 35, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 9, 0, 7]",Riding the Dark Train Out
sun,"[0, 12, 1, 1, 0, 0, 10, 0, 0, 1, 0]",Riding the Dark Train Out
sure,"[0, 0, 0, 9, 42, 2, 16, 0, 42, 0]",Riding the Dark Train Out
convent,[1],Riding the Dark Train Out
Out,"[0, 309, 1, 2, 0, 0, 0, 0, 0, 0, 0, 4, 40, 0, 0]",Riding the Dark Train Out
respectable,"[134, 0, 0, 1, 1, 0, 5, 0, 2, 0, 0]",Riding the Dark Train Out
shocked,"[0, 0, 0, 0, 2, 0, 3, 7, 1, 23, 0, 0, 0, 0, 0, 0, 0]",Riding the Dark Train Out
Village,"[0, 2, 0, 1, 5, 0]",Riding the Dark Train Out
belly,"[0, 0, 0, 5, 8, 2]",Riding the Dark Train Out
Come,"[0, 42, 0, 0, 5, 163, 0, 0, 0, 20, 0, 0, 0, 3, 22, 84, 0, 3, 3, 123, 11, 0, 12, 0, 1]",Riding the Dark Train Out
blade,"[5, 0, 0, 0, 0, 0]",Riding the Dark Train Out
return,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 51, 5, 0, 0, 0, 1, 16, 1, 20, 0, 0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 1, 12, 0, 2, 0, 80, 1, 0, 0]",Riding the Dark Train Out
neatly,[3],Riding the Dark Train Out
rolled,"[2, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 0, 7, 0, 1, 0, 0, 0, 3, 0, 2, 11, 3, 0, 21, 0, 0, 0]",Riding the Dark Train Out
potato,"[0, 0, 0, 0, 0, 0, 5, 0]",Riding the Dark Train Out
are,"[0, 12, 1, 11, 722, 6, 0, 26, 0, 21, 479, 0, 6, 3]",Riding the Dark Train Out
wide,"[0, 0, 0, 0, 0, 0, 3, 3, 0, 4, 0, 0, 0, 4, 24, 16, 0]",Riding the Dark Train Out
wrestle,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Riding the Dark Train Out
eat,"[0, 0, 1, 0, 0, 0, 0, 1, 6, 0, 8, 0]",Riding the Dark Train Out
It,"[0, 0]",Riding the Dark Train Out
self-served,[],Riding the Dark Train Out
gonna,[],Riding the Dark Train Out
dinner,"[5, 0]",Riding the Dark Train Out
slightly,"[0, 0, 12, 19, 0]",Riding the Dark Train Out
reply,"[25, 8, 3, 1]",Riding the Dark Train Out
Zingggg-O,[],Riding the Dark Train Out
