w,vector_uso
here,"[96, 12, 0, 0]",Seize a Nettle
popularly,[0],Seize a Nettle
flaxen,"[2, 0]",Seize a Nettle
offices,"[16, 58, 0, 7, 47, 6, 43, 72, 0, 0, 1, 0, 1, 7, 19, 0, 2, 1, 6]",Seize a Nettle
starched,[0],Seize a Nettle
lines,"[0, 7, 31, 0, 3, 0, 0, 6, 0, 0, 26, 1, 0, 0, 0, 1, 2, 7, 2, 0, 9, 0, 0, 3, 3, 0, 9, 0, 39, 1, 5, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 36, 0]",Seize a Nettle
beds,"[0, 0, 0, 0, 0, 0, 0, 1, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 13, 1, 0, 0, 3, 0, 0, 0, 12, 0, 8, 0, 0, 0, 0, 0, 0]",Seize a Nettle
company,"[0, 2, 15, 1, 0, 2, 11, 0, 14, 0, 0]",Seize a Nettle
outdistanced,"[0, 16, 0]",Seize a Nettle
daily,"[0, 0, 2, 1, 9, 1, 0]",Seize a Nettle
desperation,"[0, 1]",Seize a Nettle
right,"[1, 0, 0, 0, 4, 84, 10, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 134, 3, 0, 0, 9, 8, 0, 0, 3, 0, 4]",Seize a Nettle
shivering,"[7, 0, 0, 1, 3, 0, 4, 1]",Seize a Nettle
as,"[2793, 69, 0, 828, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",Seize a Nettle
kind,"[18, 39, 0, 10, 2, 57]",Seize a Nettle
really,"[40, 1, 11, 8, 81, 0, 33, 0]",Seize a Nettle
came,"[84, 0, 42, 12, 0, 0, 3, 1, 123, 11, 3, 3, 163, 0, 0, 0, 0, 20, 22, 0]",Seize a Nettle
fire,"[0, 0, 0, 0, 1, 3, 0, 0, 1, 2, 0, 0, 29, 0, 0, 0, 0, 1, 3, 0, 9, 1, 1, 7, 0, 1, 235, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0]",Seize a Nettle
Little,"[3, 3, 0, 28, 0, 99, 1, 0, 0, 0, 0, 0, 0, 67]",Seize a Nettle
York,"[0, 20]",Seize a Nettle
created,"[4, 16, 113]",Seize a Nettle
little,"[3, 3, 0, 28, 0, 99, 1, 0, 0, 0, 0, 0, 0, 67]",Seize a Nettle
foot,"[0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 0, 9, 0, 0, 0, 0, 1, 0, 0]",Seize a Nettle
