w,vector_uso
guru,"[1, 0]",Stranger in a Strange Land.
inevitability,"[1, 0]",Stranger in a Strange Land.
mind,"[14, 0, 50, 0, 73, 4, 31, 0, 5, 0, 1, 0, 0, 0, 0, 0]",Stranger in a Strange Land.
individual,"[4, 0, 7, 28, 19, 4, 24, 14, 10, 0]",Stranger in a Strange Land.
bishops,[0],Stranger in a Strange Land.
For,[],Stranger in a Strange Land.
next,"[20, 0, 0, 37, 47, 0]",Stranger in a Strange Land.
gripes,"[0, 0, 0, 4, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Stranger in a Strange Land.
by,"[7, 40, 497, 39]",Stranger in a Strange Land.
last,"[69, 0, 0, 18, 3, 27, 83, 26, 0, 0, 0, 0, 0, 2, 0, 51, 0, 0, 21, 0, 0, 90, 0, 2, 0, 2, 7, 5, 0]",Stranger in a Strange Land.
heaved,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Stranger in a Strange Land.
them,[],Stranger in a Strange Land.
Before,"[0, 14, 17, 123]",Stranger in a Strange Land.
stars,"[0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 20, 1, 7, 1, 0, 2, 0]",Stranger in a Strange Land.
real,"[16, 33, 0, 4, 0, 2, 1, 0, 40, 1, 0, 10, 81]",Stranger in a Strange Land.
That,[],Stranger in a Strange Land.
touch,"[0, 0, 3, 2, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 11, 12, 0, 1, 0, 1, 0, 3, 0, 0, 0, 23, 7, 0, 0, 0, 0, 3, 0, 2, 0, 19, 3, 0, 0, 3, 11, 6, 0, 2, 0, 1, 5]",Stranger in a Strange Land.
scheduled,"[4, 2]",Stranger in a Strange Land.
chipper,"[1, 1, 0, 0]",Stranger in a Strange Land.
forced,"[5, 0, 3, 14, 0, 0, 11, 1, 4, 9, 0, 10, 4, 7, 15, 0, 0]",Stranger in a Strange Land.
AD,"[6, 0, 0, 0, 0, 0, 0, 1, 0]",Stranger in a Strange Land.
If,[],Stranger in a Strange Land.
got,"[49, 6, 0, 6, 12, 55, 0, 0, 7, 0, 18, 0, 0, 0, 51, 4, 18, 0, 0, 1, 0, 0, 12, 84, 3, 9, 0, 0, 0, 0, 0, 123, 80, 33, 3, 23, 0, 90, 21, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 2, 492, 19, 8, 0, 0, 0, 0, 1, 0, 0, 11, 5, 113, 2, 19, 16, 1, 0, 0, 2]",Stranger in a Strange Land.
Yes,[10],Stranger in a Strange Land.
later,"[0, 15, 33, 1, 0, 1, 0, 89, 0, 10, 0, 4, 3, 30, 11]",Stranger in a Strange Land.
human,"[49, 0, 0, 173]",Stranger in a Strange Land.
as,"[0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 828, 4, 147, 0, 0, 0, 0, 0, 0]",Stranger in a Strange Land.
always,"[0, 4, 59, 3, 0, 46, 0, 7]",Stranger in a Strange Land.
show,"[0, 21, 3, 0, 3, 36, 7, 1, 1, 1, 0, 20, 1, 6, 0, 44, 37, 15, 2, 7, 0, 0, 1, 19, 6, 8]",Stranger in a Strange Land.
planet,"[8, 0, 0]",Stranger in a Strange Land.
home,"[0, 0, 0, 0, 0, 0, 3, 3, 52, 4, 8, 72, 0, 54, 0, 0, 74, 1, 3, 0]",Stranger in a Strange Land.
news,"[0, 2, 0, 1, 37, 0, 11]",Stranger in a Strange Land.
downstairs,"[2, 0, 10, 0, 0]",Stranger in a Strange Land.
England,[2],Stranger in a Strange Land.
My,[],Stranger in a Strange Land.
other,"[41, 10, 183]",Stranger in a Strange Land.
Stinky,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Stranger in a Strange Land.
generations,"[0, 13, 0, 0, 1, 0]",Stranger in a Strange Land.
another,"[0, 61]",Stranger in a Strange Land.
shouldn't,[],Stranger in a Strange Land.
spoke,"[0, 6, 0, 0, 0, 14, 26, 13, 2, 0, 14, 0]",Stranger in a Strange Land.
CD,"[0, 1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0]",Stranger in a Strange Land.
away,"[29, 9, 7, 497, 102, 309, 40]",Stranger in a Strange Land.
pronounced,"[9, 1, 0, 0, 70, 0, 0, 3, 3, 8]",Stranger in a Strange Land.
grokking,[],Stranger in a Strange Land.
Short's,[],Stranger in a Strange Land.
same,"[0, 0, 0, 0, 0, 3, 88, 176]",Stranger in a Strange Land.
gotten,"[49, 6, 0, 6, 12, 55, 0, 0, 7, 0, 18, 0, 0, 0, 51, 4, 18, 0, 0, 1, 0, 0, 12, 84, 3, 9, 0, 0, 0, 0, 0, 123, 80, 33, 3, 23, 0, 90, 21, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 2, 492, 19, 8, 0, 0, 0, 0, 1, 0, 0, 11, 5, 113, 2, 19, 16, 1, 0, 0, 2]",Stranger in a Strange Land.
Where,[],Stranger in a Strange Land.
grown,"[10, 48, 12, 1, 0, 2, 0, 12, 0, 0, 0, 123, 53, 37, 3, 0, 1, 7, 16, 0, 8]",Stranger in a Strange Land.
totality,"[1, 5, 1, 0, 0, 22, 0]",Stranger in a Strange Land.
punctuation,"[0, 1]",Stranger in a Strange Land.
and,[],Stranger in a Strange Land.
beauty,"[0, 3, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0]",Stranger in a Strange Land.
knotty,"[2, 0, 1, 0, 0, 0, 0, 7, 0, 1, 0, 0, 0, 7, 0, 0, 0]",Stranger in a Strange Land.
extremely,"[1, 1, 4, 3, 12]",Stranger in a Strange Land.
quicker,"[9, 11, 2, 19, 1, 3, 0, 5, 21, 13, 1, 1, 0, 0]",Stranger in a Strange Land.
girls,"[0, 0, 0, 0, 51, 0, 3, 0, 0, 0, 4]",Stranger in a Strange Land.
Daily,"[1, 0, 2, 1, 9, 0, 0]",Stranger in a Strange Land.
happened,"[1, 0, 0, 0, 0, 55, 0, 3, 14, 0, 12, 0, 17, 0, 0, 3, 0]",Stranger in a Strange Land.
Of,[],Stranger in a Strange Land.
else,[],Stranger in a Strange Land.
Ben,[0],Stranger in a Strange Land.
Earth,"[0, 11, 21, 16, 0, 0, 0, 96, 1, 32, 0]",Stranger in a Strange Land.
Their,[],Stranger in a Strange Land.
him,[],Stranger in a Strange Land.
Come,"[0, 1, 0, 12, 0, 0, 3, 0, 5, 84, 42, 3, 3, 0, 0, 123, 0, 20, 22, 0, 0, 163, 0, 11, 0]",Stranger in a Strange Land.
salted,"[0, 2, 1, 0]",Stranger in a Strange Land.
helped,"[1, 0, 9, 7, 0, 41, 1]",Stranger in a Strange Land.
proclaimed,"[0, 1, 0, 3, 0, 0, 0, 14, 0, 0]",Stranger in a Strange Land.
half,"[36, 1]",Stranger in a Strange Land.
closer,"[27, 2, 1, 0, 0, 0, 15, 0, 0, 0, 0, 0, 23, 5, 0, 0, 1, 0, 0, 0, 0, 3]",Stranger in a Strange Land.
Guardian,"[0, 0, 0, 0]",Stranger in a Strange Land.
rejected,"[0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 0, 3, 1, 0, 4, 2, 0]",Stranger in a Strange Land.
The,[],Stranger in a Strange Land.
