w,vector_uso
accidental-war,[],The Chances of Accidental War
staff,"[2, 0, 1]",The Chances of Accidental War
weeks,"[0, 33, 0, 0]",The Chances of Accidental War
initiate,"[19, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",The Chances of Accidental War
sealed,"[1, 0, 0, 0, 0, 42]",The Chances of Accidental War
klaxon,"[0, 0]",The Chances of Accidental War
impressive,"[4, 8]",The Chances of Accidental War
seem,"[3, 26, 59]",The Chances of Accidental War
perhaps,"[0, 13, 18, 13, 0, 0]",The Chances of Accidental War
toward,[],The Chances of Accidental War
contact,"[0, 0, 0, 0, 3, 3, 11, 11, 0, 0, 19, 3, 1, 0, 0, 0]",The Chances of Accidental War
these,[],The Chances of Accidental War
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]",The Chances of Accidental War
machines,"[47, 7, 8, 0, 0, 8, 0]",The Chances of Accidental War
financed,[0],The Chances of Accidental War
pale,"[7, 3, 0, 0, 0, 0, 0]",The Chances of Accidental War
pressure,"[0, 0, 10, 2, 0, 5, 0, 0, 0, 0, 1, 14, 0, 0, 1, 0, 8]",The Chances of Accidental War
clobber,"[0, 3, 0, 1, 1, 1, 5, 0, 1]",The Chances of Accidental War
homes,"[72, 0, 54, 1, 0, 74, 0, 0, 3, 0, 0, 3, 0, 0, 3, 52, 0]",The Chances of Accidental War
headquarters,"[0, 0, 3, 0, 0, 0, 0, 0]",The Chances of Accidental War
increased,"[13, 16]",The Chances of Accidental War
call,"[0, 4, 0, 0, 1, 2, 0, 0, 0, 0, 31, 0, 0, 0, 25, 6, 11, 0, 0, 3, 0, 0, 12, 0, 2, 10, 0, 7, 5, 0, 0, 8, 9, 4, 1, 0, 0]",The Chances of Accidental War
chain,"[0, 3, 0, 1, 0, 0, 4, 0, 21, 0, 0, 0, 0]",The Chances of Accidental War
William,[],The Chances of Accidental War
damaged,"[0, 1, 3]",The Chances of Accidental War
weapons,"[0, 5, 0, 18]",The Chances of Accidental War
obnoxious,"[0, 0]",The Chances of Accidental War
continually,[1],The Chances of Accidental War
communications,"[0, 0, 3, 0]",The Chances of Accidental War
broke,"[0, 0, 11, 0, 10, 57, 0, 0, 0, 0, 0, 2, 3, 0, 1, 4, 0, 0, 47, 0, 3, 0, 7, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 90, 0, 0, 0, 0, 3, 0, 2, 1, 0, 0, 7, 18, 0, 0, 0, 6, 0, 0, 6, 5, 0, 1, 3, 1, 12]",The Chances of Accidental War
miles,"[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]",The Chances of Accidental War
supplied,"[0, 0, 0, 3, 16, 16, 1, 9, 1]",The Chances of Accidental War
they,[],The Chances of Accidental War
gray,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Chances of Accidental War
NORAD,[],The Chances of Accidental War
continual,[0],The Chances of Accidental War
precise,"[0, 3, 2]",The Chances of Accidental War
decided,"[6, 0, 4, 0, 5, 1, 1, 10]",The Chances of Accidental War
set,"[0, 2, 0, 163, 0, 1, 0, 0, 0, 0, 4, 0, 6, 0, 29, 0, 7, 7, 2, 10, 9, 0, 1, 0, 0, 0, 46, 0, 51, 72, 0, 2, 2, 0, 0, 6, 1, 8, 13, 0, 12, 0, 0, 0, 0, 19, 8, 0, 10, 19, 0, 21, 0, 0, 0, 0, 1, 1, 0, 0, 0]",The Chances of Accidental War
day,"[1, 0, 0, 0, 7, 0, 56, 0, 0, 1, 0, 0]",The Chances of Accidental War
enormously,"[0, 1, 0, 1]",The Chances of Accidental War
Chiefs,"[0, 3, 0, 0, 0, 73, 12, 1, 0, 1]",The Chances of Accidental War
buttons,"[0, 0, 4, 7, 0, 4]",The Chances of Accidental War
continuous,"[1, 0]",The Chances of Accidental War
Can,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 0, 1, 1, 0, 0, 38, 235, 0, 0, 0, 0, 3, 12, 0, 0, 0, 0, 1, 13, 29, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 0, 0, 1]",The Chances of Accidental War
Telephones,"[0, 12, 25, 11, 0, 10, 0]",The Chances of Accidental War
calls,"[0, 4, 0, 0, 1, 2, 0, 0, 0, 0, 31, 0, 0, 0, 25, 6, 11, 0, 0, 3, 0, 0, 12, 0, 2, 10, 0, 7, 5, 0, 0, 8, 9, 4, 1, 0, 0]",The Chances of Accidental War
above,"[20, 0, 0, 0, 0]",The Chances of Accidental War
Unless,[],The Chances of Accidental War
Accidental,"[1, 1]",The Chances of Accidental War
receive,"[4, 2, 123, 7, 0, 55, 1, 3, 5, 19, 0, 49, 492]",The Chances of Accidental War
