w,vector_uso
somewhat,"[0, 19, 0, 12, 0, 3, 17, 6, 0, 0]",The Christian Science Monitor
weeks,"[0, 33, 0, 0]",The Christian Science Monitor
rumored,"[0, 0, 0]",The Christian Science Monitor
members',[],The Christian Science Monitor
carry,"[1, 9, 0, 0, 3, 0, 43, 0, 15, 0, 0, 17, 36, 80, 1, 7, 6, 0, 2, 0, 1, 0, 7, 0, 2, 0, 0, 4]",The Christian Science Monitor
dealing,"[0, 3, 0, 21, 1, 0, 0, 10, 6, 4, 0, 0, 0, 0, 0, 20, 17, 0, 0, 12, 80, 0, 0, 10, 0, 0, 2, 0, 0, 0, 0, 0, 3, 8, 1, 3, 4, 2, 16]",The Christian Science Monitor
described,"[8, 2, 24, 4, 13, 6, 0, 9, 14, 0, 3, 0, 6, 3, 31]",The Christian Science Monitor
perhaps,"[0, 13, 18, 13, 0, 0]",The Christian Science Monitor
toward,[],The Christian Science Monitor
rapid,"[0, 4]",The Christian Science Monitor
much,"[0, 47, 0, 6, 0, 11, 0, 111]",The Christian Science Monitor
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]",The Christian Science Monitor
these,[],The Christian Science Monitor
popularity,[3],The Christian Science Monitor
maintenance,"[0, 0, 2, 0, 21, 0, 1, 0]",The Christian Science Monitor
Lao,"[0, 0]",The Christian Science Monitor
organization,"[1, 8, 8, 5, 0, 0, 0, 23, 4, 0, 3]",The Christian Science Monitor
chain,"[0, 3, 0, 1, 0, 0, 4, 0, 21, 0, 0, 0, 0]",The Christian Science Monitor
Investigation,"[2, 1, 3]",The Christian Science Monitor
sheet,"[0, 0, 0, 0, 0, 0, 1, 12, 0, 0, 3, 0, 0, 18, 5]",The Christian Science Monitor
Very,"[33, 0, 40, 81, 1, 5]",The Christian Science Monitor
they,[],The Christian Science Monitor
Advisory,"[0, 0, 0, 0]",The Christian Science Monitor
States',[],The Christian Science Monitor
set,"[0, 2, 0, 163, 0, 1, 0, 0, 0, 0, 4, 0, 6, 0, 29, 0, 7, 7, 2, 10, 9, 0, 1, 0, 0, 0, 46, 0, 51, 72, 0, 2, 2, 0, 0, 6, 1, 8, 13, 0, 12, 0, 0, 0, 0, 19, 8, 0, 10, 19, 0, 21, 0, 0, 0, 0, 1, 1, 0, 0, 0]",The Christian Science Monitor
de,"[0, 0, 2, 0]",The Christian Science Monitor
statements,"[7, 0, 3, 8, 0, 2, 4, 0]",The Christian Science Monitor
ban,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1]",The Christian Science Monitor
disapprove,"[1, 0]",The Christian Science Monitor
general,"[0, 32, 0, 1, 1, 9, 0, 0, 0]",The Christian Science Monitor
appreciation,"[7, 0, 4, 0, 17, 1, 0]",The Christian Science Monitor
assailed,"[0, 3, 0, 0, 0, 1, 9]",The Christian Science Monitor
threshold,"[0, 0, 0, 0, 0, 2, 36, 0, 1]",The Christian Science Monitor
table,"[15, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Christian Science Monitor
felt,"[37, 0, 0, 0, 0, 1, 49, 0, 55, 0, 40, 49, 8]",The Christian Science Monitor
Nixon,"[0, 0, 0, 1, 0]",The Christian Science Monitor
through,"[125, 32, 0, 0]",The Christian Science Monitor
diplomatic,"[3, 0]",The Christian Science Monitor
no,"[50, 0, 266, 0, 0]",The Christian Science Monitor
globe,"[11, 16, 10, 0, 96, 1]",The Christian Science Monitor
increase,"[5, 0, 0, 12, 13, 8]",The Christian Science Monitor
too,"[1, 0, 0, 0, 3, 2, 118, 121]",The Christian Science Monitor
hardly,"[1, 115, 7, 4, 11]",The Christian Science Monitor
plans,"[6, 18, 0, 0, 27, 0, 15, 0]",The Christian Science Monitor
There,"[0, 0, 0, 0, 0, 276]",The Christian Science Monitor
eventually,"[7, 18]",The Christian Science Monitor
four,"[0, 0, 24, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 20]",The Christian Science Monitor
naval,[0],The Christian Science Monitor
capital,"[0, 0, 1, 0, 0, 3, 0, 0, 0, 61, 0, 15]",The Christian Science Monitor
Health,"[0, 5]",The Christian Science Monitor
correspondent,"[0, 1, 0, 0, 0, 0, 0]",The Christian Science Monitor
base,"[59, 0, 0, 0, 1, 0, 1, 2, 1, 23, 26, 11, 4, 0, 0, 0, 0, 8, 0, 21, 0, 0, 19, 0, 3, 0, 3, 54, 0, 0, 0, 0, 0, 37, 0, 0, 0, 3, 0, 7]",The Christian Science Monitor
formula,"[3, 8, 3, 8, 0, 14, 24, 2]",The Christian Science Monitor
long,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109]",The Christian Science Monitor
noticeable,"[0, 0, 0]",The Christian Science Monitor
coping,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 20, 1, 0, 2, 0, 3, 0, 0, 3, 0, 2]",The Christian Science Monitor
rekindling,[0],The Christian Science Monitor
make,"[0, 123, 8, 51, 0, 113, 11, 163, 0, 4, 0, 1, 0, 9, 0, 1, 31, 4, 21, 0, 0, 0, 0, 16, 1, 0, 0, 2, 1, 0, 0, 5, 0, 1, 0, 0, 0, 0, 26, 17, 0, 0, 0, 80, 0, 3, 0, 0, 0, 0, 0, 0, 127, 21, 0, 0, 0, 6, 18, 39, 9, 0, 0, 0, 9, 0, 1, 0, 0, 492]",The Christian Science Monitor
ally,"[8, 0]",The Christian Science Monitor
system,"[8, 1, 23, 0, 4, 0]",The Christian Science Monitor
acceptable,"[5, 4]",The Christian Science Monitor
prepared,"[113, 4, 3, 0, 6, 0, 1, 0, 0, 0, 0, 0, 7, 46, 1, 0, 21, 1, 1, 0, 12]",The Christian Science Monitor
its,"[0, 0]",The Christian Science Monitor
Dean,"[0, 0, 2, 0, 2]",The Christian Science Monitor
some,"[237, 0, 0, 85, 0, 0, 182, 6, 2]",The Christian Science Monitor
consultation,"[3, 3, 15, 0]",The Christian Science Monitor
balance,"[0, 0, 1, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 16, 0, 0, 0, 0, 0]",The Christian Science Monitor
debate,"[12, 7, 10, 0, 4, 4, 0, 0, 0, 3, 0, 0]",The Christian Science Monitor
as,"[0, 0, 2793, 0, 0, 69, 828, 0, 0, 0, 0, 0, 0, 0, 147, 4, 0, 0, 0, 0, 0, 0]",The Christian Science Monitor
explosion,"[2, 0, 0, 7, 0]",The Christian Science Monitor
gesture,"[5, 0, 6]",The Christian Science Monitor
never,"[96, 0]",The Christian Science Monitor
exposed,"[0, 0, 2, 0, 0, 0, 0, 2, 0, 38, 0, 1, 6, 0, 6, 1, 2, 0, 3, 13, 0, 0]",The Christian Science Monitor
disturbing,"[0, 0, 20, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 11, 1, 2, 0, 4]",The Christian Science Monitor
three,"[0, 0, 0, 0, 0, 0, 15, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Christian Science Monitor
disclosed,"[0, 2, 6, 0, 0, 2, 3, 13, 0, 0, 0, 0]",The Christian Science Monitor
powers,"[81, 0, 6, 10, 12, 0, 0, 0, 58, 16, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0]",The Christian Science Monitor
spark,"[0, 0, 0, 0, 4, 1, 0, 1, 0, 3, 0, 3, 0, 0, 47, 0, 0, 12, 0, 0, 0, 0]",The Christian Science Monitor
northernmost,"[0, 0]",The Christian Science Monitor
Secretary,"[0, 0, 1, 2, 0, 2]",The Christian Science Monitor
underdeveloped,"[0, 3, 0]",The Christian Science Monitor
tenor,"[1, 1, 0]",The Christian Science Monitor
conflict,"[5, 7, 0, 0, 0, 7, 2, 0, 0, 16, 10]",The Christian Science Monitor
statement,"[7, 0, 3, 8, 0, 2, 4, 0]",The Christian Science Monitor
been,"[12, 3, 6, 21, 0, 11, 722, 6, 0, 0, 26, 1]",The Christian Science Monitor
both,[76],The Christian Science Monitor
gradually,"[7, 0, 0]",The Christian Science Monitor
Prince,[0],The Christian Science Monitor
by,"[40, 7, 39, 497]",The Christian Science Monitor
showing,"[1, 15, 44, 1, 0, 8, 1, 19, 1, 3, 1, 7, 6, 0, 0, 20, 0, 37, 3, 21, 14, 0, 2, 0, 1, 0, 7, 36]",The Christian Science Monitor
displayed,"[6, 2, 2]",The Christian Science Monitor
D,"[0, 13, 0, 0, 0, 0, 3, 0, 0]",The Christian Science Monitor
senator,[0],The Christian Science Monitor
must,"[0, 115, 0]",The Christian Science Monitor
mind,"[0, 4, 14, 0, 0, 50, 0, 0, 0, 0, 5, 31, 1, 0, 73, 0]",The Christian Science Monitor
freeze,"[0, 1, 1, 0, 1, 0, 0, 15, 1, 0, 0]",The Christian Science Monitor
Latin,"[0, 4]",The Christian Science Monitor
spirit,"[37, 6, 6, 0, 23, 59, 0, 0, 98, 14, 0, 1, 0, 0, 0, 0, 20, 2]",The Christian Science Monitor
emotionally,[1],The Christian Science Monitor
track,"[25, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 2, 0, 0, 0, 3, 1, 0, 3, 0, 6, 0, 0, 0, 0, 9, 74, 8, 4, 0, 20, 9, 1]",The Christian Science Monitor
group,"[0, 0, 30, 1, 0, 0]",The Christian Science Monitor
and,[],The Christian Science Monitor
Harvard,"[0, 0, 0]",The Christian Science Monitor
climate,"[3, 3, 0]",The Christian Science Monitor
control,"[0, 0, 1, 2, 0, 4, 0, 5, 0, 4, 38, 0, 6, 0, 0, 17, 0, 9, 1, 3, 102, 3, 0, 0, 0, 1, 0, 4]",The Christian Science Monitor
monumental,"[7, 0, 0]",The Christian Science Monitor
nevertheless,"[6, 0, 0, 3, 103, 0, 35, 1, 47]",The Christian Science Monitor
annual,"[0, 6, 1, 0]",The Christian Science Monitor
25,"[2, 6, 0, 0]",The Christian Science Monitor
give,"[51, 113, 11, 3, 0, 0, 0, 0, 1, 0, 0, 2, 0, 32, 12, 38, 0, 3, 6, 4, 19, 17, 0, 19, 13, 6, 3, 0, 10, 50, 6, 1, 1, 1, 7, 0, 1, 13, 0, 36, 0, 6, 492]",The Christian Science Monitor
assist,"[0, 3, 7, 1, 41, 4, 9, 0]",The Christian Science Monitor
