w,vector_uso
sealed,"[1, 0, 0, 0, 0, 42]",The Fairbrothers
downright,"[0, 0, 3, 1, 0, 2]",The Fairbrothers
!,[],The Fairbrothers
envelope,"[0, 0]",The Fairbrothers
Mare,"[0, 0, 0]",The Fairbrothers
Surely,"[9, 0, 16, 42, 0, 0, 0]",The Fairbrothers
preacher,"[0, 0, 2, 0]",The Fairbrothers
birth,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6, 492]",The Fairbrothers
perhaps,"[0, 13, 18, 13, 0, 0]",The Fairbrothers
Zion,"[0, 0, 0, 1, 0, 0]",The Fairbrothers
acknowledge,"[10, 5, 0, 8, 2, 129, 1]",The Fairbrothers
seem,"[3, 26, 59]",The Fairbrothers
trimmed,"[0, 5, 6, 1, 20, 0, 0, 1, 0, 0, 0, 0, 6, 1, 0, 0, 0, 0]",The Fairbrothers
nurse,"[0, 0, 0, 17, 0, 0, 1, 2, 0, 0, 3, 0, 0]",The Fairbrothers
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]",The Fairbrothers
these,[],The Fairbrothers
turned,"[0, 0, 7, 0, 37, 0, 54, 0, 1, 0, 0, 0, 3, 12, 0, 0, 33, 0, 127, 0, 0, 4, 0, 102, 4]",The Fairbrothers
much,"[0, 47, 0, 6, 0, 11, 0, 111]",The Fairbrothers
midwife,"[0, 0]",The Fairbrothers
reverent,"[0, 0, 0]",The Fairbrothers
call,"[0, 4, 0, 0, 1, 2, 0, 0, 0, 0, 31, 0, 0, 0, 25, 6, 11, 0, 0, 3, 0, 0, 12, 0, 2, 10, 0, 7, 5, 0, 0, 8, 9, 4, 1, 0, 0]",The Fairbrothers
swell,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 61, 0, 4, 0, 0, 3, 0, 0, 0, 0, 82, 0, 0, 1, 2, 0, 0, 0, 0]",The Fairbrothers
melting,"[0, 1, 2, 0, 43, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",The Fairbrothers
Flotilla,[0],The Fairbrothers
whose,[],The Fairbrothers
leave,"[0, 0, 51, 0, 0, 12, 218, 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 0, 16, 0, 27, 1, 1, 1, 20, 2]",The Fairbrothers
watching,"[0, 0, 4, 0, 4, 0, 0, 10, 1, 0, 6, 4, 4, 11, 4, 0, 102, 12, 0, 17]",The Fairbrothers
children,"[1, 0, 1, 0, 0, 4, 0, 4, 17, 0, 0, 17, 0]",The Fairbrothers
they,[],The Fairbrothers
pictures,"[0, 0, 1, 44, 0, 0, 1, 0, 0, 0, 0, 3, 13, 0, 0, 1, 0, 0, 6, 3, 13, 2, 4, 0, 0, 0, 20, 1, 0, 2, 102, 0, 0, 22, 1, 0, 12, 0]",The Fairbrothers
day,"[1, 0, 0, 0, 7, 0, 56, 0, 0, 1, 0, 0]",The Fairbrothers
weather,"[2, 0, 0, 0, 0, 0, 15, 8]",The Fairbrothers
tears,"[0, 1, 1, 8, 2, 0, 7, 5, 3, 2, 1, 0, 0, 0, 0, 4, 1, 0, 0, 0, 1, 0, 5]",The Fairbrothers
stormy,"[0, 0]",The Fairbrothers
Reaching,"[1, 1, 51, 113, 11, 0, 11, 3, 0, 0, 0, 4, 21, 7, 12, 0, 5, 1, 0, 1, 5, 0, 0, 0, 50, 1]",The Fairbrothers
trippin',[],The Fairbrothers
He'd,[],The Fairbrothers
Indeed,"[228, 17]",The Fairbrothers
felt,"[37, 0, 0, 0, 0, 1, 49, 0, 55, 0, 40, 49, 8]",The Fairbrothers
nerves,"[0, 0, 0, 2, 5, 0, 3, 20, 0, 0, 62, 5]",The Fairbrothers
through,"[125, 32, 0, 0]",The Fairbrothers
thing,"[29, 53, 0]",The Fairbrothers
small,"[20, 0, 1, 4, 4, 0, 67, 4, 0, 0, 99, 3, 0]",The Fairbrothers
easygoing,"[0, 0, 6, 0, 16]",The Fairbrothers
no,"[50, 0, 266, 0, 0]",The Fairbrothers
too,"[1, 0, 0, 0, 3, 2, 118, 121]",The Fairbrothers
fault,"[0, 4, 0, 0, 7, 0, 13, 5, 6, 0, 3, 0]",The Fairbrothers
hardly,"[1, 115, 7, 4, 11]",The Fairbrothers
Returning,"[0, 0, 51, 0, 1, 0, 0, 12, 0, 0, 2, 6, 0, 0, 0, 0, 13, 0, 0, 0, 2, 0, 20, 0, 0, 1, 5, 0]",The Fairbrothers
There,"[0, 0, 0, 0, 0, 276]",The Fairbrothers
times,"[29, 0, 0, 1, 0, 0, 1, 3, 0, 188, 0]",The Fairbrothers
stayed,"[0, 1, 6, 0, 16, 0, 13, 0, 1, 0, 0, 0, 2, 0, 16, 1, 13, 0]",The Fairbrothers
She's,[],The Fairbrothers
home,"[74, 0, 52, 0, 0, 0, 0, 72, 8, 1, 0, 3, 0, 0, 0, 4, 54, 0, 3, 3]",The Fairbrothers
stall,"[0, 2, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Fairbrothers
necessity,"[13, 4, 3, 18, 0]",The Fairbrothers
Though,[56],The Fairbrothers
promise,"[0, 22, 25, 1, 9, 2, 0, 1, 0]",The Fairbrothers
rules,"[3, 0, 1, 2, 8, 0, 8, 55, 0, 0, 1, 5, 1, 0, 14, 1, 1, 24, 2, 0]",The Fairbrothers
pearl,"[3, 2, 9, 0, 0, 0]",The Fairbrothers
lip,"[14, 0, 0, 0, 0, 1, 0, 0]",The Fairbrothers
big,"[0, 8, 19, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 0, 0, 61, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30, 0, 53]",The Fairbrothers
loved,"[0, 1, 0, 0, 3, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 5, 49, 4, 0, 129, 0]",The Fairbrothers
long,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109]",The Fairbrothers
it'll,[],The Fairbrothers
Kezziah,[],The Fairbrothers
burden,"[0, 8, 27, 0, 2, 6, 13, 3, 0, 0, 4, 9, 1, 0, 4]",The Fairbrothers
somehow,"[0, 0, 0, 5, 0]",The Fairbrothers
care,"[1, 8, 7, 21, 1, 5, 1, 17, 0, 0, 17, 2, 20, 10, 0, 8, 0, 3, 10, 0, 176]",The Fairbrothers
full,"[22, 0, 134, 0, 0, 3, 0, 0, 0, 24, 14, 0, 16, 8]",The Fairbrothers
its,"[0, 0]",The Fairbrothers
Rhyme,"[4, 0, 0]",The Fairbrothers
Fairbrothers,[],The Fairbrothers
some,"[237, 0, 0, 85, 0, 0, 182, 6, 2]",The Fairbrothers
don't,[],The Fairbrothers
turn,"[0, 1, 0, 23, 7, 24, 22, 0, 37, 0, 2, 0, 1, 12, 3, 0, 0, 0, 5, 12, 0, 0, 0, 90, 33, 0, 0, 127, 2, 3, 42, 0, 0, 0, 4, 0, 4]",The Fairbrothers
See,"[11, 0, 59, 8, 0, 1, 55, 0, 4, 0, 2, 7, 0, 0, 2, 10, 5, 0, 0, 1, 13, 0, 19, 0, 0, 4, 6, 0, 0, 6, 0, 4, 4, 0, 20, 1, 15, 0, 7, 102, 12, 0, 22, 17, 0, 8, 0, 17, 0, 3, 3, 0, 0, 49, 38]",The Fairbrothers
as,"[0, 0, 2793, 0, 0, 69, 828, 0, 0, 0, 0, 0, 0, 0, 147, 4, 0, 0, 0, 0, 0, 0]",The Fairbrothers
dropping,"[0, 3, 1, 20, 0, 0, 2, 4, 0, 0, 4, 0, 0, 1, 4, 0, 0, 4, 0, 0, 0, 0, 1, 1, 0, 9, 1, 3, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4]",The Fairbrothers
Jen,[],The Fairbrothers
never,"[96, 0]",The Fairbrothers
sons,"[27, 1, 47, 1, 0]",The Fairbrothers
hop,"[0, 0, 0, 0, 0]",The Fairbrothers
minute,"[15, 45, 0, 40, 0, 0, 24, 5, 13, 0, 10, 0]",The Fairbrothers
Robards',[],The Fairbrothers
pyre,"[0, 0]",The Fairbrothers
gather,"[5, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 1, 0, 2, 1]",The Fairbrothers
laughed,"[0, 10, 0]",The Fairbrothers
please,"[5, 5]",The Fairbrothers
admirer,"[1, 0, 1, 0, 0, 8, 1]",The Fairbrothers
Kizzie,[],The Fairbrothers
distressed,"[0, 0, 0, 0, 0, 2, 0, 0, 0, 6, 0, 4, 4]",The Fairbrothers
teeth,"[0, 10, 1]",The Fairbrothers
thanks,"[0, 0, 5]",The Fairbrothers
gets,"[3, 0, 0, 123, 0, 113, 0, 55, 3, 3, 0, 4, 0, 1, 0, 0, 11, 0, 21, 16, 0, 0, 3, 5, 0, 1, 2, 12, 1, 0, 0, 0, 0, 0, 18, 51, 23, 90, 0, 0, 0, 7, 6, 0, 80, 33, 19, 0, 1, 0, 0, 0, 8, 0, 2, 6, 18, 2, 0, 84, 0, 9, 0, 0, 19, 0, 0, 12, 49, 492]",The Fairbrothers
riding,"[0, 0, 0, 0, 10, 0, 22, 0, 0, 11, 0, 0, 4, 1, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 9, 2]",The Fairbrothers
conflict,"[5, 7, 0, 0, 0, 7, 2, 0, 0, 16, 10]",The Fairbrothers
hot,"[0, 12, 0, 26, 1, 0]",The Fairbrothers
fussing,"[0, 19, 0, 0, 0]",The Fairbrothers
been,"[12, 3, 6, 21, 0, 11, 722, 6, 0, 0, 26, 1]",The Fairbrothers
favorite,"[0, 0, 3, 0, 0, 3, 0, 3, 0, 0, 0, 0]",The Fairbrothers
both,[76],The Fairbrothers
