w,vector_uso
explosives,[4],The Ikon
here,"[96, 12, 0, 0]",The Ikon
rough,"[4, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",The Ikon
radiance,"[0, 1, 0, 1, 0, 0, 0, 1]",The Ikon
post,"[16, 1, 14, 7, 43, 0, 10, 0, 72, 0, 0, 1, 0, 19, 2, 0, 9, 1, 0, 0, 0, 6, 0, 0]",The Ikon
overcome,"[0, 0, 0, 0, 0, 4, 3, 0, 0, 0, 9, 0, 0, 0]",The Ikon
crawling,"[1, 0, 1, 0, 0, 0, 1, 0]",The Ikon
flesh,"[0, 1, 0, 0, 0, 0, 0, 0, 9, 39, 0, 6, 5, 13, 22]",The Ikon
Americans,"[0, 39, 0]",The Ikon
leg,"[3, 0, 0, 7, 11, 0, 1]",The Ikon
right,"[1, 0, 0, 0, 4, 84, 10, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 134, 3, 0, 0, 9, 8, 0, 0, 3, 0, 4]",The Ikon
as,"[2793, 69, 0, 828, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",The Ikon
really,"[40, 1, 11, 8, 81, 0, 33, 0]",The Ikon
came,"[84, 0, 42, 12, 0, 0, 3, 1, 123, 11, 3, 3, 163, 0, 0, 0, 0, 20, 22, 0]",The Ikon
fire,"[0, 0, 0, 0, 1, 3, 0, 0, 1, 2, 0, 0, 29, 0, 0, 0, 0, 1, 3, 0, 9, 1, 1, 7, 0, 1, 235, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0]",The Ikon
steered,"[0, 0, 16, 37, 0, 0, 0, 0, 73, 5]",The Ikon
peered,[0],The Ikon
little,"[3, 3, 0, 28, 0, 99, 1, 0, 0, 0, 0, 0, 0, 67]",The Ikon
foot,"[0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 0, 9, 0, 0, 0, 0, 1, 0, 0]",The Ikon
pen,"[1, 14, 0, 0, 3, 0]",The Ikon
at,"[0, 0, 580, 35]",The Ikon
