w,vector_uso
A,"[0, 147, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Invisible Aborigine
kept,"[1, 2, 28, 4, 0, 1, 5, 0, 7, 0, 0, 0, 0, 0, 1, 13, 4, 35, 1, 0, 0, 17, 0, 0]",The Invisible Aborigine
left,"[0, 0, 0, 41, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 12, 32, 16, 0, 0, 0, 218, 0, 0, 9, 0, 0, 20, 27, 51]",The Invisible Aborigine
worms,"[1, 0, 0, 1, 1, 0, 0, 0, 0]",The Invisible Aborigine
beckoned,"[2, 0]",The Invisible Aborigine
hills,"[6, 0, 0, 3, 0, 0, 2, 0]",The Invisible Aborigine
confined,"[5, 1, 1, 0, 0, 2, 0, 0, 7, 0, 1, 0, 1, 17, 0, 2]",The Invisible Aborigine
container,[0],The Invisible Aborigine
well-equipped,[],The Invisible Aborigine
burning,"[1, 7, 0, 0, 1, 20, 1, 0, 0, 29, 0, 0, 0, 0, 0, 3, 0, 0]",The Invisible Aborigine
leaf,"[0, 0, 3, 0, 0, 1, 0, 1, 0]",The Invisible Aborigine
second,"[0, 1, 45, 1, 1, 0, 40, 0, 0, 0, 162, 0, 5, 0, 0, 0, 0, 24, 0, 0, 13]",The Invisible Aborigine
closest,"[0, 0, 5, 0, 0, 3, 0, 1, 0, 0, 0, 2, 0, 27, 23, 0, 0, 0, 0, 1, 0]",The Invisible Aborigine
started,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 0, 123, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 47, 90, 0, 0, 0, 19]",The Invisible Aborigine
night,"[0, 1, 51, 0, 31]",The Invisible Aborigine
softened,"[6, 1, 1, 4, 1, 0, 13, 1, 0, 3, 0, 0, 0, 0, 1]",The Invisible Aborigine
highest,"[0, 0, 0, 61, 0, 2, 0]",The Invisible Aborigine
Occasionally,"[0, 0, 0, 0, 1, 0, 0]",The Invisible Aborigine
with,[],The Invisible Aborigine
moments,"[40, 24, 3, 6, 0, 0, 13, 45, 0, 5]",The Invisible Aborigine
surprising,"[13, 5, 4]",The Invisible Aborigine
like,"[5, 17, 176, 15, 0, 88, 1, 0, 2, 0, 21]",The Invisible Aborigine
country,"[0, 28, 0, 0, 32, 49, 11, 0, 32]",The Invisible Aborigine
fence,"[1, 0, 0, 0, 12, 0, 14, 4, 3]",The Invisible Aborigine
lived,"[0, 0, 49, 0, 0, 26, 90, 722, 129, 5, 6, 0, 2, 0, 1, 83]",The Invisible Aborigine
dignity,"[6, 0, 0, 0, 0, 0]",The Invisible Aborigine
who,"[0, 0]",The Invisible Aborigine
roughly,"[4, 85, 237, 6, 2, 0, 0, 0, 182, 0]",The Invisible Aborigine
grazer,[],The Invisible Aborigine
sniffing,"[0, 0, 1]",The Invisible Aborigine
pet,"[0, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",The Invisible Aborigine
behind,"[1, 7, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 0, 0, 12, 0, 1, 0, 0, 1, 38, 235, 13, 3, 0, 5, 0, 0, 0, 0]",The Invisible Aborigine
In,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",The Invisible Aborigine
close,"[7, 0, 0, 0, 0, 5, 0, 0, 0, 4, 3, 0, 2, 83, 3, 1, 7, 0, 5, 0, 0, 2, 0, 51, 27, 23, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0]",The Invisible Aborigine
direction,"[4, 0, 1, 0, 0, 123, 3, 4, 5, 2, 1, 8, 0, 0, 0, 8]",The Invisible Aborigine
pinched,"[0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 5, 0, 0, 1, 1, 2, 0, 1, 0, 0, 1, 29, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]",The Invisible Aborigine
For,[],The Invisible Aborigine
sixty,"[0, 2, 0, 0, 3]",The Invisible Aborigine
language,"[0, 18, 0, 0, 0, 3, 0, 25, 1, 0, 1, 0, 0]",The Invisible Aborigine
made,"[0, 0, 0, 113, 0, 9, 0, 0, 0, 26, 0, 18, 21, 0, 0, 0, 1, 1, 0, 4, 1, 0, 492, 0, 9, 0, 21, 0, 163, 0, 0, 0, 0, 127, 123, 39, 6, 0, 1, 31, 1, 9, 0, 4, 11, 0, 1, 0, 0, 0, 80, 0, 16, 5, 3, 8, 0, 117, 51, 0, 0, 17, 0, 0, 0, 0, 0, 0]",The Invisible Aborigine
white,"[1, 2, 0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 36, 0, 18, 0, 0, 0, 0, 0]",The Invisible Aborigine
rock,"[1, 6, 0, 2, 0, 0, 0, 4, 0, 0, 17, 0, 0, 1]",The Invisible Aborigine
squatted,"[0, 0, 0, 0, 0, 0]",The Invisible Aborigine
knowledge,"[0, 0, 18]",The Invisible Aborigine
body,"[3, 0, 50, 1, 0, 2, 0, 0, 0, 0, 0]",The Invisible Aborigine
range,"[21, 0, 72, 0, 0, 0, 0, 0, 2, 3, 4, 17, 0, 0, 13, 0, 0, 0, 0, 0, 6, 0, 3, 0, 7, 0, 0, 34, 0, 4, 0, 3, 11, 0, 12, 43, 0, 2, 1, 1, 0, 1, 1]",The Invisible Aborigine
toward,[],The Invisible Aborigine
life,"[1, 0, 14, 0, 98, 0, 1, 0, 0, 0, 0, 0, 0, 33]",The Invisible Aborigine
impossible,"[0, 0, 14, 0, 0, 0, 1]",The Invisible Aborigine
fly,"[0, 0, 5, 0, 2, 0, 0, 4, 20, 0, 0, 0, 0, 0, 0]",The Invisible Aborigine
guessed,"[0, 14, 4, 0, 9, 3, 2, 0, 0, 65, 4, 12, 12, 0]",The Invisible Aborigine
grease,"[0, 2, 11, 1, 0, 0, 0, 0]",The Invisible Aborigine
to,[],The Invisible Aborigine
in,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",The Invisible Aborigine
down,"[0, 0, 0, 0, 0, 146, 0, 9, 20, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 13, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 2]",The Invisible Aborigine
low,"[0, 0, 0, 1, 1, 0, 146, 0, 0, 20, 0, 0, 0, 0, 10, 0, 0, 4, 0, 0, 3, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 0, 2, 169, 67, 0]",The Invisible Aborigine
woven-root,[],The Invisible Aborigine
They'll,[],The Invisible Aborigine
road,"[47, 3]",The Invisible Aborigine
concentration,"[0, 1, 0, 2, 0, 0, 0, 0, 3, 0]",The Invisible Aborigine
around,"[85, 237, 6, 2, 0, 0, 0, 182, 3, 0]",The Invisible Aborigine
Its,"[0, 0]",The Invisible Aborigine
impulse,"[5, 0, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 0]",The Invisible Aborigine
air,"[24, 0, 26, 2, 13, 0, 2, 0, 0, 0, 0, 1, 2, 2, 0, 2, 0, 0, 10, 0, 0, 5, 0, 0, 0, 0]",The Invisible Aborigine
misperceives,[0],The Invisible Aborigine
cities,"[44, 0, 0]",The Invisible Aborigine
loose,"[0, 0, 3, 16, 9, 0, 7, 0, 0, 4, 0, 2, 22, 47, 7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 38]",The Invisible Aborigine
finally,"[0, 0, 0, 18, 0, 0, 3, 83, 7]",The Invisible Aborigine
dangling,"[1, 2, 9, 1, 1, 4]",The Invisible Aborigine
hideous,"[1, 0, 0, 0, 1]",The Invisible Aborigine
tire,"[0, 0, 1, 2, 0, 0, 1, 0, 7, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]",The Invisible Aborigine
six,"[0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]",The Invisible Aborigine
flatland,[],The Invisible Aborigine
loss,"[0, 7, 0, 3, 7, 0, 0, 71, 10, 3, 0]",The Invisible Aborigine
ten-by-ten-mile,[],The Invisible Aborigine
capering,[0],The Invisible Aborigine
though,[56],The Invisible Aborigine
five,"[0, 0, 0, 0, 18, 0, 0, 0, 1, 0, 7, 0, 35, 0, 0]",The Invisible Aborigine
half,"[36, 1]",The Invisible Aborigine
insect,"[1, 0, 0, 1]",The Invisible Aborigine
Damned,"[2, 0, 2, 0, 5, 0, 3, 0, 1, 0, 2, 1, 1, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",The Invisible Aborigine
:,[],The Invisible Aborigine
lordly,"[1, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0]",The Invisible Aborigine
Land,"[0, 0, 0, 18, 0, 0, 146, 0, 16, 0, 8, 0, 0, 49, 1, 2, 28, 0, 3, 0, 0, 11, 21, 2, 3, 5, 0, 32, 1, 0, 11, 0]",The Invisible Aborigine
dirt,"[2, 0, 0, 0, 11, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0]",The Invisible Aborigine
dry,"[0, 0, 0, 12, 0, 0, 0, 0]",The Invisible Aborigine
any,"[14, 168, 0]",The Invisible Aborigine
them,[],The Invisible Aborigine
Australian,"[0, 0, 0]",The Invisible Aborigine
centuries,"[1, 11, 23, 0, 13]",The Invisible Aborigine
``,[],The Invisible Aborigine
comes,"[42, 5, 22, 3, 0, 0, 0, 0, 0, 3, 163, 0, 12, 0, 123, 0, 20, 1, 3, 0, 0, 0, 84, 0, 11]",The Invisible Aborigine
consistency,"[50, 0, 1, 0]",The Invisible Aborigine
'',[],The Invisible Aborigine
held,"[36, 2, 0, 113, 3, 0, 0, 0, 2, 0, 492, 1, 5, 13, 10, 0, 0, 1, 3, 0, 6, 6, 0, 2, 0, 1, 12, 6, 4, 9, 5, 1, 1, 0, 0, 1, 1, 80, 2, 1, 0, 35, 0, 0, 0, 7, 3, 38, 51, 0, 0, 0, 17, 4, 0, 3]",The Invisible Aborigine
familiar,"[6, 8, 2, 3, 2, 1, 0, 0]",The Invisible Aborigine
shouting,"[0, 1, 0, 4, 2, 5, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1]",The Invisible Aborigine
falters,"[0, 0, 0, 0, 1, 0, 1, 0]",The Invisible Aborigine
rain,"[1, 5, 1, 0, 0]",The Invisible Aborigine
outback,"[0, 8]",The Invisible Aborigine
bothered,"[0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 3, 0, 0, 0]",The Invisible Aborigine
big,"[30, 0, 0, 0, 13, 53, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 0, 0, 61, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 18, 0, 0, 0, 19, 0, 8]",The Invisible Aborigine
minutes,"[2, 40, 1, 0, 24, 19, 0, 15, 0, 13, 45, 0, 5]",The Invisible Aborigine
tree-clumps,[],The Invisible Aborigine
dead,"[0, 9, 3, 0, 4, 23, 0, 20, 28, 27, 0, 0, 0, 8, 2, 1]",The Invisible Aborigine
fastened,"[0, 0, 8, 0, 0, 3, 1]",The Invisible Aborigine
red,"[1, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 0, 0, 5, 0, 0, 0, 4, 5, 0, 2, 0, 0]",The Invisible Aborigine
moment,"[40, 24, 3, 6, 0, 0, 13, 45, 0, 5]",The Invisible Aborigine
except,"[1, 0, 0, 0, 19, 0, 1]",The Invisible Aborigine
every,[49],The Invisible Aborigine
unpleasant,[1],The Invisible Aborigine
thirty,"[0, 0, 5, 7]",The Invisible Aborigine
bright,"[4, 0, 2, 0, 0, 3, 0, 4, 2, 0, 2, 6, 1]",The Invisible Aborigine
you'll,[],The Invisible Aborigine
beautiful,[16],The Invisible Aborigine
hospitable,[1],The Invisible Aborigine
placed,"[51, 0, 4, 21, 72, 6, 3, 14, 17, 19, 29, 19, 46, 0, 7, 34, 16, 1, 1, 37, 1, 0, 4, 3, 0, 12, 0, 10, 2, 2]",The Invisible Aborigine
has,"[2, 49, 0, 113, 0, 0, 3, 0, 18, 6, 111, 492, 1, 0, 0, 123, 6, 6, 1, 51, 0, 4, 4, 80, 2, 51, 0, 17, 7]",The Invisible Aborigine
everything,[],The Invisible Aborigine
constantly,"[46, 0, 7, 3, 0, 4]",The Invisible Aborigine
was,"[1, 0, 12, 0, 0, 21, 3, 6, 0, 26, 722, 6, 11, 0, 15]",The Invisible Aborigine
countless,"[2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2]",The Invisible Aborigine
years,"[133, 0, 0, 33, 0, 12, 36, 0, 0, 61, 0]",The Invisible Aborigine
hopping,"[0, 0, 0]",The Invisible Aborigine
for,[],The Invisible Aborigine
move,"[0, 0, 16, 0, 0, 1, 0, 6, 1, 0, 1, 19, 0, 1, 0, 0, 43, 1, 22, 90, 7, 6]",The Invisible Aborigine
straight,"[16, 12, 1, 16, 0, 8, 0, 0, 24, 0, 0, 0, 10, 0, 4, 0, 1]",The Invisible Aborigine
flat,"[1, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 18, 1, 0, 6, 0, 2, 16, 14, 10, 0, 0, 0, 0, 0]",The Invisible Aborigine
elaborately,"[0, 0, 1]",The Invisible Aborigine
She,[],The Invisible Aborigine
He,"[486, 2, 0, 1039]",The Invisible Aborigine
been,"[1, 12, 0, 21, 3, 6, 0, 26, 722, 6, 11, 0]",The Invisible Aborigine
buggers,"[0, 0, 0, 0, 0, 0]",The Invisible Aborigine
beyond,[18],The Invisible Aborigine
others,[],The Invisible Aborigine
softly,"[7, 6, 2, 3, 10]",The Invisible Aborigine
merely,"[25, 11, 211, 115, 409]",The Invisible Aborigine
room,"[123, 31, 0, 15]",The Invisible Aborigine
exhibits,"[1, 2, 6, 0, 2, 36, 3, 3, 44, 14]",The Invisible Aborigine
heads,"[0, 0, 0, 0, 12, 0, 5, 0, 1, 0, 0, 33, 0, 50, 73, 0, 0, 4, 0, 0, 0, 16, 0, 37, 0, 0, 0, 1, 0, 12, 7, 0, 0, 20, 0, 0, 0, 0, 14]",The Invisible Aborigine
thickened,"[0, 1, 0, 1, 0]",The Invisible Aborigine
looked,"[15, 3, 0, 10, 59, 4, 62, 4, 5, 102, 0, 0, 0, 7, 26, 41, 7]",The Invisible Aborigine
warm,"[1, 0, 0, 0, 1, 11, 25, 2, 9, 1]",The Invisible Aborigine
gulley,[],The Invisible Aborigine
crawled,"[0, 0, 0, 1, 1, 0]",The Invisible Aborigine
some,"[85, 237, 6, 2, 0, 0, 0, 182, 0]",The Invisible Aborigine
stink,"[0, 0, 0, 0, 1, 0, 0, 0]",The Invisible Aborigine
followed,"[0, 3, 2, 0, 0, 0, 12, 2, 0, 0, 0, 0, 0, 2, 0, 0, 722, 0, 0, 0, 4, 0, 0, 84, 0, 11, 3, 0]",The Invisible Aborigine
swept,"[0, 3, 0, 0, 4, 9, 0, 0, 6, 0, 0, 0, 5, 1, 6]",The Invisible Aborigine
horrible,"[0, 4, 0, 2, 1]",The Invisible Aborigine
tortured,"[1, 0, 0, 1, 2, 0, 1]",The Invisible Aborigine
and,[],The Invisible Aborigine
wanders,"[21, 0, 0, 0, 1, 0, 0, 3, 0, 0, 3, 0, 0, 0, 7, 12, 4, 0, 0, 2, 0, 1]",The Invisible Aborigine
darker,"[0, 1, 1, 0, 5, 0, 1, 0, 21, 0, 0, 0, 1, 31, 1, 13, 1, 0, 0, 8, 0, 0, 2, 0, 1, 2, 0]",The Invisible Aborigine
knows,"[49, 0, 0, 0, 12, 26, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 129, 0, 2, 0, 0, 8, 0, 49, 0, 0, 0, 5, 0]",The Invisible Aborigine
saltbush,[0],The Invisible Aborigine
blink,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0]",The Invisible Aborigine
areas,"[28, 9, 34, 0, 0, 1, 1, 0, 1, 32]",The Invisible Aborigine
did,"[113, 0, 0, 18, 25, 3, 0, 0, 0, 0, 163, 46, 5, 6, 6, 0, 3, 1, 9, 0, 22, 1, 84, 0]",The Invisible Aborigine
all,"[13, 352, 28, 24, 2, 2, 6]",The Invisible Aborigine
palm,"[0, 0, 3, 10, 0, 0, 0, 2, 1]",The Invisible Aborigine
times,"[0, 188, 0, 0, 29, 0, 1, 0, 3, 1, 0]",The Invisible Aborigine
scuttling,"[0, 0, 0, 0]",The Invisible Aborigine
out,"[0, 4, 1, 0, 0, 40, 0, 0, 2, 0, 0, 309, 0, 0, 0]",The Invisible Aborigine
beneath,"[0, 1, 10, 0]",The Invisible Aborigine
soil,"[0, 2, 0, 11, 5, 1, 0, 0, 0, 32, 0, 9, 21, 0]",The Invisible Aborigine
rained,"[5, 0]",The Invisible Aborigine
owned,"[3, 4, 111, 492]",The Invisible Aborigine
swear,"[1, 0, 0, 0, 0, 0, 2, 1, 7, 0, 7, 1, 0, 0, 3, 0]",The Invisible Aborigine
",",[],The Invisible Aborigine
cast,"[51, 0, 21, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 0, 7, 0, 3, 0, 39, 6, 0, 0, 0, 4, 0, 9, 0, 5, 0, 2, 13, 1, 1, 6, 3, 1, 1, 0, 0, 3]",The Invisible Aborigine
picked,"[0, 0, 0, 5, 0, 0, 18, 0, 0, 8, 0, 11, 9]",The Invisible Aborigine
Such,[107],The Invisible Aborigine
yards,"[5, 3, 5, 0, 4, 0, 0, 0, 0, 0, 5, 0, 0, 5, 10, 0]",The Invisible Aborigine
such,[107],The Invisible Aborigine
eyeball,"[0, 11, 0]",The Invisible Aborigine
mile,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0]",The Invisible Aborigine
Everything,[],The Invisible Aborigine
seaports,"[0, 0, 0, 3]",The Invisible Aborigine
come,"[42, 5, 22, 3, 0, 0, 0, 0, 0, 3, 163, 0, 12, 0, 123, 0, 20, 1, 3, 0, 0, 0, 84, 0, 11]",The Invisible Aborigine
pitiless,"[0, 0, 0, 0, 3]",The Invisible Aborigine
ageless,"[0, 7, 0, 0, 0, 2, 2, 0]",The Invisible Aborigine
single,"[321, 28, 786, 1, 0, 24, 1, 2, 0, 5, 29]",The Invisible Aborigine
changed,"[5, 0, 0, 3, 5, 7, 1, 0, 34, 10, 1, 6, 10]",The Invisible Aborigine
And,[],The Invisible Aborigine
.,[],The Invisible Aborigine
Very,"[81, 0, 5, 40, 1, 33]",The Invisible Aborigine
when,[],The Invisible Aborigine
sticks,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 0, 16, 0, 0, 123, 3, 0, 0, 0, 4, 1, 0, 1, 0, 0, 0, 0, 1, 0, 2, 23, 0, 0, 0, 0, 0, 0, 0]",The Invisible Aborigine
device,"[0, 0, 2]",The Invisible Aborigine
up,"[307, 0, 4, 3, 0, 0]",The Invisible Aborigine
next,"[0, 47, 37, 20, 0, 0]",The Invisible Aborigine
always,"[59, 46, 0, 0, 7, 3, 0, 4]",The Invisible Aborigine
studying,"[0, 2, 24, 80, 0, 21, 6, 0, 0, 0, 4, 2, 0, 5, 0, 0, 10]",The Invisible Aborigine
does,"[113, 0, 0, 18, 25, 3, 0, 0, 0, 0, 0, 163, 46, 0, 5, 6, 6, 0, 0, 0, 0, 3, 1, 9, 0, 22, 1, 84, 0]",The Invisible Aborigine
unlike,"[24, 0, 1]",The Invisible Aborigine
malignancy,"[0, 0, 0]",The Invisible Aborigine
gait,"[5, 0]",The Invisible Aborigine
itself,[],The Invisible Aborigine
by,"[40, 497, 7, 39]",The Invisible Aborigine
game,"[0, 1, 0, 13, 0, 2, 162, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1]",The Invisible Aborigine
ravines,[0],The Invisible Aborigine
deceived,"[0, 0, 0, 0, 0, 0]",The Invisible Aborigine
still,"[0, 2, 115, 4, 12, 0, 0, 0, 0, 6, 2, 0, 103, 0, 0, 11, 9, 0, 0, 47, 0, 0, 0, 1, 3, 0, 0, 6, 0, 3, 0, 1, 35, 6, 0, 2, 0, 0]",The Invisible Aborigine
pile,"[4, 0, 1, 0, 0, 0, 0, 146, 0, 0, 12, 0, 0, 12, 0, 0, 20, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0, 18, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 3, 4, 0, 0, 0, 1, 0, 0, 2, 0]",The Invisible Aborigine
earth,"[0, 16, 1, 0, 96, 11, 0, 32, 0, 21, 0]",The Invisible Aborigine
as,"[147, 0, 0, 0, 0, 0, 0, 828, 0, 0, 0, 0, 0, 4, 0, 0, 2793, 0, 0, 69, 0, 0]",The Invisible Aborigine
rodent,"[0, 0]",The Invisible Aborigine
jeep,"[0, 0]",The Invisible Aborigine
spear,"[0, 0, 2, 1, 0, 0, 0]",The Invisible Aborigine
ridges,"[0, 3, 0, 0]",The Invisible Aborigine
inches,"[6, 2255, 0, 3]",The Invisible Aborigine
economy,"[2, 2, 0, 0]",The Invisible Aborigine
runner,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Invisible Aborigine
went,"[1, 0, 0, 0, 0, 0, 0, 26, 11, 0, 0, 6, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 127, 83, 0, 123, 0, 0, 8, 19, 0, 0, 13, 6, 0, 33, 12, 0, 0, 43, 0, 0, 20, 0, 90, 25, 5, 0, 0, 0, 19, 17, 3, 1, 0, 6, 0]",The Invisible Aborigine
light,"[0, 3, 0, 0, 1, 0, 0, 0, 16, 0, 0, 26, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 28, 0, 0, 4, 0, 0, 0, 0, 0, 47, 0, 8, 2, 2, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 3, 0, 0]",The Invisible Aborigine
I,"[321, 786, 0, 0, 24, 1, 3, 0, 5, 29, 0]",The Invisible Aborigine
stood,"[0, 5, 0, 0, 0, 0, 6, 0, 0, 13, 19, 0, 2, 0, 3, 0, 0]",The Invisible Aborigine
driven,"[9, 0, 14, 3, 9, 0, 0, 4, 1, 123, 24, 0, 8, 11, 1, 7, 0, 0, 5, 0, 0, 80]",The Invisible Aborigine
eyes,"[70, 0, 20, 0, 23, 15, 0, 0, 11]",The Invisible Aborigine
eyelids,"[0, 1, 1]",The Invisible Aborigine
more,"[0, 271, 0, 0, 7, 0]",The Invisible Aborigine
deep,"[0, 0, 0, 0, 4, 0, 15, 7, 13, 0, 9, 30, 0, 3, 0]",The Invisible Aborigine
park,"[0, 0, 0, 0, 0, 8, 2, 0, 20, 4, 0]",The Invisible Aborigine
looks,"[0, 0, 0, 59, 4, 102, 6, 7, 6, 15, 3, 0, 23, 62, 5, 7, 41, 37, 14, 4, 0, 2, 10, 26, 14, 8, 0, 23, 0]",The Invisible Aborigine
quality,"[3, 4, 0, 3, 11, 0, 0, 9, 12, 2, 1, 6]",The Invisible Aborigine
into,[],The Invisible Aborigine
eye,"[0, 20, 0, 23, 15, 0, 0, 11]",The Invisible Aborigine
my,[],The Invisible Aborigine
difficult,"[0, 33, 17]",The Invisible Aborigine
an,"[0, 0]",The Invisible Aborigine
sucked,"[6, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0]",The Invisible Aborigine
