w,vector_uso
A,"[0, 147, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Judges of the Secret Court
watched,"[0, 12, 0, 4, 0, 0, 17, 0, 4, 1, 102, 11, 0, 0, 6, 0, 4]",The Judges of the Secret Court
repeatedly,[2],The Judges of the Secret Court
left,"[0, 0, 0, 41, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 12, 32, 16, 0, 0, 0, 218, 0, 0, 9, 0, 0, 20, 27, 51]",The Judges of the Secret Court
forced,"[0, 3, 0, 14, 15, 9, 1, 11, 4, 0, 4, 5, 0, 0, 0, 10, 7]",The Judges of the Secret Court
winding,"[2, 0, 0, 0, 2, 1, 1, 3, 0, 0, 0, 0, 7, 12, 1, 0, 0, 0, 0, 0, 9, 0, 0, 0]",The Judges of the Secret Court
violence,"[0, 14, 1, 0, 7, 0, 1, 1]",The Judges of the Secret Court
opened,"[11, 0, 10, 0, 51, 12, 38, 0]",The Judges of the Secret Court
Since,[],The Judges of the Secret Court
smashed,"[2, 0, 0, 0, 2, 0, 2, 2, 0, 0, 1, 0, 0, 1, 5, 0, 1, 0, 0, 0, 13, 0, 0, 0, 3, 0, 9, 0, 2, 0, 2, 0, 1]",The Judges of the Secret Court
night,"[0, 1, 51, 0, 31]",The Judges of the Secret Court
arm,"[2, 1, 0, 18, 0, 0, 5, 0, 2, 3]",The Judges of the Secret Court
with,[],The Judges of the Secret Court
moments,"[40, 24, 3, 6, 0, 0, 13, 45, 0, 5]",The Judges of the Secret Court
bleeding,"[43, 1, 0, 0, 0, 0, 0, 4, 0]",The Judges of the Secret Court
worries,"[0, 5, 0, 20, 33, 1, 8, 21, 0]",The Judges of the Secret Court
death,"[0, 4, 0, 0, 4, 51, 83, 69, 4]",The Judges of the Secret Court
like,"[5, 17, 176, 15, 0, 88, 1, 0, 2, 0, 21]",The Judges of the Secret Court
lived,"[0, 0, 49, 0, 0, 26, 90, 722, 129, 5, 6, 0, 2, 0, 1, 83]",The Judges of the Secret Court
who,"[0, 0]",The Judges of the Secret Court
clerk,"[0, 1, 0, 0]",The Judges of the Secret Court
This,[],The Judges of the Secret Court
behind,"[1, 7, 0, 0, 0, 0, 3, 0, 0, 0, 4, 0, 0, 0, 0, 12, 0, 1, 0, 0, 1, 38, 235, 13, 3, 0, 5, 0, 0, 0, 0]",The Judges of the Secret Court
In,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",The Judges of the Secret Court
darkness,"[0, 31, 0, 0, 3, 0, 8]",The Judges of the Secret Court
