w,vector_uso
Sandalphon,[],The Lovers
Then,"[177, 0, 228, 0]",The Lovers
Lingo,"[0, 0, 0, 0, 1, 1, 0]",The Lovers
new,"[0, 36, 12, 92, 3, 0, 1, 5, 38, 4, 4]",The Lovers
join,"[0, 0, 3, 0, 4, 0, 0, 0, 0, 15, 0, 0, 5, 2, 0]",The Lovers
I,"[0, 5, 24, 29, 0, 786, 3, 321, 0, 1, 0]",The Lovers
into,[],The Lovers
vessel,"[0, 0, 2]",The Lovers
interstellar,[0],The Lovers
study,"[0, 21, 0, 8, 24, 0, 10, 4, 127, 2, 0, 0, 0, 34, 7, 2, 25, 0, 0, 0, 5, 5, 0, 2, 80, 0]",The Lovers
Earthmen's,[],The Lovers
journey's,[],The Lovers
crash,"[0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0]",The Lovers
grammatical,"[0, 0, 0]",The Lovers
unattached,"[0, 0, 0]",The Lovers
wrongly,"[0, 0, 19]",The Lovers
So,"[0, 3, 12, 22, 0, 17, 0, 177, 0, 228, 0, 0]",The Lovers
hurl,"[0, 0, 4, 1, 0, 6]",The Lovers
crowd,"[4, 0, 8, 2, 4, 1, 8]",The Lovers
Ozagenians,[],The Lovers
Icelandic-speaking,[0],The Lovers
been,"[12, 1, 11, 722, 6, 0, 26, 0, 21, 0, 6, 3]",The Lovers
outside,"[1, 0, 0, 29, 2, 8, 5, 40, 0, 4, 0, 0]",The Lovers
end,"[27, 51, 0, 3, 18, 83, 7, 3, 0, 69, 2, 3, 0, 0, 0, 4, 0, 7]",The Lovers
nose,"[9, 0, 0, 12, 0, 0, 0, 1, 0, 0]",The Lovers
succeeded,"[0, 11, 0, 0, 0, 3, 16]",The Lovers
Line,"[1, 0, 31, 0, 0, 0, 5, 26, 0, 7, 24, 0, 0, 0, 3, 0, 3, 0, 0, 0, 6, 0, 0, 6, 0, 0, 0, 3, 0, 0, 1, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 74, 0, 0, 0, 36, 0, 0, 0, 2, 9, 0, 0, 1, 2, 0, 7, 0, 0, 9, 0, 0, 0, 0, 0, 0]",The Lovers
self,"[2, 7]",The Lovers
Many,[94],The Lovers
Icelandic,[0],The Lovers
operated,"[6, 0, 3, 0, 0, 38, 1, 0, 0, 127, 90, 43, 0]",The Lovers
others,[],The Lovers
silent,"[1, 1, 0, 0, 103, 0, 0, 6, 12]",The Lovers
drive,"[5, 3, 10, 0, 0, 16, 3, 5, 0, 0, 0, 1, 0, 9, 24, 0, 0, 0, 0, 11, 18, 0, 123, 11, 7, 4, 80, 14]",The Lovers
occur,"[0, 0, 84, 12, 0, 0, 0, 0, 3, 14]",The Lovers
known,"[0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 0, 26, 2, 0, 0, 49, 1, 8, 0, 0, 0, 0, 3, 0, 24, 0, 0, 0, 129, 0, 0, 49]",The Lovers
A,"[0, 147, 0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0]",The Lovers
predict,"[0, 1, 0, 0, 25, 0, 0, 0, 0, 2, 0, 0, 1, 9, 0, 0, 0]",The Lovers
frowning,"[0, 0, 0, 6, 0]",The Lovers
lessons,"[15, 23, 1, 0, 0]",The Lovers
unthaw,"[1, 1, 0, 0, 0, 0]",The Lovers
'',[],The Lovers
himself,[],The Lovers
reported,"[8, 12, 8, 13, 6]",The Lovers
than,[],The Lovers
whose,[],The Lovers
marry,"[2, 0, 0, 0, 0, 0, 1, 0, 0]",The Lovers
unfrozen,"[1, 1, 0, 22, 0, 0, 0, 0, 7, 0]",The Lovers
navel,"[0, 0, 0, 0, 0, 0, 0]",The Lovers
aboard,"[5, 2, 0, 0]",The Lovers
students,"[3, 14, 0, 0, 0, 0]",The Lovers
chief,"[7, 15, 73, 0, 0, 13, 0, 0, 12, 3, 1, 0, 9, 1]",The Lovers
Hebrew,"[0, 5, 0, 0, 0]",The Lovers
would,[],The Lovers
Besides,"[121, 2, 3, 0, 118, 0]",The Lovers
Minor,"[1, 0, 67, 1, 0, 0, 1, 17, 4, 0, 0, 0, 0, 0, 0, 4, 0, 4, 0, 0]",The Lovers
living,"[0, 0, 33, 0, 0, 5, 0, 0, 2, 6, 26, 13, 90, 1, 0, 0, 98, 0, 0, 0, 83, 129, 0, 35, 722, 49]",The Lovers
Swahili,[0],The Lovers
And,[],The Lovers
longer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 28]",The Lovers
across,"[36, 0, 1]",The Lovers
necklaces,[1],The Lovers
hemisphere,"[3, 0]",The Lovers
as,"[0, 0, 0, 0, 0, 69, 828, 0, 0, 0, 2793, 0, 0, 0, 0, 0, 147, 0, 4, 0, 0, 0]",The Lovers
Sahara,"[0, 0]",The Lovers
they,[],The Lovers
Yarrow,"[0, 0, 0]",The Lovers
choking,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 90, 0, 1, 0, 11, 5, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0]",The Lovers
you,[],The Lovers
keeping,"[9, 7, 4, 1, 1, 0, 17, 0, 0, 0, 2, 0, 0, 8, 5, 4, 0, 0, 0, 2, 1, 0, 1, 13, 0, 0, 35]",The Lovers
married,"[2, 0, 0, 0, 0, 0, 0, 16, 1, 0, 3, 0]",The Lovers
members,"[7, 1, 0, 0, 0, 0]",The Lovers
voice,"[0, 47, 0, 0, 1, 25, 0, 0, 2, 0, 0, 30, 0, 0]",The Lovers
good,"[0, 25, 5, 82, 0, 24, 8, 0, 7, 0, 0, 0, 115, 8, 1, 134, 0, 7, 8, 0, 9, 23, 4, 1, 84, 0, 3, 2, 0, 0, 3, 0, 1, 2, 5, 0, 1]",The Lovers
equipment,[27],The Lovers
Earthmen,"[0, 0, 0, 0]",The Lovers
frauds,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Lovers
How,[],The Lovers
drives,"[5, 3, 10, 0, 0, 16, 3, 5, 0, 0, 0, 1, 0, 9, 24, 0, 0, 0, 0, 11, 18, 0, 123, 11, 7, 4, 80, 14]",The Lovers
at,"[35, 0, 0, 580]",The Lovers
born,"[19, 0, 4, 0, 0, 17, 0, 2, 0, 0, 0, 0, 0, 6, 15, 13, 0, 9, 25, 6, 9, 5, 0, 13, 0, 0, 3, 0, 3, 6, 1, 0, 19, 0, 7, 2, 0, 4, 492]",The Lovers
much,"[0, 47, 0, 0, 0, 111, 11, 6]",The Lovers
turned,"[0, 1, 0, 0, 4, 7, 33, 3, 0, 0, 4, 127, 37, 102, 0, 54, 0, 0, 0, 0, 0, 12, 0, 0, 0]",The Lovers
inflected,"[0, 6, 0, 0]",The Lovers
if,[],The Lovers
our,[],The Lovers
their,[],The Lovers
gender,"[0, 37, 0, 4]",The Lovers
the,[],The Lovers
ward,"[0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0]",The Lovers
contained,"[0, 9, 0, 6, 0, 0, 18, 3, 3, 38, 80, 0, 6, 0, 17, 4, 3]",The Lovers
doubted,[14],The Lovers
adjectives,[1],The Lovers
mai'teipa,[],The Lovers
There,"[0, 0, 0, 0, 276, 0]",The Lovers
which,[],The Lovers
beloved,"[3, 1, 2, 0, 8, 49]",The Lovers
using,"[0, 0, 0, 6, 1, 0, 13, 0, 0, 0, 66, 7]",The Lovers
check,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 17, 0, 0, 0, 18, 17, 10, 0, 1, 0, 4, 7, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 12, 0, 0, 2, 3, 0, 0, 0, 0, 1, 0, 0, 0, 8, 1, 13, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 7, 38, 0, 0, 3, 4, 0, 0, 2, 0, 0, 6, 0, 4, 5, 102]",The Lovers
Gabriel's,[],The Lovers
died,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 11, 0, 13, 0, 0, 3, 12, 0, 0, 0, 0]",The Lovers
Siddo,[],The Lovers
(,[],The Lovers
women,"[0, 0, 0, 0, 0, 0, 0, 48]",The Lovers
unrealistically,[0],The Lovers
animate,"[0, 1, 4, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0]",The Lovers
sure,"[0, 0, 0, 9, 42, 2, 16, 0, 42, 0]",The Lovers
thinking,"[15, 0, 0, 37, 12, 15, 0, 0, 0, 10, 5, 0, 65, 0, 2, 12, 67, 4, 0, 14, 5, 0, 0, 0, 0, 31, 0]",The Lovers
island,[5],The Lovers
wisdom,"[0, 0, 1, 8, 0, 0]",The Lovers
ago,"[0, 39]",The Lovers
return,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 51, 5, 0, 0, 0, 1, 16, 1, 20, 0, 0, 6, 0, 0, 0, 0, 1, 0, 0, 0, 1, 12, 0, 2, 0, 80, 1, 0, 0]",The Lovers
are,"[0, 12, 1, 11, 722, 6, 0, 26, 0, 21, 479, 0, 6, 3]",The Lovers
Thus,"[3, 0, 0, 12, 22, 0, 0, 228, 0]",The Lovers
