w,vector_uso
Do,"[0, 113, 163, 0, 22, 3, 1, 0, 1, 1, 5, 6, 25, 6, 46, 0, 0, 0, 0, 0, 0, 9, 0, 0, 18, 0, 0, 84, 3, 0]","The Miami Herald, September"
building,"[10, 0, 6, 0, 0, 113, 8, 0, 9, 0, 3]","The Miami Herald, September"
impressive,"[4, 8]","The Miami Herald, September"
access,"[0, 0, 11, 0, 0, 0, 0, 0, 4]","The Miami Herald, September"
province,"[49, 0, 4]","The Miami Herald, September"
began,"[8, 0, 0, 123, 0, 0, 19, 0, 0]","The Miami Herald, September"
seem,"[3, 26, 59]","The Miami Herald, September"
togetherness,[0],"The Miami Herald, September"
personality,[11],"The Miami Herald, September"
Too,"[1, 0, 0, 0, 3, 2, 118, 121]","The Miami Herald, September"
fairly,"[0, 19, 0, 15, 0, 18, 17, 3, 6, 0, 0]","The Miami Herald, September"
Goodbody,[],"The Miami Herald, September"
toward,[],"The Miami Herald, September"
fast,"[9, 0, 5, 0, 5, 11, 0, 0, 0, 0, 0, 0, 1, 19, 0, 0, 0]","The Miami Herald, September"
Erhart,[],"The Miami Herald, September"
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]","The Miami Herald, September"
these,[],"The Miami Herald, September"
rewrite,"[0, 2, 0]","The Miami Herald, September"
retired,"[0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 0]","The Miami Herald, September"
organization,"[1, 8, 8, 5, 0, 0, 0, 23, 4, 0, 3]","The Miami Herald, September"
pressure,"[0, 0, 10, 2, 0, 5, 0, 0, 0, 0, 1, 14, 0, 0, 1, 0, 8]","The Miami Herald, September"
William,[],"The Miami Herald, September"
developers,[1],"The Miami Herald, September"
subversive,"[0, 0, 0, 0, 0, 1]","The Miami Herald, September"
end,"[69, 0, 0, 0, 0, 83, 51, 3, 2, 7, 4, 0, 3, 7, 0, 27, 18, 3]","The Miami Herald, September"
whose,[],"The Miami Herald, September"
disagrees,"[0, 0, 0, 0, 0, 5]","The Miami Herald, September"
troubled,"[32, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 0]","The Miami Herald, September"
painstaking,"[0, 0, 1]","The Miami Herald, September"
they,[],"The Miami Herald, September"
