w,vector_uso
A,"[0, 147, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Moon and the Thorn.
watched,"[0, 12, 0, 4, 0, 0, 17, 0, 4, 1, 102, 11, 0, 0, 6, 0, 4]",The Moon and the Thorn.
planets,"[8, 0, 0]",The Moon and the Thorn.
kept,"[1, 2, 28, 4, 0, 1, 5, 0, 7, 0, 0, 0, 0, 0, 1, 13, 4, 35, 1, 0, 0, 17, 0, 0]",The Moon and the Thorn.
beginning,"[20, 0, 0, 0, 0, 4, 0, 123, 0, 0, 0, 0, 8, 0, 0, 1, 4, 0, 0, 19, 1, 169]",The Moon and the Thorn.
there's,[],The Moon and the Thorn.
left,"[0, 0, 0, 41, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 12, 32, 16, 0, 0, 0, 218, 0, 0, 9, 0, 0, 20, 27, 51]",The Moon and the Thorn.
Henrietta,[],The Moon and the Thorn.
sat,"[0, 1, 0, 8, 0, 12, 10, 2, 0, 0, 0, 9]",The Moon and the Thorn.
extraordinary,"[0, 5, 1]",The Moon and the Thorn.
clear,"[0, 0, 0, 0, 1, 0, 113, 3, 0, 0, 26, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 14, 2, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 29, 12, 0, 0, 0, 0, 0, 0, 5, 8, 2, 0, 0, 0, 0, 0, 18, 0, 38]",The Moon and the Thorn.
observed,"[1, 13, 8, 0, 0, 12, 0, 5, 8, 55, 3, 0, 0, 9, 3, 0, 4, 35, 9, 0, 12, 11, 0]",The Moon and the Thorn.
balanced,"[0, 0, 26, 0, 0, 1]",The Moon and the Thorn.
bun,"[7, 0]",The Moon and the Thorn.
sea,"[19, 13]",The Moon and the Thorn.
garden,[12],The Moon and the Thorn.
sin,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 18, 0]",The Moon and the Thorn.
leaf,"[0, 0, 3, 0, 0, 1, 0, 1, 0]",The Moon and the Thorn.
having,"[2, 49, 0, 113, 0, 3, 0, 18, 6, 111, 492, 1, 0, 0, 123, 6, 6, 1, 51, 0, 4, 4, 80, 2, 51, 17, 7]",The Moon and the Thorn.
