w,vector_uso
like,"[17, 176, 5, 2, 0, 21, 88, 1, 0, 15, 0]",The Murders
Then,"[177, 0, 228, 0]",The Murders
seen,"[13, 6, 1, 0, 8, 0, 11, 1, 0, 4, 22, 0, 0, 59, 0, 15, 0, 4, 10, 4, 0, 0, 8, 3, 0, 12, 2, 0, 17, 0, 0, 7, 0, 0, 17, 1, 3, 55, 0, 0, 0, 2, 7, 0, 20, 38, 0, 0, 0, 6, 4, 49, 5, 102, 19]",The Murders
join,"[0, 0, 3, 0, 4, 0, 0, 0, 0, 15, 0, 0, 5, 2, 0]",The Murders
amusedly,[],The Murders
I,"[0, 5, 24, 29, 0, 786, 3, 321, 0, 1, 0]",The Murders
into,[],The Murders
passed,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 0, 26, 0, 9, 0, 0, 0, 29, 0, 51, 0, 90, 0, 4, 0, 0, 0, 0, 0, 0, 13, 0, 14, 0, 0, 0, 0, 0, 50, 0, 0, 0, 12, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 20, 2, 0, 43, 0, 11, 1, 0, 0, 0, 0, 11, 0, 0, 3, 0, 0]",The Murders
toward,[],The Murders
split,"[3, 0, 0, 0, 0, 1, 47, 1, 7, 1, 2, 0, 0, 5, 0, 13, 0, 0, 0, 0, 5, 3, 0]",The Murders
station,"[7, 10, 72, 14]",The Murders
poker,"[0, 0, 0, 0, 0]",The Murders
We'd,[],The Murders
Murder,"[0, 7, 1, 0, 0, 102, 0, 1, 0, 2, 1, 21]",The Murders
So,"[0, 3, 12, 22, 0, 17, 0, 177, 0, 228, 0, 0]",The Murders
floor,"[0, 0, 0, 0, 14, 4, 0, 31, 0, 7, 23, 0, 0, 0, 3]",The Murders
been,"[12, 1, 11, 722, 6, 0, 26, 0, 21, 0, 6, 3]",The Murders
end,"[27, 51, 0, 3, 18, 83, 7, 3, 0, 69, 2, 3, 0, 0, 0, 4, 0, 7]",The Murders
down,"[1, 13, 0, 0, 32, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 146, 0, 0, 1, 2, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Murders
feel,"[37, 2, 6, 49, 0, 6, 40, 8, 0, 55, 23, 14, 0, 59]",The Murders
darkness,"[8, 0, 0, 31, 0, 3, 0]",The Murders
waiting,"[10, 0, 17, 0, 0, 0, 15, 0, 59]",The Murders
discussed,"[0, 0, 0, 2, 3]",The Murders
fourteen,"[3, 12, 0, 0]",The Murders
ones,"[5, 24, 29, 786, 321, 1]",The Murders
detailed,"[5, 0, 3, 2]",The Murders
filling,"[0, 0, 0, 1, 1, 0, 19, 1, 9, 1, 0, 7, 80, 0, 0, 0]",The Murders
bat,"[0, 0, 3, 0, 0, 1, 0, 0, 1, 0, 0, 1]",The Murders
Sure-sure,[],The Murders
lighted,"[0, 0, 0, 20, 0, 0, 47, 0, 0, 0, 1, 0, 0, 3, 0, 1, 0, 3]",The Murders
question,"[0, 0, 0, 2, 73, 0, 0, 0, 0, 0, 0, 14, 3, 11, 6, 33, 0]",The Murders
known,"[0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 0, 26, 2, 0, 0, 49, 1, 8, 0, 0, 0, 0, 3, 0, 24, 0, 0, 0, 129, 0, 0, 49]",The Murders
A,"[0, 147, 0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0]",The Murders
game,"[0, 0, 0, 0, 1, 7, 0, 0, 162, 0, 0, 0, 0, 2, 13, 0, 0, 0, 0, 1]",The Murders
Maxine's,[],The Murders
pocket,"[7, 2, 0, 0, 0, 1, 0, 0]",The Murders
'',[],The Murders
window,"[13, 0]",The Murders
himself,[],The Murders
than,[],The Murders
met,"[0, 11, 7, 0, 0, 2, 0, 3, 7, 0, 0, 23, 0, 1, 3, 1, 8, 0, 0, 0, 3, 0, 3, 0, 0, 102, 19]",The Murders
