w,vector_uso
grand,"[4, 3, 5, 1, 5, 1, 0, 0, 4, 2, 0, 1, 12, 1, 0, 0, 3, 2, 1, 0, 0, 0, 6, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 4, 0, 10, 0, 0, 1, 0, 0, 1]",The New York Times
somewhat,"[0, 19, 0, 12, 0, 3, 17, 6, 0, 0]",The New York Times
performances,"[8, 6, 0, 0, 0, 2, 1]",The New York Times
able,"[0, 29, 7]",The New York Times
staff,"[2, 0, 1]",The New York Times
praises,"[0, 1, 0, 0]",The New York Times
Furthermore,"[1, 1, 0]",The New York Times
seem,"[3, 26, 59]",The New York Times
dull,"[1, 0, 0, 5, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 4, 1, 0, 0]",The New York Times
toward,[],The New York Times
Zapala,[],The New York Times
Expected,"[10, 59, 9, 0, 15, 2, 22, 6, 0, 0, 6, 20]",The New York Times
noncombatant,[0],The New York Times
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]",The New York Times
these,[],The New York Times
organization,"[1, 8, 8, 5, 0, 0, 0, 23, 4, 0, 3]",The New York Times
accomplished,"[1, 7, 1, 4, 0, 22, 10, 11, 5, 1, 3, 14, 0, 0, 0, 0, 52]",The New York Times
headquarters,"[0, 0, 3, 0, 0, 0, 0, 0]",The New York Times
William,[],The New York Times
Sarasate,[],The New York Times
Polish,"[2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 0, 3, 0, 6, 0, 3, 146]",The New York Times
conspicuously,"[1, 0]",The New York Times
Russian,[4],The New York Times
edition,"[0, 0, 7, 1]",The New York Times
natural,"[0, 1, 0, 4, 25, 1, 13, 0]",The New York Times
whose,[],The New York Times
misgauged,[0],The New York Times
troubled,"[32, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 0]",The New York Times
children,"[1, 0, 1, 0, 0, 4, 0, 4, 17, 0, 0, 17, 0]",The New York Times
they,[],The New York Times
mutilation,[0],The New York Times
Mozart's,[],The New York Times
set,"[0, 2, 0, 163, 0, 1, 0, 0, 0, 0, 4, 0, 6, 0, 29, 0, 7, 7, 2, 10, 9, 0, 1, 0, 0, 0, 46, 0, 51, 72, 0, 2, 2, 0, 0, 6, 1, 8, 13, 0, 12, 0, 0, 0, 0, 19, 8, 0, 10, 19, 0, 21, 0, 0, 0, 0, 1, 1, 0, 0, 0]",The New York Times
harm,"[16, 4, 0, 1, 0, 3, 2]",The New York Times
jungles,"[0, 4]",The New York Times
general,"[0, 32, 0, 1, 1, 9, 0, 0, 0]",The New York Times
Before,"[0, 14, 17, 123]",The New York Times
intellectual,"[0, 3, 3, 1, 3]",The New York Times
Philharmonic,"[0, 0, 2]",The New York Times
campaigns,"[1, 11, 0, 0, 18, 10, 16, 0, 43, 4, 11, 0, 0, 0, 8, 10]",The New York Times
small,"[20, 0, 1, 4, 4, 0, 67, 4, 0, 0, 99, 3, 0]",The New York Times
Chopin's,[],The New York Times
roads,"[3, 5, 0, 47]",The New York Times
thing,"[29, 53, 0]",The New York Times
diplomatic,"[3, 0]",The New York Times
no,"[50, 0, 266, 0, 0]",The New York Times
too,"[1, 0, 0, 0, 3, 2, 118, 121]",The New York Times
Variations,"[0, 0, 0, 0, 4, 0, 1, 0, 7, 0, 0, 0]",The New York Times
words,"[0, 0, 4, 3, 7, 0, 0, 0, 4, 0, 1, 0, 2, 18, 0, 1, 0, 0, 0, 1, 11, 0, 0, 37, 1, 2, 0, 25, 0, 2, 4, 0, 3, 1, 0, 0]",The New York Times
There,"[0, 0, 0, 0, 0, 276]",The New York Times
four,"[0, 0, 24, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 20]",The New York Times
drawback,[0],The New York Times
home,"[74, 0, 52, 0, 0, 0, 0, 72, 8, 1, 0, 3, 0, 0, 0, 4, 54, 0, 3, 3]",The New York Times
thirteen,"[0, 0, 4, 0, 1, 0]",The New York Times
interesting,"[0, 8, 9, 5, 33, 1]",The New York Times
Texas,"[0, 7, 0]",The New York Times
courage,"[4, 0, 0, 0]",The New York Times
eschews,"[0, 0]",The New York Times
long,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109]",The New York Times
provocative,[1],The New York Times
combination,"[11, 0, 0]",The New York Times
overriding,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]",The New York Times
526,[],The New York Times
comfort,"[0, 3, 12, 0, 1, 0, 0, 0, 0, 0]",The New York Times
flirtatious,"[0, 0]",The New York Times
modest,"[20, 0, 0, 1, 4, 4, 67, 0, 0, 3, 3]",The New York Times
sentimental,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The New York Times
until,[],The New York Times
full,"[22, 0, 134, 0, 0, 3, 0, 0, 0, 24, 14, 0, 16, 8]",The New York Times
outgeneraled,[0],The New York Times
its,"[0, 0]",The New York Times
shrillness,"[0, 0, 0]",The New York Times
some,"[237, 0, 0, 85, 0, 0, 182, 6, 2]",The New York Times
headlines,"[0, 0]",The New York Times
balance,"[0, 0, 1, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 16, 0, 0, 0, 0, 0]",The New York Times
excellent,"[8, 0, 1, 2]",The New York Times
professional,"[9, 1, 12, 0]",The New York Times
as,"[0, 0, 2793, 0, 0, 69, 828, 0, 0, 0, 0, 0, 0, 0, 147, 4, 0, 0, 0, 0, 0, 0]",The New York Times
movements,"[0, 11, 0, 0, 6, 16, 18, 0, 10, 0, 0, 11, 19, 41, 0, 0, 4]",The New York Times
high-minded,"[4, 0, 3, 0, 0, 0, 0, 0, 2, 0, 1]",The New York Times
never,"[96, 0]",The New York Times
authority,"[0, 0, 0, 2, 0, 1, 3, 16, 4, 0, 1, 1, 1, 2, 0, 0, 0]",The New York Times
slaughter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",The New York Times
sons,"[27, 1, 47, 1, 0]",The New York Times
