w,vector_uso
Do,"[0, 113, 163, 0, 22, 3, 1, 0, 1, 1, 5, 6, 25, 6, 46, 0, 0, 0, 0, 0, 0, 9, 0, 0, 18, 0, 0, 84, 3, 0]",The Planet with No Nightmare
shook,"[11, 0, 0, 0, 0, 2, 17, 4, 0, 0, 0, 0, 1, 0]",The Planet with No Nightmare
!,[],The Planet with No Nightmare
seem,"[3, 26, 59]",The Planet with No Nightmare
foul,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",The Planet with No Nightmare
contact,"[0, 0, 0, 0, 3, 3, 11, 11, 0, 0, 19, 3, 1, 0, 0, 0]",The Planet with No Nightmare
fast,"[9, 0, 5, 0, 5, 11, 0, 0, 0, 0, 0, 0, 1, 19, 0, 0, 0]",The Planet with No Nightmare
ancient,"[0, 8]",The Planet with No Nightmare
interjected,"[0, 0, 0, 0, 0, 0]",The Planet with No Nightmare
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]",The Planet with No Nightmare
much,"[0, 47, 0, 6, 0, 11, 0, 111]",The Planet with No Nightmare
trace,"[1, 0, 2, 3, 24, 3, 3, 0, 0, 11, 11, 9, 0, 0, 6, 0, 5, 0]",The Planet with No Nightmare
these,[],The Planet with No Nightmare
infinite,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 43, 2, 2]",The Planet with No Nightmare
spaceship,"[0, 2]",The Planet with No Nightmare
fatigue,"[0, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0]",The Planet with No Nightmare
Take,"[0, 0, 3, 0, 123, 0, 9, 0, 16, 0, 113, 16, 0, 5, 1, 0, 5, 0, 2, 11, 10, 0, 5, 0, 0, 1, 24, 0, 0, 3, 1, 1, 6, 0, 0, 14, 7, 1, 6, 10, 18, 3, 9, 5, 20, 17, 4, 6, 80, 13, 3, 6, 2, 0, 7, 21, 1, 0, 0, 54, 0, 1, 7, 1, 22, 20, 5, 2, 4, 4, 5, 492]",The Planet with No Nightmare
secrecy,"[9, 3, 0, 5, 1, 0]",The Planet with No Nightmare
end,"[69, 0, 0, 0, 0, 83, 51, 3, 2, 7, 4, 0, 3, 7, 0, 27, 18, 3]",The Planet with No Nightmare
leave,"[0, 0, 51, 0, 0, 12, 218, 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 0, 16, 0, 27, 1, 1, 1, 20, 2]",The Planet with No Nightmare
blastdown,[],The Planet with No Nightmare
they,[],The Planet with No Nightmare
Galaxy,"[0, 0, 0, 0, 0, 0, 0]",The Planet with No Nightmare
aren't,[],The Planet with No Nightmare
set,"[0, 2, 0, 163, 0, 1, 0, 0, 0, 0, 4, 0, 6, 0, 29, 0, 7, 7, 2, 10, 9, 0, 1, 0, 0, 0, 46, 0, 51, 72, 0, 2, 2, 0, 0, 6, 1, 8, 13, 0, 12, 0, 0, 0, 0, 19, 8, 0, 10, 19, 0, 21, 0, 0, 0, 0, 1, 1, 0, 0, 0]",The Planet with No Nightmare
day,"[1, 0, 0, 0, 7, 0, 56, 0, 0, 1, 0, 0]",The Planet with No Nightmare
above,"[20, 0, 0, 0, 0]",The Planet with No Nightmare
harm,"[16, 4, 0, 1, 0, 3, 2]",The Planet with No Nightmare
body,"[2, 50, 0, 1, 0, 0, 3, 0, 0, 0, 0]",The Planet with No Nightmare
generations,"[0, 13, 0, 1, 0, 0]",The Planet with No Nightmare
galvanic,"[0, 0, 1, 3, 0]",The Planet with No Nightmare
felt,"[37, 0, 0, 0, 0, 1, 49, 0, 55, 0, 40, 49, 8]",The Planet with No Nightmare
through,"[125, 32, 0, 0]",The Planet with No Nightmare
small,"[20, 0, 1, 4, 4, 0, 67, 4, 0, 0, 99, 3, 0]",The Planet with No Nightmare
Still,"[9, 6, 2, 12, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 35, 2, 6, 4, 0, 47, 3, 0, 0, 0, 103, 1, 6, 0, 0, 0, 0, 0, 0, 1, 115, 11]",The Planet with No Nightmare
thing,"[29, 53, 0]",The Planet with No Nightmare
radioactive,[1],The Planet with No Nightmare
Ringing,"[1, 0, 0, 0, 0, 25, 11, 1, 0, 1, 0, 0, 12, 0, 10, 0, 0, 0, 1, 0, 0, 0, 0]",The Planet with No Nightmare
no,"[50, 0, 266, 0, 0]",The Planet with No Nightmare
maybe,"[0, 13, 18, 13, 0, 0]",The Planet with No Nightmare
