w,vector_uso
sterling,"[0, 4, 0]",The Providence Journal
A,"[0, 147, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Providence Journal
beginning,"[20, 0, 0, 0, 0, 4, 0, 123, 0, 0, 0, 0, 8, 0, 0, 1, 4, 0, 0, 19, 1, 169]",The Providence Journal
vibrant,"[0, 0]",The Providence Journal
there's,[],The Providence Journal
week,"[33, 0, 0, 0]",The Providence Journal
Lauderdale,[],The Providence Journal
greatly,[7],The Providence Journal
shells,"[0, 0, 2, 35, 0, 23, 0, 0, 0, 0, 0, 1, 3, 0, 0, 6, 7]",The Providence Journal
costumes,"[3, 0]",The Providence Journal
excellent,"[2, 8, 1, 0]",The Providence Journal
Fiorello,[],The Providence Journal
garbage,"[0, 0, 0, 0, 3]",The Providence Journal
opened,"[11, 0, 10, 0, 51, 12, 38, 0]",The Providence Journal
Since,[],The Providence Journal
chap,"[6, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",The Providence Journal
violence,"[0, 14, 1, 0, 7, 0, 1, 1]",The Providence Journal
North,"[0, 0, 12, 0, 0, 0, 17, 0, 5, 0, 0, 9]",The Providence Journal
productions,"[6, 8, 1, 11]",The Providence Journal
fairly,"[6, 17, 0, 0, 19, 3, 18, 0, 0, 15, 0]",The Providence Journal
proficient,"[1, 0, 11, 3, 1, 0, 0, 134]",The Providence Journal
Bock,"[0, 0]",The Providence Journal
Joe,[],The Providence Journal
charming,"[0, 10, 0, 2, 2, 0, 0, 0, 4, 5, 0, 0, 0, 13, 0, 2, 0, 0, 2, 12, 0, 0]",The Providence Journal
10-year-old,[],The Providence Journal
second,"[0, 1, 45, 1, 1, 0, 40, 0, 0, 0, 162, 0, 5, 0, 0, 0, 0, 24, 0, 0, 13]",The Providence Journal
amusing,"[0, 2, 0, 3, 0, 0, 0, 2, 2, 0, 0, 0]",The Providence Journal
started,"[0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 0, 123, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 47, 90, 0, 0, 0, 19]",The Providence Journal
night,"[0, 1, 51, 0, 31]",The Providence Journal
Hutton,"[0, 0, 0]",The Providence Journal
highest,"[0, 0, 0, 61, 0, 2, 0]",The Providence Journal
fiery,"[1, 0, 2, 0, 0, 1, 0, 2, 0]",The Providence Journal
Lawless,"[0, 0, 0, 2, 0]",The Providence Journal
with,[],The Providence Journal
whom,[],The Providence Journal
flawless,"[0, 0]",The Providence Journal
Yvette,[],The Providence Journal
like,"[5, 17, 176, 15, 0, 88, 1, 0, 2, 0, 21]",The Providence Journal
written,"[10, 3, 1, 4, 0, 0, 0, 14, 1, 0]",The Providence Journal
spirit,"[0, 14, 1, 98, 6, 0, 23, 0, 0, 0, 59, 0, 20, 2, 6, 0, 0, 37]",The Providence Journal
rapists,"[0, 0]",The Providence Journal
who,"[0, 0]",The Providence Journal
David,"[0, 17, 0, 0]",The Providence Journal
Morgan,"[0, 0, 0, 0, 28, 0, 0, 0]",The Providence Journal
view,"[12, 0, 102, 1, 4, 19, 0, 1, 12, 0, 4, 7, 0, 4, 18, 17, 2, 67, 3, 1, 11, 10, 0, 8, 0]",The Providence Journal
settings,"[0, 0, 5, 12, 2, 0, 0, 2, 8, 4]",The Providence Journal
author,"[3, 1, 4, 5]",The Providence Journal
This,[],The Providence Journal
playing,"[0, 0, 18, 4, 19, 0, 0, 0, 0, 3, 0, 5, 127, 0, 6, 0, 23, 0, 0, 6, 0, 1, 43, 0, 22, 0, 0, 2]",The Providence Journal
end,"[2, 7, 7, 0, 0, 3, 3, 27, 0, 18, 0, 4, 0, 51, 0, 83, 69, 3]",The Providence Journal
Hollywood,[5],The Providence Journal
In,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",The Providence Journal
close,"[7, 0, 0, 0, 0, 5, 0, 0, 0, 4, 3, 0, 2, 83, 3, 1, 7, 0, 5, 0, 0, 2, 0, 51, 27, 23, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0]",The Providence Journal
direction,"[4, 0, 1, 0, 0, 123, 3, 4, 5, 2, 1, 8, 0, 0, 0, 8]",The Providence Journal
company,"[0, 11, 1, 2, 2, 15, 0, 0, 14, 0, 0]",The Providence Journal
For,[],The Providence Journal
promoted,"[0, 1, 2, 0, 0, 0, 4, 18, 0, 0, 7, 3]",The Providence Journal
nightclub,"[0, 0, 0, 11, 0]",The Providence Journal
troubles,"[0, 0, 0, 4, 0, 0, 0, 0, 36, 0, 0, 0, 8, 0, 0, 20, 32, 0, 7, 0, 3, 0, 0, 3]",The Providence Journal
Gary,[1],The Providence Journal
north,"[0, 0, 12, 0, 0, 0, 17, 0, 5, 0, 0, 9]",The Providence Journal
senior,"[0, 1, 2, 10, 0, 3]",The Providence Journal
