w,vector_uso
shook,"[11, 0, 0, 0, 0, 2, 17, 4, 0, 0, 0, 0, 1, 0]",The Shadow Catcher
!,[],The Shadow Catcher
riders,"[3, 0]",The Shadow Catcher
began,"[8, 0, 0, 123, 0, 0, 19, 0, 0]",The Shadow Catcher
seem,"[3, 26, 59]",The Shadow Catcher
barrel,"[2, 11, 1, 0, 0, 0]",The Shadow Catcher
methods,"[11, 0]",The Shadow Catcher
toward,[],The Shadow Catcher
rapid,"[0, 4]",The Shadow Catcher
fast,"[9, 0, 5, 0, 5, 11, 0, 0, 0, 0, 0, 0, 1, 19, 0, 0, 0]",The Shadow Catcher
survivors,"[0, 0]",The Shadow Catcher
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]",The Shadow Catcher
turned,"[0, 0, 7, 0, 37, 0, 54, 0, 1, 0, 0, 0, 3, 12, 0, 0, 33, 0, 127, 0, 0, 4, 0, 102, 4]",The Shadow Catcher
sigh,"[0, 0, 2]",The Shadow Catcher
looming,"[0, 0, 0, 0, 1, 3, 0]",The Shadow Catcher
broke,"[0, 0, 11, 0, 10, 57, 0, 0, 0, 0, 0, 2, 3, 0, 1, 4, 0, 0, 47, 0, 3, 0, 7, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 90, 0, 0, 0, 0, 3, 0, 2, 1, 0, 0, 7, 18, 0, 0, 0, 6, 0, 0, 6, 5, 0, 1, 3, 1, 12]",The Shadow Catcher
end,"[69, 0, 0, 0, 0, 83, 51, 3, 2, 7, 4, 0, 3, 7, 0, 27, 18, 3]",The Shadow Catcher
finally,"[7, 0, 3, 83, 0, 0, 18, 0, 0]",The Shadow Catcher
indistinguishable,"[5, 0, 0]",The Shadow Catcher
children,"[1, 0, 1, 0, 0, 4, 0, 4, 17, 0, 0, 17, 0]",The Shadow Catcher
they,[],The Shadow Catcher
set,"[0, 2, 0, 163, 0, 1, 0, 0, 0, 0, 4, 0, 6, 0, 29, 0, 7, 7, 2, 10, 9, 0, 1, 0, 0, 0, 46, 0, 51, 72, 0, 2, 2, 0, 0, 6, 1, 8, 13, 0, 12, 0, 0, 0, 0, 19, 8, 0, 10, 19, 0, 21, 0, 0, 0, 0, 1, 1, 0, 0, 0]",The Shadow Catcher
day,"[1, 0, 0, 0, 7, 0, 56, 0, 0, 1, 0, 0]",The Shadow Catcher
Canadian's,[],The Shadow Catcher
dark,"[0, 0, 1, 1, 1, 51, 0, 0, 1, 0, 8, 0, 8, 5, 0, 0, 0, 1, 31, 1, 3, 0, 1, 13, 0, 0, 0, 0, 0, 2, 0, 2, 21]",The Shadow Catcher
above,"[20, 0, 0, 0, 0]",The Shadow Catcher
gunfire,"[0, 0]",The Shadow Catcher
body,"[2, 50, 0, 1, 0, 0, 3, 0, 0, 0, 0]",The Shadow Catcher
sounded,"[30, 0, 90, 0, 0, 25]",The Shadow Catcher
Before,"[0, 14, 17, 123]",The Shadow Catcher
new-spilled,[],The Shadow Catcher
They'll,[],The Shadow Catcher
Old,"[0, 79, 10, 10, 0, 9, 1, 11, 0, 0, 0, 0, 0]",The Shadow Catcher
through,"[125, 32, 0, 0]",The Shadow Catcher
thing,"[29, 53, 0]",The Shadow Catcher
Still,"[9, 6, 2, 12, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 0, 35, 2, 6, 4, 0, 47, 3, 0, 0, 0, 103, 1, 6, 0, 0, 0, 0, 0, 0, 1, 115, 11]",The Shadow Catcher
small,"[20, 0, 1, 4, 4, 0, 67, 4, 0, 0, 99, 3, 0]",The Shadow Catcher
raid,"[0, 1, 0, 0, 0]",The Shadow Catcher
scalp,[0],The Shadow Catcher
flung,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]",The Shadow Catcher
no,"[50, 0, 266, 0, 0]",The Shadow Catcher
explanations,"[13, 6]",The Shadow Catcher
post,"[0, 0, 9, 1, 6, 0, 0, 0, 1, 1, 0, 0, 0, 72, 0, 16, 0, 19, 10, 7, 2, 14, 43, 0]",The Shadow Catcher
Attack,"[2, 0, 0, 1, 0, 7, 0, 0, 11, 0, 0, 0, 0, 0, 29, 9, 0, 3, 0]",The Shadow Catcher
There,"[0, 0, 0, 0, 0, 276]",The Shadow Catcher
four,"[0, 0, 24, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 20]",The Shadow Catcher
reached,"[1, 51, 113, 11, 0, 11, 3, 0, 0, 0, 21, 7, 12, 0, 5, 1, 0, 1, 0, 0, 0, 50, 1]",The Shadow Catcher
Aricaras,"[0, 0]",The Shadow Catcher
big,"[0, 8, 19, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 0, 0, 61, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30, 0, 53]",The Shadow Catcher
long,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 109]",The Shadow Catcher
whipping,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 6, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",The Shadow Catcher
black,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 0, 21, 0, 0, 31, 0, 0, 0, 0, 0, 0, 1, 13, 2, 0, 0, 5, 0, 0, 2, 0, 2, 0, 0, 0, 2, 0]",The Shadow Catcher
there's,[],The Shadow Catcher
survival,"[0, 3, 0, 1, 0]",The Shadow Catcher
hunting,"[0, 2, 8, 43, 3, 0, 3, 7]",The Shadow Catcher
mouth,"[1, 14, 14, 0, 0, 0, 0, 2, 26, 0, 0, 0, 0, 0, 0]",The Shadow Catcher
someone,"[7, 28, 14, 4, 4, 19]",The Shadow Catcher
spray,"[0, 0, 2, 1, 0, 0, 0]",The Shadow Catcher
talkin',[],The Shadow Catcher
savage,"[1, 20, 0, 2, 1, 0, 0, 0, 3, 10, 0, 1, 0, 5, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2]",The Shadow Catcher
make,"[0, 123, 8, 51, 0, 113, 11, 163, 0, 4, 0, 1, 0, 9, 0, 1, 31, 4, 21, 0, 0, 0, 0, 16, 1, 0, 0, 2, 1, 0, 0, 5, 0, 1, 0, 0, 0, 0, 26, 17, 0, 0, 0, 80, 0, 3, 0, 0, 0, 0, 0, 0, 127, 21, 0, 0, 0, 6, 18, 39, 9, 0, 0, 0, 9, 0, 1, 0, 0, 492]",The Shadow Catcher
filling,"[0, 9, 1, 7, 1, 0, 0, 80, 1, 0, 0, 0, 0, 19, 1, 0]",The Shadow Catcher
care,"[1, 8, 7, 21, 1, 5, 1, 17, 0, 0, 17, 2, 20, 10, 0, 8, 0, 3, 10, 0, 176]",The Shadow Catcher
valley,"[0, 11]",The Shadow Catcher
until,[],The Shadow Catcher
prepared,"[113, 4, 3, 0, 6, 0, 1, 0, 0, 0, 0, 0, 7, 46, 1, 0, 21, 1, 1, 0, 12]",The Shadow Catcher
its,"[0, 0]",The Shadow Catcher
hair,"[0, 0, 0, 0, 0, 27, 0, 0]",The Shadow Catcher
don't,[],The Shadow Catcher
overrun,"[0, 0, 0, 2, 0, 0, 0, 1]",The Shadow Catcher
trading,"[6, 0, 20, 0, 4, 0, 0, 7, 16]",The Shadow Catcher
calmly,"[0, 4]",The Shadow Catcher
shoot,"[0, 1, 2, 8, 0, 0, 2, 5, 0, 21, 3, 0, 0, 0, 2, 0, 0, 3, 0, 3, 2, 0, 0, 1, 80, 0, 0, 1, 5, 0]",The Shadow Catcher
as,"[0, 0, 2793, 0, 0, 69, 828, 0, 0, 0, 0, 0, 0, 0, 147, 4, 0, 0, 0, 0, 0, 0]",The Shadow Catcher
some,"[237, 0, 0, 85, 0, 0, 182, 6, 2]",The Shadow Catcher
bright,"[6, 2, 4, 0, 0, 2, 0, 1, 0, 0, 2, 4, 3]",The Shadow Catcher
dawn,"[0, 0, 0, 0, 23, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Shadow Catcher
bucking,"[3, 8, 2, 0, 1, 0, 0, 5]",The Shadow Catcher
never,"[96, 0]",The Shadow Catcher
bare,"[15, 0, 3, 0, 5, 5, 0, 0, 0, 0, 5, 2, 0, 0, 8, 8, 6, 26, 1, 0, 1, 0, 0, 0, 7]",The Shadow Catcher
bloody,"[1, 2, 0, 0, 0, 0, 0, 2, 0]",The Shadow Catcher
hurried,"[4, 1, 1, 0, 0, 0, 0, 0, 14]",The Shadow Catcher
dammit,[],The Shadow Catcher
walls,"[12, 14, 1, 0, 0, 0, 0, 0]",The Shadow Catcher
village,"[0, 1, 0, 2, 5, 0]",The Shadow Catcher
Oso's,[],The Shadow Catcher
My,[],The Shadow Catcher
Every,[49],The Shadow Catcher
he'll,[],The Shadow Catcher
ring,"[1, 0, 0, 0, 25, 11, 1, 8, 0, 0, 0, 12, 1, 2, 0, 10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",The Shadow Catcher
riding,"[0, 0, 0, 0, 10, 0, 22, 0, 0, 11, 0, 0, 4, 1, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 9, 2]",The Shadow Catcher
jerked,"[0, 2, 0, 0, 1, 1]",The Shadow Catcher
Although,[],The Shadow Catcher
Manuel,[],The Shadow Catcher
terrible,"[0, 0, 0, 2, 3, 2, 0, 0, 0, 2, 2, 4, 6, 3, 2, 7, 1, 4, 0, 0]",The Shadow Catcher
shrilling,"[6, 0, 0, 0, 2]",The Shadow Catcher
been,"[12, 3, 6, 21, 0, 11, 722, 6, 0, 0, 26, 1]",The Shadow Catcher
twisted,"[0, 0, 0, 12, 0, 0, 37, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 2, 0]",The Shadow Catcher
trying,"[7, 4, 3, 2, 7, 8, 0, 0, 0, 0, 9, 22, 0, 1, 0, 18, 15, 29, 1, 0, 1, 12]",The Shadow Catcher
thought,"[0, 14, 10, 0, 0, 12, 0, 4, 1, 0, 0, 0, 0, 2, 0, 15, 0, 12, 65, 67, 0, 1, 17, 31, 31, 5, 37, 0, 0, 15]",The Shadow Catcher
devil,"[0, 1, 0, 2, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0]",The Shadow Catcher
by,"[40, 7, 39, 497]",The Shadow Catcher
waste,"[0, 0, 3, 6, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1]",The Shadow Catcher
round,"[0, 0, 0, 0, 1, 0, 0, 37, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 10, 9, 0, 3, 0, 0, 5, 85, 0, 0, 0]",The Shadow Catcher
jagged,"[0, 0, 0, 0, 0, 0, 1]",The Shadow Catcher
filled,"[1, 15, 7, 0, 0, 80, 1, 0, 0, 0, 19, 1, 0]",The Shadow Catcher
tell,"[15, 2, 0, 1, 34, 0, 0, 0, 0, 0, 0, 5, 70, 39, 49, 0, 0, 0, 0, 0]",The Shadow Catcher
herd,"[0, 8, 2]",The Shadow Catcher
relied,"[0, 1, 7, 7]",The Shadow Catcher
and,[],The Shadow Catcher
Knife,"[5, 2, 1]",The Shadow Catcher
band,"[0, 0, 12, 0, 46, 12, 0, 0, 0, 0, 0, 10]",The Shadow Catcher
corded,"[0, 0, 0]",The Shadow Catcher
your,[],The Shadow Catcher
men,"[63, 0, 0, 1, 0, 0, 0, 0, 4, 0, 0, 0, 8, 173, 0, 6, 0, 51, 0, 0, 11, 0, 11, 49, 96, 7, 0]",The Shadow Catcher
slashing,"[0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0]",The Shadow Catcher
clergyman,"[0, 0, 0]",The Shadow Catcher
turns,"[0, 1, 0, 23, 7, 24, 22, 0, 37, 0, 2, 0, 1, 12, 3, 0, 0, 0, 5, 12, 0, 0, 0, 90, 33, 0, 0, 127, 2, 3, 42, 0, 0, 0, 4, 0, 4]",The Shadow Catcher
charge,"[1, 8, 1, 1, 0, 0, 21, 0, 1, 0, 3, 2, 6, 1, 9, 5, 5, 0, 3, 1, 0, 0, 0, 14, 8, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 37, 0, 10, 2, 0, 1, 0, 1, 0, 0, 0, 0, 9, 4, 0, 0]",The Shadow Catcher
Well,"[0, 134, 0, 82, 2, 20, 4, 1, 0, 5, 1]",The Shadow Catcher
way,"[15, 0, 0, 31, 8, 9, 6, 27, 8, 0, 3, 2, 123]",The Shadow Catcher
tore,"[0, 3, 0, 0, 0, 8, 1, 2, 0, 2, 0, 0, 0, 7, 5]",The Shadow Catcher
frantically,"[1, 2]",The Shadow Catcher
Trouble,"[32, 7, 0, 0, 36, 0, 0, 3, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 8, 0, 3, 4, 0]",The Shadow Catcher
we'd,[],The Shadow Catcher
try,"[7, 4, 3, 2, 7, 8, 0, 0, 0, 9, 22, 0, 10, 1, 0, 18, 0, 15, 1, 1, 12]",The Shadow Catcher
More,"[0, 0, 271, 7, 0, 0]",The Shadow Catcher
Wildly,[4],The Shadow Catcher
song,"[2, 1, 0, 25, 0, 0, 0, 3, 0, 0]",The Shadow Catcher
bullet,"[0, 5, 5, 0, 0, 0, 7]",The Shadow Catcher
blankets,"[3, 0, 8]",The Shadow Catcher
his,[],The Shadow Catcher
warriors,[0],The Shadow Catcher
