w,vector_uso
Child's,[],The Sheep's in the Meadow
power,"[0, 58, 0, 0, 0, 0, 12, 14, 10, 0, 6, 0, 0, 0, 0, 0, 0, 0, 16, 81, 0]",The Sheep's in the Meadow
Then,"[177, 0, 228, 0]",The Sheep's in the Meadow
like,"[17, 176, 5, 2, 0, 21, 88, 1, 0, 15, 0]",The Sheep's in the Meadow
interim,"[0, 1, 1, 2]",The Sheep's in the Meadow
catalogued,"[0, 0]",The Sheep's in the Meadow
new,"[0, 36, 12, 92, 3, 0, 1, 5, 38, 4, 4]",The Sheep's in the Meadow
join,"[0, 0, 3, 0, 4, 0, 0, 0, 0, 15, 0, 0, 5, 2, 0]",The Sheep's in the Meadow
kissing,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 3, 0, 0]",The Sheep's in the Meadow
surgeon,"[0, 0, 0]",The Sheep's in the Meadow
I,"[0, 5, 24, 29, 0, 786, 3, 321, 0, 1, 0]",The Sheep's in the Meadow
into,[],The Sheep's in the Meadow
dash,"[0, 3, 0, 2, 2, 0, 8, 0, 0, 0, 0, 1, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Sheep's in the Meadow
passed,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 0, 26, 0, 9, 0, 0, 0, 29, 0, 51, 0, 90, 0, 4, 0, 0, 0, 0, 0, 0, 13, 0, 14, 0, 0, 0, 0, 0, 50, 0, 0, 0, 12, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 20, 2, 0, 43, 0, 11, 1, 0, 0, 0, 0, 11, 0, 0, 3, 0, 0]",The Sheep's in the Meadow
most,"[23, 0, 0, 18, 237, 66, 3, 104, 0]",The Sheep's in the Meadow
remember,"[0, 1, 0, 65, 1, 5, 0, 0, 0, 0, 15]",The Sheep's in the Meadow
dollar,"[0, 0, 2, 1, 0, 9, 0]",The Sheep's in the Meadow
