w,vector_uso
experience,"[49, 7, 0, 123, 102, 492, 37, 129, 26]",The Star Dwellers
here,"[96, 12, 0, 0]",The Star Dwellers
snapping,"[0, 1, 0, 2, 5, 3, 0, 0, 0, 1, 1, 0, 3, 0]",The Star Dwellers
Besides,"[2, 0, 118, 3, 121, 0]",The Star Dwellers
absolutes,[1],The Star Dwellers
declaration,"[10, 6, 0, 1, 2, 0, 0]",The Star Dwellers
as,"[2793, 69, 0, 828, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",The Star Dwellers
kind,"[18, 39, 0, 10, 2, 57]",The Star Dwellers
really,"[40, 1, 11, 8, 81, 0, 33, 0]",The Star Dwellers
admitted,"[10, 17, 2, 0, 3, 0, 80, 0, 0, 6, 9, 12]",The Star Dwellers
whereas,[],The Star Dwellers
radar,"[3, 0, 0, 0]",The Star Dwellers
little,"[3, 3, 0, 28, 0, 99, 1, 0, 0, 0, 0, 0, 0, 67]",The Star Dwellers
Always,"[59, 46, 0, 0, 0, 7, 4, 3]",The Star Dwellers
fixed,"[0, 0, 1, 0, 0, 113, 0, 0, 123, 3, 2, 4, 0, 4, 0, 7, 6, 0, 0, 0, 0, 7, 21, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 1, 46]",The Star Dwellers
at,"[0, 0, 580, 35]",The Star Dwellers
Hesperus',[],The Star Dwellers
In,"[3, 0, 0, 2, 1, 152, 2255, 0, 0, 0]",The Star Dwellers
worth,"[18, 0, 0, 0]",The Star Dwellers
be,"[6, 21, 6, 0, 722, 0, 11, 0, 4, 3, 26, 1, 12, 0, 0, 0]",The Star Dwellers
convinced,"[4, 3, 21, 0, 1, 0]",The Star Dwellers
don't,[],The Star Dwellers
him,[],The Star Dwellers
which,[],The Star Dwellers
riot,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]",The Star Dwellers
periods,"[14, 37, 0, 0, 0, 2, 0, 0, 0, 18, 0, 0, 0]",The Star Dwellers
because,[],The Star Dwellers
law,"[0, 0, 20, 0, 0, 0, 0, 0, 24]",The Star Dwellers
speak,"[2, 6, 26, 14, 0, 0, 14]",The Star Dwellers
),[],The Star Dwellers
since,[],The Star Dwellers
Being,"[6, 2, 21, 6, 20, 722, 0, 0, 11, 100, 3, 0, 26, 1, 12, 0]",The Star Dwellers
Republics,"[0, 0, 0]",The Star Dwellers
practicing,"[7, 163, 1, 0, 0, 66, 6, 0, 5]",The Star Dwellers
sort,"[0, 18, 0, 5, 39, 10, 2, 1, 0, 0, 12, 0, 57]",The Star Dwellers
trick,"[0, 0, 0, 0, 6, 5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 13, 0]",The Star Dwellers
angry,"[10, 7, 1, 0, 0]",The Star Dwellers
aboard,"[2, 0, 5, 0]",The Star Dwellers
taught,"[0, 4, 4]",The Star Dwellers
computer,"[0, 0, 0, 0, 0, 0, 4, 0, 0, 0]",The Star Dwellers
trained,"[1, 2, 69, 0, 80, 7, 12, 0, 5, 0, 3, 17, 0, 16, 1, 0, 6, 6, 3, 0]",The Star Dwellers
quarters,"[0, 1, 0, 7, 0, 3, 3, 5, 9, 0, 0, 5, 0, 0, 0, 0, 0]",The Star Dwellers
Soviet,"[0, 3]",The Star Dwellers
will,"[0, 0, 32, 218, 0]",The Star Dwellers
agent,"[0, 1, 8, 0, 5]",The Star Dwellers
parochial,"[1, 0]",The Star Dwellers
short-lived,"[3, 0, 0, 0, 1, 1]",The Star Dwellers
but,"[409, 25, 115, 211, 11]",The Star Dwellers
Coal,"[0, 0, 1]",The Star Dwellers
Holies,"[5, 0, 0]",The Star Dwellers
doubt,"[0, 14, 0, 0, 33, 1, 0]",The Star Dwellers
everything,[],The Star Dwellers
powers,"[10, 16, 58, 0, 0, 0, 6, 0, 0, 81, 0, 0, 0, 14, 0, 0, 0, 12, 0, 0, 0]",The Star Dwellers
eventually,"[7, 18]",The Star Dwellers
again,"[0, 0, 0, 74]",The Star Dwellers
He,"[0, 1039, 2, 486]",The Star Dwellers
part,"[0, 16, 4, 12, 4, 47, 6, 0, 0, 0, 17, 5, 1, 0, 0, 0, 0, 1, 19, 7, 0, 0, 3, 3, 6, 0, 9, 11, 12, 0, 5, 6, 13, 30, 1, 0]",The Star Dwellers
easy,"[0, 0, 0, 0, 16, 5, 6, 5, 20, 0, 3, 1, 0, 0, 47, 0, 21, 0, 1, 0, 4]",The Star Dwellers
signed,"[1, 6, 1, 0, 2, 0, 0, 0, 13, 7, 0, 0, 1]",The Star Dwellers
virulence,"[1, 0]",The Star Dwellers
incident,"[1, 5]",The Star Dwellers
distance,"[0, 0, 43, 9, 16, 0]",The Star Dwellers
(,[],The Star Dwellers
Your,[],The Star Dwellers
blackness,"[0, 0, 0, 0, 21, 2]",The Star Dwellers
call,"[0, 1, 0, 0, 0, 0, 7, 0, 0, 1, 25, 11, 0, 2, 31, 4, 3, 0, 0, 0, 2, 0, 9, 12, 0, 0, 0, 4, 6, 5, 0, 0, 10, 0, 0, 8, 0]",The Star Dwellers
toward,[],The Star Dwellers
lost,"[1, 0, 2, 9, 3, 32, 0, 1, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 1, 6, 0, 0, 2, 0]",The Star Dwellers
might,"[81, 58, 0]",The Star Dwellers
ocean,"[13, 19]",The Star Dwellers
use,"[7, 0, 6, 0, 0, 0, 9, 11, 0, 66, 6, 5, 7, 3, 0, 0, 0, 1, 0, 1, 1, 0, 2]",The Star Dwellers
