w,vector_uso
mind,"[14, 0, 50, 0, 73, 4, 31, 0, 5, 0, 1, 0, 0, 0, 0, 0]",The Valley
impotence,"[0, 0, 0]",The Valley
find,"[0, 0, 0, 0, 3, 55, 0, 7, 0, 0, 2, 4, 8, 3, 37, 14, 123, 8, 7, 102, 1, 0, 17, 0, 2, 1, 0, 1, 5, 1]",The Valley
rustled,"[2, 0]",The Valley
mark,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 8, 0, 0, 0, 1, 9, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 14, 0, 0, 1, 13, 0, 0, 0, 1, 6, 0, 1, 0, 3, 4, 0, 0, 12, 0, 6, 0, 9, 0, 5, 0, 46]",The Valley
mist,"[3, 6, 0, 0, 2, 1, 0, 0, 0]",The Valley
by,"[7, 40, 497, 39]",The Valley
last,"[69, 0, 0, 18, 3, 27, 83, 26, 0, 0, 0, 0, 0, 2, 0, 51, 0, 0, 21, 0, 0, 90, 0, 2, 0, 2, 7, 5, 0]",The Valley
drunk,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 5, 0, 0]",The Valley
swirled,"[0, 0, 0, 0, 0, 0, 0]",The Valley
them,[],The Valley
dumped,"[0, 2, 0, 4, 0, 4, 23, 0]",The Valley
stars,"[0, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 20, 1, 7, 1, 0, 2, 0]",The Valley
suddenly,"[20, 28, 4, 0, 0, 0, 27]",The Valley
nothin,[],The Valley
That,[],The Valley
touch,"[0, 0, 3, 2, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 11, 12, 0, 1, 0, 1, 0, 3, 0, 0, 0, 23, 7, 0, 0, 0, 0, 3, 0, 2, 0, 19, 3, 0, 0, 3, 11, 6, 0, 2, 0, 1, 5]",The Valley
caravan,"[7, 0, 0, 0]",The Valley
stride,"[0, 12, 1, 3, 5]",The Valley
that's,[],The Valley
If,[],The Valley
fluttered,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",The Valley
revealed,"[0, 3, 2, 0, 0, 6, 0, 13, 1, 0, 0, 0, 0]",The Valley
got,"[49, 6, 0, 6, 12, 55, 0, 0, 7, 0, 18, 0, 0, 0, 51, 4, 18, 0, 0, 1, 0, 0, 12, 84, 3, 9, 0, 0, 0, 0, 0, 123, 80, 33, 3, 23, 0, 90, 21, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 2, 492, 19, 8, 0, 0, 0, 0, 1, 0, 0, 11, 5, 113, 2, 19, 16, 1, 0, 0, 2]",The Valley
twisting,"[0, 2, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 1, 0, 0, 12, 1, 0, 0, 0, 0, 0]",The Valley
Yes,[10],The Valley
horses,"[0, 0, 3, 0, 0, 12, 0, 2, 0]",The Valley
as,"[0, 0, 2793, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 828, 4, 147, 0, 0, 0, 0, 0, 0]",The Valley
figure,"[0, 0, 1, 13, 0, 0, 31, 0, 6, 0, 0, 4, 0, 0, 1, 42, 0, 0, 13, 0, 0, 102, 0, 1, 22, 0, 0, 20, 0, 0, 18, 12, 39, 8, 5, 0, 6, 0, 3, 9, 1]",The Valley
moon,"[0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 0]",The Valley
whacked,"[0, 0, 0, 0, 1]",The Valley
desire,"[16, 7, 22, 51]",The Valley
windless,[0],The Valley
news,"[0, 2, 0, 1, 37, 0, 11]",The Valley
My,[],The Valley
other,"[41, 10, 183]",The Valley
mare's,[],The Valley
against,[],The Valley
moved,"[0, 1, 1, 0, 0, 1, 1, 22, 90, 7, 0, 1, 1, 43, 3, 2, 0, 0, 6, 26, 19, 0]",The Valley
maybe,"[18, 13, 0, 13, 0, 0]",The Valley
glimmer,"[0, 0, 1, 1, 0, 0]",The Valley
strung,"[3, 4, 0, 0, 9, 0]",The Valley
away,"[29, 9, 7, 497, 102, 309, 40]",The Valley
gently,"[0, 2, 6, 7]",The Valley
flowed,"[6, 0, 74, 20, 0, 43, 2, 3]",The Valley
same,"[0, 0, 0, 0, 0, 3, 88, 176]",The Valley
dazzling,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",The Valley
mountains,"[18, 3, 0, 0, 0, 0, 0, 0, 1, 20, 1, 1, 0, 0, 0, 0, 12, 4, 2, 0, 12, 0, 0, 4, 0, 0, 2, 0]",The Valley
saddle,"[0, 0, 8, 6, 4]",The Valley
grown,"[10, 48, 12, 1, 0, 2, 0, 12, 0, 0, 0, 123, 53, 37, 3, 0, 1, 7, 16, 0, 8]",The Valley
trailed,"[3, 0, 0, 7, 1, 1, 3, 0, 25, 4, 0, 0, 0, 1, 0, 0]",The Valley
and,[],The Valley
son,"[1, 27, 47, 1, 0]",The Valley
refuse,"[0, 4, 0, 0, 3, 0, 0, 2, 1, 1, 0, 4]",The Valley
leavin,[],The Valley
barn,"[9, 1]",The Valley
feathers,"[0, 0, 1, 0, 0, 8]",The Valley
stoop,"[0, 0, 3, 0, 0, 1, 0, 0]",The Valley
bitterly,"[0, 2, 0, 6]",The Valley
happened,"[1, 0, 0, 0, 0, 55, 0, 3, 14, 0, 12, 0, 17, 0, 0, 3, 0]",The Valley
untenanted,"[0, 0]",The Valley
him,[],The Valley
Beneath,"[0, 10, 1, 0]",The Valley
Come,"[0, 1, 0, 12, 0, 0, 3, 0, 5, 84, 42, 3, 3, 0, 0, 123, 0, 20, 22, 0, 0, 163, 0, 11, 0]",The Valley
nod,[1],The Valley
sudden,[10],The Valley
treated,"[6, 0, 0, 2, 8, 1, 10, 0, 0, 12, 4, 0, 20, 0]",The Valley
ranch,"[0, 6, 11, 0]",The Valley
doesn't,[],The Valley
He's,[],The Valley
The,[],The Valley
gasps,"[0, 0, 0, 0]",The Valley
they'll,[],The Valley
bloodless,"[0, 0, 36, 0, 1, 0, 1]",The Valley
savage,"[1, 0, 3, 0, 1, 0, 0, 0, 1, 0, 1, 5, 0, 2, 10, 0, 2, 1, 0, 0, 20, 0, 0, 0]",The Valley
light,"[0, 0, 0, 0, 2, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 18, 0, 0, 2, 0, 0, 8, 20, 0, 3, 47, 16, 1, 0, 0, 0, 0, 0, 1, 28, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0]",The Valley
Purvis,[],The Valley
shyly,"[0, 0, 0]",The Valley
up,"[3, 0, 0, 0, 4, 307]",The Valley
Laurel,"[0, 0, 0, 0, 0, 0]",The Valley
don't,[],The Valley
brother,"[16, 1, 0, 1, 0, 1, 0, 0, 0]",The Valley
fiercely,"[1, 0]",The Valley
horse's,[],The Valley
warmth,"[3, 0, 0, 1, 5, 0, 0, 5]",The Valley
When,[],The Valley
life,"[0, 0, 0, 14, 0, 0, 0, 1, 0, 98, 0, 33, 0, 1]",The Valley
pursuers,"[0, 0]",The Valley
distance,"[9, 0, 0, 43, 16, 0]",The Valley
exit,"[0, 0, 3, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 0, 71, 0, 90, 0, 0, 7, 0, 3, 0, 11, 12, 1, 16, 0, 32, 0]",The Valley
With,[],The Valley
blade,"[0, 0, 0, 0, 5, 0]",The Valley
there's,[],The Valley
any,"[14, 0, 168]",The Valley
even,"[47, 1, 1, 14, 0, 14, 0, 0, 115, 10, 8, 103]",The Valley
Big,"[2, 61, 1, 0, 0, 0, 0, 0, 0, 13, 18, 0, 0, 0, 0, 7, 0, 4, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 30, 0, 19, 0, 0, 0, 8]",The Valley
hollow,"[0, 3, 6, 0, 0, 0, 0, 12, 0]",The Valley
angrily,[0],The Valley
