w,vector_uso
downright,"[0, 0, 3, 1, 0, 2]",Theodore Parker: Apostasy within Liberalism
Furthermore,"[1, 1, 0]",Theodore Parker: Apostasy within Liberalism
!,[],Theodore Parker: Apostasy within Liberalism
encouragement,"[1, 1]",Theodore Parker: Apostasy within Liberalism
seem,"[3, 26, 59]",Theodore Parker: Apostasy within Liberalism
birth,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6, 492]",Theodore Parker: Apostasy within Liberalism
excoriate,"[0, 0, 0, 0, 0, 0]",Theodore Parker: Apostasy within Liberalism
heaves,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 0, 0]",Theodore Parker: Apostasy within Liberalism
clear-cut,"[26, 0, 5, 0, 0]",Theodore Parker: Apostasy within Liberalism
warrant,"[0, 0, 1, 0, 1, 0, 3, 3, 2, 0, 1, 0]",Theodore Parker: Apostasy within Liberalism
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]",Theodore Parker: Apostasy within Liberalism
these,[],Theodore Parker: Apostasy within Liberalism
much,"[0, 47, 0, 6, 0, 11, 0, 111]",Theodore Parker: Apostasy within Liberalism
republic,"[0, 0, 0]",Theodore Parker: Apostasy within Liberalism
tolerant,"[3, 1, 57, 7, 0, 0, 0]",Theodore Parker: Apostasy within Liberalism
infraction,"[0, 0, 0, 0, 1]",Theodore Parker: Apostasy within Liberalism
pale,"[7, 3, 0, 0, 0, 0, 0]",Theodore Parker: Apostasy within Liberalism
sigh,"[0, 0, 2]",Theodore Parker: Apostasy within Liberalism
shoving,"[5, 0, 0, 0, 5]",Theodore Parker: Apostasy within Liberalism
disturbed,"[11, 1, 0, 0, 0, 0, 0, 8, 1, 6, 0, 0, 0, 20, 3, 0, 9, 0, 0, 0, 3, 0, 4]",Theodore Parker: Apostasy within Liberalism
repeatedly,[2],Theodore Parker: Apostasy within Liberalism
continually,[1],Theodore Parker: Apostasy within Liberalism
broke,"[0, 0, 11, 0, 10, 57, 0, 0, 0, 0, 0, 2, 3, 0, 1, 4, 0, 0, 47, 0, 3, 0, 7, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 90, 0, 0, 0, 0, 3, 0, 2, 1, 0, 0, 7, 18, 0, 0, 0, 6, 0, 0, 6, 5, 0, 1, 3, 1, 12]",Theodore Parker: Apostasy within Liberalism
forgetting,"[9, 1, 32, 15, 0, 0]",Theodore Parker: Apostasy within Liberalism
end,"[69, 0, 0, 0, 0, 83, 51, 3, 2, 7, 4, 0, 3, 7, 0, 27, 18, 3]",Theodore Parker: Apostasy within Liberalism
leisure,"[0, 1]",Theodore Parker: Apostasy within Liberalism
leave,"[0, 0, 51, 0, 0, 12, 218, 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 0, 16, 0, 27, 1, 1, 1, 20, 2]",Theodore Parker: Apostasy within Liberalism
