w,vector_uso
here,"[96, 12, 0, 0]",Toward a Concept of National Responsibility
sovereignty,"[1, 0]",Toward a Concept of National Responsibility
personifies,"[50, 722, 0, 0, 0]",Toward a Concept of National Responsibility
lines,"[0, 7, 31, 0, 3, 0, 0, 6, 0, 0, 26, 1, 0, 0, 0, 1, 2, 7, 2, 0, 9, 0, 0, 3, 3, 0, 9, 0, 39, 1, 5, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 36, 0]",Toward a Concept of National Responsibility
vastly,"[0, 2]",Toward a Concept of National Responsibility
ideological,"[1, 0]",Toward a Concept of National Responsibility
Americans,"[0, 39, 0]",Toward a Concept of National Responsibility
as,"[2793, 69, 0, 828, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",Toward a Concept of National Responsibility
transformed,"[0, 0, 0, 4, 2, 1]",Toward a Concept of National Responsibility
came,"[84, 0, 42, 12, 0, 0, 3, 1, 123, 11, 3, 3, 163, 0, 0, 0, 0, 20, 22, 0]",Toward a Concept of National Responsibility
constitutional,"[1, 0, 2, 1, 0, 0, 0, 0]",Toward a Concept of National Responsibility
unemployment,[1],Toward a Concept of National Responsibility
irony,"[4, 1, 0, 0]",Toward a Concept of National Responsibility
corpus,"[1, 0, 7]",Toward a Concept of National Responsibility
little,"[3, 3, 0, 28, 0, 99, 1, 0, 0, 0, 0, 0, 0, 67]",Toward a Concept of National Responsibility
Party,"[15, 0, 14]",Toward a Concept of National Responsibility
at,"[0, 0, 580, 35]",Toward a Concept of National Responsibility
English,"[61, 0, 14, 0]",Toward a Concept of National Responsibility
limits,"[0, 0, 1, 0, 0, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 7, 5, 1, 1, 0, 46]",Toward a Concept of National Responsibility
loyalties,"[0, 0, 0, 2, 0]",Toward a Concept of National Responsibility
In,"[3, 0, 0, 2, 1, 152, 2255, 0, 0, 0]",Toward a Concept of National Responsibility
always,"[59, 46, 0, 0, 0, 7, 4, 3]",Toward a Concept of National Responsibility
be,"[6, 21, 6, 0, 722, 0, 11, 0, 4, 3, 26, 1, 12, 0, 0, 0]",Toward a Concept of National Responsibility
political,[15],Toward a Concept of National Responsibility
socal,[],Toward a Concept of National Responsibility
him,[],Toward a Concept of National Responsibility
particularly,"[0, 0, 11, 0, 14]",Toward a Concept of National Responsibility
which,[],Toward a Concept of National Responsibility
confusion,"[0, 0, 0, 5, 0, 0, 0]",Toward a Concept of National Responsibility
maximum,"[2, 0, 0, 0, 4, 0]",Toward a Concept of National Responsibility
because,[],Toward a Concept of National Responsibility
law,"[0, 0, 20, 0, 0, 0, 0, 0, 24]",Toward a Concept of National Responsibility
control,"[0, 0, 9, 1, 4, 0, 0, 3, 4, 0, 5, 1, 2, 0, 0, 4, 0, 0, 1, 38, 0, 0, 3, 17, 0, 102, 0, 6]",Toward a Concept of National Responsibility
),[],Toward a Concept of National Responsibility
since,[],Toward a Concept of National Responsibility
paid,"[0, 8, 0, 6, 0, 0, 6, 19, 0, 3, 51, 0, 2, 0]",Toward a Concept of National Responsibility
sort,"[0, 18, 0, 5, 39, 10, 2, 1, 0, 0, 12, 0, 57]",Toward a Concept of National Responsibility
form,"[0, 0, 0, 3, 1, 19, 0, 6, 3, 57, 113, 0, 1, 0, 0, 0, 0, 0, 0, 13, 5, 0, 0, 0, 0, 9, 4, 8, 74, 22, 0, 0, 18, 127, 0, 4, 0, 39, 1, 0, 0, 10, 0, 1, 0, 12, 1, 12]",Toward a Concept of National Responsibility
