w,vector_uso
kept,"[1, 2, 28, 4, 0, 1, 5, 0, 7, 0, 0, 0, 0, 0, 1, 13, 4, 35, 1, 0, 0, 17, 0, 0]",Tracts published by American Tract Society
left,"[0, 0, 0, 41, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 12, 32, 16, 0, 0, 0, 218, 0, 0, 9, 0, 0, 20, 27, 51]",Tracts published by American Tract Society
Word,"[1, 0, 1, 0, 0, 0, 3, 4, 7, 0, 4, 2, 0, 1, 0, 1, 0, 0, 0, 11, 0, 2, 0, 0, 4, 37]",Tracts published by American Tract Society
joy,"[0, 17, 0, 6, 0, 5, 0]",Tracts published by American Tract Society
sin,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 18, 0]",Tracts published by American Tract Society
experiment,"[4, 0, 8]",Tracts published by American Tract Society
authoritative,"[3, 1, 1, 0, 0, 32, 0]",Tracts published by American Tract Society
filling,"[0, 80, 0, 1, 0, 0, 19, 0, 1, 7, 0, 1, 0, 0, 1, 9]",Tracts published by American Tract Society
practical,"[0, 6, 1, 0, 0]",Tracts published by American Tract Society
night,"[0, 1, 51, 0, 31]",Tracts published by American Tract Society
works,"[0, 0, 0, 9, 113, 0, 0, 0, 18, 0, 0, 6, 2, 0, 22, 1, 0, 3, 1, 0, 6, 127, 5, 0, 0, 39, 0, 0, 12, 0, 0, 0, 23, 0, 13, 1, 0, 0, 43, 24, 0, 22, 0, 13, 0, 90, 12, 37, 0, 0, 1, 1, 0, 3, 0]",Tracts published by American Tract Society
wonderful,"[1, 1, 3, 4, 1, 12, 0, 1, 6, 1]",Tracts published by American Tract Society
greater,"[30, 53, 0, 3, 0, 0, 0, 5, 21, 61, 2, 0, 2, 0, 3, 0, 1, 0, 0, 0, 0, 0, 18, 0, 0, 4]",Tracts published by American Tract Society
with,[],Tracts published by American Tract Society
doubt,"[0, 1, 0, 33, 0, 14, 0]",Tracts published by American Tract Society
utterly,"[9, 3, 8, 27]",Tracts published by American Tract Society
offers,"[3, 0, 16, 0, 1, 0, 4, 4, 90, 11, 0, 0, 0, 12, 0, 0, 2, 1]",Tracts published by American Tract Society
like,"[5, 17, 176, 15, 0, 88, 1, 0, 2, 0, 21]",Tracts published by American Tract Society
written,"[10, 3, 1, 4, 0, 0, 0, 14, 1, 0]",Tracts published by American Tract Society
spirit,"[0, 14, 1, 98, 6, 0, 23, 0, 0, 0, 59, 0, 20, 2, 6, 0, 0, 37]",Tracts published by American Tract Society
scientists,[1],Tracts published by American Tract Society
Why,"[0, 40]",Tracts published by American Tract Society
country,"[0, 28, 0, 0, 32, 49, 11, 0, 32]",Tracts published by American Tract Society
who,"[0, 0]",Tracts published by American Tract Society
past,"[0, 0, 39, 0, 3, 0, 497]",Tracts published by American Tract Society
weaken,"[4, 0, 0, 0, 0, 1, 0, 13, 0, 0, 1, 1]",Tracts published by American Tract Society
stayed,"[1, 6, 0, 0, 13, 0, 13, 0, 1, 16, 16, 0, 2, 0, 0, 0, 0, 1]",Tracts published by American Tract Society
am,"[21, 0, 0, 26, 0, 1, 0, 0, 6, 0, 722, 0, 12, 0, 3, 6, 11, 0, 0, 0]",Tracts published by American Tract Society
privileges,"[0, 7, 0, 0, 5, 0]",Tracts published by American Tract Society
150,"[0, 0, 0]",Tracts published by American Tract Society
In,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",Tracts published by American Tract Society
interpolations,"[0, 0, 0, 0, 0]",Tracts published by American Tract Society
putting,"[8, 51, 3, 29, 1, 72, 0, 34, 0, 1, 4, 0, 0, 46, 0, 5, 0, 19]",Tracts published by American Tract Society
For,[],Tracts published by American Tract Society
value,"[17, 1, 0, 0, 13, 0, 0, 1, 7, 1, 0, 0, 17, 1, 8, 1]",Tracts published by American Tract Society
troubles,"[0, 0, 0, 4, 0, 0, 0, 0, 36, 0, 0, 0, 8, 0, 0, 20, 32, 0, 7, 0, 3, 0, 0, 3]",Tracts published by American Tract Society
presence,"[4, 0, 3, 0, 41]",Tracts published by American Tract Society
Hebrew,"[0, 5, 0, 0, 0]",Tracts published by American Tract Society
wonders,"[0, 0, 11, 1, 0, 33, 1, 2]",Tracts published by American Tract Society
made,"[0, 0, 0, 113, 0, 9, 0, 0, 0, 26, 0, 18, 21, 0, 0, 0, 1, 1, 0, 4, 1, 0, 492, 0, 9, 0, 21, 0, 163, 0, 0, 0, 0, 127, 123, 39, 6, 0, 1, 31, 1, 9, 0, 4, 11, 0, 1, 0, 0, 0, 80, 0, 16, 5, 3, 8, 0, 117, 51, 0, 0, 17, 0, 0, 0, 0, 0, 0]",Tracts published by American Tract Society
So,"[0, 0, 22, 17, 0, 0, 12, 0, 177, 0, 3, 228]",Tracts published by American Tract Society
trusteth,[],Tracts published by American Tract Society
knowledge,"[0, 0, 18]",Tracts published by American Tract Society
claim,"[7, 2, 4, 0, 80, 25, 0]",Tracts published by American Tract Society
body,"[3, 0, 50, 1, 0, 2, 0, 0, 0, 0, 0]",Tracts published by American Tract Society
life,"[1, 0, 14, 0, 98, 0, 1, 0, 0, 0, 0, 0, 0, 33]",Tracts published by American Tract Society
glow,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 3, 0, 0]",Tracts published by American Tract Society
perfect,"[6, 0, 0, 3, 9, 0, 0, 1, 0, 12, 0, 0, 0, 2, 0, 0, 22, 2]",Tracts published by American Tract Society
called,"[12, 0, 2, 9, 4, 2, 5, 0, 1, 0, 0, 0, 8, 25, 11, 0, 0, 31, 0, 0, 10, 0, 6, 1, 4, 0]",Tracts published by American Tract Society
to,[],Tracts published by American Tract Society
in,"[0, 0, 0, 3, 0, 2255, 152, 2, 1, 0]",Tracts published by American Tract Society
God,"[1, 0, 4, 0, 59, 0, 2, 0]",Tracts published by American Tract Society
losing,"[1, 0, 9, 0, 3, 0, 0, 0, 0, 3]",Tracts published by American Tract Society
fearful,"[0, 1, 0, 0, 0, 0, 7, 0, 2, 0, 3, 4, 2, 0, 0, 3]",Tracts published by American Tract Society
happy,"[1, 0, 19, 4]",Tracts published by American Tract Society
forgotten,"[5, 9, 15, 0, 1, 0, 0, 32]",Tracts published by American Tract Society
United,"[0, 3, 2, 0, 3, 0, 5, 5, 0, 4]",Tracts published by American Tract Society
patients,"[12, 0, 0]",Tracts published by American Tract Society
rockets,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Tracts published by American Tract Society
Himself,[],Tracts published by American Tract Society
makes,"[0, 0, 0, 113, 0, 9, 0, 0, 0, 26, 0, 18, 21, 0, 0, 0, 1, 1, 0, 4, 1, 0, 492, 0, 9, 0, 21, 0, 0, 163, 0, 0, 0, 0, 127, 123, 39, 6, 0, 0, 2, 1, 31, 1, 9, 0, 4, 11, 0, 1, 0, 0, 0, 80, 0, 16, 5, 3, 8, 0, 51, 0, 0, 17, 0, 0, 0, 0, 0, 0]",Tracts published by American Tract Society
earthly,[3],Tracts published by American Tract Society
Truth,"[0, 1, 0, 0, 0, 4, 0, 12]",Tracts published by American Tract Society
radiant,"[0, 0, 0, 0, 0]",Tracts published by American Tract Society
