w,vector_uso
here,"[96, 12, 0, 0]",Trail of the Tattered Star
Some,"[2, 0, 182, 6, 85, 0, 0, 0, 237]",Trail of the Tattered Star
Gawdamighty,[],Trail of the Tattered Star
lines,"[0, 7, 31, 0, 3, 0, 0, 6, 0, 0, 26, 1, 0, 0, 0, 1, 2, 7, 2, 0, 9, 0, 0, 3, 3, 0, 9, 0, 39, 1, 5, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 36, 0]",Trail of the Tattered Star
post,"[16, 1, 14, 7, 43, 0, 10, 0, 72, 0, 0, 1, 0, 19, 2, 0, 9, 1, 0, 0, 0, 6, 0, 0]",Trail of the Tattered Star
saddled,"[4, 0, 6, 8]",Trail of the Tattered Star
flesh,"[0, 1, 0, 0, 0, 0, 0, 0, 9, 39, 0, 6, 5, 13, 22]",Trail of the Tattered Star
close,"[5, 2, 0, 0, 0, 0, 27, 3, 3, 0, 0, 0, 0, 0, 7, 0, 1, 51, 0, 23, 3, 0, 0, 0, 0, 0, 4, 7, 2, 0, 0, 0, 5, 1, 0, 0, 83]",Trail of the Tattered Star
right,"[1, 0, 0, 0, 4, 84, 10, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 134, 3, 0, 0, 9, 8, 0, 0, 3, 0, 4]",Trail of the Tattered Star
leg,"[3, 0, 0, 7, 11, 0, 1]",Trail of the Tattered Star
as,"[2793, 69, 0, 828, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",Trail of the Tattered Star
came,"[84, 0, 42, 12, 0, 0, 3, 1, 123, 11, 3, 3, 163, 0, 0, 0, 0, 20, 22, 0]",Trail of the Tattered Star
fire,"[0, 0, 0, 0, 1, 3, 0, 0, 1, 2, 0, 0, 29, 0, 0, 0, 0, 1, 3, 0, 9, 1, 1, 7, 0, 1, 235, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0]",Trail of the Tattered Star
purpose,"[11, 18, 7, 6, 66, 1, 1, 0, 2, 7, 3, 1]",Trail of the Tattered Star
bullets,"[5, 0, 0, 0, 5, 7, 0]",Trail of the Tattered Star
peered,[0],Trail of the Tattered Star
shouldered,"[5, 1]",Trail of the Tattered Star
belts,"[0, 1, 7, 1, 0, 0, 1, 0, 0, 2, 0, 0]",Trail of the Tattered Star
foot,"[0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 0, 9, 0, 0, 0, 0, 1, 0, 0]",Trail of the Tattered Star
caught,"[0, 0, 12, 5, 17, 0, 0, 0, 0, 123, 0, 1, 0, 2, 2, 0, 0, 0, 4, 102, 3, 0, 0, 0, 0, 2, 0]",Trail of the Tattered Star
rush,"[0, 0, 0, 1, 1, 4, 14, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 30, 0, 4, 1, 0, 0, 0, 8, 1, 0, 1, 0, 1, 0, 0]",Trail of the Tattered Star
at,"[0, 0, 580, 35]",Trail of the Tattered Star
showed,"[8, 21, 3, 7, 1, 19, 0, 15, 37, 36, 44, 3, 0, 1, 20, 0, 1, 7, 1, 0, 0, 0, 6, 1]",Trail of the Tattered Star
whack,"[2, 7, 0, 0, 1, 0, 0, 0]",Trail of the Tattered Star
swung,"[9, 4, 0, 0, 0, 0, 1, 0]",Trail of the Tattered Star
echoes,"[0, 0, 5, 5, 12, 0, 0, 0, 0, 1]",Trail of the Tattered Star
motion,"[6, 0, 16, 0, 19, 33, 0, 5, 0]",Trail of the Tattered Star
be,"[6, 21, 6, 0, 722, 0, 11, 0, 4, 3, 26, 1, 12, 0, 0, 0]",Trail of the Tattered Star
try,"[8, 0, 1, 15, 0, 4, 10, 7, 3, 9, 1, 22, 0, 18, 0, 7, 12, 0, 2, 0, 1]",Trail of the Tattered Star
him,[],Trail of the Tattered Star
