w,vector_uso
Do,"[0, 113, 163, 0, 22, 3, 1, 0, 1, 1, 5, 6, 25, 6, 46, 0, 0, 0, 0, 0, 0, 9, 0, 0, 18, 0, 0, 84, 3, 0]","Tristram Coffin, Not to the Swift"
DSM,[],"Tristram Coffin, Not to the Swift"
birth,"[2, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6, 492]","Tristram Coffin, Not to the Swift"
perhaps,"[0, 13, 18, 13, 0, 0]","Tristram Coffin, Not to the Swift"
civilian,[2],"Tristram Coffin, Not to the Swift"
panic,"[1, 4, 0, 0]","Tristram Coffin, Not to the Swift"
fix,"[0, 123, 0, 113, 4, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 46, 0, 0, 0, 2, 6, 0, 0, 0, 1, 3, 0, 7, 21, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2]","Tristram Coffin, Not to the Swift"
in,"[0, 2, 152, 3, 0, 0, 0, 0, 2255, 1]","Tristram Coffin, Not to the Swift"
much,"[0, 47, 0, 6, 0, 11, 0, 111]","Tristram Coffin, Not to the Swift"
these,[],"Tristram Coffin, Not to the Swift"
destroy,"[0, 0, 0, 2, 5]","Tristram Coffin, Not to the Swift"
chance,"[17, 1, 0, 3, 7, 0, 2, 0, 55, 0, 3, 3, 15, 2, 10, 3, 14, 2]","Tristram Coffin, Not to the Swift"
broke,"[0, 0, 11, 0, 10, 57, 0, 0, 0, 0, 0, 2, 3, 0, 1, 4, 0, 0, 47, 0, 3, 0, 7, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 90, 0, 0, 0, 0, 3, 0, 2, 1, 0, 0, 7, 18, 0, 0, 0, 6, 0, 0, 6, 5, 0, 1, 3, 1, 12]","Tristram Coffin, Not to the Swift"
end,"[69, 0, 0, 0, 0, 83, 51, 3, 2, 7, 4, 0, 3, 7, 0, 27, 18, 3]","Tristram Coffin, Not to the Swift"
troubled,"[32, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 0]","Tristram Coffin, Not to the Swift"
leave,"[0, 0, 51, 0, 0, 12, 218, 0, 0, 32, 0, 0, 0, 0, 0, 0, 9, 0, 16, 0, 27, 1, 1, 1, 20, 2]","Tristram Coffin, Not to the Swift"
watching,"[0, 0, 4, 0, 4, 0, 0, 10, 1, 0, 6, 4, 4, 11, 4, 0, 102, 12, 0, 17]","Tristram Coffin, Not to the Swift"
Therefore,"[12, 228, 3, 1, 22, 0]","Tristram Coffin, Not to the Swift"
water's,[],"Tristram Coffin, Not to the Swift"
