w,vector_uso
Some,"[2, 0, 182, 6, 85, 0, 0, 0, 237]",Will Aircraft or Missiles Win Wars?
surviving,"[6, 5, 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 33, 0, 83]",Will Aircraft or Missiles Win Wars?
submarine,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5]",Will Aircraft or Missiles Win Wars?
completely,"[2, 13, 28, 24, 6, 352, 2]",Will Aircraft or Missiles Win Wars?
firing,"[2, 0, 0, 1, 0, 0, 1, 3, 0, 1, 2, 0, 0, 29, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 1, 7, 0, 1, 0, 0, 235, 0, 7, 0]",Will Aircraft or Missiles Win Wars?
soft,"[1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 16, 0, 3, 3, 3, 0, 6]",Will Aircraft or Missiles Win Wars?
as,"[2793, 69, 0, 828, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0]",Will Aircraft or Missiles Win Wars?
hardened,"[2, 10, 0, 0, 1, 0, 0, 0, 46, 0, 0, 2, 0, 0]",Will Aircraft or Missiles Win Wars?
fire,"[0, 0, 0, 0, 1, 3, 0, 0, 1, 2, 0, 0, 29, 0, 0, 0, 0, 1, 3, 0, 9, 1, 1, 7, 0, 1, 235, 0, 0, 0, 1, 2, 0, 1, 0, 1, 0]",Will Aircraft or Missiles Win Wars?
Using,"[0, 7, 0, 66, 6, 0, 13, 1, 0, 0, 0, 0]",Will Aircraft or Missiles Win Wars?
radar,"[3, 0, 0, 0]",Will Aircraft or Missiles Win Wars?
Wouldn't,[],Will Aircraft or Missiles Win Wars?
spans,"[0, 0, 14, 0, 0, 11, 5, 0, 3, 0, 3, 0, 0, 0, 0, 0, 6, 0]",Will Aircraft or Missiles Win Wars?
little,"[3, 3, 0, 28, 0, 99, 1, 0, 0, 0, 0, 0, 0, 67]",Will Aircraft or Missiles Win Wars?
50,"[0, 0, 3, 12]",Will Aircraft or Missiles Win Wars?
destroy,"[0, 5, 0, 0, 2]",Will Aircraft or Missiles Win Wars?
at,"[0, 0, 580, 35]",Will Aircraft or Missiles Win Wars?
fixed,"[0, 0, 1, 0, 0, 113, 0, 0, 123, 3, 2, 4, 0, 4, 0, 7, 6, 0, 0, 0, 0, 7, 21, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 1, 46]",Will Aircraft or Missiles Win Wars?
pressure,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 14, 8, 1, 10]",Will Aircraft or Missiles Win Wars?
In,"[3, 0, 0, 2, 1, 152, 2255, 0, 0, 0]",Will Aircraft or Missiles Win Wars?
profitable,[3],Will Aircraft or Missiles Win Wars?
citizens,[3],Will Aircraft or Missiles Win Wars?
erroneous,[0],Will Aircraft or Missiles Win Wars?
overpressure,[0],Will Aircraft or Missiles Win Wars?
be,"[6, 21, 6, 0, 722, 0, 11, 0, 4, 3, 26, 1, 12, 0, 0, 0]",Will Aircraft or Missiles Win Wars?
don't,[],Will Aircraft or Missiles Win Wars?
which,[],Will Aircraft or Missiles Win Wars?
because,[],Will Aircraft or Missiles Win Wars?
),[],Will Aircraft or Missiles Win Wars?
means,"[27, 2, 2, 0, 0, 2, 0, 65, 0, 2, 123, 1, 37, 0]",Will Aircraft or Missiles Win Wars?
sort,"[0, 18, 0, 5, 39, 10, 2, 1, 0, 0, 12, 0, 57]",Will Aircraft or Missiles Win Wars?
Atlas,"[0, 0, 0, 0, 0, 0]",Will Aircraft or Missiles Win Wars?
size,"[18, 0, 0]",Will Aircraft or Missiles Win Wars?
However,"[0, 1, 0, 6, 35, 47, 0, 103, 3]",Will Aircraft or Missiles Win Wars?
instantaneously,"[0, 2, 0, 3]",Will Aircraft or Missiles Win Wars?
Soviet,"[0, 3]",Will Aircraft or Missiles Win Wars?
will,"[0, 0, 32, 218, 0]",Will Aircraft or Missiles Win Wars?
lowered,"[0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 0]",Will Aircraft or Missiles Win Wars?
lacked,"[10, 3]",Will Aircraft or Missiles Win Wars?
trajectory,"[13, 1]",Will Aircraft or Missiles Win Wars?
but,"[409, 25, 115, 211, 11]",Will Aircraft or Missiles Win Wars?
come,"[84, 0, 0, 5, 42, 12, 0, 0, 0, 3, 1, 123, 11, 3, 3, 163, 0, 0, 0, 0, 0, 0, 20, 22, 0]",Will Aircraft or Missiles Win Wars?
