categoria,metafora,w
reportage,804307.8590497638,2244
editorial,797847.982604727,2241
reviews,926295.4083615864,2342
religion,935931.8321572712,2317
skills & hobbies,916884.62774593,2370
popular lore,796816.1152101667,2258
belles lettres,861343.6692835388,2359
miscellaneous,863173.038736266,2316
learned,907069.3580927891,2334
general fiction,870179.8901159727,2345
mistery and detective fiction,914219.7991227966,2331
science fiction,1000556.0468125261,2369
adventure and western fiction,835693.3281863902,2279
romance and love story,1113220.902539808,2546
