w,vector_semantico
becoming,"['becoming', 'comme_il_faut', 'comely', 'become', 'decorous', 'suit', 'seemly', 'get', 'turn', 'go', 'decent']"
Technical,"['technological', 'technical', 'technical_foul', 'proficient', 'expert']"
Feelings,"['belief', 'sense', 'spirit', 'tactual_sensation', 'flavor', 'experience', 'tone', 'feel', 'palpate', 'touch_sensation', 'finger', 'notion', 'impression', 'intuitive_feeling', 'find', 'feeling', 'opinion', 'smell', 'look', 'touch', 'feelings', 'tactile_sensation', 'flavour']"
Simultaneously,"['at_the_same_time', 'simultaneously']"
modernize,"['modernize', 'modernise', 'develop', 'overhaul']"
particularly,"['especially', 'in_particular', 'particularly', 'peculiarly', 'specially']"
general,"['full_general', 'worldwide', 'oecumenical', 'world-wide', 'cosmopolitan', 'superior_general', 'universal', 'general', 'ecumenical']"
Nevertheless,"['nonetheless', 'still', 'nevertheless', 'notwithstanding', 'withal', 'all_the_same', 'however', 'even_so', 'yet']"
decentralizing,"['decentralize', 'decentralising', 'decentralise', 'deconcentrate', 'decentralizing']"
gaps,"['spread', 'breach', 'gap', 'break', 'disruption', 'col', 'interruption', 'opening', 'crack']"
disruptive,"['disruptive', 'tumultuous', 'troubled', 'riotous', 'turbulent']"
while,"['spell', 'patch', 'while', 'piece']"
out,"['extinct', 'away', 'proscribed', 'taboo', 'come_out', 'kayoed', 'prohibited', 'knocked_out', 'out', 'forbidden', 'come_out_of_the_closet', ""KO'd"", 'tabu', 'verboten', 'stunned']"
policies,"['insurance', 'insurance_policy', 'policy']"
untouched,"['untasted', 'unmoved', 'unswayed', 'uninfluenced', 'untouched', 'unaffected']"
response,"['answer', 'reaction', 'reply', 'response', 'reception']"
political,['political']
there,"['on_that_point', 'at_that_place', 'in_that_respect', 'thither', 'there', 'in_that_location']"
open,"['spread_out', 'loose', 'outdoors', 'unfold', 'surface', 'undefendable', 'candid', 'unfastened', 'subject', 'undetermined', 'open', 'give', 'open_up', 'overt', 'capable', 'assailable', 'open_air', 'spread', 'undefended', 'receptive', 'exposed', 'unresolved', 'out-of-doors', 'opened', 'clear', 'undecided', 'afford', 'heart-to-heart']"
like,"['the_like', 'same', 'similar', 'comparable', 'ilk', 'corresponding', 'alike', 'like', 'wish', 'care', 'the_likes_of']"
Particularly,"['especially', 'in_particular', 'particularly', 'peculiarly', 'specially']"
capital,"['majuscule', 'great', 'upper-case_letter', 'chapiter', 'Das_Kapital', 'Washington', 'working_capital', 'cap', 'capital', 'capital_letter', 'uppercase', 'Capital']"
stress,"['emphasis', 'tenseness', 'emphasize', 'accentuate', 'emphasise', 'tension', 'accent', 'focus', 'punctuate', 'stress', 'strain', 'try']"
This,[]
gain,"['advance', 'gain_ground', 'addition', 'realise', 'arrive_at', 'amplification', 'derive', 'earn', 'reach', 'make_headway', 'get_ahead', 'attain', 'profit', 'gather', 'hit', 'increase', 'gain', 'pull_in', 'acquire', 'bring_in', 'put_on', 'pull_ahead', 'realize', 'make', 'benefit', 'win', 'clear', 'take_in']"
toward,[]
wait,"['hold_back', 'waitress', 'wait', 'expect', 'time_lag', 'hold_off', 'await', 'postponement', 'hold', 'delay', 'waiting', 'look']"
see,"['run_across', 'ensure', 'pick_up', 'date', 'image', 'realise', 'interpret', 'get_a_line', 'take_care', 'ascertain', 'catch', 'determine', 'insure', 'get_word', 'see_to_it', 'go_through', 'project', 'encounter', 'control', 'visit', 'experience', 'watch', 'visualize', 'view', 'get_wind', 'assure', 'regard', 'run_into', 'envision', 'hear', 'come_across', 'see', 'visualise', 'find_out', 'attend', 'discover', 'go_out', 'construe', 'understand', 'find', 'witness', 'look', 'realize', 'reckon', 'picture', 'learn', 'figure', 'examine', 'escort', 'check', 'meet', 'go_steady', 'consider', 'fancy', 'take_in']"
bureaucracies,"['bureaucratism', 'bureaucracy']"
claiming,"['take', 'arrogate', 'exact', 'lay_claim', 'claim']"
perspective,"['view', 'position', 'perspective', 'linear_perspective']"
skills,"['science', 'acquirement', 'skill', 'attainment', 'accomplishment', 'acquisition']"
aspirations,"['inspiration', 'intake', 'inhalation', 'breathing_in', 'ambition', 'aspiration', 'dream']"
social,"['social', 'sociable', 'societal', 'mixer']"
United,"['merge', 'unite', 'combine', 'link_up', 'join', 'link', 'joined', 'connect', 'unify', 'united']"
them,[]
benefit,"['profit', 'welfare', 'gain', 'benefit', 'do_good']"
modernized,"['modernise', 'modernised', 'overhaul', 'modernized', 'develop', 'modernize']"
become,"['become', 'suit', 'get', 'turn', 'go']"
numbers,"['phone_number', 'number', 'issue', 'routine', 'telephone_number', 'count', 'add_up', 'total', 'enumerate', 'numbers_racket', 'come', 'bit', 'keep_down', 'identification_number', 'turn', 'Book_of_Numbers', 'act', 'numeral', 'figure', 'list', 'numbers_game', 'numbers', 'Numbers', 'amount', 'numerate', 'numbers_pool']"
