w,vector_uso
becoming,"[1, 0, 0, 5, 0, 0, 0, 8, 2, 2, 0]"
Technical,"[0, 0, 0, 0, 0]"
Feelings,"[4, 4, 1, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 1, 0, 0, 0, 9, 0, 0]"
Simultaneously,"[0, 0]"
modernize,"[0, 0, 5, 0]"
particularly,"[11, 0, 7, 0, 1]"
general,"[0, 0, 0, 0, 0, 0, 0, 11, 0]"
Nevertheless,"[0, 9, 0, 0, 0, 0, 2, 0, 0]"
decentralizing,"[0, 0, 0, 0, 0]"
gaps,"[0, 0, 0, 2, 0, 0, 0, 0, 0]"
disruptive,"[0, 0, 0, 0, 0]"
while,"[0, 0, 3, 0]"
out,"[0, 3, 1, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0]"
policies,"[0, 0, 2]"
untouched,"[0, 0, 0, 0, 2, 0]"
response,"[0, 3, 0, 1, 0]"
political,[2]
there,"[0, 0, 0, 0, 34, 0]"
open,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0]"
like,"[0, 16, 3, 1, 0, 2, 0, 1, 2, 6, 0]"
Particularly,"[11, 0, 7, 0, 1]"
capital,"[0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
stress,"[2, 0, 0, 0, 0, 4, 0, 3, 0, 4, 1, 0]"
This,[]
gain,"[2, 0, 7, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 0]"
toward,[]
wait,"[0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0]"
see,"[0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 6, 0, 14, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 2, 1, 0, 0, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
bureaucracies,"[0, 0]"
claiming,"[6, 0, 0, 0, 0]"
perspective,"[3, 1, 0, 0]"
skills,"[0, 0, 2, 0, 0, 0]"
aspirations,"[0, 0, 0, 0, 0, 0, 0]"
social,"[52, 0, 1, 0]"
United,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
them,[]
benefit,"[0, 3, 0, 0, 0]"
modernized,"[0, 0, 0, 0, 5, 0]"
become,"[5, 0, 8, 2, 2]"
numbers,"[0, 10, 0, 0, 0, 3, 0, 5, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 4, 1, 0, 0, 0]"
rather,"[0, 0, 4, 0, 10, 1, 1, 0]"
developing,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 1, 0, 0, 0, 5, 2, 0, 0, 0, 0, 0, 5, 3]"
contribute,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
capacity,"[0, 0, 1, 0, 0, 0]"
dominant,"[0, 0, 0, 1, 0, 0]"
showing,"[0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 0, 0, 1, 3, 2, 0, 0, 0, 1, 2, 0, 0, 0, 4, 8, 3, 0, 0]"
front,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
;,[]
civil,"[0, 0, 0]"
any,"[9, 0, 1]"
goals,"[0, 4, 5, 0]"
programming,"[0, 0, 1, 2, 0, 0, 3]"
sacrifice,"[0, 0, 0, 3, 0]"
business,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
always,"[2, 0, 0, 0, 0, 7, 0, 3]"
Another,"[0, 8]"
achieve,"[0, 0, 3, 2]"
upper-level,"[0, 0, 0]"
two,"[0, 11, 0, 0, 14]"
change,"[2, 4, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0]"
foreign,"[0, 0, 0, 0]"
ready,"[0, 0, 4, 4, 0, 3, 0, 0, 0]"
underdeveloped,"[0, 0, 3]"
escaped,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
about,"[0, 0, 16, 0, 5, 2, 0, 0, 6, 1, 0, 0, 0, 0, 0, 43, 19]"
private,"[0, 0, 0, 15, 1]"
historically,[1]
At,"[3, 0, 33, 0]"
many,[11]
range,"[0, 0, 0, 0, 0, 2, 2, 10, 0, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
communications,"[0, 0, 0, 4]"
elite,"[0, 0, 0]"
resources,"[0, 0, 0]"
Several,"[0, 1, 28]"
measurable,"[0, 0]"
set,"[0, 1, 0, 0, 10, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1]"
having,"[46, 13, 0, 1, 0, 0, 0, 7, 0, 14, 0, 3, 1, 8, 0, 6, 0, 2, 1, 0, 4, 0, 0, 2, 0, 0, 0]"
every,[9]
pattern,"[0, 1, 0, 0, 2, 2, 7, 0, 0, 0, 0, 2, 0, 1, 0, 0]"
economic,"[0, 5]"
part,"[0, 0, 0, 1, 0, 3, 0, 0, 2, 0, 0, 5, 0, 1, 6, 3, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 0, 1, 1, 20, 7, 0, 0, 0, 0]"
these,[]
murky,"[0, 0, 0, 0, 0]"
both,[10]
forward-moving,"[0, 0, 2]"
changing,"[2, 4, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
flows,"[0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 25, 0, 4]"
well,"[0, 4, 0, 0, 0, 9, 0, 0, 0, 0, 2]"
much,"[0, 0, 0, 0, 0, 0, 12, 12]"
In,"[0, 343, 0, 0, 0, 0, 0, 0, 0, 47]"
wide,"[0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1]"
Pakistan,"[0, 0, 0]"
marked,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
prospects,"[0, 0, 0, 2, 0, 0, 0, 3, 4, 0, 0, 0]"
formulate,"[0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0]"
until,[]
through,"[0, 14, 2, 0]"
concerned,"[0, 2, 0, 0, 5, 0, 0, 0, 0, 0, 5, 2, 0, 1, 1]"
segment,"[20, 0]"
Finally,"[0, 0, 0, 0, 0, 0, 0, 5, 0]"
purchased,"[0, 0]"
careful,"[0, 0, 0, 0, 0]"
persistence,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
politics,"[0, 0, 3, 0, 0]"
press,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
thus,"[1, 0, 0, 2, 16, 0, 0, 0, 1]"
societies,"[0, 0, 0, 2, 0, 14, 0, 0, 0, 0, 0, 0, 1, 0]"
left,"[7, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 8, 0, 0, 0, 0, 0]"
second,"[0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
mature,"[1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
cold,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
encourage,"[2, 6, 0, 6, 1]"
advisor,"[0, 0, 0]"
overhead,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
prefer,"[0, 0, 0, 0, 0]"
changes,"[2, 4, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 0, 0, 0]"
accordance,"[0, 2, 1, 0]"
appreciation,"[0, 0, 0, 2, 0, 0, 0]"
With,[]
ruling,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0]"
promises,"[0, 1, 0, 0, 1, 0, 0, 0, 0]"
isolated,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
forms,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 35, 1, 8, 7, 0, 0, 2, 25, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1]"
between,"[0, 0, 3]"
rapidly,"[0, 0, 0, 0, 0]"
competence,"[0, 0]"
cumulative,"[0, 0]"
seem,"[2, 13, 0]"
also,"[19, 0, 0, 0, 7]"
forces,"[0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0]"
urban,[6]
field,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 15, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0]"
strides,"[0, 0, 0, 0, 2]"
honest,"[0, 1, 4, 0, 0, 0, 2]"
neglected,"[0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
stable,"[0, 1, 0, 2, 0]"
fishing,"[0, 0, 0, 0]"
supplemented,"[0, 0, 0, 0]"
