w,taza
becoming,1.6363636363636365
Technical,0.01
Feelings,1.7391304347826086
Simultaneously,0.01
modernize,1.25
particularly,3.8
general,1.2222222222222223
Nevertheless,0.6111111111111112
decentralizing,0.01
gaps,0.2222222222222222
disruptive,0.005
while,0.75
out,0.9666666666666667
policies,0.2222222222222222
untouched,0.3333333333333333
response,0.8
political,0.4
there,1.888888888888889
open,0.16071428571428573
like,2.8181818181818183
Particularly,3.8
capital,0.2916666666666667
stress,1.1666666666666667
This,0.0005
gain,0.375
toward,0.00016666666666666666
wait,0.25
see,0.39090909090909093
bureaucracies,0.005
claiming,1.2
perspective,1.0
skills,0.3333333333333333
aspirations,0.01
social,1.8928571428571428
United,0.05
them,0.0002construir_referencia([r1,r2,r3,r4,r5,r5])
benefit,0.6
modernized,0.8333333333333334
become,0.85
numbers,0.5192307692307693
rather,2.0
developing,1.0
contribute,0.4166666666666667
capacity,0.08333333333333333
dominant,0.16666666666666666
showing,1.1071428571428572
front,0.125
;,4.1666666666666665e-05
civil,0.01
any,3.3333333333333335
goals,1.125
programming,0.8571428571428571
sacrifice,0.6
business,0.25
always,1.5
Another,4.0
achieve,0.3125
upper-level,0.01
two,5.0
change,0.4666666666666667
foreign,0.002
ready,1.2222222222222223
underdeveloped,1.0
escaped,0.041666666666666664
about,5.411764705882353
private,1.6
historically,1.0
At,4.5
many,1.8333333333333333
range,0.6046511627906976
communications,0.5
elite,0.01
resources,0.0033333333333333335
Several,9.666666666666666
measurable,0.01
set,0.7213114754098361
having,2.0
every,9.0
pattern,0.9375
economic,0.2777777777777778
part,0.5555555555555556
these,0.0001
murky,0.01
both,2.5
forward-moving,0.6666666666666666
changing,0.5714285714285714
flows,1.8888888888888888
well,1.3636363636363635
much,3.0
In,39.0
wide,0.5882352941176471
Pakistan,0.01
marked,0.25806451612903225
prospects,0.375
formulate,0.5
until,0.001
through,2.0
concerned,1.0666666666666667
segment,10.0
Finally,0.5555555555555556
purchased,0.01
careful,0.01
persistence,0.1111111111111111
politics,0.6
press,0.02631578947368421
thus,2.2222222222222223
societies,0.10119047619047618
left,0.696969696969697
second,0.11904761904761904
mature,0.2727272727272727
cold,0.01
encourage,1.0
advisor,0.01
overhead,0.005
prefer,0.01
changes,0.4666666666666667
accordance,0.75
appreciation,0.14285714285714285
With,0.0005
ruling,0.2857142857142857
promises,0.2222222222222222
isolated,0.058823529411764705
forms,2.0416666666666665
between,0.3333333333333333
rapidly,0.01
competence,0.005
cumulative,0.01
seem,5.0
also,0.65
forces,0.4230769230769231
urban,6.0
field,0.9428571428571428
strides,0.4
honest,1.0
neglected,0.2
stable,0.3
fishing,0.01
supplemented,0.01
related,0.3888888888888889
effectiveness,0.16666666666666666
necessary,0.7999999999999999
follow,3.107142857142857
Burma,0.01
treaty-making,0.001
built,0.7
aspirants,0.01
look,1.2758620689655173
communicate,0.1111111111111111
those,0.0005
understanding,0.2833333333333333
themselves,0.001
does,1.0689655172413792
relevant,1.0
impeded,0.01
context,0.6
problems,0.5333333333333333
begun,0.8888888888888888
effected,1.1666666666666667
counterparts,0.6
As,5.863636363636363
Lastly,1.25
being,6.25
provide,0.18333333333333332
what,0.001
believing,1.0
dealing,0.6666666666666666
professional,0.25
situation,2.2
exploit,1.6666666666666667
new,0.25
priorities,0.01
issue,0.7804878048780488
exchange,0.42857142857142855
farm,0.75
different,1.1111111111111112
solved,0.65
times,1.0606060606060606
free-world,0.001
modernization,0.0014285714285714286
firmly,0.3333333333333333
West,0.01
however,1.2222222222222223
personnel,1.0
Community,2.0
patience,0.01
achieved,1.25
mystique,0.01
skillfully,0.01
pace,0.4444444444444444
creating,2.0
movement,0.35294117647058826
introduced,0.5555555555555556
Efforts,0.375
generate,1.0833333333333333
illusions,0.13333333333333333
begin,0.7272727272727273
modern,0.06818181818181818
risk,0.25
follows,3.107142857142857
structure,0.2
Most,4.777777777777778
foresight,0.01
although,0.0005
inferiority,0.2
in,1.1470588235294117
diversions,0.01
independence,0.005
experts,0.01
technical,0.002
win,0.14285714285714285
emerge,0.01
